family,param,floor,month,R,return_yen,profit_yen,roi_pct,head_rate_pct,hit_rate_pct
FIXED,2,4.0,2026-04,8,0.0,-80000.0,0.0,12.5,0.0
FIXED,2,4.0,2026-05,6,77140.0,17140.0,128.56666666666666,50.0,16.666666666666664
FIXED,2,4.0,2026-06,15,0.0,-150000.0,0.0,33.33333333333333,0.0
FIXED,2,4.5,2026-04,8,0.0,-80000.0,0.0,12.5,0.0
FIXED,2,4.5,2026-05,6,77140.0,17140.0,128.56666666666666,50.0,16.666666666666664
FIXED,2,4.5,2026-06,14,0.0,-140000.0,0.0,35.714285714285715,0.0
FIXED,2,5.0,2026-04,8,0.0,-80000.0,0.0,12.5,0.0
FIXED,2,5.0,2026-05,6,77140.0,17140.0,128.56666666666666,50.0,16.666666666666664
FIXED,2,5.0,2026-06,12,0.0,-120000.0,0.0,33.33333333333333,0.0
FIXED,2,5.5,2026-04,8,0.0,-80000.0,0.0,12.5,0.0
FIXED,2,5.5,2026-05,6,77140.0,17140.0,128.56666666666666,50.0,16.666666666666664
FIXED,2,5.5,2026-06,11,0.0,-110000.0,0.0,27.27272727272727,0.0
FIXED,2,6.0,2026-04,8,0.0,-80000.0,0.0,12.5,0.0
FIXED,2,6.0,2026-05,5,77140.0,27140.0,154.28,60.0,20.0
FIXED,2,6.0,2026-06,11,0.0,-110000.0,0.0,27.27272727272727,0.0
FIXED,2,6.5,2026-04,8,0.0,-80000.0,0.0,12.5,0.0
FIXED,2,6.5,2026-05,5,77140.0,27140.0,154.28,60.0,20.0
FIXED,2,6.5,2026-06,10,0.0,-100000.0,0.0,30.0,0.0
FIXED,2,7.0,2026-04,7,0.0,-70000.0,0.0,14.285714285714285,0.0
FIXED,2,7.0,2026-05,5,77140.0,27140.0,154.28,60.0,20.0
FIXED,2,7.0,2026-06,9,0.0,-90000.0,0.0,33.33333333333333,0.0
FIXED,2,7.5,2026-04,7,0.0,-70000.0,0.0,14.285714285714285,0.0
FIXED,2,7.5,2026-05,4,77140.0,37140.0,192.85,50.0,25.0
FIXED,2,7.5,2026-06,7,0.0,-70000.0,0.0,28.57142857142857,0.0
FIXED,2,8.0,2026-04,6,0.0,-60000.0,0.0,16.666666666666664,0.0
FIXED,2,8.0,2026-05,3,0.0,-30000.0,0.0,33.33333333333333,0.0
FIXED,2,8.0,2026-06,6,0.0,-60000.0,0.0,16.666666666666664,0.0
FIXED,2,8.5,2026-04,6,0.0,-60000.0,0.0,16.666666666666664,0.0
FIXED,2,8.5,2026-05,3,0.0,-30000.0,0.0,33.33333333333333,0.0
FIXED,2,8.5,2026-06,5,0.0,-50000.0,0.0,20.0,0.0
FIXED,2,9.0,2026-04,5,0.0,-50000.0,0.0,20.0,0.0
FIXED,2,9.0,2026-05,2,0.0,-20000.0,0.0,50.0,0.0
FIXED,2,9.0,2026-06,5,0.0,-50000.0,0.0,20.0,0.0
FIXED,2,9.5,2026-04,5,0.0,-50000.0,0.0,20.0,0.0
FIXED,2,9.5,2026-05,2,0.0,-20000.0,0.0,50.0,0.0
FIXED,2,9.5,2026-06,5,0.0,-50000.0,0.0,20.0,0.0
