target,maxn,floor,month,R,return_yen,profit_yen,roi_pct,head_rate_pct,hit_rate_pct,avg_n,avg_comp_odds
5.0,4,3.0,2026-04,8,0.0,-80000.0,0.0,12.5,0.0,3.375,5.437912133546634
5.0,4,3.0,2026-05,6,113330.0,53330.0,188.88333333333333,50.0,33.33333333333333,3.3333333333333335,5.47156305033482
5.0,4,3.0,2026-06,15,49280.00000000001,-100720.0,32.85333333333334,33.33333333333333,6.666666666666667,3.466666666666667,5.424811152322614
5.0,4,3.5,2026-04,8,0.0,-80000.0,0.0,12.5,0.0,3.375,5.437912133546634
5.0,4,3.5,2026-05,6,113330.0,53330.0,188.88333333333333,50.0,33.33333333333333,3.3333333333333335,5.47156305033482
5.0,4,3.5,2026-06,15,49280.00000000001,-100720.0,32.85333333333334,33.33333333333333,6.666666666666667,3.466666666666667,5.424811152322614
5.0,4,4.0,2026-04,7,0.0,-70000.0,0.0,14.285714285714285,0.0,3.4285714285714284,5.701214170673927
5.0,4,4.0,2026-05,6,113330.0,53330.0,188.88333333333333,50.0,33.33333333333333,3.3333333333333335,5.47156305033482
5.0,4,4.0,2026-06,15,49280.00000000001,-100720.0,32.85333333333334,33.33333333333333,6.666666666666667,3.466666666666667,5.424811152322614
5.0,4,4.5,2026-04,7,0.0,-70000.0,0.0,14.285714285714285,0.0,3.4285714285714284,5.701214170673927
5.0,4,4.5,2026-05,6,113330.0,53330.0,188.88333333333333,50.0,33.33333333333333,3.3333333333333335,5.47156305033482
5.0,4,4.5,2026-06,13,49280.00000000001,-80720.0,37.907692307692315,38.46153846153847,7.6923076923076925,3.6153846153846154,5.601403075051217
5.0,4,5.0,2026-04,7,0.0,-70000.0,0.0,14.285714285714285,0.0,3.4285714285714284,5.701214170673927
5.0,4,5.0,2026-05,4,113330.0,73330.0,283.325,50.0,50.0,3.5,5.737412584256915
5.0,4,5.0,2026-06,10,0.0,-100000.0,0.0,20.0,0.0,3.7,5.840226187074874
5.0,4,5.5,2026-04,3,0.0,-30000.0,0.0,33.33333333333333,0.0,4.0,6.293490760049004
5.0,4,5.5,2026-05,2,62580.0,42580.0,312.9,50.0,50.0,4.0,6.379926362075749
5.0,4,5.5,2026-06,5,0.0,-50000.0,0.0,20.0,0.0,4.0,6.311520550737213
5.0,4,6.0,2026-04,3,0.0,-30000.0,0.0,33.33333333333333,0.0,4.0,6.293490760049004
5.0,4,6.0,2026-05,2,62580.0,42580.0,312.9,50.0,50.0,4.0,6.379926362075749
5.0,4,6.0,2026-06,3,0.0,-30000.0,0.0,0.0,0.0,4.0,6.627878611223982
5.0,4,6.5,2026-04,0,0.0,0.0,,,,,
5.0,4,6.5,2026-05,0,0.0,0.0,,,,,
5.0,4,6.5,2026-06,2,0.0,-20000.0,0.0,0.0,0.0,4.0,6.716811810383858
5.0,4,7.0,2026-04,0,0.0,0.0,,,,,
5.0,4,7.0,2026-05,0,0.0,0.0,,,,,
5.0,4,7.0,2026-06,0,0.0,0.0,,,,,
5.0,4,7.5,2026-04,0,0.0,0.0,,,,,
5.0,4,7.5,2026-05,0,0.0,0.0,,,,,
5.0,4,7.5,2026-06,0,0.0,0.0,,,,,
5.0,4,8.0,2026-04,0,0.0,0.0,,,,,
5.0,4,8.0,2026-05,0,0.0,0.0,,,,,
5.0,4,8.0,2026-06,0,0.0,0.0,,,,,
5.0,6,3.0,2026-04,8,0.0,-80000.0,0.0,12.5,0.0,4.0,4.9144252490489055
5.0,6,3.0,2026-05,6,104390.0,44390.0,173.98333333333332,50.0,33.33333333333333,3.6666666666666665,5.09310849950341
5.0,6,3.0,2026-06,15,49280.00000000001,-100720.0,32.85333333333334,33.33333333333333,6.666666666666667,4.066666666666666,4.8699337625788495
5.0,6,3.5,2026-04,8,0.0,-80000.0,0.0,12.5,0.0,4.0,4.9144252490489055
5.0,6,3.5,2026-05,6,104390.0,44390.0,173.98333333333332,50.0,33.33333333333333,3.6666666666666665,5.09310849950341
5.0,6,3.5,2026-06,15,49280.00000000001,-100720.0,32.85333333333334,33.33333333333333,6.666666666666667,4.066666666666666,4.8699337625788495
5.0,6,4.0,2026-04,7,0.0,-70000.0,0.0,14.285714285714285,0.0,4.142857142857143,5.1029434455336675
5.0,6,4.0,2026-05,6,104390.0,44390.0,173.98333333333332,50.0,33.33333333333333,3.6666666666666665,5.09310849950341
