floor,maxn,month,R,return_yen,profit_yen,roi_pct,hit_rate_pct,avg_n,avg_comp_odds
3.0,5,2026-04,12,411590.0,291590.0,342.9916666666667,50.0,5.0,6.837423149829973
3.0,5,2026-05,9,133930.0,43930.0,148.8111111111111,22.22222222222222,5.0,6.7807249540233006
3.0,5,2026-06,8,98430.0,18430.0,123.0375,12.5,5.0,8.127318084143248
3.0,6,2026-04,12,358220.0,238220.0,298.51666666666665,50.0,6.0,5.773113111501914
3.0,6,2026-05,9,111180.0,21180.0,123.53333333333333,22.22222222222222,6.0,5.603157736367653
3.0,6,2026-06,8,134540.0,54540.0,168.175,25.0,6.0,7.027707274672396
3.0,8,2026-04,12,288950.0,168950.0,240.79166666666666,50.0,8.0,4.6119574472450235
3.0,8,2026-05,9,86890.0,-3110.0,96.54444444444445,22.22222222222222,8.0,4.610322202395342
3.0,8,2026-06,8,105710.0,25710.0,132.1375,25.0,8.0,5.586747113098854
3.0,10,2026-04,12,284660.0,164660.0,237.21666666666667,58.333333333333336,9.916666666666666,4.031096735692588
3.0,10,2026-05,9,77030.0,-12970.0,85.58888888888889,22.22222222222222,9.777777777777779,3.7085339319639
3.0,10,2026-06,8,96100.0,16100.0,120.125,25.0,9.875,4.901459537947612
3.0,12,2026-04,12,248430.0,128430.0,207.025,58.333333333333336,11.583333333333334,3.5908001859947305
3.0,12,2026-05,9,144280.0,54280.0,160.3111111111111,44.44444444444444,10.88888888888889,3.447347427560477
3.0,12,2026-06,8,90370.0,10370.0,112.9625,25.0,11.625,4.372504793864458
3.0,16,2026-04,12,235050.0,115050.0,195.875,58.333333333333336,13.666666666666666,3.369646845151385
3.0,16,2026-05,9,122760.0,32760.0,136.4,44.44444444444444,12.11111111111111,3.269634996024156
3.0,16,2026-06,8,142190.0,62190.0,177.7375,50.0,14.375,3.9033934126625756
3.0,20,2026-04,12,217990.0,97990.0,181.65833333333333,58.333333333333336,15.416666666666666,3.205775911143537
3.0,20,2026-05,9,122760.0,32760.0,136.4,44.44444444444444,12.444444444444445,3.230231530832283
3.0,20,2026-06,8,142190.0,62190.0,177.7375,50.0,16.375,3.7097766359523234
3.5,5,2026-04,12,411590.0,291590.0,342.9916666666667,50.0,5.0,6.837423149829973
3.5,5,2026-05,9,133930.0,43930.0,148.8111111111111,22.22222222222222,5.0,6.7807249540233006
3.5,5,2026-06,8,98430.0,18430.0,123.0375,12.5,5.0,8.127318084143248
3.5,6,2026-04,12,358220.0,238220.0,298.51666666666665,50.0,6.0,5.773113111501914
3.5,6,2026-05,9,111180.0,21180.0,123.53333333333333,22.22222222222222,6.0,5.603157736367653
3.5,6,2026-06,8,134540.0,54540.0,168.175,25.0,6.0,7.027707274672396
3.5,8,2026-04,12,288950.0,168950.0,240.79166666666666,50.0,7.916666666666667,4.648853778998094
3.5,8,2026-05,9,86890.0,-3110.0,96.54444444444445,22.22222222222222,7.888888888888889,4.632594439733104
3.5,8,2026-06,8,105710.0,25710.0,132.1375,25.0,8.0,5.586747113098854
3.5,10,2026-04,12,290820.0,170820.0,242.35,58.333333333333336,9.416666666666666,4.18622815545565
3.5,10,2026-05,9,83090.0,-6910.0,92.32222222222222,22.22222222222222,9.333333333333334,3.8116030220960235
3.5,10,2026-06,8,96100.0,16100.0,120.125,25.0,9.5,5.074213167593134
3.5,12,2026-04,12,271680.0,151680.0,226.4,58.333333333333336,10.416666666666666,3.888223440983024
3.5,12,2026-05,9,122340.0,32340.0,135.93333333333334,33.33333333333333,9.777777777777779,3.7180835124337026
3.5,12,2026-06,8,96100.0,16100.0,120.125,25.0,10.75,4.645129550105418
3.5,16,2026-04,12,260920.0,140920.0,217.43333333333334,58.333333333333336,12.083333333333334,3.730569847132004
3.5,16,2026-05,9,107990.0,17990.0,119.9888888888889,33.33333333333333,10.11111111111111,3.66015483359315
3.5,16,2026-06,8,117850.0,37850.0,147.3125,37.5,12.875,4.2669996506396535
3.5,20,2026-04,12,258430.0,138430.0,215.35833333333332,58.333333333333336,12.75,3.6891632744437124
3.5,20,2026-05,9,107990.0,17990.0,119.9888888888889,33.33333333333333,10.11111111111111,3.66015483359315
3.5,20,2026-06,8,117850.0,37850.0,147.3125,37.5,14.5,4.100112639124566
4.0,5,2026-04,12,411590.0,291590.0,342.9916666666667,50.0,5.0,6.837423149829973
4.0,5,2026-05,9,133930.0,43930.0,148.8111111111111,22.22222222222222,5.0,6.7807249540233006
4.0,5,2026-06,8,98430.0,18430.0,123.0375,12.5,5.0,8.127318084143248
4.0,6,2026-04,12,358220.0,238220.0,298.51666666666665,50.0,5.833333333333333,6.000780221790852
4.0,6,2026-05,9,111180.0,21180.0,123.53333333333333,22.22222222222222,5.888888888888889,5.760351146267902
4.0,6,2026-06,8,134540.0,54540.0,168.175,25.0,6.0,7.027707274672396
4.0,8,2026-04,12,288950.0,168950.0,240.79166666666666,50.0,7.333333333333333,4.9464087111087895
4.0,8,2026-05,9,89920.0,-80.0,99.91111111111111,22.22222222222222,7.555555555555555,4.857700844765829
4.0,8,2026-06,8,105710.0,25710.0,132.1375,25.0,7.75,5.7363331464477945
4.0,10,2026-04,12,300810.0,180810.0,250.675,58.333333333333336,8.416666666666666,4.57373032013468
4.0,10,2026-05,9,86120.0,-3880.0,95.68888888888888,22.22222222222222,8.222222222222221,4.49889265033197
4.0,10,2026-06,8,98010.0,18010.0,122.5125,25.0,9.125,5.254075090481519
4.0,12,2026-04,12,295030.0,175030.0,245.85833333333332,58.333333333333336,9.166666666666666,4.388661467504614
4.0,12,2026-05,9,129170.0,39170.0,143.5222222222222,33.33333333333333,8.444444444444445,4.4721425542384905
4.0,12,2026-06,8,98010.0,18010.0,122.5125,25.0,10.125,4.9185418105893355
4.0,16,2026-04,12,287560.0,167560.0,239.63333333333333,58.333333333333336,9.833333333333334,4.3329693727517755
4.0,16,2026-05,9,129170.0,39170.0,143.5222222222222,33.33333333333333,8.444444444444445,4.4721425542384905
4.0,16,2026-06,8,130870.0,50870.0,163.5875,37.5,11.875,4.6072114882695345
4.0,20,2026-04,12,287560.0,167560.0,239.63333333333333,58.333333333333336,10.166666666666666,4.320680892645013
4.0,20,2026-05,9,129170.0,39170.0,143.5222222222222,33.33333333333333,8.444444444444445,4.4721425542384905
4.0,20,2026-06,8,130870.0,50870.0,163.5875,37.5,13.125,4.498067045643751
4.5,5,2026-04,12,411590.0,291590.0,342.9916666666667,50.0,5.0,6.837423149829973
4.5,5,2026-05,9,133930.0,43930.0,148.8111111111111,22.22222222222222,5.0,6.7807249540233006
4.5,5,2026-06,8,98430.0,18430.0,123.0375,12.5,5.0,8.127318084143248
4.5,6,2026-04,12,358220.0,238220.0,298.51666666666665,50.0,5.833333333333333,6.000780221790852
4.5,6,2026-05,9,111180.0,21180.0,123.53333333333333,22.22222222222222,5.888888888888889,5.760351146267902
4.5,6,2026-06,8,134540.0,54540.0,168.175,25.0,6.0,7.027707274672396
4.5,8,2026-04,12,313220.0,193220.0,261.01666666666665,50.0,7.0,5.204102261411188
4.5,8,2026-05,9,95980.0,5980.0,106.64444444444445,22.22222222222222,7.222222222222222,4.9724340134610445
4.5,8,2026-06,8,109530.0,29530.0,136.9125,25.0,7.375,5.852094703714806
4.5,10,2026-04,12,295400.0,175400.0,246.16666666666666,50.0,7.583333333333333,4.975728237079043
4.5,10,2026-05,9,95980.0,5980.0,106.64444444444445,22.22222222222222,7.333333333333333,4.899759594903431
4.5,10,2026-06,8,103740.0,23740.0,129.675,25.0,8.5,5.421975951432588
4.5,12,2026-04,12,292910.0,172910.0,244.09166666666667,50.0,7.916666666666667,4.8924586169261355
4.5,12,2026-05,9,95980.0,5980.0,106.64444444444445,22.22222222222222,7.333333333333333,4.899759594903431
4.5,12,2026-06,8,103740.0,23740.0,129.675,25.0,9.375,5.121466232944443
4.5,16,2026-04,12,292910.0,172910.0,244.09166666666667,50.0,7.916666666666667,4.8924586169261355
4.5,16,2026-05,9,95980.0,5980.0,106.64444444444445,22.22222222222222,7.333333333333333,4.899759594903431
4.5,16,2026-06,8,92160.0,12160.0,115.2,25.0,10.75,4.858286678794268
4.5,20,2026-04,12,292910.0,172910.0,244.09166666666667,50.0,7.916666666666667,4.8924586169261355
4.5,20,2026-05,9,95980.0,5980.0,106.64444444444445,22.22222222222222,7.333333333333333,4.899759594903431
4.5,20,2026-06,8,92160.0,12160.0,115.2,25.0,11.25,4.841660949590128
5.0,5,2026-04,12,411590.0,291590.0,342.9916666666667,50.0,4.916666666666667,7.061574039037178
5.0,5,2026-05,9,133930.0,43930.0,148.8111111111111,22.22222222222222,5.0,6.7807249540233006
5.0,5,2026-06,8,98430.0,18430.0,123.0375,12.5,5.0,8.127318084143248
5.0,6,2026-04,12,358220.0,238220.0,298.51666666666665,50.0,5.75,6.224931110998058
5.0,6,2026-05,9,126330.0,36330.0,140.36666666666667,22.22222222222222,5.666666666666667,6.0692000627384814
5.0,6,2026-06,8,134540.0,54540.0,168.175,25.0,5.75,7.306450578859451
5.0,8,2026-04,12,337110.0,217110.0,280.925,50.0,6.5,5.780708799722523
5.0,8,2026-05,9,120630.0,30630.0,134.03333333333333,22.22222222222222,6.555555555555555,5.646117757574024
5.0,8,2026-06,8,117170.0,37170.0,146.4625,25.0,7.0,6.229486429107892
5.0,10,2026-04,12,327150.0,207150.0,272.625,50.0,6.75,5.645272805100929
5.0,10,2026-05,9,120630.0,30630.0,134.03333333333333,22.22222222222222,6.555555555555555,5.646117757574024
5.0,10,2026-06,8,111380.0,31380.0,139.225,25.0,8.0,5.879361307182808
5.0,12,2026-04,12,327150.0,207150.0,272.625,50.0,6.75,5.645272805100929
5.0,12,2026-05,9,120630.0,30630.0,134.03333333333333,22.22222222222222,6.555555555555555,5.646117757574024
5.0,12,2026-06,8,111380.0,31380.0,139.225,25.0,8.75,5.637054019853103
5.0,16,2026-04,12,327150.0,207150.0,272.625,50.0,6.75,5.645272805100929
5.0,16,2026-05,9,120630.0,30630.0,134.03333333333333,22.22222222222222,6.555555555555555,5.646117757574024
5.0,16,2026-06,8,105590.0,25590.0,131.9875,25.0,9.75,5.480507941935029
5.0,20,2026-04,12,327150.0,207150.0,272.625,50.0,6.75,5.645272805100929
5.0,20,2026-05,9,120630.0,30630.0,134.03333333333333,22.22222222222222,6.555555555555555,5.646117757574024
5.0,20,2026-06,8,105590.0,25590.0,131.9875,25.0,10.25,5.463882212730891
5.5,5,2026-04,12,411590.0,291590.0,342.9916666666667,50.0,4.916666666666667,7.061574039037178
5.5,5,2026-05,9,133930.0,43930.0,148.8111111111111,22.22222222222222,4.888888888888889,7.150997886109504
5.5,5,2026-06,8,98430.0,18430.0,123.0375,12.5,5.0,8.127318084143248
5.5,6,2026-04,12,379670.0,259670.0,316.39166666666665,50.0,5.583333333333333,6.47647118469505
5.5,6,2026-05,9,126330.0,36330.0,140.36666666666667,22.22222222222222,5.444444444444445,6.489570825126362
5.5,6,2026-06,8,81060.0,1060.0,101.325,12.5,5.625,7.5646368510844555
5.5,8,2026-04,12,363930.0,243930.0,303.275,50.0,6.25,6.050317157535907
5.5,8,2026-05,9,120630.0,30630.0,134.03333333333333,22.22222222222222,5.888888888888889,6.242111913988863
5.5,8,2026-06,8,63690.0,-16310.0,79.6125,12.5,6.75,6.6759575211975495
5.5,10,2026-04,12,363930.0,243930.0,303.275,50.0,6.333333333333333,6.02402447460187
5.5,10,2026-05,9,120630.0,30630.0,134.03333333333333,22.22222222222222,5.888888888888889,6.242111913988863
5.5,10,2026-06,8,57900.0,-22100.0,72.375,12.5,7.625,6.373676413875515
5.5,12,2026-04,12,363930.0,243930.0,303.275,50.0,6.333333333333333,6.02402447460187
5.5,12,2026-05,9,120630.0,30630.0,134.03333333333333,22.22222222222222,5.888888888888889,6.242111913988863
5.5,12,2026-06,8,57900.0,-22100.0,72.375,12.5,8.25,6.169469490103881
