scope,family,nparam,floor,conf,base_R,base_roi_pct,added_R,added_roi_pct,added_profit_yen,R,roi_pct,profit_yen,head_rate_pct,hit_rate_pct,min_added_month_R,min_added_month_roi_pct,min_combined_month_roi_pct
S+A,P2R_FIXED,2,4.5,1.25,28,310.98214285714283,53,53.9188679245283,-244230.0,81,142.78024691358024,346520.0,44.44444444444444,16.049382716049383,12,0.0,76.45517241379311
S+A,P2R_FIXED,2,4.5,1.5,28,310.98214285714283,44,64.94772727272728,-154230.0,72,160.62777777777777,436520.0,45.83333333333333,18.055555555555554,10,0.0,82.11851851851851
S+A,P2R_FIXED,2,4.5,1.75,28,310.98214285714283,35,67.32,-114380.0,63,175.61428571428573,476370.0,47.61904761904761,19.047619047619047,6,0.0,92.38333333333334
S+A,P2R_FIXED,2,4.5,2.0,28,310.98214285714283,29,57.13448275862069,-124310.0,57,181.83157894736843,466440.0,49.122807017543856,19.298245614035086,5,0.0,105.58095238095238
S+A,JM4_FIXED,2,4.5,0.3,28,310.98214285714283,64,52.6140625,-303270.0,92,131.2478260869565,287480.0,41.30434782608695,15.217391304347828,18,0.0,80.2
S+A,JM4_FIXED,2,4.5,0.35,28,310.98214285714283,51,66.02549019607844,-173270.0,79,152.84556962025317,417480.0,41.77215189873418,17.72151898734177,16,0.0,109.072
S+A,JM4_FIXED,2,4.5,0.4,28,310.98214285714283,22,58.22727272727273,-91900.0,50,199.77,498850.0,52.0,22.0,6,0.0,124.87368421052632
S+A,JM4_FIXED,2,4.5,0.45,28,310.98214285714283,5,101.92000000000002,960.0000000000073,33,279.3060606060606,591710.0,60.60606060606061,30.303030303030305,1,0.0,145.56363636363636
S+A,JM4_FIXED,2,4.5,0.5,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,JM4_FIXED,2,4.5,0.55,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,2,4.5,0.7,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,2,4.5,0.75,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,2,4.5,0.8,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,2,4.5,0.85,28,310.98214285714283,1,0.0,-10000.0,29,300.2586206896552,580750.0,62.06896551724138,31.03448275862069,0,0.0,160.12
S+A,ENT_FIXED,2,4.5,0.9,28,310.98214285714283,4,0.0,-40000.0,32,272.109375,550750.0,59.375,28.125,1,0.0,145.56363636363636
S+A,P2R_FIXED,2,5.0,1.25,28,310.98214285714283,49,58.320408163265306,-204230.0,77,150.1974025974026,386520.0,44.15584415584416,16.883116883116884,12,0.0,85.27692307692308
S+A,P2R_FIXED,2,5.0,1.5,28,310.98214285714283,41,69.7,-124230.0,69,167.61159420289854,466520.0,44.927536231884055,18.84057971014493,10,0.0,88.688
S+A,P2R_FIXED,2,5.0,1.75,28,310.98214285714283,32,73.63125,-84380.0,60,184.395,506370.0,46.666666666666664,20.0,6,0.0,100.78181818181818
S+A,P2R_FIXED,2,5.0,2.0,28,310.98214285714283,26,63.72692307692308,-94310.0,54,191.93333333333334,496440.0,48.148148148148145,20.37037037037037,5,0.0,116.69473684210526
S+A,JM4_FIXED,2,5.0,0.3,28,310.98214285714283,59,57.0728813559322,-253270.0,87,138.79080459770114,337480.0,41.37931034482759,16.091954022988507,17,0.0,87.96129032258065
S+A,JM4_FIXED,2,5.0,0.35,28,310.98214285714283,46,73.20217391304348,-123270.0,74,163.17297297297299,467480.0,41.891891891891895,18.91891891891892,14,0.0,123.94545454545455
S+A,JM4_FIXED,2,5.0,0.4,28,310.98214285714283,20,64.05,-71900.0,48,208.09375,518850.0,52.083333333333336,22.916666666666664,5,0.0,131.52142857142857
S+A,JM4_FIXED,2,5.0,0.45,28,310.98214285714283,5,101.92000000000002,960.0000000000073,33,279.3060606060606,591710.0,60.60606060606061,30.303030303030305,1,0.0,145.56363636363636
S+A,JM4_FIXED,2,5.0,0.5,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,JM4_FIXED,2,5.0,0.55,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,2,5.0,0.7,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,2,5.0,0.75,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,2,5.0,0.8,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,2,5.0,0.85,28,310.98214285714283,1,0.0,-10000.0,29,300.2586206896552,580750.0,62.06896551724138,31.03448275862069,0,0.0,160.12
S+A,ENT_FIXED,2,5.0,0.9,28,310.98214285714283,4,0.0,-40000.0,32,272.109375,550750.0,59.375,28.125,1,0.0,145.56363636363636
S+A,P2R_FIXED,2,5.5,1.25,28,310.98214285714283,44,53.55,-204380.0,72,153.6625,386370.0,40.27777777777778,16.666666666666664,11,0.0,92.38333333333334
S+A,P2R_FIXED,2,5.5,1.5,28,310.98214285714283,37,63.68108108108108,-134380.0,65,170.21076923076924,456370.0,41.53846153846154,18.461538461538463,9,0.0,96.4
S+A,P2R_FIXED,2,5.5,1.75,28,310.98214285714283,30,78.54,-64380.0,58,190.75344827586207,526370.0,44.827586206896555,20.689655172413794,5,0.0,105.58095238095238
S+A,P2R_FIXED,2,5.5,2.0,28,310.98214285714283,24,69.0375,-74310.0,52,199.3153846153846,516440.0,46.15384615384615,21.153846153846153,4,0.0,123.17777777777778
S+A,JM4_FIXED,2,5.5,0.3,28,310.98214285714283,53,44.4566037735849,-294380.0,81,136.5888888888889,296370.0,37.03703703703704,14.814814814814813,16,0.0,79.18571428571428
S+A,JM4_FIXED,2,5.5,0.35,28,310.98214285714283,41,57.46829268292683,-174380.0,69,160.34347826086957,416370.0,37.68115942028986,17.391304347826086,11,0.0,116.69473684210526
