scope,family,nparam,floor,conf,month,base_R,base_roi_pct,added_R,added_return_yen,added_profit_yen,added_roi_pct,R,return_yen,profit_yen,roi_pct
S+A,P2R_FIXED,2,4.5,1.25,2026-04,11,524.9636363636364,12,0.0,-120000.0,0.0,23,577460.0,347460.0,251.0695652173913
S+A,P2R_FIXED,2,4.5,1.25,2026-05,9,177.9111111111111,20,197220.0,-2780.0,98.61,29,357340.0,67340.0,123.22068965517241
S+A,P2R_FIXED,2,4.5,1.25,2026-06,8,166.4625,21,88550.00000000001,-121449.99999999999,42.16666666666668,29,221720.0,-68280.0,76.45517241379311
S+A,P2R_FIXED,2,4.5,1.5,2026-04,11,524.9636363636364,10,0.0,-100000.0,0.0,21,577460.0,367460.0,274.9809523809524
S+A,P2R_FIXED,2,4.5,1.5,2026-05,9,177.9111111111111,15,197220.0,47220.0,131.48,24,357340.0,117340.0,148.89166666666668
S+A,P2R_FIXED,2,4.5,1.5,2026-06,8,166.4625,19,88550.00000000001,-101449.99999999999,46.60526315789475,27,221720.0,-48280.0,82.11851851851851
S+A,P2R_FIXED,2,4.5,1.75,2026-04,11,524.9636363636364,6,0.0,-60000.0,0.0,17,577460.0,407460.0,339.6823529411765
S+A,P2R_FIXED,2,4.5,1.75,2026-05,9,177.9111111111111,13,147070.0,17070.0,113.13076923076923,22,307190.0,87190.0,139.63181818181818
S+A,P2R_FIXED,2,4.5,1.75,2026-06,8,166.4625,16,88550.00000000001,-71449.99999999999,55.343750000000014,24,221720.0,-18280.0,92.38333333333334
S+A,P2R_FIXED,2,4.5,2.0,2026-04,11,524.9636363636364,5,0.0,-50000.0,0.0,16,577460.0,417460.0,360.9125
S+A,P2R_FIXED,2,4.5,2.0,2026-05,9,177.9111111111111,11,77140.0,-32860.0,70.12727272727273,20,237260.0,37260.0,118.63
S+A,P2R_FIXED,2,4.5,2.0,2026-06,8,166.4625,13,88550.00000000001,-41449.999999999985,68.11538461538463,21,221720.0,11720.0,105.58095238095238
S+A,JM4_FIXED,2,4.5,0.3,2026-04,11,524.9636363636364,18,0.0,-180000.0,0.0,29,577460.0,287460.0,199.12413793103448
S+A,JM4_FIXED,2,4.5,0.3,2026-05,9,177.9111111111111,20,197220.0,-2780.0,98.61,29,357340.0,67340.0,123.22068965517241
S+A,JM4_FIXED,2,4.5,0.3,2026-06,8,166.4625,26,139510.00000000003,-120489.99999999997,53.65769230769232,34,272680.0,-67320.0,80.2
S+A,JM4_FIXED,2,4.5,0.35,2026-04,11,524.9636363636364,16,0.0,-160000.0,0.0,27,577460.0,307460.0,213.8740740740741
S+A,JM4_FIXED,2,4.5,0.35,2026-05,9,177.9111111111111,18,197220.0,17220.0,109.56666666666666,27,357340.0,87340.0,132.34814814814814
S+A,JM4_FIXED,2,4.5,0.35,2026-06,8,166.4625,17,139510.00000000003,-30489.99999999997,82.06470588235297,25,272680.0,22680.0,109.072
S+A,JM4_FIXED,2,4.5,0.4,2026-04,11,524.9636363636364,6,0.0,-60000.0,0.0,17,577460.0,407460.0,339.6823529411765
S+A,JM4_FIXED,2,4.5,0.4,2026-05,9,177.9111111111111,10,77140.0,-22860.0,77.14,19,237260.0,47260.0,124.87368421052632
S+A,JM4_FIXED,2,4.5,0.4,2026-06,8,166.4625,6,50960.00000000001,-9039.999999999993,84.93333333333335,14,184130.0,44130.0,131.52142857142857
S+A,JM4_FIXED,2,4.5,0.45,2026-04,11,524.9636363636364,1,0.0,-10000.0,0.0,12,577460.0,457460.0,481.21666666666664
S+A,JM4_FIXED,2,4.5,0.45,2026-05,9,177.9111111111111,2,0.0,-20000.0,0.0,11,160120.0,50120.0,145.56363636363636
S+A,JM4_FIXED,2,4.5,0.45,2026-06,8,166.4625,2,50960.00000000001,30960.000000000007,254.80000000000004,10,184130.0,84130.0,184.13
S+A,JM4_FIXED,2,4.5,0.5,2026-04,11,524.9636363636364,0,0.0,0.0,,11,577460.0,467460.0,524.9636363636364
S+A,JM4_FIXED,2,4.5,0.5,2026-05,9,177.9111111111111,0,0.0,0.0,,9,160120.0,70120.0,177.9111111111111
S+A,JM4_FIXED,2,4.5,0.5,2026-06,8,166.4625,0,0.0,0.0,,8,133170.0,53170.0,166.4625
S+A,JM4_FIXED,2,4.5,0.55,2026-04,11,524.9636363636364,0,0.0,0.0,,11,577460.0,467460.0,524.9636363636364
S+A,JM4_FIXED,2,4.5,0.55,2026-05,9,177.9111111111111,0,0.0,0.0,,9,160120.0,70120.0,177.9111111111111
S+A,JM4_FIXED,2,4.5,0.55,2026-06,8,166.4625,0,0.0,0.0,,8,133170.0,53170.0,166.4625
S+A,ENT_FIXED,2,4.5,0.7,2026-04,11,524.9636363636364,0,0.0,0.0,,11,577460.0,467460.0,524.9636363636364
S+A,ENT_FIXED,2,4.5,0.7,2026-05,9,177.9111111111111,0,0.0,0.0,,9,160120.0,70120.0,177.9111111111111
S+A,ENT_FIXED,2,4.5,0.7,2026-06,8,166.4625,0,0.0,0.0,,8,133170.0,53170.0,166.4625
S+A,ENT_FIXED,2,4.5,0.75,2026-04,11,524.9636363636364,0,0.0,0.0,,11,577460.0,467460.0,524.9636363636364
S+A,ENT_FIXED,2,4.5,0.75,2026-05,9,177.9111111111111,0,0.0,0.0,,9,160120.0,70120.0,177.9111111111111
S+A,ENT_FIXED,2,4.5,0.75,2026-06,8,166.4625,0,0.0,0.0,,8,133170.0,53170.0,166.4625
S+A,ENT_FIXED,2,4.5,0.8,2026-04,11,524.9636363636364,0,0.0,0.0,,11,577460.0,467460.0,524.9636363636364
S+A,ENT_FIXED,2,4.5,0.8,2026-05,9,177.9111111111111,0,0.0,0.0,,9,160120.0,70120.0,177.9111111111111
S+A,ENT_FIXED,2,4.5,0.8,2026-06,8,166.4625,0,0.0,0.0,,8,133170.0,53170.0,166.4625
S+A,ENT_FIXED,2,4.5,0.85,2026-04,11,524.9636363636364,0,0.0,0.0,,11,577460.0,467460.0,524.9636363636364
S+A,ENT_FIXED,2,4.5,0.85,2026-05,9,177.9111111111111,1,0.0,-10000.0,0.0,10,160120.0,60120.0,160.12
S+A,ENT_FIXED,2,4.5,0.85,2026-06,8,166.4625,0,0.0,0.0,,8,133170.0,53170.0,166.4625
S+A,ENT_FIXED,2,4.5,0.9,2026-04,11,524.9636363636364,1,0.0,-10000.0,0.0,12,577460.0,457460.0,481.21666666666664
S+A,ENT_FIXED,2,4.5,0.9,2026-05,9,177.9111111111111,2,0.0,-20000.0,0.0,11,160120.0,50120.0,145.56363636363636
S+A,ENT_FIXED,2,4.5,0.9,2026-06,8,166.4625,1,0.0,-10000.0,0.0,9,133170.0,43170.0,147.96666666666667
S+A,P2R_FIXED,2,5.0,1.25,2026-04,11,524.9636363636364,12,0.0,-120000.0,0.0,23,577460.0,347460.0,251.0695652173913
S+A,P2R_FIXED,2,5.0,1.25,2026-05,9,177.9111111111111,19,197220.0,7220.0,103.8,28,357340.0,77340.0,127.62142857142857
S+A,P2R_FIXED,2,5.0,1.25,2026-06,8,166.4625,18,88550.00000000001,-91449.99999999999,49.19444444444446,26,221720.0,-38280.0,85.27692307692308
S+A,P2R_FIXED,2,5.0,1.5,2026-04,11,524.9636363636364,10,0.0,-100000.0,0.0,21,577460.0,367460.0,274.9809523809524
S+A,P2R_FIXED,2,5.0,1.5,2026-05,9,177.9111111111111,14,197220.0,57220.0,140.87142857142857,23,357340.0,127340.0,155.36521739130436
S+A,P2R_FIXED,2,5.0,1.5,2026-06,8,166.4625,17,88550.00000000001,-81449.99999999999,52.08823529411766,25,221720.0,-28280.0,88.688
S+A,P2R_FIXED,2,5.0,1.75,2026-04,11,524.9636363636364,6,0.0,-60000.0,0.0,17,577460.0,407460.0,339.6823529411765
S+A,P2R_FIXED,2,5.0,1.75,2026-05,9,177.9111111111111,12,147070.0,27070.0,122.55833333333334,21,307190.0,97190.0,146.28095238095239
S+A,P2R_FIXED,2,5.0,1.75,2026-06,8,166.4625,14,88550.00000000001,-51449.999999999985,63.250000000000014,22,221720.0,1720.0,100.78181818181818
S+A,P2R_FIXED,2,5.0,2.0,2026-04,11,524.9636363636364,5,0.0,-50000.0,0.0,16,577460.0,417460.0,360.9125
S+A,P2R_FIXED,2,5.0,2.0,2026-05,9,177.9111111111111,10,77140.0,-22860.0,77.14,19,237260.0,47260.0,124.87368421052632
S+A,P2R_FIXED,2,5.0,2.0,2026-06,8,166.4625,11,88550.00000000001,-21449.999999999985,80.50000000000001,19,221720.0,31720.0,116.69473684210526
S+A,JM4_FIXED,2,5.0,0.3,2026-04,11,524.9636363636364,17,0.0,-170000.0,0.0,28,577460.0,297460.0,206.2357142857143
S+A,JM4_FIXED,2,5.0,0.3,2026-05,9,177.9111111111111,19,197220.0,7220.0,103.8,28,357340.0,77340.0,127.62142857142857
S+A,JM4_FIXED,2,5.0,0.3,2026-06,8,166.4625,23,139510.00000000003,-90489.99999999997,60.656521739130454,31,272680.0,-37320.0,87.96129032258065
S+A,JM4_FIXED,2,5.0,0.35,2026-04,11,524.9636363636364,15,0.0,-150000.0,0.0,26,577460.0,317460.0,222.1
S+A,JM4_FIXED,2,5.0,0.35,2026-05,9,177.9111111111111,17,197220.0,27220.0,116.01176470588236,26,357340.0,97340.0,137.43846153846152
S+A,JM4_FIXED,2,5.0,0.35,2026-06,8,166.4625,14,139510.00000000003,-489.9999999999709,99.65000000000002,22,272680.0,52680.0,123.94545454545455
S+A,JM4_FIXED,2,5.0,0.4,2026-04,11,524.9636363636364,5,0.0,-50000.0,0.0,16,577460.0,417460.0,360.9125
S+A,JM4_FIXED,2,5.0,0.4,2026-05,9,177.9111111111111,9,77140.0,-12860.0,85.71111111111111,18,237260.0,57260.0,131.8111111111111
S+A,JM4_FIXED,2,5.0,0.4,2026-06,8,166.4625,6,50960.00000000001,-9039.999999999993,84.93333333333335,14,184130.0,44130.0,131.52142857142857
S+A,JM4_FIXED,2,5.0,0.45,2026-04,11,524.9636363636364,1,0.0,-10000.0,0.0,12,577460.0,457460.0,481.21666666666664
S+A,JM4_FIXED,2,5.0,0.45,2026-05,9,177.9111111111111,2,0.0,-20000.0,0.0,11,160120.0,50120.0,145.56363636363636
S+A,JM4_FIXED,2,5.0,0.45,2026-06,8,166.4625,2,50960.00000000001,30960.000000000007,254.80000000000004,10,184130.0,84130.0,184.13
S+A,JM4_FIXED,2,5.0,0.5,2026-04,11,524.9636363636364,0,0.0,0.0,,11,577460.0,467460.0,524.9636363636364
S+A,JM4_FIXED,2,5.0,0.5,2026-05,9,177.9111111111111,0,0.0,0.0,,9,160120.0,70120.0,177.9111111111111
S+A,JM4_FIXED,2,5.0,0.5,2026-06,8,166.4625,0,0.0,0.0,,8,133170.0,53170.0,166.4625
S+A,JM4_FIXED,2,5.0,0.55,2026-04,11,524.9636363636364,0,0.0,0.0,,11,577460.0,467460.0,524.9636363636364
S+A,JM4_FIXED,2,5.0,0.55,2026-05,9,177.9111111111111,0,0.0,0.0,,9,160120.0,70120.0,177.9111111111111
S+A,JM4_FIXED,2,5.0,0.55,2026-06,8,166.4625,0,0.0,0.0,,8,133170.0,53170.0,166.4625
S+A,ENT_FIXED,2,5.0,0.7,2026-04,11,524.9636363636364,0,0.0,0.0,,11,577460.0,467460.0,524.9636363636364
S+A,ENT_FIXED,2,5.0,0.7,2026-05,9,177.9111111111111,0,0.0,0.0,,9,160120.0,70120.0,177.9111111111111
S+A,ENT_FIXED,2,5.0,0.7,2026-06,8,166.4625,0,0.0,0.0,,8,133170.0,53170.0,166.4625
S+A,ENT_FIXED,2,5.0,0.75,2026-04,11,524.9636363636364,0,0.0,0.0,,11,577460.0,467460.0,524.9636363636364
S+A,ENT_FIXED,2,5.0,0.75,2026-05,9,177.9111111111111,0,0.0,0.0,,9,160120.0,70120.0,177.9111111111111
S+A,ENT_FIXED,2,5.0,0.75,2026-06,8,166.4625,0,0.0,0.0,,8,133170.0,53170.0,166.4625
S+A,ENT_FIXED,2,5.0,0.8,2026-04,11,524.9636363636364,0,0.0,0.0,,11,577460.0,467460.0,524.9636363636364
S+A,ENT_FIXED,2,5.0,0.8,2026-05,9,177.9111111111111,0,0.0,0.0,,9,160120.0,70120.0,177.9111111111111
S+A,ENT_FIXED,2,5.0,0.8,2026-06,8,166.4625,0,0.0,0.0,,8,133170.0,53170.0,166.4625
S+A,ENT_FIXED,2,5.0,0.85,2026-04,11,524.9636363636364,0,0.0,0.0,,11,577460.0,467460.0,524.9636363636364
S+A,ENT_FIXED,2,5.0,0.85,2026-05,9,177.9111111111111,1,0.0,-10000.0,0.0,10,160120.0,60120.0,160.12
S+A,ENT_FIXED,2,5.0,0.85,2026-06,8,166.4625,0,0.0,0.0,,8,133170.0,53170.0,166.4625
S+A,ENT_FIXED,2,5.0,0.9,2026-04,11,524.9636363636364,1,0.0,-10000.0,0.0,12,577460.0,457460.0,481.21666666666664
S+A,ENT_FIXED,2,5.0,0.9,2026-05,9,177.9111111111111,2,0.0,-20000.0,0.0,11,160120.0,50120.0,145.56363636363636
S+A,ENT_FIXED,2,5.0,0.9,2026-06,8,166.4625,1,0.0,-10000.0,0.0,9,133170.0,43170.0,147.96666666666667
S+A,P2R_FIXED,2,5.5,1.25,2026-04,11,524.9636363636364,11,0.0,-110000.0,0.0,22,577460.0,357460.0,262.4818181818182
S+A,P2R_FIXED,2,5.5,1.25,2026-05,9,177.9111111111111,17,147070.0,-22930.0,86.51176470588236,26,307190.0,47190.0,118.15
S+A,P2R_FIXED,2,5.5,1.25,2026-06,8,166.4625,16,88550.00000000001,-71449.99999999999,55.343750000000014,24,221720.0,-18280.0,92.38333333333334
S+A,P2R_FIXED,2,5.5,1.5,2026-04,11,524.9636363636364,9,0.0,-90000.0,0.0,20,577460.0,377460.0,288.73
S+A,P2R_FIXED,2,5.5,1.5,2026-05,9,177.9111111111111,13,147070.0,17070.0,113.13076923076923,22,307190.0,87190.0,139.63181818181818
S+A,P2R_FIXED,2,5.5,1.5,2026-06,8,166.4625,15,88550.00000000001,-61449.999999999985,59.033333333333346,23,221720.0,-8280.0,96.4
S+A,P2R_FIXED,2,5.5,1.75,2026-04,11,524.9636363636364,5,0.0,-50000.0,0.0,16,577460.0,417460.0,360.9125
S+A,P2R_FIXED,2,5.5,1.75,2026-05,9,177.9111111111111,12,147070.0,27070.0,122.55833333333334,21,307190.0,97190.0,146.28095238095239
S+A,P2R_FIXED,2,5.5,1.75,2026-06,8,166.4625,13,88550.00000000001,-41449.999999999985,68.11538461538463,21,221720.0,11720.0,105.58095238095238
S+A,P2R_FIXED,2,5.5,2.0,2026-04,11,524.9636363636364,4,0.0,-40000.0,0.0,15,577460.0,427460.0,384.97333333333336
S+A,P2R_FIXED,2,5.5,2.0,2026-05,9,177.9111111111111,10,77140.0,-22860.0,77.14,19,237260.0,47260.0,124.87368421052632
S+A,P2R_FIXED,2,5.5,2.0,2026-06,8,166.4625,10,88550.00000000001,-11449.999999999985,88.55000000000003,18,221720.0,41720.0,123.17777777777778
S+A,JM4_FIXED,2,5.5,0.3,2026-04,11,524.9636363636364,16,0.0,-160000.0,0.0,27,577460.0,307460.0,213.8740740740741
S+A,JM4_FIXED,2,5.5,0.3,2026-05,9,177.9111111111111,17,147070.0,-22930.0,86.51176470588236,26,307190.0,47190.0,118.15
S+A,JM4_FIXED,2,5.5,0.3,2026-06,8,166.4625,20,88550.00000000001,-111449.99999999999,44.27500000000001,28,221720.0,-58280.0,79.18571428571428
S+A,JM4_FIXED,2,5.5,0.35,2026-04,11,524.9636363636364,14,0.0,-140000.0,0.0,25,577460.0,327460.0,230.984
S+A,JM4_FIXED,2,5.5,0.35,2026-05,9,177.9111111111111,16,147070.0,-12930.0,91.91875,25,307190.0,57190.0,122.876
S+A,JM4_FIXED,2,5.5,0.35,2026-06,8,166.4625,11,88550.00000000001,-21449.999999999985,80.50000000000001,19,221720.0,31720.0,116.69473684210526
S+A,JM4_FIXED,2,5.5,0.4,2026-04,11,524.9636363636364,5,0.0,-50000.0,0.0,16,577460.0,417460.0,360.9125
S+A,JM4_FIXED,2,5.5,0.4,2026-05,9,177.9111111111111,9,77140.0,-12860.0,85.71111111111111,18,237260.0,57260.0,131.8111111111111
S+A,JM4_FIXED,2,5.5,0.4,2026-06,8,166.4625,3,0.0,-30000.0,0.0,11,133170.0,23170.0,121.06363636363636
S+A,JM4_FIXED,2,5.5,0.45,2026-04,11,524.9636363636364,1,0.0,-10000.0,0.0,12,577460.0,457460.0,481.21666666666664
S+A,JM4_FIXED,2,5.5,0.45,2026-05,9,177.9111111111111,2,0.0,-20000.0,0.0,11,160120.0,50120.0,145.56363636363636
S+A,JM4_FIXED,2,5.5,0.45,2026-06,8,166.4625,0,0.0,0.0,,8,133170.0,53170.0,166.4625
S+A,JM4_FIXED,2,5.5,0.5,2026-04,11,524.9636363636364,0,0.0,0.0,,11,577460.0,467460.0,524.9636363636364
S+A,JM4_FIXED,2,5.5,0.5,2026-05,9,177.9111111111111,0,0.0,0.0,,9,160120.0,70120.0,177.9111111111111
S+A,JM4_FIXED,2,5.5,0.5,2026-06,8,166.4625,0,0.0,0.0,,8,133170.0,53170.0,166.4625
