scope,family,param,floor,R,added_R,head4_wins,hits,return_yen,profit_yen,roi_pct,base_R,base_roi_pct,rescue_roi_pct,min_month_roi_pct,min_added_per_month
S+A,FIXED,2,5.0,90,62,37,14,1207480.0,307480.0,134.16444444444446,28,310.98214285714283,54.311290322580646,87.96129032258065,19
S+A,FIXED,2,5.5,84,56,31,12,1106370.0,266370.0,131.7107142857143,28,310.98214285714283,42.075,79.18571428571428,18
S+A,FIXED,2,6.0,80,52,31,12,1106370.0,306370.0,138.29625,28,310.98214285714283,45.31153846153846,79.18571428571428,15
S+A,FIXED,2,6.5,71,43,29,12,1106370.0,396370.0,155.82676056338028,28,310.98214285714283,54.7953488372093,92.38333333333334,12
S+A,FIXED,2,7.0,68,40,28,11,1036440.0,356440.0,152.41764705882352,28,310.98214285714283,41.4225,96.4,11
S+A,FIXED,2,7.5,64,36,26,11,1036440.0,396440.0,161.94375,28,310.98214285714283,46.025,105.58095238095238,10
S+A,FIXED,2,8.0,58,30,24,10,959300.0,379300.0,165.39655172413794,28,310.98214285714283,29.516666666666673,106.74666666666667,6
S+A,FIXED,2,8.5,54,26,24,10,959300.0,419300.0,177.64814814814815,28,310.98214285714283,34.057692307692314,106.74666666666667,6
S+A,FIXED,2,9.0,49,21,22,9,870750.0,380750.0,177.70408163265307,28,310.98214285714283,0.0,83.23125,3
S+A,FIXED,2,9.5,47,19,22,9,870750.0,400750.0,185.2659574468085,28,310.98214285714283,0.0,95.12142857142857,3
S+A,FIXED,2,10.0,46,18,22,9,870750.0,410750.0,189.29347826086956,28,310.98214285714283,0.0,95.12142857142857,3
S+A,FIXED,2,10.5,44,16,22,9,870750.0,430750.0,197.89772727272728,28,310.98214285714283,0.0,102.43846153846154,3
S+A,FIXED,2,11.0,39,11,20,9,870750.0,480750.0,223.26923076923077,28,310.98214285714283,0.0,110.975,2
S+A,FIXED,2,11.5,37,9,20,9,870750.0,500750.0,235.33783783783784,28,310.98214285714283,0.0,121.06363636363636,1
S+A,FIXED,2,12.0,35,7,20,9,870750.0,520750.0,248.78571428571428,28,310.98214285714283,0.0,133.17,1
S+A,FIXED,2,12.5,33,5,19,9,870750.0,540750.0,263.8636363636364,28,310.98214285714283,0.0,133.17,0
S+A,FIXED,2,13.0,32,4,19,9,870750.0,550750.0,272.109375,28,310.98214285714283,0.0,133.17,0
S+A,FIXED,2,13.5,31,3,19,9,870750.0,560750.0,280.88709677419354,28,310.98214285714283,0.0,133.17,0
S+A,FIXED,2,14.0,30,2,19,9,870750.0,570750.0,290.25,28,310.98214285714283,0.0,133.17,0
S+A,FIXED,2,14.5,29,1,18,9,870750.0,580750.0,300.2586206896552,28,310.98214285714283,0.0,147.96666666666667,0
S+A,FIXED,2,15.0,29,1,18,9,870750.0,580750.0,300.2586206896552,28,310.98214285714283,0.0,147.96666666666667,0
S+A,FIXED,3,5.0,73,45,28,13,1112340.0,382340.0,152.37534246575342,28,310.98214285714283,53.68666666666667,107.06666666666666,14
S+A,FIXED,3,5.5,61,33,25,11,1007030.0,397030.0,165.08688524590164,28,310.98214285714283,41.2969696969697,101.2,10
S+A,FIXED,3,6.0,55,27,23,11,1007030.0,457030.0,183.09636363636363,28,310.98214285714283,50.474074074074075,112.44444444444444,6
S+A,FIXED,3,6.5,51,23,22,11,1007030.0,497030.0,197.45686274509805,28,310.98214285714283,59.25217391304348,119.05882352941177,4
S+A,FIXED,3,7.0,40,12,20,9,870750.0,470750.0,217.6875,28,310.98214285714283,0.0,102.43846153846154,1
S+A,FIXED,3,7.5,36,8,20,9,870750.0,510750.0,241.875,28,310.98214285714283,0.0,133.17,1
S+A,FIXED,3,8.0,35,7,20,9,870750.0,520750.0,248.78571428571428,28,310.98214285714283,0.0,133.17,1
S+A,FIXED,3,8.5,32,4,19,9,870750.0,550750.0,272.109375,28,310.98214285714283,0.0,133.17,0
S+A,FIXED,3,9.0,30,2,18,9,870750.0,570750.0,290.25,28,310.98214285714283,0.0,147.96666666666667,0
S+A,FIXED,3,9.5,30,2,18,9,870750.0,570750.0,290.25,28,310.98214285714283,0.0,147.96666666666667,0
S+A,FIXED,3,10.0,29,1,18,9,870750.0,580750.0,300.2586206896552,28,310.98214285714283,0.0,166.4625,0
S+A,FIXED,3,10.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,3,11.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,3,11.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,3,12.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,3,12.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
