scope,family,param,floor,month,R,return_yen,profit_yen,roi_pct,base_R,base_return_yen,base_roi_pct,added_R,added_return_yen,added_profit_yen,added_roi_pct
S+A,FIXED,2,5.0,2026-04,30,577460.0,277460.0,192.48666666666668,11,577460.0,524.9636363636364,19,0.0,-190000.0,0.0
S+A,FIXED,2,5.0,2026-05,29,357340.0,67340.0,123.22068965517241,9,160120.0,177.9111111111111,20,197220.0,-2780.0,98.61
S+A,FIXED,2,5.0,2026-06,31,272680.0,-37320.0,87.96129032258065,8,133170.0,166.4625,23,139510.00000000003,-90489.99999999997,60.656521739130454
S+A,FIXED,2,5.5,2026-04,29,577460.0,287460.0,199.12413793103448,11,577460.0,524.9636363636364,18,0.0,-180000.0,0.0
S+A,FIXED,2,5.5,2026-05,27,307190.0,37190.0,113.77407407407408,9,160120.0,177.9111111111111,18,147070.0,-32930.0,81.70555555555555
S+A,FIXED,2,5.5,2026-06,28,221720.0,-58280.0,79.18571428571428,8,133170.0,166.4625,20,88550.00000000001,-111449.99999999999,44.27500000000001
S+A,FIXED,2,6.0,2026-04,28,577460.0,297460.0,206.2357142857143,11,577460.0,524.9636363636364,17,0.0,-170000.0,0.0
S+A,FIXED,2,6.0,2026-05,24,307190.0,67190.0,127.99583333333334,9,160120.0,177.9111111111111,15,147070.0,-2930.0,98.04666666666667
S+A,FIXED,2,6.0,2026-06,28,221720.0,-58280.0,79.18571428571428,8,133170.0,166.4625,20,88550.00000000001,-111449.99999999999,44.27500000000001
S+A,FIXED,2,6.5,2026-04,26,577460.0,317460.0,222.1,11,577460.0,524.9636363636364,15,0.0,-150000.0,0.0
S+A,FIXED,2,6.5,2026-05,21,307190.0,97190.0,146.28095238095239,9,160120.0,177.9111111111111,12,147070.0,27070.0,122.55833333333334
S+A,FIXED,2,6.5,2026-06,24,221720.0,-18280.0,92.38333333333334,8,133170.0,166.4625,16,88550.00000000001,-71449.99999999999,55.343750000000014
S+A,FIXED,2,7.0,2026-04,25,577460.0,327460.0,230.984,11,577460.0,524.9636363636364,14,0.0,-140000.0,0.0
S+A,FIXED,2,7.0,2026-05,20,237260.0,37260.0,118.63,9,160120.0,177.9111111111111,11,77140.0,-32860.0,70.12727272727273
S+A,FIXED,2,7.0,2026-06,23,221720.0,-8280.0,96.4,8,133170.0,166.4625,15,88550.00000000001,-61449.999999999985,59.033333333333346
S+A,FIXED,2,7.5,2026-04,24,577460.0,337460.0,240.60833333333332,11,577460.0,524.9636363636364,13,0.0,-130000.0,0.0
S+A,FIXED,2,7.5,2026-05,19,237260.0,47260.0,124.87368421052632,9,160120.0,177.9111111111111,10,77140.0,-22860.0,77.14
S+A,FIXED,2,7.5,2026-06,21,221720.0,11720.0,105.58095238095238,8,133170.0,166.4625,13,88550.00000000001,-41449.999999999985,68.11538461538463
S+A,FIXED,2,8.0,2026-04,23,577460.0,347460.0,251.0695652173913,11,577460.0,524.9636363636364,12,0.0,-120000.0,0.0
S+A,FIXED,2,8.0,2026-05,15,160120.0,10120.0,106.74666666666667,9,160120.0,177.9111111111111,6,0.0,-60000.0,0.0
S+A,FIXED,2,8.0,2026-06,20,221720.0,21720.0,110.86,8,133170.0,166.4625,12,88550.00000000001,-31449.999999999985,73.79166666666669
S+A,FIXED,2,8.5,2026-04,22,577460.0,357460.0,262.4818181818182,11,577460.0,524.9636363636364,11,0.0,-110000.0,0.0
S+A,FIXED,2,8.5,2026-05,15,160120.0,10120.0,106.74666666666667,9,160120.0,177.9111111111111,6,0.0,-60000.0,0.0
S+A,FIXED,2,8.5,2026-06,17,221720.0,51720.0,130.42352941176472,8,133170.0,166.4625,9,88550.00000000001,-1449.9999999999854,98.38888888888891
S+A,FIXED,2,9.0,2026-04,21,577460.0,367460.0,274.9809523809524,11,577460.0,524.9636363636364,10,0.0,-100000.0,0.0
S+A,FIXED,2,9.0,2026-05,12,160120.0,40120.0,133.43333333333334,9,160120.0,177.9111111111111,3,0.0,-30000.0,0.0
S+A,FIXED,2,9.0,2026-06,16,133170.0,-26830.0,83.23125,8,133170.0,166.4625,8,0.0,-80000.0,0.0
S+A,FIXED,2,9.5,2026-04,21,577460.0,367460.0,274.9809523809524,11,577460.0,524.9636363636364,10,0.0,-100000.0,0.0
S+A,FIXED,2,9.5,2026-05,12,160120.0,40120.0,133.43333333333334,9,160120.0,177.9111111111111,3,0.0,-30000.0,0.0
S+A,FIXED,2,9.5,2026-06,14,133170.0,-6830.0,95.12142857142857,8,133170.0,166.4625,6,0.0,-60000.0,0.0
S+A,FIXED,2,10.0,2026-04,20,577460.0,377460.0,288.73,11,577460.0,524.9636363636364,9,0.0,-90000.0,0.0
S+A,FIXED,2,10.0,2026-05,12,160120.0,40120.0,133.43333333333334,9,160120.0,177.9111111111111,3,0.0,-30000.0,0.0
S+A,FIXED,2,10.0,2026-06,14,133170.0,-6830.0,95.12142857142857,8,133170.0,166.4625,6,0.0,-60000.0,0.0
S+A,FIXED,2,10.5,2026-04,19,577460.0,387460.0,303.9263157894737,11,577460.0,524.9636363636364,8,0.0,-80000.0,0.0
S+A,FIXED,2,10.5,2026-05,12,160120.0,40120.0,133.43333333333334,9,160120.0,177.9111111111111,3,0.0,-30000.0,0.0
S+A,FIXED,2,10.5,2026-06,13,133170.0,3170.0,102.43846153846154,8,133170.0,166.4625,5,0.0,-50000.0,0.0
S+A,FIXED,2,11.0,2026-04,16,577460.0,417460.0,360.9125,11,577460.0,524.9636363636364,5,0.0,-50000.0,0.0
S+A,FIXED,2,11.0,2026-05,11,160120.0,50120.0,145.56363636363636,9,160120.0,177.9111111111111,2,0.0,-20000.0,0.0
S+A,FIXED,2,11.0,2026-06,12,133170.0,13170.0,110.975,8,133170.0,166.4625,4,0.0,-40000.0,0.0
S+A,FIXED,2,11.5,2026-04,16,577460.0,417460.0,360.9125,11,577460.0,524.9636363636364,5,0.0,-50000.0,0.0
S+A,FIXED,2,11.5,2026-05,10,160120.0,60120.0,160.12,9,160120.0,177.9111111111111,1,0.0,-10000.0,0.0
S+A,FIXED,2,11.5,2026-06,11,133170.0,23170.0,121.06363636363636,8,133170.0,166.4625,3,0.0,-30000.0,0.0
S+A,FIXED,2,12.0,2026-04,15,577460.0,427460.0,384.97333333333336,11,577460.0,524.9636363636364,4,0.0,-40000.0,0.0
S+A,FIXED,2,12.0,2026-05,10,160120.0,60120.0,160.12,9,160120.0,177.9111111111111,1,0.0,-10000.0,0.0
S+A,FIXED,2,12.0,2026-06,10,133170.0,33170.0,133.17,8,133170.0,166.4625,2,0.0,-20000.0,0.0
S+A,FIXED,2,12.5,2026-04,14,577460.0,437460.0,412.4714285714286,11,577460.0,524.9636363636364,3,0.0,-30000.0,0.0
S+A,FIXED,2,12.5,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,2,12.5,2026-06,10,133170.0,33170.0,133.17,8,133170.0,166.4625,2,0.0,-20000.0,0.0
S+A,FIXED,2,13.0,2026-04,13,577460.0,447460.0,444.2,11,577460.0,524.9636363636364,2,0.0,-20000.0,0.0
S+A,FIXED,2,13.0,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,2,13.0,2026-06,10,133170.0,33170.0,133.17,8,133170.0,166.4625,2,0.0,-20000.0,0.0
S+A,FIXED,2,13.5,2026-04,12,577460.0,457460.0,481.21666666666664,11,577460.0,524.9636363636364,1,0.0,-10000.0,0.0
S+A,FIXED,2,13.5,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,2,13.5,2026-06,10,133170.0,33170.0,133.17,8,133170.0,166.4625,2,0.0,-20000.0,0.0
S+A,FIXED,2,14.0,2026-04,11,577460.0,467460.0,524.9636363636364,11,577460.0,524.9636363636364,0,0.0,0.0,
S+A,FIXED,2,14.0,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,2,14.0,2026-06,10,133170.0,33170.0,133.17,8,133170.0,166.4625,2,0.0,-20000.0,0.0
S+A,FIXED,2,14.5,2026-04,11,577460.0,467460.0,524.9636363636364,11,577460.0,524.9636363636364,0,0.0,0.0,
S+A,FIXED,2,14.5,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,2,14.5,2026-06,9,133170.0,43170.0,147.96666666666667,8,133170.0,166.4625,1,0.0,-10000.0,0.0
S+A,FIXED,2,15.0,2026-04,11,577460.0,467460.0,524.9636363636364,11,577460.0,524.9636363636364,0,0.0,0.0,
S+A,FIXED,2,15.0,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,2,15.0,2026-06,9,133170.0,43170.0,147.96666666666667,8,133170.0,166.4625,1,0.0,-10000.0,0.0
S+A,FIXED,3,5.0,2026-04,25,577460.0,327460.0,230.984,11,577460.0,524.9636363636364,14,0.0,-140000.0,0.0
S+A,FIXED,3,5.0,2026-05,24,277920.0,37920.0,115.8,9,160120.0,177.9111111111111,15,117800.0,-32200.0,78.53333333333333
S+A,FIXED,3,5.0,2026-06,24,256960.0,16960.0,107.06666666666666,8,133170.0,166.4625,16,123790.0,-36210.0,77.36875
S+A,FIXED,3,5.5,2026-04,22,577460.0,357460.0,262.4818181818182,11,577460.0,524.9636363636364,11,0.0,-110000.0,0.0
S+A,FIXED,3,5.5,2026-05,19,227170.0,37170.0,119.56315789473685,9,160120.0,177.9111111111111,10,67050.0,-32950.0,67.05
S+A,FIXED,3,5.5,2026-06,20,202400.0,2400.0,101.2,8,133170.0,166.4625,12,69230.0,-50770.0,57.69166666666667
S+A,FIXED,3,6.0,2026-04,22,577460.0,357460.0,262.4818181818182,11,577460.0,524.9636363636364,11,0.0,-110000.0,0.0
S+A,FIXED,3,6.0,2026-05,15,227170.0,77170.0,151.44666666666666,9,160120.0,177.9111111111111,6,67050.0,7050.0,111.75
S+A,FIXED,3,6.0,2026-06,18,202400.0,22400.0,112.44444444444444,8,133170.0,166.4625,10,69230.0,-30770.0,69.23
S+A,FIXED,3,6.5,2026-04,21,577460.0,367460.0,274.9809523809524,11,577460.0,524.9636363636364,10,0.0,-100000.0,0.0
S+A,FIXED,3,6.5,2026-05,13,227170.0,97170.0,174.74615384615385,9,160120.0,177.9111111111111,4,67050.0,27050.0,167.625
S+A,FIXED,3,6.5,2026-06,17,202400.0,32400.0,119.05882352941177,8,133170.0,166.4625,9,69230.0,-20770.0,76.92222222222222
S+A,FIXED,3,7.0,2026-04,17,577460.0,407460.0,339.6823529411765,11,577460.0,524.9636363636364,6,0.0,-60000.0,0.0
S+A,FIXED,3,7.0,2026-05,10,160120.0,60120.0,160.12,9,160120.0,177.9111111111111,1,0.0,-10000.0,0.0
S+A,FIXED,3,7.0,2026-06,13,133170.0,3170.0,102.43846153846154,8,133170.0,166.4625,5,0.0,-50000.0,0.0
S+A,FIXED,3,7.5,2026-04,16,577460.0,417460.0,360.9125,11,577460.0,524.9636363636364,5,0.0,-50000.0,0.0
S+A,FIXED,3,7.5,2026-05,10,160120.0,60120.0,160.12,9,160120.0,177.9111111111111,1,0.0,-10000.0,0.0
S+A,FIXED,3,7.5,2026-06,10,133170.0,33170.0,133.17,8,133170.0,166.4625,2,0.0,-20000.0,0.0
S+A,FIXED,3,8.0,2026-04,15,577460.0,427460.0,384.97333333333336,11,577460.0,524.9636363636364,4,0.0,-40000.0,0.0
S+A,FIXED,3,8.0,2026-05,10,160120.0,60120.0,160.12,9,160120.0,177.9111111111111,1,0.0,-10000.0,0.0
S+A,FIXED,3,8.0,2026-06,10,133170.0,33170.0,133.17,8,133170.0,166.4625,2,0.0,-20000.0,0.0
S+A,FIXED,3,8.5,2026-04,13,577460.0,447460.0,444.2,11,577460.0,524.9636363636364,2,0.0,-20000.0,0.0
S+A,FIXED,3,8.5,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,3,8.5,2026-06,10,133170.0,33170.0,133.17,8,133170.0,166.4625,2,0.0,-20000.0,0.0
S+A,FIXED,3,9.0,2026-04,12,577460.0,457460.0,481.21666666666664,11,577460.0,524.9636363636364,1,0.0,-10000.0,0.0
S+A,FIXED,3,9.0,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,3,9.0,2026-06,9,133170.0,43170.0,147.96666666666667,8,133170.0,166.4625,1,0.0,-10000.0,0.0
S+A,FIXED,3,9.5,2026-04,12,577460.0,457460.0,481.21666666666664,11,577460.0,524.9636363636364,1,0.0,-10000.0,0.0
S+A,FIXED,3,9.5,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,3,9.5,2026-06,9,133170.0,43170.0,147.96666666666667,8,133170.0,166.4625,1,0.0,-10000.0,0.0
S+A,FIXED,3,10.0,2026-04,12,577460.0,457460.0,481.21666666666664,11,577460.0,524.9636363636364,1,0.0,-10000.0,0.0
S+A,FIXED,3,10.0,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,3,10.0,2026-06,8,133170.0,53170.0,166.4625,8,133170.0,166.4625,0,0.0,0.0,
S+A,FIXED,3,10.5,2026-04,11,577460.0,467460.0,524.9636363636364,11,577460.0,524.9636363636364,0,0.0,0.0,
S+A,FIXED,3,10.5,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,3,10.5,2026-06,8,133170.0,53170.0,166.4625,8,133170.0,166.4625,0,0.0,0.0,
S+A,FIXED,3,11.0,2026-04,11,577460.0,467460.0,524.9636363636364,11,577460.0,524.9636363636364,0,0.0,0.0,
S+A,FIXED,3,11.0,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,3,11.0,2026-06,8,133170.0,53170.0,166.4625,8,133170.0,166.4625,0,0.0,0.0,
S+A,FIXED,3,11.5,2026-04,11,577460.0,467460.0,524.9636363636364,11,577460.0,524.9636363636364,0,0.0,0.0,
S+A,FIXED,3,11.5,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,3,11.5,2026-06,8,133170.0,53170.0,166.4625,8,133170.0,166.4625,0,0.0,0.0,
S+A,FIXED,3,12.0,2026-04,11,577460.0,467460.0,524.9636363636364,11,577460.0,524.9636363636364,0,0.0,0.0,
S+A,FIXED,3,12.0,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,3,12.0,2026-06,8,133170.0,53170.0,166.4625,8,133170.0,166.4625,0,0.0,0.0,
S+A,FIXED,3,12.5,2026-04,11,577460.0,467460.0,524.9636363636364,11,577460.0,524.9636363636364,0,0.0,0.0,
