grade,group,value_lambda,tickets_n,races,role_hit_rate_pct,hybrid_hit_rate_pct,hit_diff_pt,role_comp_rate_pct,hybrid_comp_rate_pct,comp_reduction_pt,role_roi_pct,hybrid_roi_pct,odds_races
A,3HEAD,0.05,1,227,9.251101321585903,9.251101321585903,0.0,9.050073399936286,9.050073399936286,0.0,132.4229074889868,132.4229074889868,218
A,3HEAD,0.05,2,227,10.13215859030837,10.13215859030837,0.0,15.920625262096577,15.920625262096577,0.0,72.79735682819383,72.79735682819383,218
A,3HEAD,0.05,3,227,13.215859030837004,13.215859030837004,0.0,22.240502623767657,22.240502623767657,0.0,65.1395007342144,65.1395007342144,218
A,3HEAD,0.05,4,227,14.09691629955947,14.09691629955947,0.0,29.096674638904435,29.096674638904435,0.0,51.4647577092511,51.4647577092511,218
A,3HEAD,0.05,5,227,18.061674008810574,18.061674008810574,0.0,34.256983054865366,34.256983054865366,0.0,67.3215859030837,67.3215859030837,218
A,3HEAD,0.05,6,227,18.94273127753304,18.94273127753304,0.0,39.052443095891284,39.052443095891284,0.0,60.19089574155653,60.19089574155653,218
A,3HEAD,0.05,7,227,21.58590308370044,21.58590308370044,0.0,42.79462105318176,42.79462105318176,0.0,65.16677155443675,65.16677155443675,218
A,3HEAD,0.05,8,227,24.669603524229075,24.669603524229075,0.0,47.117717666693046,47.102062764729006,0.015654901964040846,69.38876651982379,69.38876651982379,218
A,3HEAD,0.05,9,227,26.431718061674008,26.431718061674008,0.0,51.267527468613835,51.267527468613835,0.0,73.70533529123837,73.70533529123837,218
A,3HEAD,0.05,10,227,26.87224669603524,26.87224669603524,0.0,56.587880840232835,56.587880840232835,0.0,68.79295154185021,68.79295154185021,218
A,3HEAD,0.05,11,227,28.19383259911894,28.19383259911894,0.0,60.53283833169339,60.53283833169339,0.0,65.71085302362836,65.71085302362836,218
A,3HEAD,0.05,12,227,29.955947136563875,29.955947136563875,0.0,63.62602256537594,63.62602256537594,0.0,67.7863436123348,67.7863436123348,218
A,3HEAD,0.05,13,227,31.277533039647576,31.277533039647576,0.0,66.8551288062411,66.8551288062411,0.0,68.87495764147747,68.87495764147747,218
A,3HEAD,0.05,14,227,33.03964757709251,33.03964757709251,0.0,69.38698535361877,69.38698535361877,0.0,71.48521082441788,71.48521082441788,218
A,3HEAD,0.05,15,227,33.480176211453745,33.480176211453745,0.0,72.15427824961309,72.15427824961309,0.0,67.30690161527166,67.30690161527166,218
A,3HEAD,0.05,16,227,35.242290748898675,35.242290748898675,0.0,75.64598314317445,75.64598314317445,0.0,69.25660792951543,69.25660792951543,218
A,3HEAD,0.05,17,227,36.12334801762115,36.12334801762115,0.0,78.05046092386984,78.05046092386984,0.0,67.06918890904379,67.06918890904379,218
A,3HEAD,0.05,18,227,37.88546255506608,37.88546255506608,0.0,81.26583605620024,81.26583605620024,0.0,72.14635340186001,72.14635340186001,218
A,3HEAD,0.05,19,227,38.76651982378855,38.76651982378855,0.0,84.12347356972302,84.12347356972302,0.0,68.9125898446557,68.9125898446557,218
A,3HEAD,0.05,20,227,39.20704845814978,39.20704845814978,0.0,87.50714818215411,87.50714818215411,0.0,75.75770925110132,75.75770925110132,218
A,4C,0.15,1,198,5.555555555555555,6.565656565656566,1.0101010101010104,6.983555198575669,5.971724412838532,1.0118307857371365,77.27272727272727,82.07070707070707,193
A,4C,0.15,2,198,8.080808080808081,7.575757575757576,-0.5050505050505052,15.262822167813033,13.12683867684188,2.135983490971153,58.888888888888886,54.44444444444444,193
A,4C,0.15,3,198,11.11111111111111,11.11111111111111,0.0,20.54817542579612,19.84117094220459,0.707004483591529,57.96296296296296,60.47138047138047,193
A,4C,0.15,4,198,14.141414141414142,13.636363636363637,-0.5050505050505052,26.11151588956693,25.074026742142166,1.0374891474247647,61.28787878787879,67.18434343434343,193
A,4C,0.15,5,198,15.656565656565656,14.141414141414142,-1.5151515151515138,31.845306692319884,30.2175148125018,1.6277918798180835,65.98989898989899,57.656565656565654,193
