grade,tickets,value_lambda,races,odds_races,odds_coverage_pct,base_hit_pct,value_hit_pct,hit_diff_pt,base_comp_pct,value_comp_pct,comp_reduction_pt,base_gap_pt,value_gap_pt,base_roi_pct,value_roi_pct
A,4,0.05,5229,5080,97.15050678906101,34.27041499330656,34.27041499330656,0.0,55.31030984011893,55.27229631284538,0.03801352727355578,-20.507160233819718,-20.469146706546162,80.05593803786574,80.05593803786574
A,6,0.05,5229,5074,97.03576209600305,44.67393383056034,44.67393383056034,0.0,73.20156545376994,73.20156545376994,0.0,-27.793603293738414,-27.793603293738414,79.95665200484477,79.95665200484477
A,7,0.05,5229,5070,96.95926563396443,48.976859820233315,48.976859820233315,0.0,80.23563964267095,80.23563964267095,0.0,-30.531497630836625,-30.531497630836625,81.1952572193536,81.1952572193536
A,8,0.05,5229,5068,96.92101740294511,52.514821189519985,52.514821189519985,0.0,86.4832368764856,86.44628750835234,0.036949368133264215,-33.16831974941378,-33.13137038128052,80.03298909925417,80.03298909925417
A,10,0.05,5229,5064,96.84452094090648,58.44329699751386,58.44329699751386,0.0,97.61039386363444,97.61039386363444,0.0,-38.32919323172291,-38.32919323172291,79.04742780646396,79.04742780646396
S,4,0.05,3308,3212,97.09794437726723,35.489721886336156,35.489721886336156,0.0,55.86535560218039,55.84568159824541,0.019674003934973427,-19.906451492591344,-19.88677748865637,79.19513301088271,79.19513301088271
S,6,0.05,3308,3208,96.9770253929867,46.5235792019347,46.5235792019347,0.0,74.12580017687448,74.12580017687448,0.0,-26.90011439133832,-26.90011439133832,78.86235388956067,78.86235388956067
S,7,0.05,3308,3205,96.8863361547763,50.96735187424426,50.96735187424426,0.0,81.46005567943068,81.46005567943068,0.0,-29.821990156809775,-29.821990156809775,80.14207980652962,80.14207980652962
S,8,0.05,3308,3203,96.82587666263603,54.53446191051995,54.53446191051995,0.0,87.87709343443345,87.83972389445483,0.03736953997861292,-32.6164003342149,-32.57903079423629,78.72694981862152,78.72694981862152
S,10,0.05,3308,3199,96.7049576783555,61.27569528415961,61.27569528415961,0.0,99.26410557499482,99.26410557499482,0.0,-37.244724518414635,-37.244724518414635,79.70223700120918,79.70223700120918
