phase,method,grade,ev_threshold,odds_races,bet_races,bet_race_pct,tickets,avg_tickets_bet,hits,hit_rate_bet_pct,roi_pct,avg_selected_model_ev,fixed7_hits,fixed7_hit_pct,fixed7_roi_pct,point_hist,selected
DEV,PLATT,A,1.0,725,722,99.58620689655173,5862,8.119113573407203,194,26.869806094182824,83.0058000682361,1.5306895665051867,349,48.13793103448276,78.54384236453203,0:3;1:6;2:17;3:28;4:49;5:58;6:77;7:86;8:97;9:66;10:64;11:56;12:43;13:37;14:18;15:12;16:4;17:3;18:1,0
DEV,PLATT,A,1.05,725,720,99.3103448275862,5341,7.418055555555555,166,23.055555555555557,78.95899644261374,1.5800190746679472,349,48.13793103448276,78.54384236453203,0:5;1:14;2:30;3:41;4:53;5:69;6:82;7:94;8:85;9:61;10:61;11:48;12:31;13:29;14:15;15:3;16:2;17:2,0
DEV,PLATT,A,1.1,725,718,99.03448275862068,4857,6.764623955431754,145,20.194986072423397,79.62734198064649,1.630435091525145,349,48.13793103448276,78.54384236453203,0:7;1:23;2:40;3:52;4:68;5:89;6:74;7:95;8:69;9:69;10:48;11:31;12:25;13:22;14:8;15:2;16:1;17:2,0
DEV,PLATT,A,1.15,725,709,97.79310344827586,4377,6.173483779971791,125,17.63046544428773,77.28352753027188,1.6858455801563939,349,48.13793103448276,78.54384236453203,0:16;1:35;2:53;3:61;4:79;5:86;6:81;7:78;8:79;9:62;10:29;11:25;12:22;13:14;14:3;15:1;17:1,0
DEV,PLATT,A,1.2,725,698,96.27586206896552,3981,5.703438395415473,115,16.4756446991404,77.46546093946245,1.7366635206874956,349,48.13793103448276,78.54384236453203,0:27;1:46;2:62;3:69;4:96;5:76;6:88;7:66;8:72;9:48;10:26;11:24;12:15;13:5;14:3;15:1;16:1,0
DEV,PLATT,A,1.25,725,689,95.03448275862068,3607,5.235123367198839,100,14.513788098693759,75.64180759634046,1.7897774618117104,349,48.13793103448276,78.54384236453203,0:36;1:63;2:67;3:86;4:97;5:78;6:79;7:65;8:61;9:35;10:21;11:21;12:10;13:3;14:3,0
DEV,PLATT,A,1.3,725,671,92.55172413793103,3270,4.873323397913562,81,12.071535022354695,65.53516819571865,1.8429374818603008,349,48.13793103448276,78.54384236453203,0:54;1:66;2:77;3:89;4:104;5:78;6:78;7:65;8:44;9:32;10:19;11:9;12:5;13:5,0
DEV,PLATT,A,1.4,725,640,88.27586206896552,2700,4.21875,61,9.53125,60.68888888888889,1.9472617927591536,349,48.13793103448276,78.54384236453203,0:85;1:81;2:111;3:98;4:84;5:79;6:71;7:46;8:38;9:14;10:10;11:3;12:4;13:1,0
DEV,PLATT,A,1.5,725,601,82.89655172413794,2229,3.708818635607321,49,8.153078202995008,62.48541947061462,2.0528856216514755,349,48.13793103448276,78.54384236453203,0:124;1:106;2:115;3:98;4:84;5:67;6:60;7:37;8:16;9:7;10:6;11:2;12:3,0
DEV,PLATT,A,1.75,725,479,66.06896551724138,1380,2.8810020876826723,29,6.054279749478079,73.1376811594203,2.3212475861243917,349,48.13793103448276,78.54384236453203,0:246;1:121;2:134;3:82;4:57;5:38;6:25;7:9;8:6;9:4;10:3,0
DEV,PLATT,A,2.0,725,360,49.6551724137931,869,2.4138888888888888,18,5.0,84.45339470655927,2.58817166682925,349,48.13793103448276,78.54384236453203,0:365;1:134;2:93;3:54;4:43;5:20;6:6;7:4;8:3;9:3,0
DEV,PLATT,S,1.0,449,447,99.55456570155901,3424,7.659955257270694,126,28.187919463087248,93.61273364485982,1.5441596362042522,224,49.88864142538976,81.94082087177856,0:2;1:2;2:13;3:23;4:29;5:42;6:50;7:61;8:55;9:50;10:48;11:28;12:20;13:15;14:6;15:3;16:2,0
DEV,PLATT,S,1.05,449,446,99.33184855233853,3118,6.99103139013453,109,24.43946188340807,92.99230275817833,1.5949548740730994,224,49.88864142538976,81.94082087177856,0:3;1:9;2:18;3:25;4:41;5:52;6:54;7:57;8:60;9:42;10:37;11:21;12:12;13:9;14:6;15:1;16:2,0
DEV,PLATT,S,1.1,449,443,98.66369710467706,2826,6.3792325056433405,93,20.993227990970656,90.60155697098372,1.6487049152040425,224,49.88864142538976,81.94082087177856,0:6;1:13;2:25;3:34;4:51;5:58;6:54;7:57;8:47;9:43;10:27;11:13;12:10;13:8;14:2;16:1,0
DEV,PLATT,S,1.15,449,440,97.99554565701558,2575,5.8522727272727275,78,17.727272727272727,88.30291262135923,1.6997941785162662,224,49.88864142538976,81.94082087177856,0:9;1:23;2:31;3:43;4:52;5:67;6:47;7:51;8:45;9:36;10:20;11:12;12:7;13:5;14:1,0
DEV,PLATT,S,1.2,449,437,97.32739420935413,2346,5.368421052631579,66,15.102974828375286,77.28047740835464,1.751101519407229,224,49.88864142538976,81.94082087177856,0:12;1:35;2:38;3:43;4:60;5:59;6:58;7:44;8:44;9:28;10:12;11:6;12:6;13:3;14:1,0
DEV,PLATT,S,1.25,449,429,95.5456570155902,2119,4.9393939393939394,58,13.51981351981352,70.63237376120811,1.8075634633918118,224,49.88864142538976,81.94082087177856,0:20;1:42;2:37;3:61;4:61;5:52;6:64;7:38;8:37;9:18;10:9;11:5;12:2;13:3,0
DEV,PLATT,S,1.3,449,414,92.20489977728285,1913,4.620772946859903,50,12.077294685990339,69.15316257187663,1.8651218515308083,224,49.88864142538976,81.94082087177856,0:35;1:35;2:61;3:58;4:67;5:54;6:45;7:35;8:29;9:17;10:7;11:1;12:2;13:3,0
DEV,PLATT,S,1.4,449,393,87.52783964365256,1592,4.0508905852417305,37,9.414758269720101,66.821608040201,1.9692250013314212,224,49.88864142538976,81.94082087177856,0:56;1:50;2:71;3:63;4:57;5:50;6:45;7:26;8:16;9:6;10:3;11:3;12:3,0
DEV,PLATT,S,1.5,449,371,82.62806236080178,1323,3.5660377358490565,30,8.086253369272237,72.24489795918367,2.075597881689166,224,49.88864142538976,81.94082087177856,0:78;1:65;2:72;3:71;4:58;5:37;6:33;7:18;8:7;9:3;10:3;11:1;12:3,0
DEV,PLATT,S,1.75,449,286,63.69710467706013,816,2.8531468531468533,20,6.993006993006993,95.625,2.36464836932488,224,49.88864142538976,81.94082087177856,0:163;1:73;2:83;3:45;4:38;5:18;6:17;7:5;8:1;9:5;10:1,0
DEV,PLATT,S,2.0,449,220,48.99777282850779,529,2.4045454545454548,12,5.454545454545454,111.1531190926276,2.633087155051852,224,49.88864142538976,81.94082087177856,0:229;1:82;2:57;3:38;4:22;5:10;6:4;7:2;8:2;9:3,0
DEV,ISOTONIC,A,1.0,725,720,99.3103448275862,5904,8.2,192,26.666666666666668,82.91327913279133,1.5500205810072827,349,48.13793103448276,78.54384236453203,0:5;1:6;2:16;3:28;4:37;5:69;6:67;7:92;8:82;9:79;10:68;11:55;12:46;13:37;14:20;15:14;16:1;17:2;18:1,0
DEV,ISOTONIC,A,1.05,725,717,98.89655172413794,5442,7.589958158995816,171,23.84937238493724,81.4590224182286,1.5947005557117662,349,48.13793103448276,78.54384236453203,0:8;1:13;2:19;3:40;4:57;5:64;6:82;7:86;8:85;9:67;10:67;11:53;12:33;13:27;14:16;15:6;16:2,0
DEV,ISOTONIC,A,1.1,725,714,98.48275862068965,4972,6.96358543417367,153,21.428571428571427,81.4320193081255,1.6437997992929378,349,48.13793103448276,78.54384236453203,0:11;1:15;2:35;3:55;4:56;5:78;6:91;7:87;8:73;9:74;10:51;11:43;12:24;13:20;14:9;15:2;16:1,0
DEV,ISOTONIC,A,1.15,725,708,97.65517241379311,4533,6.4025423728813555,132,18.64406779661017,81.00595632031767,1.6940718702263962,349,48.13793103448276,78.54384236453203,0:17;1:25;2:47;3:62;4:62;5:95;6:87;7:75;8:85;9:55;10:45;11:31;12:25;13:8;14:3;15:2;16:1,0
DEV,ISOTONIC,A,1.2,725,700,96.55172413793103,4129,5.898571428571429,118,16.857142857142858,80.20828287720998,1.74499143625671,349,48.13793103448276,78.54384236453203,0:25;1:39;2:54;3:72;4:77;5:98;6:81;7:67;8:75;9:43;10:50;11:23;12:9;13:6;14:3;15:3,0
DEV,ISOTONIC,A,1.25,725,689,95.03448275862068,3745,5.435413642960813,104,15.09433962264151,78.39519359145527,1.798374376876583,349,48.13793103448276,78.54384236453203,0:36;1:46;2:75;3:76;4:94;5:87;6:72;7:67;8:66;9:36;10:43;11:10;12:8;13:6;14:2;15:1,0
DEV,ISOTONIC,A,1.3,725,671,92.55172413793103,3383,5.041728763040238,95,14.157973174366617,81.22376588826485,1.8543253550276,349,48.13793103448276,78.54384236453203,0:54;1:59;2:81;3:83;4:98;5:84;6:67;7:66;8:50;9:35;10:26;11:11;12:6;13:2;14:2;15:1,0
DEV,ISOTONIC,A,1.4,725,646,89.10344827586206,2816,4.359133126934984,65,10.061919504643964,71.1612215909091,1.956405333891557,349,48.13793103448276,78.54384236453203,0:79;1:83;2:96;3:109;4:86;5:63;6:74;7:55;8:39;9:21;10:6;11:8;12:4;14:1;15:1,0
DEV,ISOTONIC,A,1.5,725,607,83.72413793103448,2326,3.8319604612850084,48,7.907742998352553,65.71797076526225,2.0630658856727564,349,48.13793103448276,78.54384236453203,0:118;1:98;2:116;3:107;4:80;5:61;6:64;7:32;8:24;9:12;10:5;11:4;12:4,0
DEV,ISOTONIC,A,1.75,725,487,67.17241379310344,1418,2.9117043121149897,29,5.95482546201232,70.90267983074753,2.346458354038845,349,48.13793103448276,78.54384236453203,0:238;1:137;2:116;3:88;4:60;5:36;6:21;7:12;8:6;9:4;10:6;11:1,0
DEV,ISOTONIC,A,2.0,725,377,52.0,912,2.419098143236074,19,5.039787798408488,90.5592105263158,2.614878381706303,349,48.13793103448276,78.54384236453203,0:348;1:138;2:107;3:51;4:39;5:20;6:12;7:3;8:5;9:2,1
DEV,ISOTONIC,S,1.0,449,448,99.77728285077951,3417,7.627232142857143,114,25.446428571428573,82.38513315774071,1.5480518506743637,224,49.88864142538976,81.94082087177856,0:1;1:5;2:7;3:22;4:31;5:49;6:52;7:61;8:55;9:48;10:45;11:27;12:19;13:12;14:9;15:2;16:3;17:1,0
DEV,ISOTONIC,S,1.05,449,446,99.33184855233853,3102,6.955156950672646,104,23.318385650224215,84.04577691811734,1.6011080046504709,224,49.88864142538976,81.94082087177856,0:3;1:9;2:16;3:24;4:45;5:54;6:67;7:47;8:45;9:55;10:32;11:24;12:12;13:5;14:7;15:2;16:2,0
DEV,ISOTONIC,S,1.1,449,445,99.10913140311804,2815,6.325842696629214,89,20.0,82.04973357015986,1.654832712331989,224,49.88864142538976,81.94082087177856,0:4;1:14;2:28;3:37;4:48;5:55;6:58;7:61;8:36;9:49;10:22;11:16;12:12;13:4;14:4;15:1,0
DEV,ISOTONIC,S,1.15,449,441,98.21826280623608,2553,5.789115646258503,79,17.913832199546484,75.62083822953389,1.7092579645192572,224,49.88864142538976,81.94082087177856,0:8;1:22;2:33;3:47;4:50;5:69;6:55;7:46;8:41;9:34;10:18;11:9;12:10;13:5;14:1;15:1,0
DEV,ISOTONIC,S,1.2,449,437,97.32739420935413,2314,5.295194508009153,64,14.645308924485127,69.16594641313742,1.7643531910318178,224,49.88864142538976,81.94082087177856,0:12;1:30;2:42;3:48;4:65;5:71;6:45;7:45;8:33;9:27;10:12;11:7;12:7;13:3;14:1;15:1,0
DEV,ISOTONIC,S,1.25,449,431,95.99109131403118,2119,4.916473317865429,53,12.296983758700696,68.16422840962719,1.8139842609118215,224,49.88864142538976,81.94082087177856,0:18;1:41;2:47;3:60;4:60;5:57;6:50;7:44;8:29;9:19;10:8;11:7;12:6;13:3,0
