phase,grade,ev_threshold,odds_races,bet_races,bet_race_pct,tickets,avg_tickets_bet,hits,hit_rate_bet_pct,roi_pct,avg_selected_model_ev,fixed7_hits,fixed7_hit_pct,fixed7_roi_pct,point_hist
DEV,A,1.0,725,725,100.0,8568,11.81793103448276,156,21.517241379310345,65.54388422035481,2.0427214774451516,349,48.13793103448276,78.54384236453203,2:1;3:1;4:5;5:6;6:16;7:27;8:45;9:76;10:59;11:89;12:106;13:76;14:80;15:53;16:37;17:27;18:13;19:5;20:3
DEV,A,1.05,725,725,100.0,8125,11.206896551724139,140,19.310344827586206,64.36923076923077,2.0982670423267873,349,48.13793103448276,78.54384236453203,2:2;3:2;4:7;5:12;6:34;7:31;8:56;9:77;10:80;11:84;12:88;13:70;14:72;15:48;16:30;17:16;18:10;19:5;20:1
DEV,A,1.1,725,725,100.0,7717,10.644137931034482,131,18.06896551724138,64.31644421407283,2.1524398799053044,349,48.13793103448276,78.54384236453203,1:1;2:3;3:3;4:13;5:24;6:30;7:41;8:73;9:81;10:73;11:100;12:70;13:62;14:77;15:27;16:23;17:12;18:11;20:1
DEV,A,1.15,725,725,100.0,7329,10.10896551724138,118,16.275862068965516,64.4371674171101,2.2068450019882713,349,48.13793103448276,78.54384236453203,1:4;2:4;3:5;4:20;5:22;6:42;7:56;8:87;9:71;10:81;11:82;12:69;13:73;14:46;15:31;16:14;17:13;18:5
DEV,A,1.2,725,724,99.86206896551724,6973,9.63121546961326,110,15.193370165745856,65.55428079736124,2.2595490401530194,349,48.13793103448276,78.54384236453203,0:1;1:3;2:8;3:7;4:23;5:39;6:43;7:81;8:82;9:71;10:71;11:77;12:62;13:66;14:42;15:21;16:14;17:12;18:2
DEV,A,1.25,725,723,99.72413793103448,6596,9.123098201936376,95,13.13969571230982,64.05700424499697,2.3185671193186446,349,48.13793103448276,78.54384236453203,0:2;1:4;2:9;3:20;4:30;5:43;6:64;7:73;8:77;9:67;10:81;11:66;12:68;13:47;14:37;15:17;16:12;17:7;18:1
DEV,A,1.3,725,722,99.58620689655173,6269,8.682825484764543,88,12.18836565096953,64.18886584782263,2.373051498392371,349,48.13793103448276,78.54384236453203,0:3;1:5;2:14;3:26;4:41;5:38;6:79;7:75;8:82;9:67;10:74;11:66;12:53;13:35;14:36;15:16;16:10;17:5
DEV,A,1.4,725,719,99.17241379310344,5664,7.877607788595271,72,10.013908205841446,62.49293785310734,2.4824389119523094,349,48.13793103448276,78.54384236453203,0:6;1:18;2:21;3:33;4:47;5:67;6:62;7:91;8:80;9:76;10:64;11:52;12:36;13:32;14:20;15:11;16:9
DEV,A,1.5,725,711,98.06896551724138,5097,7.168776371308017,60,8.438818565400844,60.743574651755935,2.5973657702013835,349,48.13793103448276,78.54384236453203,0:14;1:24;2:30;3:42;4:60;5:83;6:79;7:88;8:76;9:59;10:47;11:40;12:32;13:24;14:14;15:7;16:6
DEV,A,1.75,725,678,93.51724137931035,3913,5.771386430678466,33,4.867256637168142,55.660618451316125,2.894301309354184,349,48.13793103448276,78.54384236453203,0:47;1:43;2:62;3:67;4:90;5:100;6:69;7:52;8:58;9:45;10:34;11:23;12:20;13:8;14:5;15:1;16:1
DEV,A,2.0,725,630,86.89655172413794,3055,4.849206349206349,22,3.492063492063492,51.211129296235676,3.1821058445187673,349,48.13793103448276,78.54384236453203,0:95;1:69;2:75;3:87;4:88;5:91;6:51;7:48;8:47;9:26;10:27;11:11;12:6;13:3;14:1
DEV,S,1.0,449,449,100.0,5236,11.661469933184856,107,23.830734966592427,77.92971734148205,2.0469595523728796,224,49.88864142538976,81.94082087177856,2:1;3:1;4:2;5:5;6:8;7:14;8:28;9:44;10:43;11:64;12:71;13:47;14:52;15:32;16:16;17:10;18:9;19:1;20:1
DEV,S,1.05,449,449,100.0,4966,11.060133630289533,97,21.603563474387528,77.64800644381796,2.1025178212797977,224,49.88864142538976,81.94082087177856,2:2;3:2;4:5;5:4;6:13;7:19;8:44;9:47;10:57;11:57;12:58;13:42;14:44;15:28;16:12;17:9;18:5;20:1
DEV,S,1.1,449,449,100.0,4714,10.498886414253898,90,20.044543429844097,76.84768773865083,2.157429260558651,224,49.88864142538976,81.94082087177856,2:3;3:3;4:4;5:13;6:17;7:31;8:47;9:52;10:48;11:65;12:50;13:36;14:46;15:14;16:8;17:8;18:3;20:1
DEV,S,1.15,449,449,100.0,4492,10.00445434298441,80,17.817371937639198,76.42698130008905,2.2084546535598744,224,49.88864142538976,81.94082087177856,1:3;2:2;3:1;4:11;5:11;6:28;7:40;8:52;9:47;10:56;11:51;12:50;13:43;14:26;15:10;16:7;17:8;18:3
DEV,S,1.2,449,448,99.77728285077951,4262,9.513392857142858,75,16.741071428571427,77.74519005161896,2.264282457762749,224,49.88864142538976,81.94082087177856,0:1;1:2;2:2;3:4;4:11;5:22;6:31;7:57;8:52;9:50;10:43;11:52;12:43;13:34;14:22;15:8;16:6;17:7;18:2
DEV,S,1.25,449,447,99.55456570155901,4042,9.042505592841163,67,14.988814317673379,77.54082137555666,2.320690255028096,224,49.88864142538976,81.94082087177856,0:2;1:2;2:2;3:8;4:21;5:26;6:45;7:50;8:48;9:47;10:50;11:44;12:38;13:30;14:17;15:8;16:5;17:5;18:1
DEV,S,1.3,449,447,99.55456570155901,3829,8.56599552572707,61,13.646532438478747,76.15565421781145,2.378968491027305,224,49.88864142538976,81.94082087177856,0:2;1:3;2:5;3:15;4:24;5:25;6:57;7:50;8:50;9:42;10:50;11:47;12:28;13:18;14:16;15:7;16:6;17:4
