actual_combo,actual_ticket_rank20,current_rank20,date,entry_course,entry_source,entry_status,escape_hit,ex_margin23,has_orig,has_stt,has_tkz,head,head_hit,kimarite,margin2,margin23,margin3,margin_all,month,one_direct,one_ex,one_grade,one_lap,one_local,one_meet_st_strength,one_motor,one_nst_strength,one_orig_avg,one_past_win,one_score,one_st,one_straight,one_turn,one_waku_sr_strength,one_waku_wr,one_wr,order_l00,order_l10,order_l20,order_l30,order_l40,order_l50,p1,p109,p1_refit_audit,payout100,period,race,race_code,rank_l00,rank_l05,rank_l10,rank_l15,rank_l20,rank_l25,rank_l30,rank_l40,rank_l50,ranked_others,role_train_headwins,st_margin2,st_margin23,st_margin3,straight_margin23,threat2,threat23_max,threat3,threat4,threat5,threat6,threat_all_max,tickets20_display,turn_margin23,v110_lambda_selected,v110_month,v110_rank20,v115_filter_p,v115_phase,v115_selected_A,v115_selected_S,v115_threshold,valid_payout,valid_result,venue,winner
6-3-1,0,0,2026-07-01,1,snapshot,same,0,-0.20000000000000007,1,1,1,1,0,まくり,-0.04034998701298703,-0.1140965064935065,-0.1140965064935065,-0.1140965064935065,2026-07,0.49999999999999994,0.6,0.38,0.8,0.2854545454545455,0.5833333333333334,0.4514285714285714,0.35714285714285704,0.6,0.1,0.3707670779220779,0.6,0.8,0.19999999999999996,0.44000000000000006,0.4625,0.14800000000000005,1-3-2;1-2-3;1-3-5;1-5-3;1-3-4;1-2-5;1-5-2;1-3-6;1-4-3;1-2-4;1-4-2;1-2-6;1-6-3;1-5-4;1-4-5;1-6-2;1-5-6;1-6-5;1-4-6;1-6-4,1-3-2;1-2-3;1-3-5;1-5-3;1-3-4;1-2-5;1-5-2;1-3-6;1-4-3;1-2-4;1-4-2;1-2-6;1-6-3;1-5-4;1-4-5;1-6-2;1-5-6;1-6-5;1-4-6;1-6-4,1-3-2;1-2-3;1-3-5;1-3-4;1-5-3;1-2-5;1-5-2;1-3-6;1-4-3;1-2-4;1-4-2;1-2-6;1-6-3;1-5-4;1-4-5;1-6-2;1-5-6;1-6-5;1-4-6;1-6-4,1-3-2;1-2-3;1-3-5;1-3-4;1-5-3;1-2-5;1-5-2;1-2-4;1-4-3;1-3-6;1-4-2;1-2-6;1-6-3;1-5-4;1-4-5;1-6-2;1-5-6;1-6-5;1-4-6;1-6-4,1-3-2;1-2-3;1-3-5;1-3-4;1-2-5;1-5-3;1-2-4;1-4-3;1-5-2;1-3-6;1-4-2;1-2-6;1-6-3;1-5-4;1-4-5;1-6-2;1-5-6;1-6-5;1-4-6;1-6-4,1-3-2;1-2-3;1-3-5;1-3-4;1-2-5;1-5-3;1-2-4;1-4-3;1-5-2;1-3-6;1-4-2;1-2-6;1-6-3;1-5-4;1-4-5;1-6-2;1-5-6;1-4-6;1-6-5;1-6-4,0.33205532,0.3219188,,7370,holdout3,01R,202607010201,0,0,0,0,0,0,0,0,0,3-2-5-4-6,19050,-0.20000000000000007,-0.20000000000000007,0.6,0.20000000000000007,0.41111706493506495,0.4848635844155844,0.4848635844155844,0.36172120779220773,0.4090762467532468,0.3521027402597403,0.4848635844155844,1-3-2;1-2-3;1-3-5;1-5-3;1-3-4;1-2-5;1-5-2;1-3-6;1-4-3;1-2-4;1-4-2;1-2-6;1-6-3;1-5-4;1-4-5;1-6-2;1-5-6;1-6-5;1-4-6;1-6-4,-0.6000000000000001,0.5,2026-07,0,0.6934604247379081,VALIDATION,0,0,0.575,1,1,02,6
1-2-5,5,5,2026-07-01,1,snapshot,same,1,0.19999999999999996,1,1,1,1,1,逃げ,-0.10617989610389605,-0.10617989610389605,-0.1036812467532468,-0.10617989610389605,2026-07,0.5833333333333333,1.0,0.38,0.8,0,0.22222222222222227,0.4930285714285715,0.5714285714285713,0.6666666666666666,0.6,0.48842342857142856,0.0,0.8,0.4,0.52,1,0.30199999999999994,1-2-3;1-3-2;1-2-4;1-4-2;1-2-5;1-3-4;1-4-3;1-2-6;1-5-2;1-3-5;1-5-3;1-3-6;1-6-2;1-4-5;1-5-4;1-6-3;1-4-6;1-6-4;1-5-6;1-6-5,1-2-3;1-3-2;1-2-4;1-4-2;1-2-5;1-3-4;1-4-3;1-2-6;1-5-2;1-3-5;1-5-3;1-3-6;1-6-2;1-4-5;1-5-4;1-6-3;1-4-6;1-6-4;1-5-6;1-6-5,1-2-3;1-3-2;1-2-4;1-4-2;1-2-5;1-3-4;1-4-3;1-2-6;1-3-5;1-5-2;1-5-3;1-3-6;1-4-5;1-6-2;1-5-4;1-6-3;1-4-6;1-6-4;1-5-6;1-6-5,1-2-3;1-3-2;1-2-4;1-4-2;1-2-5;1-3-4;1-4-3;1-2-6;1-3-5;1-5-2;1-5-3;1-3-6;1-4-5;1-6-2;1-5-4;1-4-6;1-6-3;1-6-4;1-5-6;1-6-5,1-2-3;1-3-2;1-2-4;1-4-2;1-2-5;1-3-4;1-4-3;1-2-6;1-3-5;1-5-2;1-3-6;1-5-3;1-4-5;1-6-2;1-5-4;1-4-6;1-6-3;1-6-4;1-5-6;1-6-5,1-2-3;1-3-2;1-2-4;1-4-2;1-3-4;1-2-5;1-4-3;1-3-5;1-2-6;1-5-2;1-3-6;1-5-3;1-4-5;1-6-2;1-5-4;1-4-6;1-6-3;1-6-4;1-5-6;1-6-5,0.32879444,0.34052962,,3090,holdout3,02R,202607010202,5,5,5,5,5,5,5,5,6,2-3-4-5-6,19050,-0.19999999999999996,-0.8,-0.8,0.4,0.5946033246753246,0.5946033246753246,0.5921046753246754,0.5478583636363636,0.42944303896103897,0.3911938701298701,0.5946033246753246,1-2-3;1-3-2;1-2-4;1-4-2;1-2-5;1-3-4;1-4-3;1-2-6;1-5-2;1-3-5;1-5-3;1-3-6;1-6-2;1-4-5;1-5-4;1-6-3;1-4-6;1-6-4;1-5-6;1-6-5,-0.4,0.5,2026-07,6,0.6725330906715375,VALIDATION,0,0,0.575,1,1,02,1
5-2-3,0,0,2026-07-01,1,snapshot,same,0,-0.19999999999999996,1,1,1,1,0,まくり差し,0.06795322077922084,-0.0997561038961039,-0.0997561038961039,-0.0997561038961039,2026-07,0.31333333333333335,0.4,0.38,0.19999999999999996,0.4981818181818182,0.5694444444444444,0.5586285714285715,0.4999999999999998,0.26666666666666666,0.8,0.5292414025974026,0.6,0.6,0.0,0.8,1,0.538,1-3-5;1-5-3;1-3-6;1-6-3;1-3-4;1-5-6;1-6-5;1-3-2;1-4-3;1-5-4;1-4-5;1-5-2;1-2-3;1-6-4;1-4-6;1-2-5;1-6-2;1-2-6;1-4-2;1-2-4,1-3-5;1-5-3;1-3-6;1-3-4;1-6-3;1-5-6;1-3-2;1-4-3;1-6-5;1-5-4;1-4-5;1-2-3;1-5-2;1-6-4;1-4-6;1-2-5;1-6-2;1-2-6;1-4-2;1-2-4,1-3-5;1-5-3;1-3-6;1-3-4;1-6-3;1-3-2;1-5-6;1-4-3;1-5-4;1-6-5;1-2-3;1-4-5;1-5-2;1-2-5;1-6-4;1-4-6;1-6-2;1-2-6;1-4-2;1-2-4,1-3-5;1-5-3;1-3-6;1-3-4;1-3-2;1-6-3;1-4-3;1-5-6;1-2-3;1-5-4;1-6-5;1-4-5;1-5-2;1-2-5;1-4-6;1-6-4;1-2-6;1-6-2;1-2-4;1-4-2,1-3-5;1-5-3;1-3-6;1-3-4;1-3-2;1-4-3;1-2-3;1-6-3;1-5-6;1-5-4;1-4-5;1-5-2;1-2-5;1-6-5;1-4-6;1-2-6;1-2-4;1-6-4;1-4-2;1-6-2,1-3-5;1-5-3;1-3-6;1-3-4;1-3-2;1-2-3;1-4-3;1-6-3;1-5-4;1-5-6;1-2-5;1-4-5;1-5-2;1-6-5;1-2-4;1-2-6;1-4-6;1-4-2;1-6-4;1-6-2,0.41768369,0.41965006,,31230,holdout3,03R,202607010203,0,0,0,0,0,0,0,0,0,3-5-6-4-2,19050,0.19999999999999996,-0.4,-0.4,-0.4,0.46128818181818176,0.6289975064935065,0.6289975064935065,0.49706054545454537,0.5866933636363637,0.5037055064935065,0.6289975064935065,1-3-5;1-5-3;1-3-6;1-6-3;1-3-4;1-5-6;1-6-5;1-3-2;1-4-3;1-5-4;1-4-5;1-5-2;1-2-3;1-6-4;1-4-6;1-2-5;1-6-2;1-2-6;1-4-2;1-2-4,-0.6,0.5,2026-07,0,0.6041238154002645,VALIDATION,0,0,0.575,1,1,02,5
1-5-2,2,2,2026-07-01,1,snapshot,same,1,0.19999999999999996,1,1,1,1,1,逃げ,-0.021850831168831242,-0.021850831168831242,0.12703896103896106,-0.021850831168831242,2026-07,0.49666666666666665,1.0,0.72,0.6,0,0.5555555555555555,0.7289714285714286,0.5714285714285713,0.5333333333333333,0.6,0.6112037142857143,0.19999999999999996,1.0,0.0,0.5599999999999999,0.975,0.55,1-2-5;1-5-2;1-2-3;1-3-2;1-2-4;1-5-3;1-3-5;1-2-6;1-4-2;1-5-4;1-4-5;1-5-6;1-6-2;1-3-4;1-4-3;1-6-5;1-3-6;1-6-3;1-4-6;1-6-4,1-2-5;1-5-2;1-2-3;1-3-2;1-2-4;1-5-3;1-3-5;1-2-6;1-4-2;1-5-4;1-4-5;1-5-6;1-3-4;1-6-2;1-4-3;1-3-6;1-6-5;1-6-3;1-4-6;1-6-4,1-2-5;1-2-3;1-5-2;1-3-2;1-2-4;1-5-3;1-3-5;1-2-6;1-4-2;1-5-4;1-4-5;1-3-4;1-6-2;1-5-6;1-4-3;1-3-6;1-6-5;1-6-3;1-4-6;1-6-4,1-2-5;1-2-3;1-5-2;1-3-2;1-2-4;1-3-5;1-5-3;1-2-6;1-4-2;1-5-4;1-4-5;1-3-4;1-4-3;1-6-2;1-5-6;1-3-6;1-6-5;1-6-3;1-4-6;1-6-4,1-2-5;1-2-3;1-5-2;1-3-2;1-2-4;1-3-5;1-5-3;1-2-6;1-4-2;1-5-4;1-3-4;1-4-5;1-4-3;1-6-2;1-5-6;1-3-6;1-6-5;1-6-3;1-4-6;1-6-4,1-2-5;1-2-3;1-3-2;1-5-2;1-2-4;1-3-5;1-4-2;1-2-6;1-5-3;1-3-4;1-5-4;1-4-5;1-4-3;1-6-2;1-3-6;1-5-6;1-6-5;1-6-3;1-4-6;1-6-4,0.55056416,0.55545585,,1930,holdout3,04R,202607010204,2,2,2,2,3,3,3,3,4,2-5-3-4-6,19050,0.19999999999999996,-0.4,-0.4,0.6,0.6330545454545455,0.6330545454545455,0.48416475324675323,0.44129357142857145,0.5011018961038961,0.3873647922077922,0.6330545454545455,1-2-5;1-5-2;1-2-3;1-3-2;1-2-4;1-5-3;1-3-5;1-2-6;1-4-2;1-5-4;1-4-5;1-5-6;1-6-2;1-3-4;1-4-3;1-6-5;1-3-6;1-6-3;1-4-6;1-6-4,-1.0,0.5,2026-07,4,0.7809119128565879,VALIDATION,0,0,0.575,1,1,02,1
1-4-3,3,3,2026-07-01,1,snapshot,same,1,0.20000000000000007,1,1,1,1,1,逃げ,0.3478294025974027,0.3478294025974027,0.36953710389610395,-0.05035197402597402,2026-07,0.6100000000000001,0.4,1.0,1.0,0.8581818181818182,0.4166666666666666,0.5773142857142857,0.6428571428571428,0.7999999999999999,0.8,0.760115116883117,0.8,0.8,0.6,0.6799999999999999,1,0.7140000000000001,1-4-2;1-2-4;1-4-3;1-3-4;1-4-6;1-2-3;1-3-2;1-4-5;1-6-4;1-2-6;1-6-2;1-2-5;1-5-4;1-3-6;1-6-3;1-5-2;1-3-5;1-5-3;1-6-5;1-5-6,1-4-2;1-2-4;1-4-3;1-3-4;1-4-6;1-2-3;1-3-2;1-4-5;1-6-4;1-2-6;1-2-5;1-6-2;1-5-4;1-3-6;1-6-3;1-5-2;1-3-5;1-5-3;1-6-5;1-5-6,1-4-2;1-2-4;1-4-3;1-3-4;1-4-6;1-2-3;1-3-2;1-4-5;1-2-6;1-6-4;1-2-5;1-6-2;1-5-4;1-3-6;1-6-3;1-3-5;1-5-2;1-5-3;1-6-5;1-5-6,1-4-2;1-2-4;1-4-3;1-3-4;1-4-6;1-2-3;1-3-2;1-4-5;1-2-6;1-6-4;1-2-5;1-5-4;1-6-2;1-3-6;1-6-3;1-3-5;1-5-2;1-5-3;1-6-5;1-5-6,1-4-2;1-2-4;1-4-3;1-3-4;1-4-6;1-2-3;1-3-2;1-4-5;1-2-6;1-6-4;1-2-5;1-5-4;1-3-6;1-6-2;1-3-5;1-5-2;1-6-3;1-5-3;1-6-5;1-5-6,1-4-2;1-4-3;1-2-4;1-3-4;1-4-6;1-2-3;1-3-2;1-4-5;1-2-6;1-6-4;1-2-5;1-5-4;1-3-6;1-6-2;1-3-5;1-5-2;1-6-3;1-5-3;1-6-5;1-5-6,0.59664777,0.59109961,,830,holdout3,05R,202607010205,3,3,3,3,3,3,3,3,2,4-2-3-6-5,19050,0.4,0.20000000000000007,0.20000000000000007,0.20000000000000007,0.41228571428571426,0.41228571428571426,0.390578012987013,0.810467090909091,0.23036914285714288,0.3038292857142857,0.810467090909091,1-4-2;1-2-4;1-4-3;1-3-4;1-4-6;1-2-3;1-3-2;1-4-5;1-6-4;1-2-6;1-6-2;1-2-5;1-5-4;1-3-6;1-6-3;1-5-2;1-3-5;1-5-3;1-6-5;1-5-6,0.19999999999999996,0.5,2026-07,2,0.7435689739127878,VALIDATION,0,0,0.575,1,1,02,1
2-5-3,0,0,2026-07-01,1,snapshot,same,0,-0.4,1,1,1,1,0,まくり,0.08266233766233766,0.08266233766233766,0.13638846753246747,-0.2179857402597402,2026-07,0.2533333333333333,0.19999999999999996,0.38,0.19999999999999996,0.1509090909090909,0.3333333333333332,0.5983999999999999,0.35714285714285704,0.26666666666666666,0.6,0.44846358441558437,0.4,0.4,0.19999999999999996,0.44000000000000006,1,0.34800000000000003,1-5-4;1-4-5;1-5-6;1-6-5;1-5-2;1-4-6;1-6-4;1-5-3;1-2-5;1-4-2;1-2-4;1-4-3;1-3-5;1-6-2;1-2-6;1-3-4;1-6-3;1-3-6;1-2-3;1-3-2,1-5-4;1-4-5;1-5-6;1-5-2;1-6-5;1-4-6;1-5-3;1-6-4;1-2-5;1-4-2;1-2-4;1-4-3;1-3-5;1-6-2;1-2-6;1-3-4;1-6-3;1-3-6;1-2-3;1-3-2,1-5-4;1-4-5;1-5-6;1-5-2;1-4-6;1-6-5;1-5-3;1-4-2;1-2-5;1-6-4;1-2-4;1-4-3;1-3-5;1-2-6;1-3-4;1-6-2;1-6-3;1-3-6;1-2-3;1-3-2,1-5-4;1-4-5;1-5-6;1-5-2;1-4-6;1-4-2;1-2-5;1-5-3;1-6-5;1-2-4;1-6-4;1-4-3;1-3-5;1-3-4;1-2-6;1-6-2;1-2-3;1-6-3;1-3-6;1-3-2,1-5-4;1-4-5;1-5-6;1-5-2;1-4-2;1-4-6;1-2-5;1-5-3;1-2-4;1-6-5;1-4-3;1-6-4;1-3-5;1-3-4;1-2-6;1-6-2;1-2-3;1-3-2;1-3-6;1-6-3,1-4-5;1-5-4;1-5-2;1-5-6;1-4-2;1-4-6;1-2-5;1-5-3;1-2-4;1-4-3;1-6-5;1-3-5;1-6-4;1-3-4;1-2-6;1-2-3;1-6-2;1-3-2;1-3-6;1-6-3,0.23974676,0.24620127,,49970,holdout3,06R,202607010206,0,0,0,0,0,0,0,0,0,5-4-6-2-3,19050,0.4,-0.19999999999999996,-0.19999999999999996,-0.6,0.3658012467532467,0.3658012467532467,0.3120751168831169,0.6517758051948052,0.6664493246753246,0.4474680389610389,0.6664493246753246,1-5-4;1-4-5;1-5-6;1-6-5;1-5-2;1-4-6;1-6-4;1-5-3;1-2-5;1-4-2;1-2-4;1-4-3;1-3-5;1-6-2;1-2-6;1-3-4;1-6-3;1-3-6;1-2-3;1-3-2,-0.4,0.5,2026-07,0,0.44279227801112253,VALIDATION,0,0,0.575,1,1,02,2
1-4-2,2,2,2026-07-01,1,snapshot,same,1,0.19999999999999996,1,1,1,1,1,逃げ,0.10347914285714277,0.10347914285714277,0.2732786363636364,0.10347914285714277,2026-07,0.6833333333333333,1.0,1.0,1.0,0.5454545454545454,0.40277777777777785,0.3052,0.6428571428571428,0.6666666666666666,0.6,0.6913975064935065,1.0,1.0,0.0,0.5599999999999999,1,0.658,1-2-4;1-4-2;1-2-3;1-3-2;1-2-5;1-4-3;1-3-4;1-2-6;1-5-2;1-4-5;1-5-4;1-4-6;1-6-2;1-3-5;1-5-3;1-6-4;1-3-6;1-6-3;1-5-6;1-6-5,1-2-4;1-4-2;1-2-3;1-3-2;1-2-5;1-4-3;1-3-4;1-2-6;1-5-2;1-4-5;1-5-4;1-4-6;1-3-5;1-6-2;1-5-3;1-3-6;1-6-4;1-6-3;1-5-6;1-6-5,1-2-4;1-4-2;1-2-3;1-3-2;1-2-5;1-4-3;1-3-4;1-2-6;1-5-2;1-4-5;1-5-4;1-4-6;1-3-5;1-6-2;1-5-3;1-3-6;1-6-4;1-6-3;1-5-6;1-6-5,1-2-4;1-4-2;1-2-3;1-3-2;1-2-5;1-4-3;1-3-4;1-2-6;1-5-2;1-4-5;1-5-4;1-3-5;1-4-6;1-6-2;1-5-3;1-3-6;1-6-4;1-6-3;1-5-6;1-6-5,1-2-4;1-2-3;1-4-2;1-3-2;1-2-5;1-4-3;1-3-4;1-2-6;1-5-2;1-4-5;1-5-4;1-3-5;1-4-6;1-6-2;1-5-3;1-3-6;1-6-4;1-6-3;1-5-6;1-6-5,1-2-4;1-2-3;1-4-2;1-3-2;1-2-5;1-4-3;1-3-4;1-2-6;1-5-2;1-4-5;1-3-5;1-5-4;1-5-3;1-4-6;1-6-2;1-3-6;1-6-4;1-6-3;1-5-6;1-6-5,0.63570946,0.63982063,,980,holdout3,07R,202607010207,2,2,2,2,2,2,2,3,3,2-4-3-5-6,19050,0.6,0.4,0.4,0.4,0.5879183636363637,0.5879183636363637,0.4181188701298701,0.4779039220779221,0.4092161818181818,0.3442698571428572,0.5879183636363637,1-2-4;1-4-2;1-2-3;1-3-2;1-2-5;1-4-3;1-3-4;1-2-6;1-5-2;1-4-5;1-5-4;1-4-6;1-6-2;1-3-5;1-5-3;1-6-4;1-3-6;1-6-3;1-5-6;1-6-5,-0.8,0.5,2026-07,3,0.7786790076976671,VALIDATION,0,0,0.575,1,1,02,1
1-2-4,6,6,2026-07-01,1,snapshot,same,1,-0.6000000000000001,1,1,1,1,1,逃げ,-0.02912785714285715,-0.02912785714285715,0.23203842857142865,-0.08237281818181807,2026-07,0.20333333333333334,0.19999999999999996,0.72,0.19999999999999996,0.7654545454545455,1,0.5676000000000001,0.6428571428571428,0.26666666666666666,0.4,0.5540555064935065,0.4,0.6,0.0,0.7,0.825,0.418,1-5-2;1-2-5;1-5-4;1-4-5;1-5-3;1-2-4;1-4-2;1-5-6;1-3-5;1-2-3;1-3-2;1-2-6;1-6-5;1-4-3;1-3-4;1-6-2;1-4-6;1-6-4;1-3-6;1-6-3,1-5-2;1-2-5;1-5-4;1-4-5;1-5-3;1-2-4;1-4-2;1-5-6;1-2-3;1-3-5;1-3-2;1-2-6;1-4-3;1-6-5;1-3-4;1-6-2;1-4-6;1-6-4;1-3-6;1-6-3,1-5-2;1-2-5;1-5-4;1-4-5;1-5-3;1-2-4;1-4-2;1-2-3;1-3-5;1-5-6;1-3-2;1-2-6;1-4-3;1-3-4;1-6-5;1-6-2;1-4-6;1-6-4;1-3-6;1-6-3,1-5-2;1-2-5;1-5-4;1-2-4;1-4-5;1-5-3;1-4-2;1-2-3;1-3-5;1-5-6;1-3-2;1-2-6;1-4-3;1-3-4;1-6-5;1-6-2;1-4-6;1-6-4;1-3-6;1-6-3,1-2-5;1-5-2;1-5-4;1-2-4;1-4-5;1-5-3;1-2-3;1-4-2;1-3-5;1-5-6;1-3-2;1-2-6;1-4-3;1-3-4;1-6-5;1-6-2;1-4-6;1-6-4;1-3-6;1-6-3,1-2-5;1-5-2;1-5-4;1-2-4;1-4-5;1-5-3;1-2-3;1-4-2;1-3-5;1-3-2;1-5-6;1-2-6;1-4-3;1-3-4;1-6-5;1-6-2;1-4-6;1-3-6;1-6-4;1-6-3,0.45663829,0.44700084,,1090,holdout3,08R,202607010208,6,6,6,6,6,4,4,4,4,5-2-4-3-6,19050,-0.19999999999999996,-0.19999999999999996,0.4,-0.4,0.5831833636363637,0.5831833636363637,0.3220170779220779,0.45586475324675324,0.6364283246753246,0.31681257142857144,0.6364283246753246,1-5-2;1-2-5;1-5-4;1-4-5;1-5-3;1-2-4;1-4-2;1-5-6;1-3-5;1-2-3;1-3-2;1-2-6;1-6-5;1-4-3;1-3-4;1-6-2;1-4-6;1-6-4;1-3-6;1-6-3,-0.8,0.5,2026-07,4,0.661752797515856,VALIDATION,0,0,0.575,1,1,02,1
5-4-1,0,0,2026-07-01,1,snapshot,same,0,-0.6,1,1,1,1,0,差し,0.14065832467532458,0.14065832467532458,0.23247415584415587,0.13794888311688308,2026-07,0.5066666666666667,0.4,0.72,0.6,0.5327272727272727,0.5555555555555555,0.5329714285714287,0.5714285714285713,0.5333333333333333,0.6,0.6103518961038961,0.8,0.6,0.4,0.5,1,0.4699999999999999,1-5-4;1-4-5;1-5-2;1-2-5;1-5-6;1-4-2;1-2-4;1-5-3;1-6-5;1-4-6;1-6-4;1-4-3;1-3-5;1-2-6;1-6-2;1-3-4;1-2-3;1-3-2;1-6-3;1-3-6,1-5-4;1-4-5;1-5-2;1-2-5;1-4-2;1-5-6;1-2-4;1-5-3;1-4-6;1-6-5;1-4-3;1-6-4;1-3-5;1-2-6;1-6-2;1-3-4;1-2-3;1-3-2;1-6-3;1-3-6,1-5-4;1-4-5;1-5-2;1-2-5;1-4-2;1-2-4;1-5-6;1-5-3;1-4-6;1-6-5;1-4-3;1-3-5;1-2-6;1-6-4;1-2-3;1-3-4;1-6-2;1-3-2;1-3-6;1-6-3,1-5-4;1-4-5;1-2-5;1-5-2;1-2-4;1-4-2;1-5-6;1-5-3;1-4-6;1-3-5;1-4-3;1-6-5;1-2-6;1-2-3;1-3-4;1-6-4;1-3-2;1-6-2;1-3-6;1-6-3,1-4-5;1-2-5;1-5-4;1-5-2;1-2-4;1-4-2;1-5-3;1-5-6;1-3-5;1-4-3;1-2-3;1-4-6;1-2-6;1-3-4;1-6-5;1-3-2;1-6-4;1-6-2;1-3-6;1-6-3,1-2-5;1-4-5;1-2-4;1-5-4;1-5-2;1-4-2;1-2-3;1-3-5;1-5-3;1-4-3;1-2-6;1-3-4;1-5-6;1-4-6;1-3-2;1-6-5;1-6-4;1-6-2;1-3-6;1-6-3,0.56283767,0.56001403,,4270,holdout3,09R,202607010209,0,0,0,0,0,0,0,0,0,5-4-2-6-3,19050,-0.19999999999999996,-0.19999999999999996,0.8,0.19999999999999996,0.4696935714285715,0.4696935714285715,0.3778777402597402,0.47213571428571427,0.472403012987013,0.4120131818181818,0.472403012987013,1-5-4;1-4-5;1-5-2;1-2-5;1-5-6;1-4-2;1-2-4;1-5-3;1-6-5;1-4-6;1-6-4;1-4-3;1-3-5;1-2-6;1-6-2;1-3-4;1-2-3;1-3-2;1-6-3;1-3-6,-0.19999999999999996,0.5,2026-07,0,0.539914498885256,VALIDATION,0,0,0.575,1,1,02,5
1-2-3,4,4,2026-07-01,1,snapshot,same,1,0.4,1,1,1,1,1,逃げ,0.2037637792207792,0.09659477922077919,0.09659477922077919,0.09659477922077919,2026-07,0.6833333333333333,1.0,0.72,1.0,0.6927272727272726,0.5555555555555557,0.5874857142857143,0.5714285714285713,0.6666666666666666,0.7,0.6892993246753246,1.0,1.0,0.0,0.6599999999999999,1,0.602,1-3-6;1-6-3;1-3-2;1-2-3;1-3-5;1-6-2;1-2-6;1-3-4;1-5-3;1-6-5;1-5-6;1-6-4;1-4-3;1-2-5;1-5-2;1-4-6;1-2-4;1-4-2;1-5-4;1-4-5,1-3-6;1-6-3;1-3-2;1-2-3;1-3-5;1-6-2;1-2-6;1-3-4;1-5-3;1-6-5;1-5-6;1-4-3;1-2-5;1-6-4;1-5-2;1-2-4;1-4-6;1-4-2;1-5-4;1-4-5,1-3-6;1-3-2;1-6-3;1-2-3;1-3-5;1-2-6;1-3-4;1-6-2;1-5-3;1-6-5;1-4-3;1-2-5;1-5-6;1-6-4;1-5-2;1-2-4;1-4-6;1-4-2;1-5-4;1-4-5,1-3-6;1-3-2;1-2-3;1-6-3;1-3-5;1-3-4;1-2-6;1-6-2;1-5-3;1-4-3;1-2-5;1-6-5;1-5-6;1-2-4;1-5-2;1-6-4;1-4-6;1-4-2;1-5-4;1-4-5,1-3-6;1-3-2;1-2-3;1-6-3;1-3-5;1-3-4;1-2-6;1-5-3;1-6-2;1-4-3;1-2-5;1-2-4;1-6-5;1-5-2;1-5-6;1-6-4;1-4-2;1-4-6;1-4-5;1-5-4,1-3-2;1-3-6;1-2-3;1-3-5;1-6-3;1-3-4;1-2-6;1-5-3;1-4-3;1-6-2;1-2-5;1-2-4;1-5-2;1-5-6;1-4-2;1-6-5;1-4-6;1-6-4;1-4-5;1-5-4,0.66745246,0.66965697,,910,holdout3,10R,202607010210,4,4,4,4,4,4,3,3,3,3-6-2-5-4,19050,0.19999999999999996,0.19999999999999996,1.0,0.19999999999999996,0.4855355454545454,0.5927045454545454,0.5927045454545454,0.45444842857142853,0.4726164025974027,0.5516296753246753,0.5927045454545454,1-3-6;1-6-3;1-3-2;1-2-3;1-3-5;1-6-2;1-2-6;1-3-4;1-5-3;1-6-5;1-5-6;1-6-4;1-4-3;1-2-5;1-5-2;1-4-6;1-2-4;1-4-2;1-5-4;1-4-5,-0.4,0.5,2026-07,3,0.703693771473819,VALIDATION,1,0,0.575,1,1,02,1
