rule,date,month,race_code,venue,race,p109,head_hit,rank_l50,actual_combo,payout100
P75-center,2026-03-01,2026-03,202603010712,07,12R,0.77371039,1,1,1-4-6,1890
P75-center,2026-03-01,2026-03,202603012212,22,12R,0.77347923,1,11,1-3-5,1270
P75-center,2026-03-01,2026-03,202603011801,18,01R,0.78198897,1,6,1-4-3,1470
P75-center,2026-03-01,2026-03,202603011812,18,12R,0.76590123,0,0,6-1-2,8220
P75-center,2026-03-01,2026-03,202603011910,19,10R,0.76360815,1,2,1-2-6,2500
P75-center,2026-03-02,2026-03,202603020405,04,05R,0.77551885,0,0,3-2-1,15500
P75-center,2026-03-02,2026-03,202603021309,13,09R,0.77716203,1,13,1-3-6,3050
P75-center,2026-03-02,2026-03,202603022405,24,05R,0.77891404,0,0,5-4-1,7460
P75-center,2026-03-02,2026-03,202603021306,13,06R,0.77096685,0,0,2-4-5,26750
P75-center,2026-03-02,2026-03,202603021812,18,12R,0.76455673,1,5,1-4-3,1000
P75-center,2026-03-03,2026-03,202603031812,18,12R,0.78369548,0,0,4-1-5,62000
P75-center,2026-03-03,2026-03,202603031510,15,10R,0.7614214,1,3,1-2-3,520
P75-center,2026-03-03,2026-03,202603030412,04,12R,0.76083024,1,2,1-6-3,1940
P75-center,2026-03-03,2026-03,202603032211,22,11R,0.75663893,1,9,1-3-2,1060
P75-center,2026-03-03,2026-03,202603030608,06,08R,0.75510267,0,0,4-1-5,2270
P75-center,2026-03-04,2026-03,202603041803,18,03R,0.77648924,1,2,1-2-5,1290
P75-center,2026-03-04,2026-03,202603041511,15,11R,0.76825166,1,16,1-6-2,8830
P75-center,2026-03-04,2026-03,202603041103,11,03R,0.76385584,0,0,3-1-4,5010
P75-center,2026-03-04,2026-03,202603040405,04,05R,0.79195046,1,12,1-3-4,990
P75-center,2026-03-04,2026-03,202603041604,16,04R,0.79250242,1,12,1-3-6,1340
P75-center,2026-03-05,2026-03,202603052205,22,05R,0.77607214,1,1,1-2-5,510
P75-center,2026-03-05,2026-03,202603051508,15,08R,0.7709731,1,1,1-2-4,370
P75-center,2026-03-05,2026-03,202603051309,13,09R,0.77922295,1,19,1-4-6,4570
P75-center,2026-03-05,2026-03,202603051612,16,12R,0.77002104,1,18,1-5-3,2010
P75-center,2026-03-05,2026-03,202603052101,21,01R,0.7680315,1,11,1-3-2,1470
P75-center,2026-03-06,2026-03,202603062005,20,05R,0.77425196,1,1,1-2-4,410
P75-center,2026-03-06,2026-03,202603062012,20,12R,0.77367246,1,4,1-6-4,1860
P75-center,2026-03-06,2026-03,202603061704,17,04R,0.77927725,1,13,1-2-3,1490
P75-center,2026-03-06,2026-03,202603061705,17,05R,0.76609752,1,12,1-2-5,1510
P75-center,2026-03-06,2026-03,202603061712,17,12R,0.78651281,1,3,1-4-6,2400
P75-center,2026-03-07,2026-03,202603072309,23,09R,0.77658514,1,6,1-2-5,4230
P75-center,2026-03-07,2026-03,202603071701,17,01R,0.77882548,1,1,1-3-2,790
P75-center,2026-03-07,2026-03,202603071212,12,12R,0.77924128,1,19,1-5-3,5280
P75-center,2026-03-07,2026-03,202603072006,20,06R,0.75173308,1,2,1-6-3,1450
P75-center,2026-03-07,2026-03,202603071002,10,02R,0.79833729,0,0,2-1-3,3870
P75-center,2026-03-08,2026-03,202603081307,13,07R,0.78140565,1,3,1-6-3,1620
P75-center,2026-03-08,2026-03,202603081701,17,01R,0.76301801,1,11,1-5-2,2360
P75-center,2026-03-08,2026-03,202603080810,08,10R,0.78863392,0,0,2-1-6,4420
P75-center,2026-03-08,2026-03,202603082407,24,07R,0.79278761,1,4,1-2-4,1340
P75-center,2026-03-08,2026-03,202603082405,24,05R,0.75425129,0,0,3-1-2,2470
P75-center,2026-03-09,2026-03,202603090104,01,04R,0.77481551,1,5,1-3-2,2660
P75-center,2026-03-09,2026-03,202603092405,24,05R,0.77828431,1,4,1-4-2,1390
P75-center,2026-03-09,2026-03,202603090407,04,07R,0.77828594,1,10,1-3-2,2740
P75-center,2026-03-09,2026-03,202603090207,02,07R,0.76904179,1,8,1-5-2,2460
P75-center,2026-03-09,2026-03,202603090212,02,12R,0.76720739,1,6,1-6-3,1470
P75-center,2026-03-10,2026-03,202603100405,04,05R,0.7760984,1,1,1-2-4,640
P75-center,2026-03-10,2026-03,202603101805,18,05R,0.77374056,0,0,3-1-2,8560
P75-center,2026-03-10,2026-03,202603100207,02,07R,0.77268482,0,0,2-6-1,14780
P75-center,2026-03-10,2026-03,202603102408,24,08R,0.77072839,0,0,2-5-1,26170
P75-center,2026-03-10,2026-03,202603102009,20,09R,0.78002761,1,3,1-6-2,2120
P75-center,2026-03-11,2026-03,202603112411,24,11R,0.78054423,0,0,3-1-5,33190
P75-center,2026-03-11,2026-03,202603111705,17,05R,0.78342504,1,5,1-3-6,700
P75-center,2026-03-11,2026-03,202603111701,17,01R,0.76220863,1,3,1-2-3,550
P75-center,2026-03-11,2026-03,202603110110,01,10R,0.76080377,1,2,1-2-3,480
