grade,threshold,races,replaced_races,replace_pct,hits7,hit_rate_pct,avg_comp,median_comp
A,BASE,5068,0,0.0,2518,49.68429360694554,1.405621060697645,1.3380315681088542
A,3.0,5068,1277,25.197316495659038,2542,50.15785319652723,1.5124208460737445,1.4213863330155885
A,4.0,5068,2196,43.330702446724544,2493,49.19100236779795,1.5831601199759873,1.4973514225364732
A,5.0,5068,2921,57.636148382004734,2389,47.13891081294396,1.6431874846894903,1.576922189486597
A,6.0,5068,3637,71.7640094711918,2266,44.7119179163378,1.6976250388712286,1.6487094477471222
A,7.0,5068,4156,82.00473559589582,2196,43.330702446724544,1.734860169811071,1.691483565565244
A,8.0,5068,4534,89.46329913180742,2152,42.462509865824785,1.7612441952955291,1.7205135851685103
A,10.0,5068,4882,96.32991318074191,2115,41.73243883188635,1.785052818074461,1.7253637907489456
A,12.0,5068,5006,98.77663772691398,2105,41.53512233622731,1.7920084617847603,1.7251839278645202
A,15.0,5068,5055,99.74348855564325,2105,41.53512233622731,1.7949175038356007,1.7251839278645202
A,20.0,5068,5066,99.96053670086819,2104,41.515390686661405,1.7949316079763973,1.7251839278645202
S,BASE,3203,0,0.0,1653,51.607867624102404,1.3744156795148916,1.3092620222756257
S,3.0,3203,804,25.101467374336558,1670,52.138620043709025,1.477630261663028,1.3885740731969876
S,4.0,3203,1385,43.240711832656885,1635,51.04589447393069,1.5484127048982728,1.468541236759354
S,5.0,3203,1876,58.57009054011864,1558,48.641898220418355,1.610754929779637,1.5467763399876426
S,6.0,3203,2371,74.02435216984077,1472,45.95691539182017,1.666540370886925,1.6196722450621128
S,7.0,3203,2693,84.07742741180144,1427,44.551982516390886,1.6995394662783383,1.6511477853253864
S,8.0,3203,2923,91.25819544177334,1399,43.67780206056822,1.7232195636635594,1.676711075672056
S,10.0,3203,3113,97.19013424914144,1376,42.95972525757103,1.7424324417110884,1.6792369869550112
S,12.0,3203,3170,98.96971589135185,1372,42.83484233531065,1.7463075279297073,1.67921853933109
S,15.0,3203,3195,99.75023415547923,1372,42.83484233531065,1.7481907057623716,1.67921853933109
S,20.0,3203,3202,99.9687792694349,1371,42.80362160474555,1.7482367029451789,1.67921853933109
