date,month,race_code,venue,race,legacy_pre_p,new_pre_p,new_threshold,new_pre_selected,p109,live_buy_if_new,entry_course,head_hit,rank_l50,payout100
2026-03-01,2026-03,202603010101,01,01R,0.35398186220852923,0.5019825327115195,0.58,0,0.40142832546366286,0,0,1,13,5600
2026-03-01,2026-03,202603010102,01,02R,0.4971803785021645,0.5019825327115195,0.58,0,0.5630620608635954,0,0,1,16,31770
2026-03-01,2026-03,202603010103,01,03R,0.36580183808819833,0.5019825327115195,0.58,0,0.43116447188230117,0,0,0,0,1170
2026-03-01,2026-03,202603010104,01,04R,0.5564347256715956,0.5019825327115195,0.58,0,0.5985407866750936,0,0,0,0,2250
2026-03-01,2026-03,202603010105,01,05R,0.5538018093051853,0.5019825327115195,0.58,0,0.5120525069652402,0,0,1,1,760
2026-03-01,2026-03,202603010106,01,06R,0.6990784441602576,0.5019825327115195,0.58,0,0.8245381223621641,0,0,1,10,3370
2026-03-01,2026-03,202603010107,01,07R,0.6164909062846762,0.5019825327115195,0.58,0,0.6511722343452194,0,0,0,0,52660
2026-03-01,2026-03,202603010108,01,08R,0.580547455076027,0.5019825327115195,0.58,0,0.6112729005008475,0,0,0,0,4470
2026-03-01,2026-03,202603010109,01,09R,0.5006042514377927,0.5019825327115195,0.58,0,0.5895761803678937,0,0,0,0,9030
2026-03-01,2026-03,202603010110,01,10R,0.5108232350200734,0.5019825327115195,0.58,0,0.5425452083344555,0,0,1,7,3960
2026-03-01,2026-03,202603010111,01,11R,0.7043886536767129,0.5019825327115195,0.58,0,0.6594591409755239,0,0,1,6,1850
2026-03-01,2026-03,202603010112,01,12R,0.6582995344461251,0.5019825327115195,0.58,0,0.5763693613716463,0,0,1,17,15500
2026-03-01,2026-03,202603010201,02,01R,0.215934512086393,0.4498138114123813,0.58,0,0.30715361130004687,0,0,1,8,9260
2026-03-01,2026-03,202603010202,02,02R,0.21630308560152545,0.4498138114123813,0.58,0,0.2262795803950853,0,0,0,0,4390
2026-03-01,2026-03,202603010203,02,03R,0.44751838568473723,0.4498138114123813,0.58,0,0.5234081778452974,0,0,1,2,1540
2026-03-01,2026-03,202603010204,02,04R,0.20202069701628875,0.4498138114123813,0.58,0,0.22343736555189353,0,0,0,0,18280
2026-03-01,2026-03,202603010205,02,05R,0.4725049089597409,0.4498138114123813,0.58,0,0.4916925616630162,0,0,0,0,9550
2026-03-01,2026-03,202603010206,02,06R,0.5650671486567346,0.4498138114123813,0.58,0,0.6403216596035892,0,0,1,2,1930
2026-03-01,2026-03,202603010207,02,07R,0.6661316313397734,0.4498138114123813,0.58,0,0.762028212923783,0,0,1,3,720
2026-03-01,2026-03,202603010208,02,08R,0.3740285602546567,0.4498138114123813,0.58,0,0.43134422303293424,0,0,0,0,19650
2026-03-01,2026-03,202603010209,02,09R,0.6170814757488294,0.4498138114123813,0.58,0,0.7422571149661817,0,0,1,14,4060
2026-03-01,2026-03,202603010210,02,10R,0.2940017888654887,0.4498138114123813,0.58,0,0.3195668924857501,0,0,0,0,11760
2026-03-01,2026-03,202603010211,02,11R,0.5934299635376304,0.4498138114123813,0.58,0,0.6056963854799788,0,0,1,3,1210
2026-03-01,2026-03,202603010212,02,12R,0.5912003244797661,0.4498138114123813,0.58,0,0.5540458545594049,0,0,0,0,37180
2026-03-01,2026-03,202603010301,03,01R,0.5446968283878263,0.47164632965375736,0.58,0,0.5546495765893472,0,1,1,8,2100
2026-03-01,2026-03,202603010302,03,02R,0.3502950916315583,0.47164632965375736,0.58,0,0.3564399352479059,0,1,0,0,4220
2026-03-01,2026-03,202603010303,03,03R,0.35853309559022517,0.47164632965375736,0.58,0,0.31837341966627364,0,1,1,10,4180
2026-03-01,2026-03,202603010304,03,04R,0.2997242560075724,0.47164632965375736,0.58,0,0.3297071167032238,0,1,0,0,5630
2026-03-01,2026-03,202603010305,03,05R,0.3263706381071071,0.47164632965375736,0.58,0,0.23873446430688738,0,1,0,0,2150
2026-03-01,2026-03,202603010306,03,06R,0.33261745007967125,0.47164632965375736,0.58,0,0.21941788888892982,0,1,1,2,1830
2026-03-01,2026-03,202603010307,03,07R,0.31427249507165694,0.47164632965375736,0.58,0,0.3016388181818124,0,1,0,0,3360
2026-03-01,2026-03,202603010308,03,08R,0.3994538741991209,0.47164632965375736,0.58,0,0.3993350520885178,0,1,0,0,4340
2026-03-01,2026-03,202603010309,03,09R,0.7246495376166306,0.47164632965375736,0.58,0,0.8499551577023106,0,1,1,13,1100
2026-03-01,2026-03,202603010310,03,10R,0.4999959150448017,0.47164632965375736,0.58,0,0.4212846996746497,0,1,0,0,3360
2026-03-01,2026-03,202603010311,03,11R,0.4976795292198217,0.47164632965375736,0.58,0,0.4362050616729468,0,1,0,0,1880
2026-03-01,2026-03,202603010312,03,12R,0.6548506421316834,0.47164632965375736,0.58,0,0.655452081909032,0,1,0,0,1860
2026-03-01,2026-03,202603010601,06,01R,0.4663002885574974,0.5432537301709243,0.58,0,0.6336954203989995,0,1,1,5,790
2026-03-01,2026-03,202603010602,06,02R,0.42879496194459926,0.5432537301709243,0.58,0,0.46192136919368115,0,1,0,0,11610
2026-03-01,2026-03,202603010603,06,03R,0.43116880199413476,0.5432537301709243,0.58,0,0.40619314780795485,0,1,0,0,2590
2026-03-01,2026-03,202603010604,06,04R,0.39081512657736334,0.5432537301709243,0.58,0,0.4129907266147045,0,1,0,0,1160
2026-03-01,2026-03,202603010605,06,05R,0.37587006783264904,0.5432537301709243,0.58,0,0.3365480588899442,0,1,0,0,30570
2026-03-01,2026-03,202603010606,06,06R,0.4098351611213592,0.5432537301709243,0.58,0,0.3464061358009988,0,1,0,0,12410
2026-03-01,2026-03,202603010607,06,07R,0.23343027701584368,0.5432537301709243,0.58,0,0.13907684442656054,0,1,0,0,3240
2026-03-01,2026-03,202603010608,06,08R,0.7320468210575166,0.5432537301709243,0.58,0,0.8088392839581754,0,1,1,1,900
2026-03-01,2026-03,202603010609,06,09R,0.6095717343638741,0.5432537301709243,0.58,0,0.6201138999822565,0,1,0,0,2420
2026-03-01,2026-03,202603010610,06,10R,0.6261824966318755,0.5432537301709243,0.58,0,0.620770420711268,0,1,1,2,690
2026-03-01,2026-03,202603010611,06,11R,0.5675932046771691,0.5432537301709243,0.58,0,0.6130156899510779,0,1,1,3,2130
2026-03-01,2026-03,202603010612,06,12R,0.654972368126334,0.5432537301709243,0.58,0,0.44420556972553954,0,1,1,4,1110
2026-03-01,2026-03,202603010701,07,01R,0.41513088948748494,0.5809698025904224,0.58,1,0.5533572326078322,0,1,1,7,850
2026-03-01,2026-03,202603010703,07,03R,0.35045970711325397,0.5809698025904224,0.58,1,0.21896695820738885,0,1,0,0,20950
2026-03-01,2026-03,202603010704,07,04R,0.5236716473033801,0.5809698025904224,0.58,1,0.5201687703025643,0,1,1,16,5320
2026-03-01,2026-03,202603010705,07,05R,0.5609032340261414,0.5809698025904224,0.58,1,0.5899684977343137,0,1,0,0,12880
2026-03-01,2026-03,202603010706,07,06R,0.3846466470312832,0.5809698025904224,0.58,1,0.3672234376508436,0,1,0,0,5500
2026-03-01,2026-03,202603010707,07,07R,0.635364482647676,0.5809698025904224,0.58,1,0.7012733501715472,0,1,0,0,2000
2026-03-01,2026-03,202603010708,07,08R,0.39425592330278597,0.5809698025904224,0.58,1,0.40928750471438274,0,1,1,3,770
