date,month,race_code,venue,race,legacy_pre_p,hybrid_pre_p,hybrid_abs_threshold,p109,entry_course,head_hit,rank_l50,payout100
2026-03-01,2026-03,202603010101,01,01R,0.3539747860404918,0.3539747860404918,0.75,0.40142832546366286,0,1,13,5600
2026-03-01,2026-03,202603010102,01,02R,0.49718176189227026,0.49718176189227037,0.75,0.5630620608635954,0,1,16,31770
2026-03-01,2026-03,202603010103,01,03R,0.36580185675707283,0.36580185675707283,0.75,0.43116447188230117,0,0,0,1170
2026-03-01,2026-03,202603010104,01,04R,0.5564140912303169,0.5564140912303169,0.75,0.5985407866750936,0,0,0,2250
2026-03-01,2026-03,202603010105,01,05R,0.5537665354765144,0.5537665354765144,0.75,0.5120525069652402,0,1,1,760
2026-03-01,2026-03,202603010106,01,06R,0.6990708364358779,0.6990708364358779,0.75,0.8245381223621641,0,1,10,3370
2026-03-01,2026-03,202603010107,01,07R,0.6164827412069237,0.6164827412069237,0.75,0.6511722343452194,0,0,0,52660
2026-03-01,2026-03,202603010108,01,08R,0.5805527481870774,0.5805527481870774,0.75,0.6112729005008475,0,0,0,4470
2026-03-01,2026-03,202603010109,01,09R,0.5006021199231308,0.5006021199231308,0.75,0.5895761803678937,0,0,0,9030
2026-03-01,2026-03,202603010110,01,10R,0.5108342457694308,0.5108342457694307,0.75,0.5425452083344555,0,1,7,3960
2026-03-01,2026-03,202603010111,01,11R,0.7043592165848569,0.7043592165848569,0.75,0.6594591409755239,0,1,6,1850
2026-03-01,2026-03,202603010112,01,12R,0.6582951031937619,0.6582951031937618,0.75,0.5763693613716463,0,1,17,15500
2026-03-01,2026-03,202603010201,02,01R,0.2159336717346424,0.21593367173464242,0.75,0.30715361130004687,0,1,8,9260
2026-03-01,2026-03,202603010202,02,02R,0.21633341553395224,0.21633341553395216,0.75,0.2262795803950853,0,0,0,4390
2026-03-01,2026-03,202603010203,02,03R,0.4475213792067586,0.44752137920675866,0.75,0.5234081778452974,0,1,2,1540
2026-03-01,2026-03,202603010204,02,04R,0.2020081644679903,0.2020081644679904,0.75,0.22343736555189353,0,0,0,18280
2026-03-01,2026-03,202603010205,02,05R,0.47253640085557913,0.47253640085557924,0.75,0.4916925616630162,0,0,0,9550
2026-03-01,2026-03,202603010206,02,06R,0.5650807783670944,0.5650807783670944,0.75,0.6403216596035892,0,1,2,1930
2026-03-01,2026-03,202603010207,02,07R,0.6661382595256136,0.6661382595256136,0.75,0.762028212923783,0,1,3,720
2026-03-01,2026-03,202603010208,02,08R,0.3740275131758857,0.3740275131758856,0.75,0.43134422303293424,0,0,0,19650
2026-03-01,2026-03,202603010209,02,09R,0.617093979732214,0.6170939797322141,0.75,0.7422571149661817,0,1,14,4060
2026-03-01,2026-03,202603010210,02,10R,0.2940414680104662,0.2940414680104662,0.75,0.3195668924857501,0,0,0,11760
2026-03-01,2026-03,202603010211,02,11R,0.593427248564478,0.5934272485644783,0.75,0.6056963854799788,0,1,3,1210
2026-03-01,2026-03,202603010212,02,12R,0.5912076191070198,0.5912076191070198,0.75,0.5540458545594049,0,0,0,37180
2026-03-01,2026-03,202603010301,03,01R,0.5447047784030187,0.5447047784030187,0.75,0.5546495765893472,1,1,8,2100
2026-03-01,2026-03,202603010302,03,02R,0.3503218044027784,0.3503218044027783,0.75,0.3564399352479059,1,0,0,4220
2026-03-01,2026-03,202603010303,03,03R,0.35853210323411194,0.35853210323411194,0.75,0.31837341966627364,1,1,10,4180
2026-03-01,2026-03,202603010304,03,04R,0.29974899560325396,0.29974899560325396,0.75,0.3297071167032238,1,0,0,5630
2026-03-01,2026-03,202603010305,03,05R,0.32639377138479725,0.32639377138479725,0.75,0.23873446430688738,1,0,0,2150
2026-03-01,2026-03,202603010306,03,06R,0.3326151803039953,0.33261518030399534,0.75,0.21941788888892982,1,1,2,1830
2026-03-01,2026-03,202603010307,03,07R,0.3142871738420247,0.3142871738420247,0.75,0.3016388181818124,1,0,0,3360
2026-03-01,2026-03,202603010308,03,08R,0.3994843734025139,0.39948437340251386,0.75,0.3993350520885178,1,0,0,4340
2026-03-01,2026-03,202603010309,03,09R,0.7246454952686902,0.72464549526869,0.75,0.8499551577023106,1,1,13,1100
2026-03-01,2026-03,202603010310,03,10R,0.5000179580292888,0.5000179580292888,0.75,0.4212846996746497,1,0,0,3360
2026-03-01,2026-03,202603010311,03,11R,0.4976790897455638,0.4976790897455638,0.75,0.4362050616729468,1,0,0,1880
2026-03-01,2026-03,202603010312,03,12R,0.6548530805442453,0.6548530805442452,0.75,0.655452081909032,1,0,0,1860
