phase,topn,eligible,pre_per_day,buy_per_day,n,head,hit,cov,roi,chosen
VALIDATION,1,0,1.0,0.8260869565217391,76,82.89473684210526,53.94736842105263,65.07936507936508,73.40225563909775,0
VALIDATION,2,0,2.0,1.6195652173913044,149,76.51006711409396,50.33557046979866,65.78947368421052,64.16107382550335,0
VALIDATION,3,1,3.0,2.4130434782608696,222,81.53153153153153,56.306306306306304,69.06077348066299,80.32175032175032,0
VALIDATION,4,1,4.0,3.152173913043478,290,82.06896551724138,57.241379310344826,69.74789915966386,85.83743842364532,0
VALIDATION,5,1,5.0,3.902173913043478,359,80.22284122562674,55.710306406685234,69.44444444444444,88.04615996816554,0
VALIDATION,6,1,6.0,4.554347826086956,419,80.42959427207637,55.369928400954656,68.8427299703264,89.08285032390044,0
VALIDATION,7,1,7.0,5.130434782608695,472,81.14406779661017,56.355932203389834,69.45169712793734,91.40738498789347,1
VALIDATION,8,1,8.0,5.782608695652174,532,80.45112781954887,55.45112781954887,68.92523364485982,89.24543501611171,0
VALIDATION,9,1,9.0,6.413043478260869,590,79.15254237288136,54.23728813559322,68.52248394004283,89.72881355932203,0
VALIDATION,10,1,10.0,7.032608695652174,647,78.97990726429676,53.78670788253478,68.10176125244618,88.54934864208434,0
VALIDATION,11,1,11.0,7.760869565217392,714,78.8515406162465,53.641456582633054,68.0284191829485,86.78071228491396,0
VALIDATION,12,1,12.0,8.315217391304348,765,78.16993464052288,53.333333333333336,68.22742474916387,84.97478991596638,0
VALIDATION,13,1,13.0,8.847826086956522,814,77.64127764127764,53.31695331695332,68.67088607594937,84.54720954720955,0
VALIDATION,14,1,14.0,9.445652173913043,869,77.79056386651324,52.70425776754891,67.75147928994083,83.32730560578662,0
VALIDATION,15,1,15.0,10.065217391304348,926,77.42980561555076,52.915766738660906,68.34030683403068,82.91422400493674,0
HOLDOUT,1,,1.0,0.945054945054945,86,83.72093023255815,55.81395348837209,66.66666666666667,75.48172757475083,0
HOLDOUT,2,,2.0,1.8571428571428572,169,82.24852071005917,55.62130177514793,67.62589928057554,84.36179205409975,0
HOLDOUT,3,,3.0,2.769230769230769,252,82.14285714285714,53.96825396825397,65.70048309178743,81.88208616780045,0
HOLDOUT,4,,4.0,3.67032967032967,334,80.83832335329342,52.09580838323353,64.44444444444444,77.89136013686912,0
HOLDOUT,5,,5.0,4.527472527472527,412,81.79611650485437,56.067961165048544,68.5459940652819,83.07212205270457,0
HOLDOUT,6,,6.0,5.329670329670329,485,80.41237113402062,54.63917525773196,67.94871794871794,83.51104565537555,0
HOLDOUT,7,,7.0,6.1208791208791204,557,79.89228007181329,54.039497307001795,67.64044943820225,83.88304693511157,1
HOLDOUT,8,,8.0,6.934065934065934,631,80.3486529318542,53.40729001584786,66.46942800788955,80.99388725379217,0
HOLDOUT,9,,9.0,7.714285714285714,702,80.76923076923077,54.41595441595442,67.37213403880071,81.65242165242165,0
HOLDOUT,10,,10.0,8.483516483516484,772,80.56994818652849,54.015544041450774,67.04180064308682,81.44522575869726,0
HOLDOUT,11,,11.0,9.241758241758241,841,80.38049940546968,53.983353151010704,67.15976331360947,83.16969594020723,0
HOLDOUT,12,,12.0,9.989010989010989,909,80.1980198019802,54.12541254125413,67.48971193415638,81.61559013044162,0
HOLDOUT,13,,13.0,10.747252747252746,978,80.06134969325153,54.60122699386503,68.19923371647509,82.32398480864738,0
HOLDOUT,14,,14.0,11.395604395604396,1037,80.42430086788814,54.38765670202507,67.62589928057554,82.33227717316434,0
HOLDOUT,15,,15.0,12.087912087912088,1100,80.27272727272727,54.27272727272727,67.61041902604757,81.83896103896105,0
