date,race_code,actual,pre143,pred145,branch145,conf145,gate_p1,p_1逃げ,p_3まくり,p_3まくり差し,p_4カド,p_5頭,p_その他
2026-08-01,202608010101,1逃げ,4カド,4カド,non1-specialized,0.3986846503887561,0.28837020483312575,28.837020483312575,13.151177178668034,4.843111307207017,39.86846503887561,5.376953070953972,7.92327292098279
2026-08-01,202608010102,その他,4カド,3まくり,non1-specialized,0.35269392606776706,0.24157381300220568,24.157381300220568,35.269392606776705,15.83282893135782,14.650833189070356,3.304830373192861,6.784733599381688
2026-08-01,202608010103,1逃げ,1逃げ,その他,non1-specialized,0.22574816353197108,0.26805442767746485,26.805442767746484,14.92930430981459,20.204709369680725,8.287838099438925,7.197889100122177,22.574816353197107
2026-08-01,202608010104,4カド,5頭,3まくり,non1-specialized,0.3754008942035524,0.18473055431618046,18.473055431618047,37.54008942035524,19.466758757403397,6.829768797436198,6.357209378326277,11.333118214860843
2026-08-01,202608010105,1逃げ,4カド,4カド,non1-specialized,0.21792436168921753,0.27559238038035205,27.559238038035204,12.550415137869509,10.287603519354551,21.792436168921753,12.137913956451333,15.672393179367655
2026-08-01,202608010106,1逃げ,1逃げ,1逃げ,1-gate,0.6253497132332937,0.6253497132332937,62.53497132332937,0,0,0,0,0
2026-08-01,202608010107,3まくり,1逃げ,1逃げ,1-gate,0.46220700064183506,0.46220700064183506,46.220700064183504,0,0,0,0,0
2026-08-01,202608010108,1逃げ,1逃げ,1逃げ,1-gate,0.7860767675710547,0.7860767675710547,78.60767675710547,0,0,0,0,0
2026-08-01,202608010109,4カド,1逃げ,4カド,non1-specialized,0.3032191301204927,0.3224887770082131,32.24887770082131,5.713695373047959,7.408317239781277,30.32191301204927,8.022759705891733,16.284436968408453
2026-08-01,202608010110,その他,1逃げ,3まくり,non1-specialized,0.22569000502158643,0.33733318990650946,33.73331899065094,22.569000502158644,18.69458378083745,6.75548971375486,6.487551986445014,11.760055026153085
2026-08-01,202608010111,1逃げ,1逃げ,3まくり,non1-specialized,0.2799812562271824,0.39559648127045444,39.55964812704544,27.99812562271824,10.772982312883004,5.263123527170179,5.123660580483797,11.282459829699336
2026-08-01,202608010112,1逃げ,1逃げ,1逃げ,1-gate,0.5634212011587268,0.5634212011587268,56.34212011587268,0,0,0,0,0
2026-08-01,202608010501,3まくり,5頭,3まくり,non1-specialized,0.24731455672050595,0.3636497104900452,36.36497104900452,24.731455672050593,13.224876379539975,0.753594691016114,20.841882442094832,4.0832197662939596
2026-08-01,202608010502,3まくり,1逃げ,1逃げ,1-gate,0.4553269291087082,0.4553269291087082,45.53269291087082,0,0,0,0,0
2026-08-01,202608010503,1逃げ,1逃げ,1逃げ,1-gate,0.5884957631513605,0.5884957631513605,58.849576315136055,0,0,0,0,0
2026-08-01,202608010504,1逃げ,1逃げ,その他,non1-specialized,0.20901180893529245,0.3776905216344337,37.76905216344337,6.523784482055508,3.498648138280427,15.8249063646155,15.482427958075945,20.901180893529244
2026-08-01,202608010505,その他,1逃げ,1逃げ,1-gate,0.7232030421624877,0.7232030421624877,72.32030421624877,0,0,0,0,0
2026-08-01,202608010506,1逃げ,1逃げ,1逃げ,1-gate,0.5994658230288054,0.5994658230288054,59.946582302880536,0,0,0,0,0
2026-08-01,202608010507,1逃げ,1逃げ,1逃げ,1-gate,0.8290264133425562,0.8290264133425562,82.90264133425562,0,0,0,0,0
2026-08-01,202608010508,1逃げ,1逃げ,1逃げ,1-gate,0.7614593279387867,0.7614593279387867,76.14593279387867,0,0,0,0,0
2026-08-01,202608010509,1逃げ,1逃げ,1逃げ,1-gate,0.6347388554249522,0.6347388554249522,63.473885542495225,0,0,0,0,0
2026-08-01,202608010510,1逃げ,1逃げ,1逃げ,1-gate,0.6894651134698284,0.6894651134698284,68.94651134698285,0,0,0,0,0
2026-08-01,202608010511,1逃げ,1逃げ,1逃げ,1-gate,0.7441745470915223,0.7441745470915223,74.41745470915222,0,0,0,0,0
2026-08-01,202608010512,3まくり差し,1逃げ,1逃げ,1-gate,0.680791643481713,0.680791643481713,68.07916434817129,0,0,0,0,0
2026-08-01,202608010601,その他,1逃げ,1逃げ,1-gate,0.45516701930225606,0.45516701930225606,45.51670193022561,0,0,0,0,0
2026-08-01,202608010602,1逃げ,1逃げ,1逃げ,1-gate,0.6465195010936097,0.6465195010936097,64.65195010936097,0,0,0,0,0
2026-08-01,202608010603,その他,1逃げ,5頭,non1-specialized,0.3519225017073194,0.249224861938464,24.9224861938464,5.567859102348329,10.551512631553827,10.744948562666098,35.192250170731946,13.020943338853403
2026-08-01,202608010604,1逃げ,1逃げ,1逃げ,1-gate,0.778859286477549,0.778859286477549,77.8859286477549,0,0,0,0,0
2026-08-01,202608010605,1逃げ,1逃げ,その他,non1-specialized,0.32923313936809806,0.26153874971575475,26.153874971575476,6.772882545861155,17.180777641599924,8.58768659628365,8.38146430787,32.923313936809805
2026-08-01,202608010606,その他,5頭,3まくり差し,non1-specialized,0.3336257100221093,0.39585374299315373,39.585374299315376,2.216540842089628,33.36257100221093,0.29612704204307705,19.170878386091346,5.368508428249657
2026-08-01,202608010607,4カド,5頭,3まくり差し,non1-specialized,0.19968795251948046,0.27499444843663834,27.499444843663834,10.028197117389968,19.968795251948045,9.19967711334045,14.782817392436534,18.52106828122117
2026-08-01,202608010608,4カド,1逃げ,1逃げ,1-gate,0.7561010177269943,0.7561010177269943,75.61010177269944,0,0,0,0,0
2026-08-01,202608010609,3まくり差し,1逃げ,1逃げ,1-gate,0.7458473749448953,0.7458473749448953,74.58473749448953,0,0,0,0,0
2026-08-01,202608010610,1逃げ,1逃げ,1逃げ,1-gate,0.7882079102088346,0.7882079102088346,78.82079102088346,0,0,0,0,0
2026-08-01,202608010611,5頭,1逃げ,1逃げ,1-gate,0.6763743269977203,0.6763743269977203,67.63743269977202,0,0,0,0,0
2026-08-01,202608010612,1逃げ,1逃げ,1逃げ,1-gate,0.5600316687687902,0.5600316687687902,56.00316687687902,0,0,0,0,0
2026-08-01,202608010801,その他,1逃げ,1逃げ,1-gate,0.7568218265344248,0.7568218265344248,75.68218265344248,0,0,0,0,0
2026-08-01,202608010802,1逃げ,5頭,1逃げ,1-gate,0.664755256208747,0.664755256208747,66.47552562087469,0,0,0,0,0
2026-08-01,202608010803,1逃げ,1逃げ,1逃げ,1-gate,0.5865425594688324,0.5865425594688324,58.65425594688324,0,0,0,0,0
2026-08-01,202608010804,5頭,5頭,1逃げ,1-gate,0.516846132275837,0.516846132275837,51.6846132275837,0,0,0,0,0
2026-08-01,202608010805,1逃げ,5頭,その他,non1-specialized,0.3175743056202892,0.20606297288470182,20.60629728847018,10.059147403024973,5.759926990385813,3.2540819324004553,28.56311582368966,31.757430562028922
2026-08-01,202608010806,1逃げ,1逃げ,1逃げ,1-gate,0.7163812513482732,0.7163812513482732,71.63812513482732,0,0,0,0,0
2026-08-01,202608010807,1逃げ,その他,3まくり,non1-specialized,0.35147321805875603,0.26421973334775123,26.421973334775124,35.147321805875606,16.647897011587553,6.1152153330779875,2.2876970832230796,13.37989543146065
2026-08-01,202608010808,1逃げ,その他,1逃げ,1-gate,0.4487454423030696,0.4487454423030696,44.87454423030696,0,0,0,0,0
2026-08-01,202608010809,1逃げ,1逃げ,1逃げ,1-gate,0.5642818851190362,0.5642818851190362,56.42818851190362,0,0,0,0,0
2026-08-01,202608010810,1逃げ,1逃げ,1逃げ,1-gate,0.6522663415875234,0.6522663415875234,65.22663415875233,0,0,0,0,0
2026-08-01,202608010811,1逃げ,1逃げ,1逃げ,1-gate,0.634370768906336,0.634370768906336,63.437076890633605,0,0,0,0,0
2026-08-01,202608010812,その他,1逃げ,1逃げ,1-gate,0.7041799244531768,0.7041799244531768,70.41799244531768,0,0,0,0,0
2026-08-01,202608011001,1逃げ,1逃げ,1逃げ,1-gate,0.4747325291867415,0.4747325291867415,47.473252918674156,0,0,0,0,0
2026-08-01,202608011002,1逃げ,1逃げ,5頭,non1-specialized,0.25098767873247124,0.3654191536398602,36.54191536398602,9.978531844180315,9.896606158047282,5.0250851833566665,25.098767873247123,13.45909357718259
2026-08-01,202608011003,4カド,1逃げ,1逃げ,1-gate,0.6862396398821827,0.6862396398821827,68.62396398821828,0,0,0,0,0
2026-08-01,202608011004,1逃げ,1逃げ,1逃げ,1-gate,0.5360406821519952,0.5360406821519952,53.60406821519952,0,0,0,0,0
2026-08-01,202608011005,1逃げ,1逃げ,1逃げ,1-gate,0.7191000378232704,0.7191000378232704,71.91000378232704,0,0,0,0,0
2026-08-01,202608011006,1逃げ,1逃げ,1逃げ,1-gate,0.666029867358533,0.666029867358533,66.60298673585329,0,0,0,0,0
2026-08-01,202608011007,4カド,1逃げ,1逃げ,1-gate,0.4755706094639566,0.4755706094639566,47.55706094639566,0,0,0,0,0
2026-08-01,202608011008,1逃げ,1逃げ,4カド,non1-specialized,0.37289105160607766,0.3235124875387174,32.351248753871744,6.942530288490767,3.7227782175649744,37.28910516060777,4.977861531209539,14.716476048255215
2026-08-01,202608011009,1逃げ,1逃げ,1逃げ,1-gate,0.485315148854406,0.485315148854406,48.5315148854406,0,0,0,0,0
2026-08-01,202608011010,1逃げ,1逃げ,1逃げ,1-gate,0.6503272510844894,0.6503272510844894,65.03272510844894,0,0,0,0,0
2026-08-01,202608011011,1逃げ,1逃げ,1逃げ,1-gate,0.5618034646704746,0.5618034646704746,56.18034646704746,0,0,0,0,0
2026-08-01,202608011012,その他,1逃げ,1逃げ,1-gate,0.6498856645604668,0.6498856645604668,64.98856645604668,0,0,0,0,0
2026-08-01,202608011101,1逃げ,1逃げ,1逃げ,1-gate,0.823729721551437,0.823729721551437,82.3729721551437,0,0,0,0,0
2026-08-01,202608011102,1逃げ,1逃げ,1逃げ,1-gate,0.6995295942351588,0.6995295942351588,69.95295942351588,0,0,0,0,0
2026-08-01,202608011103,3まくり,5頭,1逃げ,1-gate,0.4792050516166767,0.4792050516166767,47.92050516166767,0,0,0,0,0
2026-08-01,202608011104,1逃げ,1逃げ,1逃げ,1-gate,0.7455277212221009,0.7455277212221009,74.55277212221009,0,0,0,0,0
2026-08-01,202608011105,1逃げ,1逃げ,1逃げ,1-gate,0.759339654722621,0.759339654722621,75.9339654722621,0,0,0,0,0
2026-08-01,202608011106,1逃げ,1逃げ,1逃げ,1-gate,0.6008359765439256,0.6008359765439256,60.08359765439256,0,0,0,0,0
2026-08-01,202608011109,1逃げ,1逃げ,1逃げ,1-gate,0.6704711303991878,0.6704711303991878,67.04711303991878,0,0,0,0,0
2026-08-01,202608011110,1逃げ,1逃げ,1逃げ,1-gate,0.8326349405403993,0.8326349405403993,83.26349405403994,0,0,0,0,0
2026-08-01,202608011111,1逃げ,1逃げ,1逃げ,1-gate,0.7583091106079392,0.7583091106079392,75.83091106079391,0,0,0,0,0
2026-08-01,202608011112,5頭,1逃げ,1逃げ,1-gate,0.7743255546168669,0.7743255546168669,77.43255546168669,0,0,0,0,0
2026-08-01,202608011301,その他,1逃げ,3まくり,non1-specialized,0.202848309814884,0.3271808887329545,32.71808887329545,20.2848309814884,8.587935751307537,18.88787403810519,12.383369663388875,7.137900692414551
2026-08-01,202608011303,その他,1逃げ,1逃げ,1-gate,0.4262390461585383,0.4262390461585383,42.62390461585383,0,0,0,0,0
2026-08-01,202608011304,その他,1逃げ,1逃げ,1-gate,0.605530884636391,0.605530884636391,60.55308846363911,0,0,0,0,0
2026-08-01,202608011305,その他,1逃げ,1逃げ,1-gate,0.7193965568543914,0.7193965568543914,71.93965568543913,0,0,0,0,0
2026-08-01,202608011306,4カド,1逃げ,1逃げ,1-gate,0.5060370652914308,0.5060370652914308,50.603706529143075,0,0,0,0,0
2026-08-01,202608011307,その他,1逃げ,1逃げ,1-gate,0.6587011512667995,0.6587011512667995,65.87011512667995,0,0,0,0,0
