jcd,race,race_code,pre_source,pre_model,pre_score,pre_name,one_pre,pre143,final,confidence,gate_p1,branch,actual,scenario_hit,head_hit
03,5,202609050305,v107構造候補,3まくり差し,57.6,中島昂章,23.295185995645713,5頭,5頭,30.097278238700547,22.910506514172983,non1-specialized,3まくり,0,0
03,8,202609050308,v107構造候補,5頭展開,68.8,松本博昭,,,NO_DIRECT,,,missing-direct,その他,,
03,12,202609050312,v107構造候補,5頭展開,76.0,新田泰章,64.29535480408023,1逃げ,5頭,17.089441854315172,39.58718821385297,non1-specialized,3まくり,0,0
07,11,202609050711,v107構造候補,5頭展開,66.9,高倉孝太,77.21306823245061,1逃げ,1逃げ,67.44565646871186,67.44565646871186,1-gate,1逃げ,1,1
09,4,202609050904,1頭Legacy top5,1頭,81.21359408571831,金子 拓矢,81.21359408571831,1逃げ,1逃げ,67.20955274171394,67.20955274171394,1-gate,1逃げ,1,1
09,7,202609050907,1頭Legacy top5 + v107構造候補,1頭 / 5頭展開,82.02338866016022,西村 拓也,82.02338866016022,1逃げ,1逃げ,68.8818376652906,68.8818376652906,1-gate,4カド,0,0
09,9,202609050909,1頭Legacy top5,1頭,82.78121160131194,磯部 誠,82.78121160131194,1逃げ,1逃げ,70.873035457745,70.873035457745,1-gate,1逃げ,1,1
09,12,202609050912,v107構造候補,5頭展開,81.4,石丸海渡,74.10934129623374,1逃げ,1逃げ,55.69621336843566,55.69621336843566,1-gate,1逃げ,1,1
10,2,202609051002,v107構造候補,4カドまくり,59.6,長谷川雅和,59.94653280469882,1逃げ,1逃げ,60.3574945246338,60.3574945246338,1-gate,1逃げ,1,1
12,7,202609051207,v107構造候補,4カドまくり,68.6,柏野幸二,61.22392142263159,1逃げ,1逃げ,42.251522146061035,42.251522146061035,1-gate,1逃げ,1,1
12,10,202609051210,v107構造候補,5頭展開,70.2,山本修一,72.03244606338319,1逃げ,1逃げ,42.824055701326,42.824055701326,1-gate,4カド,0,0
13,6,202609051306,v107構造候補,4カドまくり,76.7,柳沢一,71.50661866199003,1逃げ,1逃げ,55.159694427053566,55.159694427053566,1-gate,1逃げ,1,1
13,12,202609051312,1頭Legacy top5,1頭,81.25780773951557,平田 忠則,81.25780773951557,1逃げ,1逃げ,60.195340934800655,60.195340934800655,1-gate,1逃げ,1,1
17,8,202609051708,v107構造候補,3まくり,74.1,小原聡将,67.81721818075674,1逃げ,1逃げ,57.28726681141099,57.28726681141099,1-gate,1逃げ,1,1
17,12,202609051712,1頭Legacy top5,1頭,81.18780488037204,前田 滉,81.18780488037204,1逃げ,1逃げ,84.18400330944688,84.18400330944688,1-gate,1逃げ,1,1
18,11,202609051811,v107構造候補,5頭展開,73.8,佐藤大佑,79.82183425435824,1逃げ,1逃げ,70.01553848894837,70.01553848894837,1-gate,1逃げ,1,1
22,2,202609052202,v107構造候補,3まくり,59.5,堀越雄貴,31.75675084825781,その他,3まくり,35.28987425723234,20.051333340759804,non1-specialized,3まくり,1,1
22,6,202609052206,v107構造候補,4カドまくり,76.2,溝口海義也,40.977559818178776,4カド,その他,28.796297556939138,27.900663384408038,non1-specialized,1逃げ,0,0
