race_code,branch,head,buy,reason,p109,grade109,logic,points,tickets,actual_combo,payout100,hit,invest,return
202609050711,1逃げ,1,SKIP,1head_not_v109_S,,,,,,,,,,
202609050904,1逃げ,1,SKIP,1head_not_v109_S,0.68186443,A,,,,,,,,
202609050907,1逃げ,1,BUY,,0.80715315,S,v110_top7,7,1-2-4;1-4-2;1-2-6;1-4-6;1-2-5;1-2-3;1-4-5,4-1-5,5990,0,700,0
202609050909,1逃げ,1,BUY,,0.77235912,S,v110_top7,7,1-2-6;1-2-4;1-2-3;1-4-2;1-3-2;1-6-2;1-2-5,1-4-5,2190,0,700,0
202609050912,1逃げ,1,SKIP,1head_not_v109_S,0.59978416,B,,,,,,,,
202609051002,1逃げ,1,SKIP,1head_not_v109_S,0.60916040,B,,,,,,,,
202609051207,1逃げ,1,SKIP,1head_not_v109_S,0.60340690,B,,,,,,,,
202609051210,1逃げ,1,SKIP,1head_not_v109_S,,,,,,,,,,
202609051306,1逃げ,1,BUY,,0.73671693,S,v110_top7,7,1-4-3;1-3-4;1-4-2;1-2-4;1-3-2;1-4-5;1-2-3,1-3-4,670,1,700,670
202609051312,1逃げ,1,SKIP,1head_not_v109_S,0.67236176,A,,,,,,,,
202609051708,1逃げ,1,SKIP,1head_not_v109_S,0.64502367,B,,,,,,,,
202609051712,1逃げ,1,BUY,,0.87341411,S,v110_top7,7,1-4-6;1-3-6;1-3-4;1-6-4;1-4-3;1-6-3;1-2-6,1-4-3,1650,1,700,1650
202609051811,1逃げ,1,BUY,,0.82796390,S,v110_top7,7,1-2-4;1-4-2;1-4-6;1-2-6;1-4-5;1-2-5;1-4-3,1-2-3,490,0,700,0
202609052202,3まくり,3,BUY,,,,current_v51_6,6,3-5-4;3-5-6;3-5-1;3-4-5;3-4-6;3-4-1,3-1-4,4110,0,600,0
