race_code,branch,confidence,status,points,rank,rank_col,actual_combo,hit,invest,return,payout100
202608010101,4カド,0.3986846503887561,NO_SOURCE,,,,,,,,
202608010102,3まくり,0.35269392606776706,NO_SOURCE,,,,,,,,
202608010104,3まくり,0.3754008942035524,NO_SOURCE,,,,,,,,
202608010105,4カド,0.21792436168921753,NO_SOURCE,,,,,,,,
202608010106,1逃げ,0.6253497132332937,SETTLED,7,3,v110_rank20,1-4-2,1,700,1550,1550
202608010107,1逃げ,0.46220700064183506,UNSETTLED,,,,3-2-1,,,,2440
202608010108,1逃げ,0.7860767675710547,SETTLED,7,7,v110_rank20,1-2-6,1,700,2080,2080
202608010109,4カド,0.3032191301204927,NO_SOURCE,,,,,,,,
202608010110,3まくり,0.22569000502158643,NO_SOURCE,,,,,,,,
202608010111,3まくり,0.2799812562271824,NO_SOURCE,,,,,,,,
202608010112,1逃げ,0.5634212011587268,SETTLED,7,9,v110_rank20,1-2-3,0,700,0,1240
202608010501,3まくり,0.24731455672050595,NO_SOURCE,,,,,,,,
202608010502,1逃げ,0.4553269291087082,UNSETTLED,,,,3-5-1,,,,9540
202608010503,1逃げ,0.5884957631513605,SETTLED,7,4,v110_rank20,1-2-4,1,700,1270,1270
202608010505,1逃げ,0.7232030421624877,UNSETTLED,,,,3-6-4,,,,91580
202608010506,1逃げ,0.5994658230288054,SETTLED,7,1,v110_rank20,1-4-6,1,700,870,870
202608010507,1逃げ,0.8290264133425562,SETTLED,7,1,v110_rank20,1-3-4,1,700,470,470
202608010508,1逃げ,0.7614593279387867,SETTLED,7,4,v110_rank20,1-3-2,1,700,1290,1290
202608010509,1逃げ,0.6347388554249522,SETTLED,7,9,v110_rank20,1-6-5,0,700,0,2840
202608010510,1逃げ,0.6894651134698284,SETTLED,7,3,v110_rank20,1-3-6,1,700,2150,2150
202608010511,1逃げ,0.7441745470915223,SETTLED,7,2,v110_rank20,1-3-4,1,700,680,680
202608010512,1逃げ,0.680791643481713,UNSETTLED,,,,3-1-5,,,,11510
202608010601,1逃げ,0.45516701930225606,UNSETTLED,,,,2-1-5,,,,12870
202608010602,1逃げ,0.6465195010936097,SETTLED,7,1,v110_rank20,1-2-6,1,700,1070,1070
202608010603,5頭,0.3519225017073194,NO_SOURCE,,,,,,,,
202608010604,1逃げ,0.778859286477549,SETTLED,7,19,v110_rank20,1-4-6,0,700,0,1780
202608010606,3まくり差し,0.3336257100221093,NO_SOURCE,,,,,,,,
202608010607,3まくり差し,0.19968795251948046,NO_SOURCE,,,,,,,,
202608010608,1逃げ,0.7561010177269943,UNSETTLED,,,,4-3-1,,,,4100
202608010609,1逃げ,0.7458473749448953,UNSETTLED,,,,3-1-6,,,,980
202608010610,1逃げ,0.7882079102088346,SETTLED,7,10,v110_rank20,1-5-4,0,700,0,2890
202608010611,1逃げ,0.6763743269977203,UNSETTLED,,,,5-4-6,,,,52700
202608010612,1逃げ,0.5600316687687902,SETTLED,7,12,v110_rank20,1-2-4,0,700,0,1710
202608010801,1逃げ,0.7568218265344248,UNSETTLED,,,,2-1-4,,,,2220
202608010802,1逃げ,0.664755256208747,SETTLED,7,2,v110_rank20,1-2-5,1,700,600,600
202608010803,1逃げ,0.5865425594688324,SETTLED,7,1,v110_rank20,1-2-4,1,700,740,740
202608010804,1逃げ,0.516846132275837,UNSETTLED,,,,5-1-2,,,,3250
202608010806,1逃げ,0.7163812513482732,SETTLED,7,8,v110_rank20,1-2-3,0,700,0,1050
202608010807,3まくり,0.35147321805875603,NO_SOURCE,,,,,,,,
202608010808,1逃げ,0.4487454423030696,SETTLED,7,2,v110_rank20,1-3-2,1,700,870,870
202608010809,1逃げ,0.5642818851190362,SETTLED,7,1,v110_rank20,1-4-3,1,700,850,850
202608010810,1逃げ,0.6522663415875234,SETTLED,7,5,v110_rank20,1-3-6,1,700,2740,2740
202608010811,1逃げ,0.634370768906336,SETTLED,7,3,v110_rank20,1-3-4,1,700,610,610
202608010812,1逃げ,0.7041799244531768,UNSETTLED,,,,2-3-5,,,,48060
202608011001,1逃げ,0.4747325291867415,SETTLED,7,7,v110_rank20,1-2-4,1,700,850,850
202608011002,5頭,0.25098767873247124,NO_SOURCE,,,,,,,,
202608011003,1逃げ,0.6862396398821827,UNSETTLED,,,,4-3-5,,,,12030
202608011004,1逃げ,0.5360406821519952,SETTLED,7,2,v110_rank20,1-5-6,1,700,1580,1580
202608011005,1逃げ,0.7191000378232704,SETTLED,7,1,v110_rank20,1-4-6,1,700,970,970
202608011006,1逃げ,0.666029867358533,SETTLED,7,1,v110_rank20,1-4-6,1,700,2510,2510
202608011007,1逃げ,0.4755706094639566,UNSETTLED,,,,4-1-6,,,,1630
202608011008,4カド,0.37289105160607766,NO_SOURCE,,,,,,,,
