race_code,branch,dedicated_model,agreement_status,score_source,dedicated_score,entry_gate,S67_buy,v148_status,settled,hit,invest,return,points,payout100,actual_combo
202608010101,4カド,4カドまくり,NO_DEDICATED_CANDIDATE,,,0,0,NO_SOURCE,0,,,,,,
202608010102,3まくり,3まくり,NO_DEDICATED_CANDIDATE,,,0,0,NO_SOURCE,0,,,,,,
202608010104,3まくり,3まくり,NO_DEDICATED_CANDIDATE,,,0,0,NO_SOURCE,0,,,,,,
202608010105,4カド,4カドまくり,NO_DEDICATED_CANDIDATE,,,0,0,NO_SOURCE,0,,,,,,
202608010109,4カド,4カドまくり,NO_DEDICATED_CANDIDATE,,,0,0,NO_SOURCE,0,,,,,,
202608010110,3まくり,3まくり,NO_DEDICATED_CANDIDATE,,,0,0,NO_SOURCE,0,,,,,,
202608010111,3まくり,3まくり,NO_DEDICATED_CANDIDATE,,,0,0,NO_SOURCE,0,,,,,,
202608010501,3まくり,3まくり,NO_DEDICATED_CANDIDATE,,,0,0,NO_SOURCE,0,,,,,,
202608010603,5頭,5頭展開,NO_DEDICATED_CANDIDATE,,,0,0,NO_SOURCE,0,,,,,,
202608010606,3まくり差し,3まくり差し,NO_DEDICATED_CANDIDATE,,,0,0,NO_SOURCE,0,,,,,,
202608010607,3まくり差し,3まくり差し,NO_DEDICATED_CANDIDATE,,,0,0,NO_SOURCE,0,,,,,,
202608010807,3まくり,3まくり,NO_DEDICATED_CANDIDATE,,,0,0,NO_SOURCE,0,,,,,,
202608011002,5頭,5頭展開,NO_DEDICATED_CANDIDATE,,,0,0,NO_SOURCE,0,,,,,,
202608011008,4カド,4カドまくり,NO_DEDICATED_CANDIDATE,,,0,0,NO_SOURCE,0,,,,,,
202608011301,3まくり,3まくり,ELIGIBLE_SCORE,v90,59.211,1,0,SETTLED,1,0,600,0,6,201040,2-5-1
202608011504,3まくり差し,3まくり差し,NO_DEDICATED_CANDIDATE,,,0,0,NO_SOURCE,0,,,,,,
202608011506,5頭,5頭展開,NO_DEDICATED_CANDIDATE,,,0,0,NO_SOURCE,0,,,,,,
202608011605,4カド,4カドまくり,ELIGIBLE_SCORE,v91_CORR20,54.1338,1,0,SETTLED,1,0,700,0,7,4420,1-3-6
202608011806,5頭,5頭展開,NO_DEDICATED_CANDIDATE,,,0,0,NO_SOURCE,0,,,,,,
202608012203,3まくり,3まくり,NO_DEDICATED_CANDIDATE,,,0,0,NO_SOURCE,0,,,,,,
202608012204,3まくり,3まくり,NO_DEDICATED_CANDIDATE,,,0,0,NO_SOURCE,0,,,,,,
202608012205,3まくり,3まくり,NO_DEDICATED_CANDIDATE,,,0,0,NO_SOURCE,0,,,,,,
202608012210,3まくり,3まくり,NO_DEDICATED_CANDIDATE,,,0,0,NO_SOURCE,0,,,,,,
202608012308,5頭,5頭展開,NO_DEDICATED_CANDIDATE,,,0,0,NO_SOURCE,0,,,,,,
