race_code,branch,dedicated_score,agreement_status,S67_buy,join_found,settled,ticket_status,points,actual_combo,hit,invest,return,payout100
202608031301,3まくり,73.6394,ELIGIBLE_SCORE,1,1,1,SETTLED,6,1-4-5,0,600,0,2910
202608031304,5頭,74.104,ELIGIBLE_SCORE,1,1,1,SETTLED,6,4-5-6,0,600,0,7090
202608050401,5頭,83.6327,ELIGIBLE_SCORE,1,1,1,SETTLED,6,5-4-6,1,600,1430,1430
202608050407,5頭,81.3336,ELIGIBLE_SCORE,1,1,1,SETTLED,6,5-1-3,0,600,0,20600
202608051709,3まくり,86.2241,ELIGIBLE_SCORE,1,1,1,SETTLED,6,3-1-2,0,600,0,4900
202608071201,4カド,75.8284,ELIGIBLE_SCORE,1,1,1,SETTLED,7,3-4-2,0,700,0,9810
202608090303,3まくり,73.0858,ELIGIBLE_SCORE,1,1,1,SETTLED,6,1-5-4,0,600,0,19670
202608090907,5頭,71.6935,ELIGIBLE_SCORE,1,1,1,SETTLED,6,5-4-1,1,600,4800,4800
202608092306,4カド,74.7927,ELIGIBLE_SCORE,1,1,1,SETTLED,7,4-2-5,1,700,720,720
202608102308,4カド,83.4888,ELIGIBLE_SCORE,1,1,1,SETTLED,7,4-3-2,0,700,0,3960
202608110505,4カド,67.9089,ELIGIBLE_SCORE,1,1,1,SETTLED,7,4-3-1,0,700,0,11460
202608112305,4カド,84.9446,ELIGIBLE_SCORE,1,1,1,SETTLED,7,4-1-6,1,700,810,810
202608150506,3まくり,74.0875,ELIGIBLE_SCORE,1,1,1,SETTLED,6,1-3-5,0,600,0,1420
202608151704,5頭,72.99,ELIGIBLE_SCORE,1,1,1,SETTLED,6,2-3-5,0,600,0,3230
202608160904,4カド,90.5136,ELIGIBLE_SCORE,1,1,1,SETTLED,7,2-4-6,0,700,0,1580
202608182001,3まくり,71.3386,ELIGIBLE_SCORE,1,1,1,SETTLED,6,3-1-6,1,600,680,680
202608202005,4カド,98.3999,ELIGIBLE_SCORE,1,1,1,SETTLED,7,2-1-4,0,700,0,1740
202608212106,5頭,73.8869,ELIGIBLE_SCORE,1,1,1,SETTLED,6,3-6-5,0,600,0,14490
202608220206,5頭,67.5229,ELIGIBLE_SCORE,1,1,1,SETTLED,6,4-5-6,0,600,0,930
202608220404,4カド,86.2669,ELIGIBLE_SCORE,1,1,1,SETTLED,7,1-6-4,0,700,0,1740
202608222202,3まくり,67.5543,ELIGIBLE_SCORE,1,1,1,SETTLED,6,3-2-5,0,600,0,5190
202608240706,4カド,71.4022,ELIGIBLE_SCORE,1,1,1,SETTLED,7,4-5-6,0,700,0,1270
202608241810,3まくり,68.6513,ELIGIBLE_SCORE,1,1,1,SETTLED,6,3-1-2,0,600,0,3590
202608260904,3まくり差し,91.1528,ELIGIBLE_SCORE,1,1,1,SETTLED,6,3-4-2,0,600,0,4720
202608260905,4カド,81.2268,ELIGIBLE_SCORE,1,1,1,SETTLED,7,4-6-3,1,700,3890,3890
202608261301,3まくり,75.39,ELIGIBLE_SCORE,1,1,1,SETTLED,6,2-1-3,0,600,0,7690
202608301902,5頭,77.5486,ELIGIBLE_SCORE,1,1,1,SETTLED,6,2-4-5,0,600,0,6340
202608302106,5頭,72.6357,ELIGIBLE_SCORE,1,1,1,SETTLED,6,4-5-2,0,600,0,3360
202608310804,4カド,75.1134,ELIGIBLE_SCORE,1,1,1,SETTLED,7,4-5-1,1,700,2290,2290
