date,race_code,venue,boat,racer_id,racer_name,ex_course,actual_course,course_same,ex_st,actual_st,delta_actual_minus_ex,inside_ex_st,outside_ex_st,inside_bucket,outside_bucket,own_bucket
2026-05-01,202605010101,01,1,4491,田中 堅,1,1,1,0.18,0.32,0.14,,0.17,missing,.16-.20,.16-.20
2026-05-01,202605010101,01,2,3889,須藤 隆雄,2,3,0,0.17,0.34,0.17,0.18,0.21,.16-.20,>.20,.16-.20
2026-05-01,202605010101,01,3,5150,坂本 雄紀,3,4,0,0.21,0.27,0.060000000000000026,0.17,0.13,.16-.20,.11-.15,>.20
2026-05-01,202605010101,01,4,5216,長谷川 晴哉,4,5,0,0.13,0.18,0.04999999999999999,0.21,0.01,>.20,<=.05,.11-.15
2026-05-01,202605010101,01,5,3947,寺本 昇平,5,2,0,0.01,0.31,0.3,0.13,0.14,.11-.15,.11-.15,<=.05
2026-05-01,202605010101,01,6,5390,高橋 涼夏,6,6,1,0.14,0.23,0.09,0.01,,<=.05,missing,.11-.15
2026-05-01,202605010102,01,1,3293,宮内 由紀英,1,1,1,0.09,0.18,0.09,,0.02,missing,<=.05,.06-.10
2026-05-01,202605010102,01,2,3686,鳥居塚 孝博,2,2,1,0.02,0.17,0.15000000000000002,0.09,0.06,.06-.10,.06-.10,<=.05
2026-05-01,202605010102,01,3,4486,野村 誠,3,3,1,0.06,0.14,0.08000000000000002,0.02,0.05,<=.05,<=.05,.06-.10
2026-05-01,202605010102,01,4,4645,上村 純一,4,4,1,0.05,0.18,0.13,0.06,0.02,.06-.10,<=.05,<=.05
2026-05-01,202605010102,01,5,4987,島倉 都,5,5,1,0.02,0.15,0.13,0.05,0.21,<=.05,>.20,<=.05
2026-05-01,202605010102,01,6,3699,富永 正人,6,6,1,0.21,0.29,0.07999999999999999,0.02,,<=.05,missing,>.20
2026-05-01,202605010103,01,1,3448,高山 秀雄,1,1,1,0.22,0.21,-0.010000000000000009,,0.16,missing,.16-.20,>.20
2026-05-01,202605010103,01,2,3406,中里 英夫,2,2,1,0.16,0.21,0.04999999999999999,0.22,0.15,>.20,.11-.15,.16-.20
2026-05-01,202605010103,01,3,3532,柴田 光,3,3,1,0.15,0.2,0.05000000000000002,0.16,0.36,.16-.20,>.20,.11-.15
2026-05-01,202605010103,01,4,4819,蜂須 瑞生,4,4,1,0.36,0.25,-0.10999999999999999,0.15,0.15,.11-.15,.11-.15,>.20
2026-05-01,202605010103,01,5,3475,橋本 久和,5,5,1,0.15,0.16,0.010000000000000009,0.36,0.02,>.20,<=.05,.11-.15
2026-05-01,202605010103,01,6,4887,富澤 祐作,6,6,1,0.02,0.07,0.05,0.15,,.11-.15,missing,<=.05
