policy,month,cut,switch,races,head3,head_rate,hits,hit_rate,coverage,investment,return_yen,roi
p3>=0.20_7pt,ALL,0.2,,1785,464,25.99439775910364,306,17.142857142857142,65.94827586206897,1248800,948480.0,75.9513132607303
p3>=0.20_10pt,ALL,0.2,,1785,464,25.99439775910364,374,20.952380952380953,80.60344827586206,1784000,1445470.0,81.02410313901345
p3>=0.20_7to10@0.25,ALL,0.2,0.25,1785,464,25.99439775910364,344,19.27170868347339,74.13793103448276,1457300,1154180.0,79.19989020791876
p3>=0.20_7to10@0.30,ALL,0.2,0.3,1785,464,25.99439775910364,324,18.15126050420168,69.82758620689656,1329500,1046180.0,78.68973298232419
p3>=0.20_7to10@0.35,ALL,0.2,0.35,1785,464,25.99439775910364,308,17.254901960784313,66.37931034482759,1277900,968270.0,75.77040456999765
p3>=0.20_7to10@0.40,ALL,0.2,0.4,1785,464,25.99439775910364,306,17.142857142857142,65.94827586206897,1257800,948480.0,75.40785498489426
p3>=0.20_7to10@0.45,ALL,0.2,0.45,1785,464,25.99439775910364,306,17.142857142857142,65.94827586206897,1251500,948480.0,75.78745505393528
p3>=0.20_7to10@0.50,ALL,0.2,0.5,1785,464,25.99439775910364,306,17.142857142857142,65.94827586206897,1250000,948480.0,75.8784
p3>=0.25_7pt,ALL,0.25,,696,233,33.47701149425287,147,21.120689655172413,63.09012875536481,486500,430690.0,88.52826310380267
p3>=0.25_10pt,ALL,0.25,,696,233,33.47701149425287,185,26.580459770114942,79.39914163090128,695000,636390.0,91.56690647482014
p3>=0.25_7to10@0.30,ALL,0.25,0.3,696,233,33.47701149425287,165,23.70689655172414,70.81545064377683,567200,528390.0,93.15761636107193
p3>=0.25_7to10@0.35,ALL,0.25,0.35,696,233,33.47701149425287,149,21.408045977011493,63.94849785407725,515600,450480.0,87.3700543056633
p3>=0.25_7to10@0.40,ALL,0.25,0.4,696,233,33.47701149425287,147,21.120689655172413,63.09012875536481,495500,430690.0,86.92028254288597
p3>=0.25_7to10@0.45,ALL,0.25,0.45,696,233,33.47701149425287,147,21.120689655172413,63.09012875536481,489200,430690.0,88.03965658217498
p3>=0.25_7to10@0.50,ALL,0.25,0.5,696,233,33.47701149425287,147,21.120689655172413,63.09012875536481,487700,430690.0,88.31043674389994
p3>=0.30_7pt,ALL,0.3,,270,104,38.51851851851852,61,22.59259259259259,58.65384615384615,188300,180010.0,95.59745087626129
p3>=0.30_10pt,ALL,0.3,,270,104,38.51851851851852,79,29.25925925925926,75.96153846153847,269000,277710.0,103.23791821561338
p3>=0.30_7to10@0.35,ALL,0.3,0.35,270,104,38.51851851851852,63,23.333333333333332,60.57692307692308,217400,199800.0,91.90432382704692
p3>=0.30_7to10@0.40,ALL,0.3,0.4,270,104,38.51851851851852,61,22.59259259259259,58.65384615384615,197300,180010.0,91.23669538773441
p3>=0.30_7to10@0.45,ALL,0.3,0.45,270,104,38.51851851851852,61,22.59259259259259,58.65384615384615,191000,180010.0,94.24607329842932
p3>=0.30_7to10@0.50,ALL,0.3,0.5,270,104,38.51851851851852,61,22.59259259259259,58.65384615384615,189500,180010.0,94.99208443271768
p3>=0.35_7pt,ALL,0.35,,98,37,37.755102040816325,24,24.489795918367346,64.86486486486487,67900,58270.0,85.81737849779087
p3>=0.35_10pt,ALL,0.35,,98,37,37.755102040816325,26,26.53061224489796,70.27027027027027,97000,78060.0,80.47422680412372
p3>=0.35_7to10@0.40,ALL,0.35,0.4,98,37,37.755102040816325,24,24.489795918367346,64.86486486486487,76900,58270.0,75.7737321196359
p3>=0.35_7to10@0.45,ALL,0.35,0.45,98,37,37.755102040816325,24,24.489795918367346,64.86486486486487,70600,58270.0,82.53541076487252
p3>=0.35_7to10@0.50,ALL,0.35,0.5,98,37,37.755102040816325,24,24.489795918367346,64.86486486486487,69100,58270.0,84.32706222865413
p3>=0.40_7pt,ALL,0.4,,30,14,46.666666666666664,9,30.0,64.28571428571429,21000,17850.0,85.0
p3>=0.40_10pt,ALL,0.4,,30,14,46.666666666666664,9,30.0,64.28571428571429,30000,17850.0,59.5
p3>=0.40_7to10@0.45,ALL,0.4,0.45,30,14,46.666666666666664,9,30.0,64.28571428571429,23700,17850.0,75.31645569620254
p3>=0.40_7to10@0.50,ALL,0.4,0.5,30,14,46.666666666666664,9,30.0,64.28571428571429,22200,17850.0,80.4054054054054
p3>=0.20_7pt,2026-06,0.2,,517,139,26.88588007736944,89,17.214700193423596,64.02877697841727,361900,251740.0,69.5606521138436
p3>=0.20_7pt,2026-07,0.2,,618,146,23.624595469255663,103,16.666666666666668,70.54794520547945,432600,334020.0,77.2122052704577
p3>=0.20_7pt,2026-08,0.2,,650,179,27.53846153846154,114,17.53846153846154,63.687150837988824,454300,362720.0,79.8415144177856
p3>=0.20_10pt,2026-06,0.2,,517,139,26.88588007736944,114,22.05029013539652,82.01438848920863,517000,396350.0,76.66344294003868
p3>=0.20_10pt,2026-07,0.2,,618,146,23.624595469255663,120,19.41747572815534,82.1917808219178,618000,449750.0,72.77508090614887
p3>=0.20_10pt,2026-08,0.2,,650,179,27.53846153846154,140,21.53846153846154,78.2122905027933,649000,599370.0,92.35285053929121
p3>=0.20_7to10@0.25,2026-06,0.2,0.25,517,139,26.88588007736944,104,20.11605415860735,74.82014388489209,420700,336670.0,80.0261468980271
p3>=0.20_7to10@0.25,2026-07,0.2,0.25,618,146,23.624595469255663,112,18.12297734627832,76.71232876712328,503400,379330.0,75.35359555025825
p3>=0.20_7to10@0.25,2026-08,0.2,0.25,650,179,27.53846153846154,128,19.692307692307693,71.50837988826815,533200,438180.0,82.17929482370593
p3>=0.20_7to10@0.30,2026-06,0.2,0.3,517,139,26.88588007736944,96,18.568665377176014,69.06474820143885,383800,286000.0,74.51797811360083
