venue,races,head3,head_rate,hits,hit_rate,coverage,investment,return_yen,roi
01,8,2,25.0,2,25.0,100.0,8000,2510.0,31.375
02,33,10,30.303030303030305,7,21.21212121212121,70.0,32000,27700.0,86.5625
03,10,5,50.0,4,40.0,80.0,10000,14570.0,145.7
04,45,18,40.0,15,33.333333333333336,83.33333333333333,45000,45600.0,101.33333333333333
05,8,4,50.0,3,37.5,75.0,8000,14310.0,178.875
06,9,5,55.55555555555556,5,55.55555555555556,100.0,9000,42100.0,467.77777777777777
07,1,0,0.0,0,0.0,0,1000,0,0.0
08,6,1,16.666666666666668,1,16.666666666666668,100.0,6000,1420.0,23.666666666666668
09,6,4,66.66666666666667,0,0.0,0.0,6000,0,0.0
10,11,5,45.45454545454545,4,36.36363636363637,80.0,11000,5900.0,53.63636363636363
11,11,4,36.36363636363637,3,27.272727272727273,75.0,11000,5720.0,52.0
12,6,0,0.0,0,0.0,0,6000,0,0.0
13,13,7,53.84615384615385,3,23.076923076923077,42.857142857142854,13000,3580.0,27.53846153846154
14,23,7,30.434782608695652,6,26.08695652173913,85.71428571428571,23000,21760.0,94.6086956521739
15,8,3,37.5,3,37.5,100.0,8000,15320.0,191.5
16,7,2,28.571428571428573,2,28.571428571428573,100.0,7000,5970.0,85.28571428571429
17,3,3,100.0,1,33.333333333333336,33.333333333333336,3000,8150.0,271.6666666666667
18,2,0,0.0,0,0.0,0,2000,0,0.0
19,10,5,50.0,5,50.0,100.0,10000,21500.0,215.0
20,2,1,50.0,1,50.0,100.0,2000,930.0,46.5
21,9,0,0.0,0,0.0,0,9000,0,0.0
22,18,8,44.44444444444444,6,33.333333333333336,75.0,18000,18520.0,102.88888888888889
23,14,7,50.0,5,35.714285714285715,71.42857142857143,14000,18770.0,134.07142857142858
24,7,3,42.857142857142854,3,42.857142857142854,100.0,7000,3380.0,48.285714285714285
