venue,pre_class,pre_R,pre_head_rate,pre_hit_rate,pre_coverage,pre_roi,test_R,test_head_rate,test_hit_rate,test_coverage,test_roi
01,pre_sparse,0,0,0,0,0,8,25.0,25.0,100.0,31.375
02,pre_sparse,0,0,0,0,0,33,30.303030303030305,21.21212121212121,70.0,86.5625
03,pre_sparse,0,0,0,0,0,10,50.0,40.0,80.0,145.7
04,pre_sparse,0,0,0,0,0,45,40.0,33.333333333333336,83.33333333333333,101.33333333333333
05,pre_sparse,0,0,0,0,0,8,50.0,37.5,75.0,178.875
06,pre_sparse,0,0,0,0,0,9,55.55555555555556,55.55555555555556,100.0,467.77777777777777
07,pre_sparse,0,0,0,0,0,1,0.0,0.0,0,0.0
08,pre_sparse,0,0,0,0,0,6,16.666666666666668,16.666666666666668,100.0,23.666666666666668
09,pre_sparse,0,0,0,0,0,6,66.66666666666667,0.0,0.0,0.0
10,pre_sparse,0,0,0,0,0,11,45.45454545454545,36.36363636363637,80.0,53.63636363636363
11,pre_sparse,0,0,0,0,0,11,36.36363636363637,27.272727272727273,75.0,52.0
12,pre_sparse,0,0,0,0,0,6,0.0,0.0,0,0.0
13,pre_sparse,0,0,0,0,0,13,53.84615384615385,23.076923076923077,42.857142857142854,27.53846153846154
14,pre_sparse,0,0,0,0,0,23,30.434782608695652,26.08695652173913,85.71428571428571,94.6086956521739
15,pre_sparse,0,0,0,0,0,8,37.5,37.5,100.0,191.5
16,pre_sparse,0,0,0,0,0,7,28.571428571428573,28.571428571428573,100.0,85.28571428571429
17,pre_sparse,0,0,0,0,0,3,100.0,33.333333333333336,33.333333333333336,271.6666666666667
18,pre_sparse,0,0,0,0,0,2,0.0,0.0,0,0.0
19,pre_sparse,0,0,0,0,0,10,50.0,50.0,100.0,215.0
20,pre_sparse,0,0,0,0,0,2,50.0,50.0,100.0,46.5
21,pre_sparse,0,0,0,0,0,9,0.0,0.0,0,0.0
22,pre_sparse,0,0,0,0,0,18,44.44444444444444,33.333333333333336,75.0,102.88888888888889
23,pre_sparse,0,0,0,0,0,14,50.0,35.714285714285715,71.42857142857143,134.07142857142858
24,pre_sparse,0,0,0,0,0,7,42.857142857142854,42.857142857142854,100.0,48.285714285714285
