venue,candidate_R,head3_R,head3_rate,pair_coverage,second_leg_coverage,third_leg_coverage,both_legs_present,roi,actual_2nd_dist,actual_3rd_dist,top_pair_misses
01,8,2,25.0,100.0,100.0,100.0,100.0,31.375,1:1 5:1,6:2,
02,33,10,30.303030303030305,70.0,90.0,100.0,90.0,86.5625,1:2 2:3 4:2 5:1 6:2,1:2 2:2 4:1 5:2 6:3,6-1:1 5-6:1 2-5:1
03,10,5,50.0,80.0,100.0,100.0,100.0,145.7,1:3 5:2,1:1 2:2 5:1 6:1,5-6:1
04,45,18,40.0,83.33333333333333,94.44444444444444,94.44444444444444,88.88888888888889,101.33333333333333,1:5 2:8 4:3 5:1 6:1,1:1 2:2 4:2 5:8 6:5,6-2:1 2-5:1 2-6:1
05,8,4,50.0,75.0,100.0,100.0,100.0,178.875,2:2 4:1 5:1,1:1 4:1 5:2,2-4:1
06,9,5,55.55555555555556,100.0,100.0,100.0,100.0,467.77777777777777,1:2 2:1 5:2,2:2 4:1 6:2,
07,1,0,0.0,0,0,0,0,0.0,,,
08,6,1,16.666666666666668,100.0,100.0,100.0,100.0,23.666666666666668,5:1,1:1,
09,6,4,66.66666666666667,0.0,100.0,100.0,100.0,0.0,2:1 4:2 5:1,1:1 2:2 5:1,5-2:1 2-1:1 4-2:1 4-5:1
10,11,5,45.45454545454545,80.0,100.0,100.0,100.0,53.63636363636363,1:4 2:1,1:1 2:1 4:1 5:1 6:1,2-1:1
11,11,4,36.36363636363637,75.0,100.0,100.0,100.0,52.0,1:1 2:1 4:1 5:1,1:1 4:1 5:2,2-5:1
12,6,0,0.0,0,0,0,0,0.0,,,
13,13,7,53.84615384615385,42.857142857142854,85.71428571428571,100.0,85.71428571428571,27.53846153846154,1:1 2:1 4:1 5:3 6:1,2:1 4:2 5:2 6:2,2-6:1 4-5:1 6-4:1 5-6:1
14,23,7,30.434782608695652,85.71428571428571,100.0,85.71428571428571,85.71428571428571,94.6086956521739,1:2 2:2 4:2 6:1,1:3 4:1 5:1 6:2,4-6:1
15,8,3,37.5,100.0,100.0,100.0,100.0,191.5,2:1 4:1 6:1,5:2 6:1,
16,7,2,28.571428571428573,100.0,100.0,100.0,100.0,85.28571428571429,5:1 6:1,4:2,
17,3,3,100.0,33.333333333333336,100.0,100.0,100.0,271.6666666666667,1:1 2:1 5:1,2:1 4:2,1-2:1 5-4:1
18,2,0,0.0,0,0,0,0,0.0,,,
19,10,5,50.0,100.0,100.0,100.0,100.0,215.0,1:1 2:1 5:2 6:1,1:1 4:3 5:1,
20,2,1,50.0,100.0,100.0,100.0,100.0,46.5,1:1,5:1,
21,9,0,0.0,0,0,0,0,0.0,,,
22,18,8,44.44444444444444,75.0,87.5,100.0,87.5,102.88888888888889,1:1 2:3 4:3 5:1,1:1 2:2 4:1 5:3 6:1,2-5:1 5-2:1
23,14,7,50.0,71.42857142857143,85.71428571428571,100.0,85.71428571428571,134.07142857142858,1:2 4:1 5:3 6:1,1:4 4:1 5:1 6:1,5-1:2
24,7,3,42.857142857142854,100.0,100.0,100.0,100.0,48.285714285714285,1:1 4:1 5:1,2:1 6:2,
