venue,venue_name,pre_head3_R,oos_head3_R,pre_2nd_inner12,oos_2nd_inner12,pre_2nd_outer456,oos_2nd_outer456,pre_3rd_inner12,oos_3rd_inner12,pre_3rd_outer456,oos_3rd_outer456,pre_top_2nd,oos_top_2nd,pre_top_3rd,oos_top_3rd,second_tv,third_tv,pre_2nd_dist,oos_2nd_dist,pre_3rd_dist,oos_3rd_dist,pre_top_pairs,oos_top_pairs
01,桐生,179,86,64.80446927374301,60.46511627906976,35.19553072625698,39.53488372093023,43.01675977653631,34.883720930232556,56.98324022346368,65.11627906976744,1,1,4,5,8.301935819150316,8.133038846303753,1:72 2:44 4:26 5:25 6:12,1:38 2:14 4:14 5:13 6:7,1:39 2:38 4:42 5:37 6:23,1:16 2:14 4:21 5:22 6:13,1-4:24 1-2:20 1-5:20 2-1:15 2-4:12,1-5:12 1-2:11 1-4:9 4-1:7 1-6:6
02,戸田,218,71,50.917431192660544,61.97183098591549,49.08256880733945,38.028169014084504,40.36697247706422,30.985915492957744,59.63302752293578,69.01408450704226,1,1,4,4,14.52384028944308,9.381056984106472,1:64 2:47 4:49 5:41 6:17,1:23 2:21 4:12 5:7 6:8,1:44 2:44 4:47 5:40 6:43,1:12 2:10 4:17 5:16 6:16,1-5:18 1-2:16 1-4:16 5-1:15 4-2:15,1-4:9 2-5:7 2-1:5 2-6:5 1-5:5
03,江戸川,170,63,60.588235294117645,58.730158730158735,39.411764705882355,41.269841269841265,38.82352941176471,44.44444444444444,61.1764705882353,55.55555555555556,1,1,5,5,9.906629318394023,5.919701213818862,1:64 2:39 4:32 5:19 6:16,1:24 2:13 4:10 5:13 6:3,1:38 2:28 4:37 5:43 6:24,1:14 2:14 4:11 5:15 6:9,1-5:21 1-4:17 1-2:14 2-5:13 1-6:12,1-2:9 1-5:8 1-4:6 5-1:5 2-1:4
04,平和島,159,104,61.63522012578616,56.730769230769226,38.36477987421384,43.269230769230774,35.22012578616352,34.61538461538461,64.77987421383648,65.38461538461539,1,1,5,5,8.496613449443636,6.458635703918723,1:50 2:48 4:29 5:21 6:11,1:32 2:27 4:24 5:10 6:11,1:27 2:29 4:33 5:42 6:28,1:16 2:20 4:20 5:24 6:24,1-5:17 2-5:16 1-4:14 4-2:13 2-4:12,2-5:11 1-6:10 1-4:9 1-2:8 4-5:7
05,多摩川,150,79,55.333333333333336,56.9620253164557,44.666666666666664,43.037974683544306,46.0,34.177215189873415,54.0,65.82278481012658,1,1,2,5,10.236286919831224,11.822784810126583,1:55 2:28 4:26 5:25 6:16,1:27 2:18 4:13 5:18 6:3,1:29 2:40 4:32 5:23 6:26,1:15 2:12 4:17 5:20 6:15,1-2:17 1-4:16 1-5:13 4-2:11 4-1:11,1-5:8 5-1:7 1-4:7 4-5:6 5-6:6
06,浜名湖,180,73,61.66666666666667,60.273972602739725,38.333333333333336,39.726027397260275,37.22222222222222,42.465753424657535,62.77777777777778,57.534246575342465,1,1,5,2,8.401826484018265,12.907153729071535,1:77 2:34 4:31 5:26 6:12,1:31 2:13 4:9 5:9 6:11,1:28 2:39 4:29 5:42 6:42,1:9 2:22 4:15 5:14 6:13,1-5:22 1-2:20 1-6:18 1-4:17 2-5:12,1-2:11 1-4:8 1-5:7 1-6:5 6-2:4
07,蒲郡,157,58,68.15286624203821,65.51724137931035,31.84713375796178,34.48275862068966,36.30573248407643,36.206896551724135,63.69426751592356,63.793103448275865,1,1,4,5,9.806720843399955,15.7258950142763,1:73 2:34 4:20 5:22 6:8,1:29 2:9 4:11 5:6 6:3,1:28 2:29 4:40 5:37 6:23,1:7 2:14 4:9 5:19 6:9,1-4:25 1-5:21 1-2:17 2-1:11 1-6:10,1-5:11 1-2:9 1-4:5 4-5:5 1-6:4
08,常滑,153,63,49.673202614379086,47.61904761904761,50.326797385620914,52.38095238095239,38.56209150326798,44.44444444444444,61.43790849673203,55.55555555555556,1,4,1,5,15.406162464985995,10.364145658263304,1:48 2:28 4:31 5:26 6:20,1:17 2:13 4:21 5:4 6:8,1:33 2:26 4:30 5:32 6:32,1:14 2:14 4:9 5:16 6:10,1-4:14 1-2:13 5-1:11 1-6:11 4-6:10,1-2:7 4-1:6 4-5:6 4-2:5 2-1:5
09,津,124,68,58.87096774193549,64.70588235294117,41.12903225806452,35.294117647058826,33.87096774193548,33.82352941176471,66.12903225806451,66.17647058823529,1,1,4,6,20.683111954459203,9.203036053130928,1:49 2:24 4:29 5:12 6:10,1:38 2:6 4:9 5:8 6:7,1:23 2:19 4:34 5:23 6:25,1:10 2:13 4:15 5:13 6:17,1-4:20 1-5:14 2-4:9 4-1:9 4-2:9,1-4:12 1-6:12 1-5:9 1-2:5 5-6:4
10,三国,162,93,66.0493827160494,67.74193548387096,33.95061728395062,32.25806451612903,35.80246913580247,32.25806451612903,64.19753086419753,67.74193548387096,1,1,4,4,11.15093588211868,6.212664277180408,1:73 2:34 4:25 5:17 6:13,1:36 2:27 4:17 5:10 6:3,1:24 2:34 4:44 5:34 6:26,1:16 2:14 4:25 5:20 6:18,1-4:26 1-2:18 1-5:17 1-6:12 2-4:11,2-4:17 1-5:13 1-2:9 4-6:8 1-6:8
11,びわこ,164,84,55.487804878048784,59.523809523809526,44.51219512195122,40.476190476190474,34.146341463414636,46.42857142857143,65.85365853658537,53.57142857142857,1,1,4,2,4.239256678281069,12.282229965156795,1:68 2:23 4:31 5:27 6:15,1:35 2:15 4:15 5:14 6:5,1:24 2:32 4:42 5:34 6:32,1:15 2:24 4:19 5:16 6:10,1-5:22 1-4:16 1-2:15 1-6:15 2-4:13,1-2:11 1-4:10 1-5:9 4-1:7 5-2:7
12,住之江,133,62,68.42105263157895,66.12903225806451,31.57894736842105,33.87096774193548,36.84210526315789,40.32258064516129,63.1578947368421,59.67741935483871,1,1,2,1,8.53747271404317,12.83046325491147,1:64 2:27 4:21 5:16 6:5,1:27 2:14 4:12 5:5 6:4,1:17 2:32 4:32 5:26 6:26,1:14 2:11 4:12 5:14 6:11,1-2:23 1-4:17 1-5:12 1-6:12 2-4:9,1-5:10 2-1:9 1-6:7 1-4:6 4-2:5
13,尼崎,135,86,61.48148148148148,55.81395348837209,38.51851851851852,44.18604651162791,37.03703703703704,39.53488372093023,62.96296296296296,60.46511627906976,1,1,4,2,5.727820844099911,10.111972437553831,1:58 2:25 4:22 5:21 6:9,1:37 2:11 4:17 5:14 6:7,1:23 2:27 4:35 5:31 6:19,1:13 2:21 4:19 5:16 6:17,1-4:19 1-5:15 1-2:15 2-5:11 2-4:9,1-5:11 1-4:11 1-2:8 1-6:7 4-1:7
14,鳴門,202,60,59.900990099009896,56.666666666666664,40.099009900990104,43.333333333333336,35.148514851485146,31.666666666666664,64.85148514851485,68.33333333333333,1,1,4,4,3.4323432343234326,20.396039603960396,1:74 2:47 4:34 5:26 6:21,1:22 2:12 4:10 5:8 6:8,1:28 2:43 4:52 5:43 6:36,1:12 2:7 4:24 5:12 6:5,1-4:26 1-5:20 1-2:19 2-4:14 2-6:12,1-4:10 2-4:7 1-5:6 6-4:4 4-1:4
15,丸亀,171,78,61.98830409356725,67.94871794871796,38.01169590643275,32.05128205128205,35.67251461988304,32.05128205128205,64.32748538011695,67.94871794871796,1,1,4,5,5.960413855150697,10.706252811515968,1:75 2:31 4:28 5:24 6:13,1:37 2:16 4:11 5:9 6:5,1:28 2:33 4:45 5:38 6:27,1:11 2:14 4:15 5:22 6:16,1-4:25 1-5:21 1-2:18 1-6:11 2-4:11,1-5:14 1-6:10 1-4:7 2-4:6 1-2:6
16,児島,170,82,63.52941176470588,52.4390243902439,36.470588235294116,47.5609756097561,31.76470588235294,37.80487804878049,68.23529411764706,62.19512195121951,1,1,4,1,11.090387374461978,10.243902439024392,1:72 2:36 4:29 5:22 6:11,1:28 2:15 4:19 5:14 6:6,1:28 2:26 4:48 5:45 6:23,1:19 2:12 4:18 5:19 6:14,1-4:24 1-5:22 1-2:15 2-4:14 1-6:11,1-5:8 1-4:8 5-1:7 1-2:6 1-6:6
17,宮島,201,72,64.17910447761194,61.111111111111114,35.82089552238806,38.88888888888889,39.30348258706468,38.88888888888889,60.69651741293532,61.111111111111114,1,1,5,2,4.871475953565505,6.71641791044776,1:86 2:43 4:26 5:31 6:15,1:32 2:12 4:11 5:11 6:6,1:36 2:43 4:42 5:44 6:36,1:10 2:18 4:14 5:18 6:12,1-5:24 1-4:23 1-2:22 1-6:17 2-1:14,1-2:10 1-5:9 1-4:7 1-6:6 5-1:4
18,徳山,165,80,60.0,65.0,40.0,35.0,31.515151515151512,41.25,68.48484848484848,58.75,1,1,4,2,14.053030303030301,10.454545454545455,1:62 2:37 4:32 5:20 6:14,1:39 2:13 4:11 5:12 6:5,1:27 2:25 4:41 5:40 6:32,1:13 2:20 4:19 5:12 6:16,1-5:18 1-6:17 1-4:16 2-4:14 1-2:11,1-2:12 1-4:11 1-5:10 1-6:6 5-1:5
19,下関,144,73,71.52777777777779,67.12328767123287,28.47222222222222,32.87671232876712,38.88888888888889,36.986301369863014,61.111111111111114,63.013698630136986,1,1,4,5,6.640030441400308,7.705479452054795,1:71 2:32 4:18 5:19 6:4,1:34 2:15 4:12 5:8 6:4,1:21 2:35 4:36 5:33 6:19,1:13 2:14 4:18 5:20 6:8,1-4:23 1-2:23 1-5:14 1-6:11 2-4:10,1-5:13 1-2:9 1-4:9 2-1:5 2-4:4
