scope,policy,R,head,hit,roi,avg_pts,cost,ret
VAL,dynamic,175,38.285714285714285,30.28571428571429,86.36849132176235,8.56,149800.0,129380.0
VAL,fixed10,175,38.285714285714285,32.57142857142858,84.18285714285715,10.0,175000.0,147320.0
TEST,dynamic,270,38.51851851851852,24.814814814814813,96.67422867513612,8.188888888888888,220400.0,213070.0
TEST,fixed10,270,38.51851851851852,29.259259259259256,103.23791821561338,10.0,269000.0,277710.0
2026-06,dynamic,73,41.0958904109589,23.28767123287671,73.70118845500849,8.068493150684931,58900.0,43410.0
2026-06,fixed10,73,41.0958904109589,30.136986301369863,91.16438356164383,10.0,73000.0,66550.0
2026-07,dynamic,87,29.88505747126437,24.137931034482758,124.09722222222223,8.275862068965518,72000.0,89350.0
2026-07,fixed10,87,29.88505747126437,26.436781609195403,116.32183908045977,10.0,87000.0,101200.0
2026-08,dynamic,110,43.63636363636363,26.36363636363636,89.73184357541899,8.2,89500.0,80310.0
2026-08,fixed10,110,43.63636363636363,30.909090909090907,100.88073394495413,10.0,109000.0,109960.0
