cut,scope,R,odds_R,head_rate,hits,hit_rate,avg_composite_odds,median_composite_odds,roi
0.2,2026-06,0,0,,0,,,,
0.2,2026-07,373,369,25.201072386058982,71,19.034852546916888,5.681335947734621,4.168619945671371,83.32975871313673
0.2,2026-08,910,906,25.82417582417583,185,20.32967032967033,5.60071642010203,4.029996601020819,75.44884488448845
0.2,ALL,1283,1275,25.64302416212003,256,19.95323460639127,5.624048659863933,4.100097085624753,77.74180967238689
0.25,2026-06,0,0,,0,,,,
0.25,2026-07,188,187,27.127659574468083,38,20.212765957446805,4.746143833686384,3.4917309501263616,71.75531914893617
0.25,2026-08,469,468,31.982942430703627,116,24.733475479744136,4.245975627658205,3.1483382364506802,79.01495726495726
0.25,ALL,657,655,30.59360730593607,154,23.43987823439878,4.388771741440296,3.2929115502043556,76.9344512195122
0.3,2026-06,0,0,,0,,,,
0.3,2026-07,94,94,34.04255319148936,26,27.659574468085108,3.9802947589935194,2.9018050116031224,91.63829787234043
0.3,2026-08,251,250,36.65338645418327,69,27.490039840637447,3.802927140801444,2.9272747531504915,80.188
0.3,ALL,345,344,35.94202898550725,95,27.536231884057973,3.8513938736795112,2.9212562890248415,83.31686046511628
0.35,2026-06,0,0,,0,,,,
0.35,2026-07,44,44,40.909090909090914,14,31.818181818181817,3.099310826782634,2.516125904970381,107.93181818181819
0.35,2026-08,120,120,47.5,42,35.0,3.113681313765328,2.5863241982613583,91.6890756302521
0.35,ALL,164,164,45.73170731707317,56,34.146341463414636,3.109825817257776,2.5673650125270737,96.07361963190183
0.4,2026-06,0,0,,0,,,,
0.4,2026-07,19,19,42.10526315789473,7,36.84210526315789,2.426484112777782,2.2549633603027117,122.15789473684211
0.4,2026-08,57,57,49.122807017543856,19,33.33333333333333,2.753417205190233,2.286547616554858,90.71428571428571
0.4,ALL,76,76,47.368421052631575,26,34.21052631578947,2.67168393208712,2.276599408448744,98.68
