month,date,race_code,p3head,actual_combo,y3head,hit,valid_payout,return_yen,cost_yen,top10,pair_train_3wins
2026-03,2026-03-01,202603010306,0.31300977542093156,1-3-5,0,0,1,0.0,1000,3-1-5;3-5-1;3-2-5;3-5-2;3-5-6;3-1-2;3-5-4;3-4-5;3-1-4;3-1-6,2062
2026-03,2026-03-01,202603010607,0.32686816270537755,3-2-6,1,1,1,3240.0,1000,3-4-6;3-2-4;3-1-4;3-4-2;3-4-1;3-1-2;3-6-4;3-2-6;3-1-6;3-4-5,2062
2026-03,2026-03-01,202603011806,0.3445458899077817,3-6-2,1,1,1,990.0,1000,3-2-6;3-1-6;3-5-6;3-6-2;3-6-5;3-4-6;3-6-1;3-2-5;3-1-5;3-1-2,2062
2026-03,2026-03-01,202603011810,0.36777559806552784,1-3-6,0,0,1,0.0,1000,3-4-6;3-1-6;3-6-4;3-5-6;3-2-6;3-6-5;3-6-1;3-1-4;3-6-2;3-1-5,2062
2026-03,2026-03-01,202603012204,0.3519872303913185,1-6-3,0,0,1,0.0,1000,3-4-6;3-1-6;3-6-4;3-1-4;3-6-1;3-5-6;3-1-5;3-4-1;3-6-5;3-2-6,2062
2026-03,2026-03-02,202603022203,0.31878619172349,3-4-2,1,1,1,3560.0,1000,3-1-2;3-1-4;3-2-4;3-1-5;3-1-6;3-2-6;3-2-5;3-2-1;3-4-6;3-4-2,2062
2026-03,2026-03-03,202603031512,0.3089441564263253,1-5-3,0,0,1,0.0,1000,3-1-5;3-1-4;3-4-5;3-5-4;3-5-1;3-2-5;3-1-6;3-1-2;3-5-6;3-4-1,2062
2026-03,2026-03-03,202603032106,0.31485445467765205,2-3-6,0,0,1,0.0,1000,3-1-6;3-2-6;3-4-6;3-6-4;3-6-2;3-6-1;3-1-2;3-5-6;3-1-4;3-2-4,2062
2026-03,2026-03-03,202603032206,0.333191908885539,5-1-3,0,0,1,0.0,1000,3-2-4;3-4-2;3-4-5;3-4-6;3-5-4;3-2-5;3-1-4;3-4-1;3-5-2;3-6-4,2062
2026-03,2026-03-04,202603040604,0.304985681840205,3-4-2,1,1,1,1460.0,1000,3-1-4;3-1-2;3-2-4;3-4-2;3-4-1;3-2-1;3-1-5;3-1-6;3-2-5;3-4-6,2062
2026-03,2026-03-04,202603042108,0.37456820809808233,3-6-2,1,1,1,1330.0,1000,3-2-6;3-1-6;3-1-2;3-1-4;3-2-4;3-6-2;3-1-5;3-4-6;3-2-1;3-2-5,2062
2026-03,2026-03-06,202603060101,0.3672586407818035,3-4-1,1,1,1,1060.0,1000,3-1-4;3-2-4;3-1-5;3-4-5;3-1-2;3-2-5;3-4-2;3-5-4;3-4-1;3-5-2,2062
2026-03,2026-03-06,202603060105,0.3042857099274288,1-6-4,0,0,1,0.0,1000,3-4-5;3-1-4;3-4-6;3-5-4;3-4-1;3-2-4;3-4-2;3-1-5;3-6-4;3-5-6,2062
2026-03,2026-03-06,202603061702,0.30636920125035694,1-5-3,0,0,1,0.0,1000,3-1-4;3-4-5;3-4-1;3-5-4;3-4-6;3-1-5;3-2-4;3-4-2;3-5-1;3-1-6,2062
2026-03,2026-03-08,202603080204,0.3595140886615396,3-1-6,1,1,1,3500.0,1000,3-1-5;3-1-4;3-1-2;3-2-5;3-1-6;3-2-4;3-5-6;3-5-1;3-4-5;3-5-2,2062
2026-03,2026-03-08,202603080208,0.3321197542882037,2-5-3,0,0,1,0.0,1000,3-2-5;3-2-4;3-1-2;3-2-6;3-2-1;3-4-2;3-5-2;3-1-4;3-1-5;3-4-5,2062
2026-03,2026-03-09,202603090203,0.33035602190267294,1-3-4,0,0,1,0.0,1000,3-1-6;3-5-6;3-2-6;3-1-5;3-4-6;3-6-5;3-1-2;3-1-4;3-2-5;3-6-4,2062
2026-03,2026-03-09,202603090309,0.30431556047946506,1-3-6,0,0,1,0.0,1000,3-1-5;3-5-1;3-5-6;3-2-5;3-1-6;3-5-2;3-1-2;3-1-4;3-5-4;3-4-5,2062
2026-03,2026-03-10,202603100202,0.33172275324536377,3-2-6,1,1,1,950.0,1000,3-1-2;3-2-5;3-2-6;3-2-1;3-1-5;3-2-4;3-1-6;3-5-2;3-1-4;3-6-2,2062
2026-03,2026-03-10,202603100208,0.30001649883236936,3-1-4,1,1,1,780.0,1000,3-1-4;3-1-2;3-2-4;3-2-1;3-4-1;3-1-5;3-4-2;3-1-6;3-2-5;3-2-6,2062
2026-03,2026-03-10,202603101708,0.3178674885182181,5-6-1,0,0,1,0.0,1000,3-1-6;3-1-4;3-1-5;3-4-6;3-6-1;3-5-6;3-6-4;3-1-2;3-6-5;3-2-6,2062
2026-03,2026-03-11,202603110809,0.3118657867940928,3-5-1,1,1,1,2570.0,1000,3-1-4;3-4-5;3-1-5;3-5-4;3-4-6;3-4-1;3-5-6;3-1-6;3-5-1;3-6-4,2062
2026-03,2026-03-11,202603112203,0.337670482395775,2-5-1,0,0,1,0.0,1000,3-1-4;3-2-4;3-1-2;3-1-5;3-4-2;3-4-1;3-2-1;3-2-5;3-4-5;3-5-2,2062
2026-03,2026-03-12,202603120607,0.366378959864987,3-2-6,1,1,1,1130.0,1000,3-2-6;3-6-2;3-1-6;3-4-6;3-6-4;3-2-4;3-1-2;3-6-1;3-2-1;3-4-2,2062
2026-03,2026-03-12,202603121107,0.3862821466325554,1-4-3,0,0,1,0.0,1000,3-1-2;3-2-6;3-2-4;3-2-1;3-1-6;3-1-4;3-4-2;3-6-2;3-4-6;3-4-1,2062
2026-03,2026-03-13,202603132203,0.3555058312680802,1-2-3,0,0,1,0.0,1000,3-2-4;3-1-4;3-1-2;3-4-2;3-2-1;3-2-5;3-4-1;3-1-5;3-4-5;3-5-2,2062
2026-03,2026-03-14,202603141404,0.3111943362406176,1-3-5,0,0,1,0.0,1000,3-5-6;3-1-6;3-1-5;3-6-5;3-1-4;3-5-1;3-4-6;3-6-1;3-1-2;3-6-4,2062
2026-03,2026-03-14,202603141405,0.3468442138227239,3-5-2,1,1,1,2100.0,1000,3-2-4;3-1-4;3-2-5;3-1-5;3-1-2;3-4-5;3-4-2;3-5-4;3-5-2;3-4-1,2062
2026-03,2026-03-16,202603161003,0.3124608123166677,1-3-4,0,0,1,0.0,1000,3-1-4;3-1-2;3-1-5;3-1-6;3-4-1;3-2-1;3-2-4;3-5-1;3-4-6;3-2-5,2062
2026-03,2026-03-16,202603161008,0.3077549120816367,1-5-3,0,0,1,0.0,1000,3-5-6;3-1-5;3-5-4;3-4-5;3-5-1;3-2-5;3-5-2;3-6-5;3-1-4;3-4-6,2062
2026-03,2026-03-17,202603170104,0.3006575119028449,4-5-2,0,0,1,0.0,1000,3-4-5;3-1-4;3-5-4;3-4-1;3-1-5;3-4-2;3-2-4;3-4-6;3-5-1;3-2-5,2062
2026-03,2026-03-17,202603171709,0.41788021535094494,1-5-2,0,0,1,0.0,1000,3-2-4;3-4-5;3-1-4;3-2-5;3-4-2;3-5-4;3-4-6;3-1-5;3-1-2;3-5-2,2062
2026-03,2026-03-18,202603181710,0.3191087832668804,3-5-1,1,1,1,550.0,1000,3-1-5;3-1-4;3-5-1;3-1-2;3-1-6;3-4-5;3-4-1;3-5-4;3-5-6;3-2-5,2062
2026-03,2026-03-19,202603190102,0.41609998268337367,3-1-4,1,1,1,890.0,1000,3-1-4;3-2-4;3-4-2;3-4-1;3-1-2;3-4-5;3-1-5;3-4-6;3-2-5;3-2-1,2062
2026-03,2026-03-19,202603190208,0.3090372320185689,3-1-2,1,1,1,2620.0,1000,3-1-5;3-5-6;3-2-5;3-1-4;3-1-6;3-1-2;3-4-6;3-2-4;3-2-6;3-4-5,2062
2026-03,2026-03-19,202603190402,0.30365073885590954,3-2-4,1,1,1,4260.0,1000,3-4-5;3-2-5;3-5-4;3-5-2;3-1-5;3-2-4;3-5-1;3-1-4;3-4-2;3-1-2,2062
2026-03,2026-03-19,202603191503,0.3933413965648052,3-4-1,1,1,1,2800.0,1000,3-4-5;3-1-4;3-4-1;3-5-4;3-1-5;3-4-6;3-4-2;3-2-4;3-5-1;3-1-2,2062
2026-03,2026-03-19,202603191908,0.476870972758693,1-2-3,0,0,1,0.0,1000,3-1-5;3-1-2;3-1-4;3-2-5;3-5-1;3-2-1;3-2-4;3-1-6;3-4-1;3-5-2,2062
2026-03,2026-03-20,202603200809,0.3371118691289527,3-2-5,1,1,1,930.0,1000,3-2-5;3-2-6;3-2-4;3-5-6;3-5-2;3-4-6;3-6-2;3-4-2;3-4-5;3-6-5,2062
2026-03,2026-03-20,202603201411,0.33671932304566043,4-5-6,0,0,1,0.0,1000,3-1-6;3-1-4;3-4-6;3-6-1;3-1-5;3-6-4;3-4-1;3-5-6;3-1-2;3-6-5,2062
2026-03,2026-03-20,202603201707,0.31864095338645826,2-5-4,0,0,1,0.0,1000,3-2-4;3-4-5;3-4-2;3-5-4;3-2-5;3-1-4;3-4-1;3-5-2;3-1-5;3-1-2,2062
2026-03,2026-03-21,202603211509,0.30202786618171207,1-3-2,0,0,1,0.0,1000,3-1-4;3-4-1;3-1-2;3-2-4;3-4-2;3-4-6;3-1-6;3-1-5;3-2-1;3-4-5,2062
2026-03,2026-03-21,202603211705,0.3631463996902356,4-5-3,0,0,1,0.0,1000,3-1-5;3-5-1;3-1-4;3-4-5;3-5-4;3-4-1;3-2-5;3-5-2;3-1-2;3-5-6,2062
2026-03,2026-03-22,202603221503,0.3160610986799992,2-3-1,0,0,1,0.0,1000,3-2-4;3-4-2;3-2-5;3-1-2;3-1-4;3-2-6;3-2-1;3-4-5;3-5-2;3-4-6,2062
2026-03,2026-03-23,202603232203,0.30900553337151165,3-5-1,1,0,1,0.0,1000,3-1-4;3-1-5;3-4-1;3-2-4;3-1-2;3-4-5;3-4-2;3-2-5;3-5-4;3-2-1,2062
2026-03,2026-03-24,202603241009,0.3007944885284607,2-3-4,0,0,1,0.0,1000,3-1-4;3-4-6;3-1-6;3-4-1;3-6-4;3-1-5;3-2-4;3-1-2;3-4-5;3-4-2,2062
