month,date,race_code,p3head,actual_combo,y3head,hit,valid_payout,return_yen,cost_yen,top10,pair_train_3wins,venue,race,threat2,threat4,threat5,threat6,margin2,margin_all,st_margin23,ex_margin23,turn_margin23,straight_margin23,one_score
2026-03,2026-03-01,202603010306,0.3130097754209315,1-3-5,0,0,1,0.0,1000,3-1-5;3-5-1;3-2-5;3-5-2;3-5-6;3-1-2;3-5-4;3-4-5;3-1-4;3-1-6,2062,3,06R,0.421282922077922,0.3398321428571429,0.7881383766233765,0.4072922727272728,0.0228166623376623,-0.3440387922077921,0.4,-1.0,0.0,0.0,0.4440995844155844
2026-03,2026-03-01,202603010607,0.3268681627053775,3-2-6,1,1,1,3240.0,1000,3-4-6;3-2-4;3-1-4;3-4-2;3-4-1;3-1-2;3-6-4;3-2-6;3-1-6;3-4-5,2062,6,07R,0.4377522207792207,0.5986990389610389,0.3205986233766233,0.5157652337662338,-0.0998442597402597,-0.3918846363636364,0.1999999999999999,-0.6,-1.0,-0.6,0.337907961038961
2026-03,2026-03-01,202603011806,0.3445458899077817,3-6-2,1,1,1,990.0,1000,3-2-6;3-1-6;3-5-6;3-6-2;3-6-5;3-4-6;3-6-1;3-2-5;3-1-5;3-1-2,2062,18,06R,0.4088802597402597,0.301233,0.4217690714285714,0.769896038961039,-0.0866572597402596,-0.4476730389610389,0.4,-1.0,-0.6000000000000001,0.0,0.322223
2026-03,2026-03-01,202603011810,0.3677755980655278,1-3-6,0,0,1,0.0,1000,3-4-6;3-1-6;3-6-4;3-5-6;3-2-6;3-6-5;3-6-1;3-1-4;3-6-2;3-1-5,2062,18,10R,0.3083079999999999,0.4488986623376624,0.387351987012987,0.8326568571428572,0.0308987662337662,-0.493450090909091,-0.6,-0.4,-0.4,0.0,0.3392067662337662
2026-03,2026-03-01,202603012204,0.3519872303913185,1-6-3,0,0,1,0.0,1000,3-4-6;3-1-6;3-6-4;3-1-4;3-6-1;3-5-6;3-1-5;3-4-1;3-6-5;3-2-6,2062,22,04R,0.1715214285714285,0.4408574675324674,0.3041227272727272,0.7083497402597403,0.1584526623376623,-0.3783756493506494,0.4,-0.2,-0.6,-0.4,0.3299740909090909
2026-03,2026-03-02,202603022203,0.31878619172349,3-4-2,1,1,1,3560.0,1000,3-1-2;3-1-4;3-2-4;3-1-5;3-1-6;3-2-6;3-2-5;3-2-1;3-4-6;3-4-2,2062,22,03R,0.4425222337662338,0.4109398701298701,0.3823122077922077,0.4503688571428572,-0.063149051948052,-0.4338066233766233,0.6000000000000001,-0.4,-0.2,-0.8,0.3793731818181818
2026-03,2026-03-03,202603031512,0.3089441564263253,1-5-3,0,0,1,0.0,1000,3-1-5;3-1-4;3-4-5;3-5-4;3-5-1;3-2-5;3-1-6;3-1-2;3-5-6;3-4-1,2062,15,12R,0.3780892857142857,0.5339175324675325,0.6202236883116884,0.463582935064935,0.0782487792207792,-0.3958395064935063,-0.5,-0.25,-0.5,0.25,0.4563380649350649
2026-03,2026-03-03,202603032106,0.314854454677652,2-3-6,0,0,1,0.0,1000,3-1-6;3-2-6;3-4-6;3-6-4;3-6-2;3-6-1;3-1-2;3-5-6;3-1-4;3-2-4,2062,21,06R,0.4139721298701299,0.391534,0.3193784285714285,0.7941436103896103,-0.0754267922077922,-0.4555982727272726,-0.2,-1.0,0.1999999999999999,-0.1999999999999999,0.3385453376623377
2026-03,2026-03-03,202603032206,0.333191908885539,5-1-3,0,0,1,0.0,1000,3-2-4;3-4-2;3-4-5;3-4-6;3-5-4;3-2-5;3-1-4;3-4-1;3-5-2;3-6-4,2062,22,06R,0.5183310389610389,0.8300548051948051,0.4674972337662338,0.3478406363636363,-0.3342096103896104,-0.6459333766233766,-0.4,-0.8,-0.4,0.1999999999999999,0.1841214285714285
2026-03,2026-03-04,202603040604,0.304985681840205,3-4-2,1,1,1,1460.0,1000,3-1-4;3-1-2;3-2-4;3-4-2;3-4-1;3-2-1;3-1-5;3-1-6;3-2-5;3-4-6,2062,6,04R,0.4884835064935064,0.5538434415584416,0.3060236233766233,0.308957961038961,-0.0304812857142856,-0.3281997532467532,0.1999999999999999,-0.8,-0.4,-0.8,0.4580022207792208
