scope,key,rule,R,head,hit,cov,cost,ret,roi
era,EARLY 2025-12..2026-02,BASE,245,29.795918367346943,24.489795918367346,82.1917808219178,243000.0,167970.0,69.12345679012346
era,EARLY 2025-12..2026-02,turn>=-0.2,42,40.476190476190474,33.33333333333333,82.35294117647058,40000.0,37410.0,93.525
era,EARLY 2025-12..2026-02,turn>=0.0,21,52.38095238095239,47.61904761904761,90.9090909090909,21000.0,31270.0,148.9047619047619
era,LATE 2026-03..2026-06,BASE,248,39.11290322580645,31.85483870967742,81.44329896907216,248000.0,213870.0,86.23790322580645
era,LATE 2026-03..2026-06,turn>=-0.2,51,49.01960784313725,37.254901960784316,76.0,51000.0,62540.0,122.62745098039215
era,LATE 2026-03..2026-06,turn>=0.0,23,47.82608695652174,39.130434782608695,81.81818181818183,23000.0,26390.0,114.73913043478261
month,2025-12,BASE,109,26.605504587155966,22.018348623853214,82.75862068965517,109000.0,85080.0,78.05504587155963
month,2025-12,turn>=-0.2,15,40.0,33.33333333333333,83.33333333333334,15000.0,22770.0,151.8
month,2025-12,turn>=0.0,10,50.0,40.0,80.0,10000.0,21360.0,213.6
month,2026-01,BASE,100,32.0,25.0,78.125,98000.0,52090.0,53.1530612244898
month,2026-01,turn>=-0.2,21,42.857142857142854,33.33333333333333,77.77777777777779,19000.0,10000.0,52.63157894736842
month,2026-01,turn>=0.0,9,44.44444444444444,44.44444444444444,100.0,9000.0,5270.0,58.55555555555556
month,2026-02,BASE,36,33.33333333333333,30.555555555555557,91.66666666666666,36000.0,30800.0,85.55555555555556
month,2026-02,turn>=-0.2,6,33.33333333333333,33.33333333333333,100.0,6000.0,4640.0,77.33333333333333
month,2026-02,turn>=0.0,2,100.0,100.0,100.0,2000.0,4640.0,232.0
month,2026-03,BASE,58,36.206896551724135,34.48275862068966,95.23809523809523,58000.0,42220.0,72.79310344827586
month,2026-03,turn>=-0.2,9,44.44444444444444,44.44444444444444,100.0,9000.0,9470.0,105.22222222222223
month,2026-03,turn>=0.0,5,40.0,40.0,100.0,5000.0,3290.0,65.8
month,2026-04,BASE,40,42.5,32.5,76.47058823529412,40000.0,27730.0,69.325
month,2026-04,turn>=-0.2,7,28.57142857142857,28.57142857142857,100.0,7000.0,3020.0,43.142857142857146
month,2026-04,turn>=0.0,3,33.33333333333333,33.33333333333333,100.0,3000.0,630.0,21.0
month,2026-05,BASE,77,37.66233766233766,31.16883116883117,82.75862068965517,77000.0,77370.0,100.48051948051948
