rank,rule,disc_R,disc_hit,disc_comp,disc_roi,test_R,test_hit,test_comp,test_roi
1,p3>=0.300 & turn>=-0.2 & straight>=0.0,16,50.0,4.29476761927335,141.43125,19,36.84210526315789,3.6657968795330116,71.02631578947368
2,p3>=0.325 & turn>=0.0,15,46.666666666666664,5.4626472996939555,141.66,13,30.76923076923077,5.169551682676623,72.1923076923077
3,p3>=0.300 & turn>=0.0,21,47.61904761904761,6.1841265145992725,137.42380952380952,23,39.130434782608695,4.067849305471552,86.25652173913043
4,p3>=0.300 & turn>=-0.2 & straight>=-0.2,18,44.44444444444444,4.0963130127565135,125.71666666666667,25,36.0,3.4792746969300983,74.448
5,p3>=0.300 & turn>=-0.2 & ST>=-0.2,17,35.294117647058826,6.5744461412697675,117.08823529411765,23,47.82608695652174,5.048582395838048,133.27391304347827
6,p3>=0.300 & turn>=-0.2,42,33.33333333333333,5.017375922438464,98.12857142857143,51,37.254901960784316,4.034072590548704,96.3921568627451
7,p3>=0.325 & turn>=-0.2,29,31.03448275862069,4.662013705169149,93.37586206896552,26,38.46153846153847,4.328203054077513,112.98461538461538
8,p3>=0.300 & straight>=-0.2,103,24.271844660194176,5.667953326829562,82.46990291262136,126,30.158730158730158,3.531121586652099,76.8047619047619
9,p3>=0.300,240,24.583333333333332,5.269873676275537,76.49125,246,32.113821138211385,3.8038223259087514,79.8239837398374
10,p3>=0.350 & turn>=-0.2,17,35.294117647058826,3.66553101982892,77.96470588235294,15,40.0,3.8187489133946895,135.23333333333332
11,p3>=0.350,84,27.380952380952383,3.837688026517614,72.61904761904762,77,38.961038961038966,3.2903340438436968,106.63896103896104
12,p3>=0.300 & turn>=-0.4,97,23.711340206185564,4.753256161873793,66.43711340206185,109,37.61467889908257,3.885071127721489,97.34311926605504
13,p3>=0.325 & turn>=-0.4,63,25.396825396825395,4.472544885644375,68.37619047619047,61,39.34426229508197,3.570325489930898,112.50327868852459
14,p3>=0.325,156,23.076923076923077,5.320003526071464,63.77371794871795,137,37.22627737226277,3.517581657753304,94.69197080291971
15,p3>=0.325 & turn>=-0.4 & ST>=-0.2,19,21.052631578947366,6.172244389863948,69.5578947368421,21,42.857142857142854,4.9700372250102225,133.6809523809524
