model,tier_target,selected_on_july,split,cut,R,formal,watch,watch_rate,recall,precision,tp
base,0.1,0,tune_july,0.1773206193398239,4772,87,478,0.10016764459346186,0.7126436781609196,0.1297071129707113,62
base,0.1,0,untouched_aug,0.1773206193398239,4776,110,520,0.10887772194304858,0.8181818181818182,0.17307692307692307,90
base,0.08,0,tune_july,0.32194470603247954,4772,87,382,0.08005029337803855,0.6551724137931034,0.14921465968586387,57
base,0.08,0,untouched_aug,0.32194470603247954,4776,110,416,0.08710217755443886,0.7818181818181819,0.20673076923076922,86
base,0.07,0,tune_july,0.42141309007400246,4772,87,334,0.0699916177703269,0.632183908045977,0.16467065868263472,55
base,0.07,0,untouched_aug,0.42141309007400246,4776,110,368,0.07705192629815745,0.7363636363636363,0.22010869565217392,81
base+tactics,0.1,0,tune_july,0.2423855308862714,4772,87,478,0.10016764459346186,0.7011494252873564,0.12761506276150628,61
base+tactics,0.1,0,untouched_aug,0.2423855308862714,4776,110,597,0.125,0.8272727272727273,0.152428810720268,91
base+tactics,0.08,0,tune_july,0.3734652775532091,4772,87,382,0.08005029337803855,0.6781609195402298,0.1544502617801047,59
base+tactics,0.08,0,untouched_aug,0.3734652775532091,4776,110,503,0.1053182579564489,0.8,0.1749502982107356,88
base+tactics,0.07,0,tune_july,0.47127899420868447,4772,87,334,0.0699916177703269,0.632183908045977,0.16467065868263472,55
base+tactics,0.07,0,untouched_aug,0.47127899420868447,4776,110,445,0.09317420435510888,0.7454545454545455,0.1842696629213483,82
base+prior_ex,0.1,1,tune_july,0.1475017599297395,4772,87,478,0.10016764459346186,0.7471264367816092,0.13598326359832635,65
base+prior_ex,0.1,1,untouched_aug,0.1475017599297395,4776,110,507,0.10615577889447236,0.8090909090909091,0.1755424063116371,89
base+prior_ex,0.08,1,tune_july,0.2803225363854695,4772,87,382,0.08005029337803855,0.6896551724137931,0.15706806282722513,60
base+prior_ex,0.08,1,untouched_aug,0.2803225363854695,4776,110,421,0.08814907872696817,0.7727272727272727,0.20190023752969122,85
base+prior_ex,0.07,0,tune_july,0.363273081626342,4772,87,334,0.0699916177703269,0.6551724137931034,0.17065868263473055,57
base+prior_ex,0.07,0,untouched_aug,0.363273081626342,4776,110,381,0.07977386934673367,0.7454545454545455,0.2152230971128609,82
base+all_audited,0.1,0,tune_july,0.19168811340065664,4772,87,478,0.10016764459346186,0.7241379310344828,0.13179916317991633,63
base+all_audited,0.1,0,untouched_aug,0.19168811340065664,4776,110,573,0.1199748743718593,0.8181818181818182,0.15706806282722513,90
base+all_audited,0.08,0,tune_july,0.34428359218355836,4772,87,382,0.08005029337803855,0.6781609195402298,0.1544502617801047,59
base+all_audited,0.08,0,untouched_aug,0.34428359218355836,4776,110,459,0.09610552763819095,0.7818181818181819,0.18736383442265794,86
base+all_audited,0.07,1,tune_july,0.42400032775640845,4772,87,334,0.0699916177703269,0.6666666666666666,0.17365269461077845,58
base+all_audited,0.07,1,untouched_aug,0.42400032775640845,4776,110,418,0.08752093802345058,0.7545454545454545,0.19856459330143542,83
