month,date,race_code,p3head,actual_combo,y3head,hit,valid_payout,return_yen,cost_yen,top10,pair_train_3wins,_code,st_margin23,turn_margin23,pickup,od3_settled
2026-08,2026-08-01,202608010805,0.3497663844444987,1-3-2,0,0,1,0.0,1000,3-4-5;3-5-4;3-2-5;3-5-2;3-2-4;3-4-2;3-5-6;3-4-6;3-1-5;3-5-1,4911,202608010805,-1.0,-0.4,0,1
2026-08,2026-08-01,202608012203,0.3580379318249708,3-2-4,1,1,1,2930.0,1000,3-2-4;3-2-5;3-1-2;3-1-4;3-1-5;3-4-2;3-4-5;3-5-2;3-2-6;3-4-6,4911,202608012203,-1.0,-0.8,0,1
2026-08,2026-08-02,202608020803,0.3006283241287725,3-5-1,1,1,1,1420.0,1000,3-1-5;3-5-1;3-5-6;3-5-4;3-4-5;3-1-4;3-1-6;3-5-2;3-6-5;3-2-5,4911,202608020803,-0.8,-0.4,0,1
2026-08,2026-08-02,202608022103,0.3191652466692004,1-3-4,0,0,1,0.0,1000,3-1-5;3-5-1;3-1-4;3-1-2;3-1-6;3-4-1;3-5-4;3-4-5;3-5-6;3-5-2,4911,202608022103,-0.6,-1.0,0,1
2026-08,2026-08-03,202608030107,0.3719263497224879,3-5-6,1,1,1,1510.0,1000,3-5-6;3-1-5;3-5-1;3-5-4;3-6-5;3-4-5;3-5-2;3-1-6;3-1-4;3-2-5,4911,202608030107,-0.6,-0.2,0,1
2026-08,2026-08-04,202608041003,0.3459410204154562,3-1-2,1,1,1,1760.0,1000,3-1-4;3-1-5;3-1-2;3-4-1;3-1-6;3-5-1;3-4-5;3-2-1;3-5-4;3-2-4,4911,202608041003,0.1999999999999999,-0.6,0,1
2026-08,2026-08-04,202608041008,0.3104820276928254,3-1-6,1,1,1,2100.0,1000,3-4-6;3-6-4;3-4-5;3-1-4;3-5-6;3-1-6;3-6-5;3-5-4;3-1-5;3-4-1,4911,202608041008,-0.8,-0.4,0,1
2026-08,2026-08-04,202608041902,0.3525720242635883,3-6-1,1,1,1,9960.0,1000,3-1-6;3-6-1;3-6-5;3-5-6;3-1-5;3-2-6;3-6-2;3-6-4;3-1-2;3-4-6,4911,202608041902,0.4,-0.4,0,1
2026-08,2026-08-05,202608050409,0.3175982699370228,3-4-6,1,1,1,990.0,1000,3-2-4;3-1-4;3-4-6;3-4-2;3-1-2;3-2-6;3-1-6;3-2-5;3-4-1;3-1-5,4911,202608050409,-0.6,-0.6000000000000001,0,1
2026-08,2026-08-05,202608051407,0.3578889125981009,1-3-6,0,0,1,0.0,1000,3-1-4;3-4-6;3-1-5;3-1-6;3-4-5;3-6-4;3-5-6;3-4-1;3-5-4;3-1-2,4911,202608051407,-1.0,-0.2,0,1
2026-08,2026-08-05,202608051709,0.3901612541031121,3-1-2,1,0,1,0.0,1000,3-4-5;3-5-4;3-2-5;3-2-4;3-4-6;3-5-6;3-5-2;3-1-5;3-4-2;3-1-4,4911,202608051709,-0.6,-0.8,0,1
2026-08,2026-08-06,202608060203,0.3554932068913408,1-4-6,0,0,1,0.0,1000,3-4-6;3-1-4;3-6-4;3-1-6;3-4-1;3-6-1;3-1-5;3-4-5;3-1-2;3-5-6,4911,202608060203,-0.4,0.2,0,1
2026-08,2026-08-06,202608060407,0.3074445832145941,5-1-2,0,0,1,0.0,1000,3-1-5;3-2-5;3-5-2;3-5-1;3-5-4;3-4-5;3-5-6;3-1-2;3-1-4;3-2-4,4911,202608060407,-1.0,-1.0,0,1
2026-08,2026-08-06,202608061209,0.4632723375127412,5-3-4,0,0,1,0.0,1000,3-5-6;3-6-5;3-1-5;3-1-6;3-5-1;3-4-6;3-6-1;3-5-4;3-2-5;3-6-4,4911,202608061209,-0.1999999999999999,-0.4,0,1
