mode,target_rate,selected_on_july,split,cut,R,formal,watch,watch_rate,recall,precision,tp
mean,0.08,0,tune_july,0.3234409845130956,4772,87,382,0.08005029337803855,0.6666666666666666,0.1518324607329843,58
mean,0.08,0,shadow_aug,0.3234409845130956,4776,110,460,0.09631490787269682,0.7909090909090909,0.1891304347826087,87
mean,0.1,0,tune_july,0.20325673162441343,4772,87,478,0.10016764459346186,0.7126436781609196,0.1297071129707113,62
mean,0.1,0,shadow_aug,0.20325673162441343,4776,110,550,0.11515912897822446,0.8272727272727273,0.16545454545454547,91
mean,0.12,1,tune_july,0.1221231777854416,4772,87,573,0.12007544006705784,0.7816091954022989,0.11867364746945899,68
mean,0.12,1,shadow_aug,0.1221231777854416,4776,110,652,0.13651591289782244,0.8454545454545455,0.14263803680981596,93
max,0.08,0,tune_july,0.48712785906919015,4772,87,382,0.08005029337803855,0.6551724137931034,0.14921465968586387,57
max,0.08,0,shadow_aug,0.48712785906919015,4776,110,476,0.09966499162479062,0.7636363636363637,0.17647058823529413,84
max,0.1,0,tune_july,0.3352764941887743,4772,87,478,0.10016764459346186,0.7241379310344828,0.13179916317991633,63
max,0.1,0,shadow_aug,0.3352764941887743,4776,110,563,0.11788107202680068,0.8363636363636363,0.16341030195381884,92
max,0.12,0,tune_july,0.2086162380311915,4772,87,573,0.12007544006705784,0.7816091954022989,0.11867364746945899,68
max,0.12,0,shadow_aug,0.2086162380311915,4776,110,675,0.14133165829145727,0.8454545454545455,0.13777777777777778,93
top2,0.08,0,tune_july,0.4397112866922773,4772,87,382,0.08005029337803855,0.6551724137931034,0.14921465968586387,57
top2,0.08,0,shadow_aug,0.4397112866922773,4776,110,463,0.0969430485762144,0.7727272727272727,0.183585313174946,85
top2,0.1,0,tune_july,0.2841194990911888,4772,87,478,0.10016764459346186,0.7126436781609196,0.1297071129707113,62
top2,0.1,0,shadow_aug,0.2841194990911888,4776,110,562,0.11767169179229481,0.8272727272727273,0.1619217081850534,91
top2,0.12,0,tune_july,0.17545352103457498,4772,87,573,0.12007544006705784,0.7816091954022989,0.11867364746945899,68
top2,0.12,0,shadow_aug,0.17545352103457498,4776,110,661,0.1384003350083752,0.8454545454545455,0.14069591527987896,93
prior_plus_base,0.08,1,tune_july,0.30149726166578417,4772,87,382,0.08005029337803855,0.6781609195402298,0.1544502617801047,59
prior_plus_base,0.08,1,shadow_aug,0.30149726166578417,4776,110,424,0.08877721943048576,0.7727272727272727,0.20047169811320756,85
prior_plus_base,0.1,1,tune_july,0.1677373806320631,4772,87,478,0.10016764459346186,0.7471264367816092,0.13598326359832635,65
prior_plus_base,0.1,1,shadow_aug,0.1677373806320631,4776,110,520,0.10887772194304858,0.8272727272727273,0.175,91
prior_plus_base,0.12,0,tune_july,0.09785085938258736,4772,87,573,0.12007544006705784,0.7816091954022989,0.11867364746945899,68
prior_plus_base,0.12,0,shadow_aug,0.09785085938258736,4776,110,600,0.12562814070351758,0.8363636363636363,0.15333333333333332,92
