tag,race_code,date,p3head,actual_combo,top10_hit,actual_stake,zero_stake_tickets,composite_odds,cost_yen,return_yen,profit_yen,top10,stakes,odds,turn_margin23,st_margin23,pickup
v210_8pct_prior_plus_base,202608010805,2026-08-01,0.3497663844444987,1-3-2,0,0,0,2.4527473863104388,10000,0.0,-10000.0,3-4-5;3-5-4;3-2-5;3-5-2;3-2-4;3-4-2;3-5-6;3-4-6;3-1-5;3-5-1,2600;2100;900;700;1200;1100;300;300;400;400,9.5;11.9;26.6;33.4;20;22.7;85.1;72.8;59.3;69.1,-0.4,-1.0,0
v210_8pct_prior_plus_base,202608012203,2026-08-01,0.3580379318249708,3-2-4,1,700,0,2.6856221640587497,10000,25830.0,15830.0,3-2-4;3-2-5;3-1-2;3-1-4;3-1-5;3-4-2;3-4-5;3-5-2;3-2-6;3-4-6,700;1000;2000;1300;1700;600;800;500;1000;400,36.9;28.2;13.3;20.6;16.1;44.1;32.6;49.9;27.2;72.5,-0.8,-1.0,0
v210_8pct_prior_plus_base,202608020803,2026-08-02,0.3006283241287725,3-5-1,1,2400,0,3.5917097473092845,10000,36240.0,26240.0,3-1-5;3-5-1;3-5-6;3-5-4;3-4-5;3-1-4;3-1-6;3-5-2;3-6-5;3-2-5,1900;2400;2000;700;500;400;700;500;600;300,18.6;15.1;17.8;50.9;74.9;89.5;53.9;75.4;59.8;104.8,-0.4,-0.8,0
v210_8pct_prior_plus_base,202608022103,2026-08-02,0.3191652466692004,1-3-4,0,0,0,1.824308463858387,10000,0.0,-10000.0,3-1-5;3-5-1;3-1-4;3-1-2;3-1-6;3-4-1;3-5-4;3-4-5;3-5-6;3-5-2,3100;1500;1800;400;400;700;900;700;300;200,5.8;11.9;10.3;45.9;50.8;28;21;26.3;52.4;78.7,-1.0,-0.6,0
v210_8pct_prior_plus_base,202608030107,2026-08-03,0.3719263497224879,3-5-6,1,2400,0,3.227155687146195,10000,31680.0,21680.0,3-5-6;3-1-5;3-5-1;3-5-4;3-6-5;3-4-5;3-5-2;3-1-6;3-1-4;3-2-5,2400;900;1100;1500;1000;1100;700;400;400;500,13.2;36.7;29;21.2;32.4;30.2;43.4;83.2;83.4;70.5,-0.2,-0.6,0
v210_8pct_prior_plus_base,202608041003,2026-08-04,0.3459410204154562,3-1-2,1,1200,0,2.0216626136406215,10000,21000.0,11000.0,3-1-4;3-1-5;3-1-2;3-4-1;3-1-6;3-5-1;3-4-5;3-2-1;3-5-4;3-2-4,1400;3500;1200;400;800;1300;300;300;500;300,14;5.8;17.5;46.4;26.7;15.2;57.9;65.4;42.8;77.3,-0.6,0.1999999999999999,0
v210_8pct_prior_plus_base,202608041008,2026-08-04,0.3104820276928254,3-1-6,1,900,0,2.981262289729892,10000,29700.0,19700.0,3-4-6;3-6-4;3-4-5;3-1-4;3-5-6;3-1-6;3-6-5;3-5-4;3-1-5;3-4-1,2200;1700;1100;900;600;900;700;400;500;1000,13.5;17.4;27.6;31.8;50.9;33;43.2;70.8;63.9;30,-0.4,-0.8,0
v210_8pct_prior_plus_base,202608041902,2026-08-04,0.3525720242635883,3-6-1,1,1100,0,12.204054895116071,10000,120010.0,110010.0,3-1-6;3-6-1;3-6-5;3-5-6;3-1-5;3-2-6;3-6-2;3-6-4;3-1-2;3-4-6,1800;1100;500;400;1100;1100;1200;800;1300;700,68;109.1;258.4;310;110.7;109.1;103.3;152;95.7;164.9,-0.4,0.4,0
v210_8pct_prior_plus_base,202608050409,2026-08-05,0.3175982699370228,3-4-6,1,1800,0,2.0192987534981386,10000,20160.0,10160.0,3-2-4;3-1-4;3-4-6;3-4-2;3-1-2;3-2-6;3-1-6;3-2-5;3-4-1;3-1-5,700;1700;1800;900;800;500;1300;300;1500;500,28.1;12.2;11.2;21.7;23.7;39.9;15.8;75.5;13.8;38.4,-0.6000000000000001,-0.6,0
v210_8pct_prior_plus_base,202608051407,2026-08-05,0.3578889125981009,1-3-6,0,0,0,2.1732132700685476,10000,0.0,-10000.0,3-1-4;3-4-6;3-1-5;3-1-6;3-4-5;3-6-4;3-5-6;3-4-1;3-5-4;3-1-2,1500;1500;900;1400;700;900;500;1600;400;600,14.7;14.4;24.7;15.8;30;22.5;44.6;13.7;55.3;36.2,-0.2,-1.0,0
