variant,cut,n,R,head4,trifecta_hits,trifecta_hit_rate_pct,head4_rate_pct,avg_comp_odds,cost_yen,return_yen,profit_yen,realized_roi_pct
PRE,0.15,2,436,129,34,7.79816513761468,29.587155963302752,13.65510525512561,4360000,3001450.0,-1358550.0,68.84059633027523
PRE,0.15,3,436,129,44,10.091743119266056,29.587155963302752,9.449458623446267,4360000,2901660.0,-1458340.0,66.55183486238532
PRE,0.15,4,436,129,54,12.385321100917432,29.587155963302752,7.532803594491049,4360000,3316130.0,-1043870.0,76.05802752293577
PRE,0.15,5,436,129,68,15.59633027522936,29.587155963302752,6.3159550139709895,4360000,3559030.0,-800970.0,81.62912844036697
PRE,0.15,6,436,129,76,17.431192660550458,29.587155963302752,5.529950731335064,4360000,3488200.0,-871800.0,80.0045871559633
PRE,0.15,7,436,129,81,18.577981651376145,29.587155963302752,5.035905532609836,4360000,3355320.0,-1004680.0,76.95688073394496
PRE,0.15,8,436,129,90,20.642201834862387,29.587155963302752,4.662508015211114,4360000,3339870.0,-1020130.0,76.60252293577982
PRE,0.15,9,436,129,96,22.018348623853214,29.587155963302752,4.369523812001572,4360000,3384480.0,-975520.0,77.6256880733945
PRE,0.15,10,436,129,101,23.165137614678898,29.587155963302752,4.12588500277578,4360000,3355220.0,-1004780.0,76.9545871559633
PRE,0.15,11,436,129,105,24.08256880733945,29.587155963302752,3.91715463119522,4360000,3315070.0,-1044930.0,76.03371559633028
PRE,0.15,12,436,129,109,25.0,29.587155963302752,3.749913001761137,4360000,3334610.0,-1025390.0,76.48188073394495
PRE,0.15,13,436,129,116,26.605504587155966,29.587155963302752,3.6180290029002147,4360000,3455890.0,-904110.0,79.26353211009175
PRE,0.15,14,436,129,118,27.06422018348624,29.587155963302752,3.5033397306188356,4360000,3382730.0,-977270.0,77.5855504587156
PRE,0.15,15,436,129,120,27.522935779816514,29.587155963302752,3.401393457745044,4360000,3332710.0,-1027290.0,76.43830275229358
PRE,0.15,16,436,129,122,27.981651376146786,29.587155963302752,3.313102915816027,4360000,3275170.0,-1084830.0,75.11857798165137
PRE,0.15,17,436,129,125,28.6697247706422,29.587155963302752,3.2470258271597454,4360000,3271450.0,-1088550.0,75.03325688073394
PRE,0.15,18,436,129,125,28.6697247706422,29.587155963302752,3.1860335412620873,4360000,3177380.0,-1182620.0,72.8756880733945
PRE,0.15,19,436,129,127,29.128440366972473,29.587155963302752,3.1437065539956985,4360000,3196770.0,-1163230.0,73.3204128440367
PRE,0.15,20,436,129,129,29.587155963302752,29.587155963302752,3.1015934585712137,4360000,3217330.0,-1142670.0,73.79197247706422
