post_cut,rule,date,month,race_code,p4head,raw_n,buy_n,comp_odds,hit,return_yen,profit_yen,head4
0.25,FIXED2,2026-02-01,2026-02,202602011007,0.265829752967608,2,2,9.965550239234448,0,0.0,-10000.0,1
0.25,FLOOR3_5TO10,2026-02-01,2026-02,202602011007,0.265829752967608,7,7,3.195599569752857,0,0.0,-10000.0,1
0.25,COPY3HEAD,2026-02-01,2026-02,202602011007,0.265829752967608,8,8,2.8334204791844293,1,27500.0,17500.0,1
0.25,FIXED2,2026-02-04,2026-02,202602040701,0.3106367990968701,2,2,8.474393530997304,0,0.0,-10000.0,0
0.25,FLOOR3_5TO10,2026-02-04,2026-02,202602040701,0.3106367990968701,8,8,3.0890557793749696,0,0.0,-10000.0,0
0.25,COPY3HEAD,2026-02-04,2026-02,202602040701,0.3106367990968701,9,9,2.985435804912955,0,0.0,-10000.0,0
0.25,FIXED2,2026-02-05,2026-02,202602050707,0.3742669716116171,2,2,3.9631901840490795,0,0.0,-10000.0,0
0.25,FIXED2,2026-02-06,2026-02,202602060401,0.3605431036303466,2,2,13.771812080536913,0,0.0,-10000.0,0
0.25,FLOOR3_5TO10,2026-02-06,2026-02,202602060401,0.3605431036303466,8,8,3.289158556966344,0,0.0,-10000.0,0
0.25,COPY3HEAD,2026-02-06,2026-02,202602060401,0.3605431036303466,9,9,2.877636674688445,0,0.0,-10000.0,0
0.25,FIXED2,2026-02-10,2026-02,202602101308,0.2688805988758028,2,2,9.010443864229766,0,0.0,-10000.0,1
0.25,FLOOR3_5TO10,2026-02-10,2026-02,202602101308,0.2688805988758028,9,9,3.1380298680958174,1,31500.0,21500.0,1
0.25,COPY3HEAD,2026-02-10,2026-02,202602101308,0.2688805988758028,10,10,2.892695667951414,1,28350.0,18350.0,1
0.25,FIXED2,2026-02-11,2026-02,202602111010,0.3427511021484676,2,2,10.788914549653578,1,107630.0,97630.0,1
0.25,FLOOR3_5TO10,2026-02-11,2026-02,202602111010,0.3427511021484676,10,10,4.652390416413044,1,45800.0,35800.0,1
0.25,COPY3HEAD,2026-02-11,2026-02,202602111010,0.3427511021484676,20,10,4.652390416413044,1,45800.0,35800.0,1
0.25,FIXED2,2026-02-12,2026-02,202602121507,0.2707522960170118,2,2,16.209374999999998,0,0.0,-10000.0,1
0.25,FLOOR3_5TO10,2026-02-12,2026-02,202602121507,0.2707522960170118,10,10,3.8381946340128574,1,37440.0,27440.0,1
0.25,COPY3HEAD,2026-02-12,2026-02,202602121507,0.2707522960170118,16,10,3.8381946340128574,1,37440.0,27440.0,1
0.25,FIXED2,2026-02-14,2026-02,202602141308,0.2763115815464547,2,2,16.02292899408284,0,0.0,-10000.0,0
0.25,FLOOR3_5TO10,2026-02-14,2026-02,202602141308,0.2763115815464547,10,10,5.482843274697781,0,0.0,-10000.0,0
0.25,COPY3HEAD,2026-02-14,2026-02,202602141308,0.2763115815464547,20,10,5.482843274697781,0,0.0,-10000.0,0
0.25,FIXED2,2026-02-15,2026-02,202602150102,0.2889796333465463,2,2,11.196428571428571,0,0.0,-10000.0,1
0.25,FLOOR3_5TO10,2026-02-15,2026-02,202602150102,0.2889796333465463,10,10,4.314675678073328,0,0.0,-10000.0,1
0.25,COPY3HEAD,2026-02-15,2026-02,202602150102,0.2889796333465463,17,10,4.314675678073328,0,0.0,-10000.0,1
0.25,FIXED2,2026-02-15,2026-02,202602150406,0.2656890390531388,2,2,12.98181818181818,0,0.0,-10000.0,0
0.25,FLOOR3_5TO10,2026-02-15,2026-02,202602150406,0.2656890390531388,10,10,3.705198021371399,0,0.0,-10000.0,0
0.25,COPY3HEAD,2026-02-15,2026-02,202602150406,0.2656890390531388,15,10,3.705198021371399,0,0.0,-10000.0,0
0.25,FIXED2,2026-02-15,2026-02,202602151108,0.2642857457672624,2,2,15.824960505529226,0,0.0,-10000.0,1
0.25,FLOOR3_5TO10,2026-02-15,2026-02,202602151108,0.2642857457672624,7,7,3.147703418722118,0,0.0,-10000.0,1
0.25,COPY3HEAD,2026-02-15,2026-02,202602151108,0.2642857457672624,8,8,2.9431934809320417,0,0.0,-10000.0,1
0.25,FIXED2,2026-02-20,2026-02,202602202404,0.2591790406093451,2,2,15.373205741626796,0,0.0,-10000.0,0
0.25,FLOOR3_5TO10,2026-02-20,2026-02,202602202404,0.2591790406093451,10,10,5.386722778423526,0,0.0,-10000.0,0
0.25,COPY3HEAD,2026-02-20,2026-02,202602202404,0.2591790406093451,20,10,5.386722778423526,0,0.0,-10000.0,0
0.25,FIXED2,2026-02-21,2026-02,202602211905,0.2657812857478504,2,2,8.776988636363637,0,0.0,-10000.0,1
0.25,FLOOR3_5TO10,2026-02-21,2026-02,202602211905,0.2657812857478504,10,10,3.1468418830889164,1,31150.0,21150.0,1
0.25,COPY3HEAD,2026-02-21,2026-02,202602211905,0.2657812857478504,12,10,3.1468418830889164,1,31150.0,21150.0,1
0.25,FIXED2,2026-02-22,2026-02,202602222204,0.2774228860256401,2,2,14.40864864864865,0,0.0,-10000.0,0
0.25,FLOOR3_5TO10,2026-02-22,2026-02,202602222204,0.2774228860256401,10,10,3.7711534286127777,0,0.0,-10000.0,0
0.25,COPY3HEAD,2026-02-22,2026-02,202602222204,0.2774228860256401,13,10,3.7711534286127777,0,0.0,-10000.0,0
0.25,FIXED2,2026-02-22,2026-02,202602222406,0.4051716074637815,2,2,6.339622641509434,0,0.0,-10000.0,1
0.25,FLOOR3_5TO10,2026-02-22,2026-02,202602222406,0.4051716074637815,6,6,3.324599212373864,0,0.0,-10000.0,1
0.25,COPY3HEAD,2026-02-22,2026-02,202602222406,0.4051716074637815,7,7,2.8086987834625385,0,0.0,-10000.0,1
0.25,FIXED2,2026-02-23,2026-02,202602231501,0.3356969439007898,2,2,7.300341296928329,0,0.0,-10000.0,1
0.25,FLOOR3_5TO10,2026-02-23,2026-02,202602231501,0.3356969439007898,7,7,3.0011526359973555,0,0.0,-10000.0,1
0.25,COPY3HEAD,2026-02-23,2026-02,202602231501,0.3356969439007898,7,7,3.0011526359973555,0,0.0,-10000.0,1
0.25,FIXED2,2026-02-24,2026-02,202602241607,0.3793932051689883,2,2,4.23056768558952,0,0.0,-10000.0,0
0.25,COPY3HEAD,2026-02-24,2026-02,202602241607,0.3793932051689883,5,5,2.9871048231695827,0,0.0,-10000.0,0
0.25,FIXED2,2026-02-24,2026-02,202602242102,0.3185253577963196,2,2,13.849821215733016,0,0.0,-10000.0,0
0.25,FLOOR3_5TO10,2026-02-24,2026-02,202602242102,0.3185253577963196,8,8,3.1828557038452656,0,0.0,-10000.0,0
0.25,COPY3HEAD,2026-02-24,2026-02,202602242102,0.3185253577963196,9,9,2.980982568301007,0,0.0,-10000.0,0
0.25,FIXED2,2026-02-25,2026-02,202602252303,0.3126156356013133,2,2,6.115241635687732,0,0.0,-10000.0,1
0.25,FLOOR3_5TO10,2026-02-25,2026-02,202602252303,0.3126156356013133,6,6,3.051135507748101,1,30520.0,20520.0,1
0.25,COPY3HEAD,2026-02-25,2026-02,202602252303,0.3126156356013133,6,6,3.051135507748101,1,30520.0,20520.0,1
0.25,FIXED2,2026-02-27,2026-02,202602270806,0.3798531322712205,2,2,3.2644927536231885,1,32300.0,22300.0,1
0.25,FIXED2,2026-02-28,2026-02,202602281308,0.2806438120814644,2,2,9.898803827751196,0,0.0,-10000.0,0
0.25,FLOOR3_5TO10,2026-02-28,2026-02,202602281308,0.2806438120814644,7,7,3.0715644369755553,0,0.0,-10000.0,0
0.25,COPY3HEAD,2026-02-28,2026-02,202602281308,0.2806438120814644,7,7,3.0715644369755553,0,0.0,-10000.0,0
0.25,FIXED2,2026-03-01,2026-03,202603011808,0.4989142902414993,2,2,5.343277310924369,0,0.0,-10000.0,1
0.25,FLOOR3_5TO10,2026-03-01,2026-03,202603011808,0.4989142902414993,9,9,3.0184705811597166,0,0.0,-10000.0,1
0.25,COPY3HEAD,2026-03-01,2026-03,202603011808,0.4989142902414993,9,9,3.0184705811597166,0,0.0,-10000.0,1
0.25,FIXED2,2026-03-01,2026-03,202603012412,0.3529095882450148,2,2,7.492424242424242,0,0.0,-10000.0,0
0.25,FLOOR3_5TO10,2026-03-01,2026-03,202603012412,0.3529095882450148,6,6,3.364407512471735,0,0.0,-10000.0,0
0.25,COPY3HEAD,2026-03-01,2026-03,202603012412,0.3529095882450148,7,7,2.6810605287988376,0,0.0,-10000.0,0
0.25,FIXED2,2026-03-04,2026-03,202603042102,0.3593260605814386,2,2,10.426076555023922,0,0.0,-10000.0,0
0.25,FLOOR3_5TO10,2026-03-04,2026-03,202603042102,0.3593260605814386,8,8,3.09924649814057,0,0.0,-10000.0,0
0.25,COPY3HEAD,2026-03-04,2026-03,202603042102,0.3593260605814386,8,8,3.09924649814057,0,0.0,-10000.0,0
0.25,FIXED2,2026-03-05,2026-03,202603050604,0.3061163578628836,2,2,18.3026706231454,0,0.0,-10000.0,0
0.25,FLOOR3_5TO10,2026-03-05,2026-03,202603050604,0.3061163578628836,10,10,3.1743618413810353,0,0.0,-10000.0,0
0.25,COPY3HEAD,2026-03-05,2026-03,202603050604,0.3061163578628836,13,10,3.1743618413810353,0,0.0,-10000.0,0
0.25,FIXED2,2026-03-08,2026-03,202603080203,0.2922289961451596,2,2,8.406936416184971,1,83520.0,73520.0,1
0.25,FLOOR3_5TO10,2026-03-08,2026-03,202603080203,0.2922289961451596,7,7,3.2503207245698356,1,33120.0,23120.0,1
0.25,COPY3HEAD,2026-03-08,2026-03,202603080203,0.2922289961451596,8,8,2.864051586487019,1,28800.0,18800.0,1
0.25,FIXED2,2026-03-09,2026-03,202603090102,0.3316593156735228,2,2,7.323986486486486,0,0.0,-10000.0,0
0.25,FLOOR3_5TO10,2026-03-09,2026-03,202603090102,0.3316593156735228,6,6,3.4093517703323823,0,0.0,-10000.0,0
0.25,COPY3HEAD,2026-03-09,2026-03,202603090102,0.3316593156735228,7,7,2.992872033019941,0,0.0,-10000.0,0
0.25,FIXED2,2026-03-12,2026-03,202603120209,0.268650214327331,2,2,8.04123076923077,0,0.0,-10000.0,0
0.25,FLOOR3_5TO10,2026-03-12,2026-03,202603120209,0.268650214327331,10,10,3.1668574525018207,0,0.0,-10000.0,0
0.25,COPY3HEAD,2026-03-12,2026-03,202603120209,0.268650214327331,12,10,3.1668574525018207,0,0.0,-10000.0,0
0.25,FIXED2,2026-03-12,2026-03,202603121805,0.255422049125538,2,2,19.153333333333332,0,0.0,-10000.0,0
0.25,FLOOR3_5TO10,2026-03-12,2026-03,202603121805,0.255422049125538,10,10,4.5247894776564355,0,0.0,-10000.0,0
0.25,COPY3HEAD,2026-03-12,2026-03,202603121805,0.255422049125538,20,10,4.5247894776564355,0,0.0,-10000.0,0
0.25,FIXED2,2026-03-13,2026-03,202603131101,0.2520280363378985,2,2,16.959243085880644,0,0.0,-10000.0,1
0.25,FLOOR3_5TO10,2026-03-13,2026-03,202603131101,0.2520280363378985,10,10,3.554636113526149,1,35450.0,25450.0,1
0.25,COPY3HEAD,2026-03-13,2026-03,202603131101,0.2520280363378985,13,10,3.554636113526149,1,35450.0,25450.0,1
0.25,FIXED2,2026-03-13,2026-03,202603132206,0.3199306516509312,2,2,14.789508196721313,0,0.0,-10000.0,0
0.25,FLOOR3_5TO10,2026-03-13,2026-03,202603132206,0.3199306516509312,10,10,3.581869543427157,0,0.0,-10000.0,0
0.25,COPY3HEAD,2026-03-13,2026-03,202603132206,0.3199306516509312,15,10,3.581869543427157,0,0.0,-10000.0,0
0.25,FIXED2,2026-03-16,2026-03,202603160306,0.589710290564322,2,2,8.978846153846154,0,0.0,-10000.0,1
0.25,FLOOR3_5TO10,2026-03-16,2026-03,202603160306,0.589710290564322,9,9,3.0266497400675423,1,30120.0,20120.0,1
0.25,COPY3HEAD,2026-03-16,2026-03,202603160306,0.589710290564322,9,9,3.0266497400675423,1,30120.0,20120.0,1
0.25,FIXED2,2026-03-18,2026-03,202603180807,0.3265274485058275,2,2,5.805944055944056,0,0.0,-10000.0,0
0.25,COPY3HEAD,2026-03-18,2026-03,202603180807,0.3265274485058275,5,5,2.570897574931828,0,0.0,-10000.0,0
0.25,FIXED2,2026-03-20,2026-03,202603202006,0.2772656793675701,2,2,5.423181818181818,0,0.0,-10000.0,0
0.25,COPY3HEAD,2026-03-20,2026-03,202603202006,0.2772656793675701,5,5,2.751797735579847,0,0.0,-10000.0,0
0.25,FIXED2,2026-03-21,2026-03,202603210505,0.297060005085186,2,2,3.243076923076923,0,0.0,-10000.0,1
0.25,FIXED2,2026-03-22,2026-03,202603221607,0.4794416463857328,2,2,6.813503649635037,0,0.0,-10000.0,1
0.25,FLOOR3_5TO10,2026-03-22,2026-03,202603221607,0.4794416463857328,7,7,3.050114699664858,1,31100.0,21100.0,1
0.25,COPY3HEAD,2026-03-22,2026-03,202603221607,0.4794416463857328,7,7,3.050114699664858,1,31100.0,21100.0,1
0.25,FIXED2,2026-03-24,2026-03,202603240908,0.4132700372975956,2,2,18.233559782608694,0,0.0,-10000.0,0
