date,month,race_code,PRE,POST,head4,train_head4,old_rank,v258_rank,old_order,v258_order,old_hit_n2,old_ret_n2,old_comp_n2,old_hit_n3,old_ret_n3,old_comp_n3,old_hit_n5,old_ret_n5,old_comp_n5,old_hit_n10,old_ret_n10,old_comp_n10,old_var10_n,old_var10_hit,old_var10_ret,old_var10_comp,v258_hit_n2,v258_ret_n2,v258_comp_n2,v258_hit_n3,v258_ret_n3,v258_comp_n3,v258_hit_n5,v258_ret_n5,v258_comp_n5,v258_hit_n10,v258_ret_n10,v258_comp_n10,v258_var10_n,v258_var10_hit,v258_var10_ret,v258_var10_comp
2026-02-01,2026-02,202602010104,0.0978657220062632,0.0798260518217146,0,66,0,0,4-5-2 4-2-5 4-6-2 4-2-6 4-2-1 4-1-2 4-5-6 4-6-5 4-5-1 4-3-2 4-2-3 4-1-5 4-6-1 4-1-6 4-5-3 4-3-5 4-3-6 4-6-3 4-3-1 4-1-3,4-2-1 4-2-5 4-5-2 4-2-6 4-5-1 4-2-3 4-5-6 4-1-2 4-1-5 4-6-5 4-5-3 4-1-6 4-1-3 4-6-1 4-6-2 4-3-1 4-3-2 4-3-5 4-3-6 4-6-3,0.0,0.0,21.824284077892326,0.0,0.0,19.521366034993818,0.0,0.0,12.697196228119244,0.0,0.0,7.276675271891616,6.0,0.0,0.0,10.619559407564328,0.0,0.0,24.842758620689654,0.0,0.0,15.864901632272238,0.0,0.0,11.217059019927982,0.0,0.0,6.72820446762232,6.0,0.0,0.0,10.654641412581643
2026-02-01,2026-02,202602011007,0.3411131707056405,0.265829752967608,1,66,8,12,4-5-6 4-6-5 4-5-1 4-1-5 4-2-5 4-1-6 4-5-2 4-6-1 4-2-6 4-6-2 4-2-1 4-1-2 4-5-3 4-3-5 4-3-6 4-6-3 4-3-1 4-1-3 4-2-3 4-3-2,4-5-6 4-1-5 4-1-2 4-1-6 4-6-5 4-5-1 4-5-2 4-1-3 4-2-1 4-2-5 4-2-6 4-6-1 4-5-3 4-6-2 4-2-3 4-6-3 4-3-1 4-3-5 4-3-2 4-3-6,0.0,0.0,9.965550239234448,0.0,0.0,6.705730843528653,0.0,0.0,4.40647381299325,1.0,25000.0,2.585133833097799,2.0,0.0,0.0,9.965550239234448,0.0,0.0,7.861587301587301,0.0,0.0,6.161866263892648,0.0,0.0,3.739043941660797,0.0,0.0,2.5713078847375415,2.0,0.0,0.0,7.861587301587301
2026-02-01,2026-02,202602011612,0.1836099487864481,0.1842542758411148,0,66,0,0,4-1-2 4-2-1 4-2-5 4-2-6 4-6-2 4-1-5 4-5-2 4-1-6 4-6-1 4-6-5 4-5-1 4-5-6 4-2-3 4-3-2 4-1-3 4-3-1 4-6-3 4-3-5 4-3-6 4-5-3,4-2-5 4-1-5 4-1-2 4-2-1 4-6-5 4-2-6 4-1-6 4-3-5 4-5-6 4-5-2 4-2-3 4-5-1 4-1-3 4-3-2 4-3-1 4-6-2 4-3-6 4-6-1 4-5-3 4-6-3,0.0,0.0,17.88,0.0,0.0,14.191785879095525,0.0,0.0,9.867454820165007,0.0,0.0,4.732369164166032,5.0,0.0,0.0,9.867454820165007,0.0,0.0,22.48454011741683,0.0,0.0,12.815246992596586,0.0,0.0,8.588921298100859,0.0,0.0,4.814541667682169,4.0,0.0,0.0,9.95982057840774
2026-02-02,2026-02,202602020609,0.0611956750970451,0.075112457151231,0,66,0,0,4-1-2 4-2-1 4-1-6 4-6-1 4-1-5 4-5-1 4-6-2 4-2-6 4-1-3 4-3-1 4-5-2 4-2-5 4-6-5 4-3-2 4-5-6 4-2-3 4-3-6 4-6-3 4-3-5 4-5-3,4-1-2 4-1-5 4-1-6 4-1-3 4-2-1 4-6-5 4-2-5 4-5-6 4-3-2 4-2-6 4-6-2 4-3-1 4-3-5 4-6-1 4-5-2 4-5-1 4-3-6 4-2-3 4-6-3 4-5-3,0.0,0.0,18.45776754890679,0.0,0.0,9.779505789242268,0.0,0.0,6.81739380995647,0.0,0.0,5.201227127307593,3.0,0.0,0.0,9.779505789242268,0.0,0.0,22.7272030651341,0.0,0.0,10.860468637219865,0.0,0.0,8.58066922774941,0.0,0.0,7.0176471936003875,4.0,0.0,0.0,10.004273966957479
2026-02-02,2026-02,202602020712,0.1402584671167934,0.122233229966174,0,66,0,0,4-6-1 4-1-6 4-2-1 4-1-2 4-2-6 4-6-2 4-1-5 4-5-1 4-6-5 4-1-3 4-5-6 4-2-5 4-3-1 4-6-3 4-5-2 4-3-6 4-2-3 4-3-2 4-5-3 4-3-5,4-2-1 4-2-5 4-2-3 4-2-6 4-6-5 4-1-5 4-1-3 4-1-2 4-1-6 4-6-1 4-6-3 4-5-6 4-6-2 4-5-1 4-5-3 4-5-2 4-3-5 4-3-1 4-3-2 4-3-6,0.0,0.0,22.265060240963855,0.0,0.0,15.424068100954344,0.0,0.0,8.480368132551353,0.0,0.0,5.378835380850927,4.0,0.0,0.0,9.55343645088872,0.0,0.0,34.056245996156306,0.0,0.0,30.500196079625255,0.0,0.0,17.755753250467485,0.0,0.0,5.85487682569235,7.0,0.0,0.0,11.621997490379908
2026-02-02,2026-02,202602021005,0.2089107522040775,0.1792406636186982,0,66,0,0,4-6-2 4-2-6 4-6-5 4-6-1 4-5-6 4-1-6 4-2-5 4-2-1 4-5-2 4-1-2 4-1-5 4-5-1 4-6-3 4-3-6 4-2-3 4-3-2 4-3-5 4-5-3 4-1-3 4-3-1,4-6-5 4-1-5 4-2-5 4-5-6 4-2-1 4-1-2 4-5-1 4-1-6 4-2-6 4-1-3 4-6-1 4-2-3 4-5-2 4-6-2 4-3-5 4-5-3 4-6-3 4-3-1 4-3-2 4-3-6,0.0,0.0,14.274,0.0,0.0,9.733574007220215,0.0,0.0,6.02220965453669,0.0,0.0,3.850935991491969,3.0,0.0,0.0,9.733574007220215,0.0,0.0,19.812442396313365,0.0,0.0,16.263719800524104,0.0,0.0,9.836172981104086,0.0,0.0,4.896284138306123,5.0,0.0,0.0,9.836172981104086
2026-02-02,2026-02,202602021503,0.0806600145683521,0.0622799843222513,0,66,0,0,4-2-3 4-2-5 4-5-2 4-3-2 4-5-3 4-3-5 4-2-1 4-1-2 4-5-1 4-3-1 4-1-3 4-1-5 4-6-2 4-2-6 4-6-3 4-6-5 4-5-6 4-3-6 4-6-1 4-1-6,4-5-1 4-2-1 4-5-2 4-3-1 4-3-2 4-2-5 4-3-5 4-6-5 4-2-3 4-1-2 4-5-3 4-6-1 4-6-2 4-1-5 4-1-3 4-6-3 4-5-6 4-2-6 4-3-6 4-1-6,0.0,0.0,51.86530241018645,0.0,0.0,34.07015000940097,0.0,0.0,24.908710690410444,0.0,0.0,14.035867010852437,20.0,0.0,0.0,11.114714866149948,0.0,0.0,68.53060128847531,0.0,0.0,40.54736535352504,0.0,0.0,28.69592954263084,0.0,0.0,14.921825677771313,20.0,0.0,0.0,11.11471486614995
2026-02-02,2026-02,202602021504,0.1409102882115703,0.1425041038619224,0,66,0,0,4-1-6 4-5-6 4-6-1 4-2-6 4-6-5 4-6-2 4-5-1 4-2-1 4-1-5 4-1-2 4-2-5 4-5-2 4-3-6 4-6-3 4-3-1 4-1-3 4-5-3 4-2-3 4-3-5 4-3-2,4-5-6 4-2-6 4-5-2 4-2-1 4-5-1 4-2-5 4-1-2 4-1-6 4-2-3 4-1-5 4-5-3 4-1-3 4-6-5 4-3-6 4-3-2 4-3-1 4-6-1 4-6-2 4-3-5 4-6-3,0.0,0.0,8.935537190082645,0.0,0.0,7.146742209631729,0.0,0.0,5.250846321241013,0.0,0.0,2.84944942901543,2.0,0.0,0.0,8.935537190082645,0.0,0.0,13.000802752293579,0.0,0.0,9.660522301972401,0.0,0.0,6.075626148237354,0.0,0.0,3.178843937374916,3.0,0.0,0.0,9.660522301972401
2026-02-03,2026-02,202602030304,0.0907118034439773,0.1372198598825734,1,66,3,6,4-1-5 4-5-1 4-5-6 4-6-5 4-1-6 4-6-1 4-2-5 4-5-2 4-1-2 4-2-1 4-3-5 4-2-6 4-5-3 4-6-2 4-3-1 4-1-3 4-3-6 4-6-3 4-3-2 4-2-3,4-1-2 4-2-1 4-1-5 4-2-5 4-5-1 4-5-6 4-5-2 4-1-6 4-1-3 4-2-6 4-3-1 4-3-2 4-2-3 4-6-5 4-3-5 4-6-1 4-5-3 4-6-2 4-3-6 4-6-3,0.0,0.0,11.323210412147505,1.0,79750.0,8.020673278390836,1.0,55000.0,5.433086004510127,1.0,30250.0,3.1844847680800603,2.0,0.0,0.0,11.323210412147505,0.0,0.0,15.15031152647975,0.0,0.0,8.620300002215673,0.0,0.0,5.813327045039079,1.0,33000.0,3.315035781362889,3.0,0.0,0.0,8.620300002215673
2026-02-04,2026-02,202602040701,0.3495014603648499,0.3106367990968701,0,66,0,0,4-5-1 4-1-5 4-1-3 4-3-1 4-5-3 4-3-5 4-2-1 4-1-2 4-2-5 4-5-2 4-2-3 4-6-1 4-3-2 4-1-6 4-6-5 4-6-3 4-5-6 4-3-6 4-6-2 4-2-6,4-2-1 4-1-5 4-1-3 4-5-1 4-2-5 4-2-3 4-6-1 4-1-2 4-6-5 4-5-3 4-3-1 4-6-3 4-5-2 4-1-6 4-3-5 4-5-6 4-6-2 4-2-6 4-3-2 4-3-6,0.0,0.0,8.474393530997304,0.0,0.0,5.293118888132678,0.0,0.0,4.090299642470704,0.0,0.0,2.8465752233264063,2.0,0.0,0.0,8.474393530997304,0.0,0.0,10.706555090655508,0.0,0.0,6.085586097164671,0.0,0.0,4.603514662095108,0.0,0.0,3.3937801053268877,2.0,0.0,0.0,10.706555090655508
