feature,auc_oriented,direction,n,top10_n,top10_head_rate,overall_head_rate,lift_pt
rel_pl_all_win_4v1,0.6462864241795223,high,592,59,0.4406779661016949,0.23817567567567569,20.250229042601923
rel_pl_all_p2_4v1,0.6410655595917661,high,592,59,0.3559322033898305,0.23817567567567569,11.775652771415482
rel_pl_recent_p2_4v1,0.6305845166768882,high,592,59,0.3898305084745763,0.23817567567567569,15.16548327989006
v91_ex,0.6269755154031231,high,592,59,0.3898305084745763,0.23817567567567569,15.16548327989006
score_wind_v83,0.6259848091711091,high,592,59,0.423728813559322,0.23817567567567569,18.555313788364632
score_CORR20_v91,0.625292887358274,high,592,59,0.3728813559322034,0.23817567567567569,13.47056802565277
b1_pl_all_p2,0.6221163372175308,low,592,59,0.3559322033898305,0.23817567567567569,11.775652771415482
score_RAW20_v91,0.6206931798524948,high,592,59,0.3728813559322034,0.23817567567567569,13.47056802565277
score_BASE_v91,0.6203000424588385,high,592,59,0.4406779661016949,0.23817567567567569,20.250229042601923
b1_pl_all_win,0.619710336368354,low,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
preview_comp,0.619529493167272,high,592,59,0.423728813559322,0.23817567567567569,18.555313788364632
opp_national_b1_v93,0.6163686685222751,low,592,59,0.3389830508474576,0.23817567567567569,10.080737517178193
p4_joint,0.6159047663977606,high,592,59,0.4067796610169492,0.23817567567567569,16.86039853412735
POST,0.6155745309870893,high,592,59,0.3728813559322034,0.23817567567567569,13.47056802565277
opp_score_b1_v93,0.6141120598826878,low,592,59,0.3389830508474576,0.23817567567567569,10.080737517178193
PRE,0.6131370791464201,high,592,59,0.4745762711864407,0.23817567567567569,23.6400595510765
opp_grade_b1_v93,0.6108254312717208,low,592,59,0.3220338983050847,0.23817567567567569,8.385822262940904
b1_pl_frame_win,0.6086238618672454,low,592,59,0.3728813559322034,0.23817567567567569,13.47056802565277
rel_pl_frame_win_4v1,0.6022157223506471,high,592,59,0.3728813559322034,0.23817567567567569,13.47056802565277
b1_pl_frame_p2,0.5990548977056501,low,592,59,0.3389830508474576,0.23817567567567569,10.080737517178193
b4_pl_recent_p2,0.596625308612854,high,592,59,0.3898305084745763,0.23817567567567569,15.16548327989006
b1_pl_frame_races,0.5961456809925934,low,592,59,0.3728813559322034,0.23817567567567569,13.47056802565277
rel_pl_recent_p2_4v5,0.5951707002563256,high,592,59,0.3389830508474576,0.23817567567567569,10.080737517178193
rel_pl_frame_p2_4v1,0.5929612681039769,high,592,59,0.3728813559322034,0.23817567567567569,13.47056802565277
rel_pl_all_win_4v5,0.5922536207953955,high,592,59,0.4406779661016949,0.23817567567567569,20.250229042601923
rel_pl_recent_p2_4v3,0.5920649148464405,high,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
rel_pl_frame_races_4v1,0.5903586985579721,high,592,59,0.3728813559322034,0.23817567567567569,13.47056802565277
rel_pl_all_win_4v3,0.5902093063483826,high,592,59,0.3898305084745763,0.23817567567567569,15.16548327989006
opp_nst_b1_v93,0.5861364029501029,low,592,59,0.3389830508474576,0.23817567567567569,10.080737517178193
post_x_entry_same,0.5859948734883867,high,592,59,0.3898305084745763,0.23817567567567569,15.16548327989006
b1_pl_recent_p2,0.5845088141403658,low,592,59,0.2542372881355932,0.23817567567567569,1.6061612459917525
b2_vh_p2_display,0.5836203236307024,high,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
relative_deg,0.5836116627550099,high,498,49,0.32653061224489793,0.23293172690763053,9.35988853372674
rank_b1_v93,0.5769763016779104,high,592,59,0.3559322033898305,0.23817567567567569,11.775652771415482
opp_local_b1_v93,0.5768976741991791,low,592,59,0.2542372881355932,0.23817567567567569,1.6061612459917525
b2_vh_delta_display,0.5767482819895897,low,592,59,0.3728813559322034,0.23817567567567569,13.47056802565277
v91_straight,0.5737918887892941,high,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
b4_gh_p2_display,0.5712286329826548,high,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
rel_pl_all_p2_4v3,0.5711342800081773,high,592,59,0.3728813559322034,0.23817567567567569,13.47056802565277
b4_gh_delta_display,0.5708826720762372,low,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
st_corr_strength_b1,0.5685552987057918,low,592,59,0.3220338983050847,0.23817567567567569,8.385822262940904
b4_pl_all_win,0.5671635923322483,high,592,59,0.4406779661016949,0.23817567567567569,20.250229042601923
b4_gh_delta_straight,0.5661414351087418,high,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
rel_pl_all_p2_4v5,0.5659605919076599,high,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
rel_pl_recent_p2_4v2,0.5658505134374363,high,592,59,0.3559322033898305,0.23817567567567569,11.775652771415482
b6_pl_frame_races,0.5654337878001604,low,592,59,0.2542372881355932,0.23817567567567569,1.6061612459917525
b1_gh_p1_overall,0.5647418659873253,low,592,59,0.4067796610169492,0.23817567567567569,16.86039853412735
attack4_stretch_x_st,0.5636269865525672,high,537,53,0.24528301886792453,0.2383612662942272,0.6921752573697343
b3_pl_all_win,0.5636174930414681,low,592,59,0.3559322033898305,0.23817567567567569,11.775652771415482
b4_vh_p2_display,0.5630277869509837,high,592,59,0.3220338983050847,0.23817567567567569,8.385822262940904
b1_gh_p1_turn,0.5622257866679248,low,592,59,0.3559322033898305,0.23817567567567569,11.775652771415482
rel_st_corr_strength_4v1,0.5620370807189696,high,592,59,0.3220338983050847,0.23817567567567569,8.385822262940904
st_corr_rank_b1,0.5607869038071425,high,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
rel_st_corr_rank_4v1,0.5601028447421805,low,592,59,0.3389830508474576,0.23817567567567569,10.080737517178193
rel_vh_delta_straight_4v1,0.5594266484250917,high,592,59,0.3728813559322034,0.23817567567567569,13.47056802565277
b3_pl_all_p2,0.5589941972920696,low,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
st_raw_strength_b1,0.5583494519664732,low,592,59,0.3220338983050847,0.23817567567567569,8.385822262940904
rel_vh_p12_display_4v5,0.557280118255728,high,592,59,0.3220338983050847,0.23817567567567569,8.385822262940904
b5_pl_all_win,0.5571385887940117,low,592,59,0.3389830508474576,0.23817567567567569,10.080737517178193
opp_score_b3_v93,0.557028510323788,low,592,59,0.22033898305084745,0.23817567567567569,-1.7836692624828232
b1_gh_delta_overall,0.5570127848280417,low,592,59,0.3220338983050847,0.23817567567567569,8.385822262940904
rel_vh_p12_straight_4v1,0.5569184318535643,high,592,59,0.3389830508474576,0.23817567567567569,10.080737517178193
rank_b6_v93,0.5568476671227061,low,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
b4_pl_all_p2,0.5562500982843485,high,592,59,0.3220338983050847,0.23817567567567569,8.385822262940904
st_raw_b1,0.55615234375,high,536,53,0.33962264150943394,0.23880597014925373,10.081667136018021
b1_vh_p1_overall,0.5552672548002076,low,592,59,0.3898305084745763,0.23817567567567569,15.16548327989006
b4_vh_p1_straight,0.55492129389379,high,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
b2_gh_p2_turn,0.5549134311459168,low,592,59,0.3559322033898305,0.23817567567567569,11.775652771415482
opp_national_b3_v93,0.5537654699564404,low,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
b2_gh_delta_display,0.5536632542340898,low,592,59,0.3389830508474576,0.23817567567567569,10.080737517178193
opp_direct_b5_v93,0.5536239404947241,low,592,59,0.3220338983050847,0.23817567567567569,8.385822262940904
b5_gh_p2_display,0.5532543913446871,low,592,59,0.2033898305084746,0.23817567567567569,-3.4785845167201095
opp_motor_b6_v93,0.5531521756223365,high,592,59,0.3389830508474576,0.23817567567567569,10.080737517178193
b4_vh_delta_straight,0.5528376657074114,high,592,59,0.3220338983050847,0.23817567567567569,8.385822262940904
rel_vh_delta_display_4v3,0.5523894890786432,low,592,59,0.3389830508474576,0.23817567567567569,10.080737517178193
b6_gh_p2_display,0.5516189397870768,high,592,59,0.2542372881355932,0.23817567567567569,1.6061612459917525
b2_gh_p2_overall,0.5515717632998379,low,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
rel_vh_p12_overall_4v2,0.5515560378040918,high,592,59,0.23728813559322035,0.23817567567567569,-0.08875400824553403
st_raw_rank_b1,0.5515009985689799,high,592,59,0.3220338983050847,0.23817567567567569,8.385822262940904
b2_pl_frame_win,0.551383057350883,low,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
b1_vh_p1_turn,0.5513280181157711,low,592,59,0.3220338983050847,0.23817567567567569,8.385822262940904
b3_pl_frame_races,0.5510528219402117,low,592,59,0.3389830508474576,0.23817567567567569,10.080737517178193
b4_vh_delta_display,0.5502350961614064,low,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
rel_pl_frame_p2_4v2,0.5499992137252127,high,592,59,0.3389830508474576,0.23817567567567569,10.080737517178193
rel_vh_p12_straight_4v5,0.5498969980028621,high,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
history_adjust_online,0.5489298800144674,high,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
