ensemble,members,weights,min_n,R,heads,head_rate,cut,monthly_floor,months,month_detail,pass_40
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,0.50+0.20+0.30,200,208,68,0.3269230769230769,0.2045977117760326,0.26865671641791045,3,2026-04:67R/26.87%;2026-05:79R/39.24%;2026-06:62R/30.65%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,0.50+0.40+0.10,200,200,64,0.32,0.22688641153990025,0.265625,3,2026-04:64R/26.56%;2026-05:77R/38.96%;2026-06:59R/28.81%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,0.30+0.60+0.10,200,200,64,0.32,0.22442478512851266,0.26153846153846155,3,2026-04:65R/26.15%;2026-05:76R/36.84%;2026-06:59R/32.20%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,0.50+0.30+0.20,200,200,64,0.32,0.21816445064994824,0.25396825396825395,3,2026-04:63R/25.40%;2026-05:78R/38.46%;2026-06:59R/30.51%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,0.60+0.20+0.20,200,200,64,0.32,0.2212467621933793,0.2537313432835821,3,2026-04:67R/25.37%;2026-05:75R/38.67%;2026-06:58R/31.03%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,0.40+0.30+0.30,200,200,64,0.32,0.24161824504211982,0.25,3,2026-04:64R/25.00%;2026-05:75R/40.00%;2026-06:61R/29.51%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,0.60+0.30+0.10,200,200,64,0.32,0.22951303132029705,0.25,3,2026-04:64R/25.00%;2026-05:79R/37.97%;2026-06:57R/31.58%,False
PAIR:ENV_ENTRY+OPP_CONTEXT,ENV_ENTRY+OPP_CONTEXT,0.30+0.70,200,205,65,0.3170731707317073,0.21462238645476162,0.26153846153846155,3,2026-04:65R/26.15%;2026-05:80R/36.25%;2026-06:60R/31.67%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,0.40+0.20+0.40,200,202,64,0.31683168316831684,0.19255062452030747,0.26153846153846155,3,2026-04:65R/26.15%;2026-05:77R/36.36%;2026-06:60R/31.67%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,0.40+0.30+0.30,200,202,64,0.31683168316831684,0.20389499805605601,0.26153846153846155,3,2026-04:65R/26.15%;2026-05:77R/36.36%;2026-06:60R/31.67%,False
