overlay,keep_frac,base_settled_R,R,head4_rate_pct,trifecta_hit_pct,avg_n,avg_comp_odds,cost_yen,return_yen,profit_yen,new_roi_pct,min_month_roi_pct,month_detail,score_cut,robust_roi
ENV_ENTRY_ONLY,0.8,66,53,35.84905660377358,15.09433962264151,2.2830188679245285,7.714692912166963,530000,606860.0,76860.0,114.50188679245284,100.70454545454545,2026-04:17R ROI134.17% hit11.76% head35.29%;2026-05:22R ROI100.70% hit18.18% head36.36%;2026-06:14R ROI112.30% hit14.29% head35.71%,0.224790415245682,100.70454545454545
V265_200_SIMPLE_SCORE,0.9,66,60,36.666666666666664,13.333333333333334,2.283333333333333,7.729091086072858,600000,606860.0,6860.0,101.14333333333333,98.26250000000002,2026-04:22R ROI103.68% hit9.09% head40.91%;2026-05:22R ROI100.70% hit18.18% head36.36%;2026-06:16R ROI98.26% hit12.50% head31.25%,0.17810420957839274,98.26250000000002
V265_150_TOP_SCORE,0.9,66,60,36.666666666666664,13.333333333333334,2.2666666666666666,7.660948744547828,600000,606860.0,6860.0,101.14333333333333,96.32608695652173,2026-04:21R ROI108.61% hit9.52% head42.86%;2026-05:23R ROI96.33% hit17.39% head34.78%;2026-06:16R ROI98.26% hit12.50% head31.25%,0.16858965890275368,96.32608695652173
V265_200_TOP_SCORE,0.9,66,60,36.666666666666664,13.333333333333334,2.2666666666666666,7.631565628629486,600000,606860.0,6860.0,101.14333333333333,92.3125,2026-04:20R ROI114.05% hit10.00% head45.00%;2026-05:24R ROI92.31% hit16.67% head33.33%;2026-06:16R ROI98.26% hit12.50% head31.25%,0.14785798419339313,92.3125
ENV_ENTRY_ONLY,0.9,66,60,35.0,13.333333333333334,2.2666666666666666,7.547180955871702,600000,606860.0,6860.0,101.14333333333333,88.62,2026-04:19R ROI120.05% hit10.53% head42.11%;2026-05:25R ROI88.62% hit16.00% head32.00%;2026-06:16R ROI98.26% hit12.50% head31.25%,0.1619665475351778,88.62
NONE_V260_BASE,1.0,66,66,34.84848484848485,12.121212121212121,2.3181818181818183,7.767259254427205,660000,606860.0,-53140.0,91.94848484848485,88.62,2026-04:24R ROI95.04% hit8.33% head41.67%;2026-05:25R ROI88.62% hit16.00% head32.00%;2026-06:17R ROI92.48% hit11.76% head29.41%,,88.62
V265_200_TOP_SCORE,1.0,66,66,34.84848484848485,12.121212121212121,2.3181818181818183,7.767259254427205,660000,606860.0,-53140.0,91.94848484848485,88.62,2026-04:24R ROI95.04% hit8.33% head41.67%;2026-05:25R ROI88.62% hit16.00% head32.00%;2026-06:17R ROI92.48% hit11.76% head29.41%,0.082256297998289,88.62
V265_150_TOP_SCORE,1.0,66,66,34.84848484848485,12.121212121212121,2.3181818181818183,7.767259254427205,660000,606860.0,-53140.0,91.94848484848485,88.62,2026-04:24R ROI95.04% hit8.33% head41.67%;2026-05:25R ROI88.62% hit16.00% head32.00%;2026-06:17R ROI92.48% hit11.76% head29.41%,0.0866497203214067,88.62
V265_200_SIMPLE_SCORE,1.0,66,66,34.84848484848485,12.121212121212121,2.3181818181818183,7.767259254427205,660000,606860.0,-53140.0,91.94848484848485,88.62,2026-04:24R ROI95.04% hit8.33% head41.67%;2026-05:25R ROI88.62% hit16.00% head32.00%;2026-06:17R ROI92.48% hit11.76% head29.41%,0.09200658780937554,88.62
ENV_ENTRY_ONLY,1.0,66,66,34.84848484848485,12.121212121212121,2.3181818181818183,7.767259254427205,660000,606860.0,-53140.0,91.94848484848485,88.62,2026-04:24R ROI95.04% hit8.33% head41.67%;2026-05:25R ROI88.62% hit16.00% head32.00%;2026-06:17R ROI92.48% hit11.76% head29.41%,0.0495541290509641,88.62
OPP_CONTEXT_ONLY,1.0,66,66,34.84848484848485,12.121212121212121,2.3181818181818183,7.767259254427205,660000,606860.0,-53140.0,91.94848484848485,88.62,2026-04:24R ROI95.04% hit8.33% head41.67%;2026-05:25R ROI88.62% hit16.00% head32.00%;2026-06:17R ROI92.48% hit11.76% head29.41%,0.0812491669570032,88.62
ENV_ENTRY_ONLY,0.7,66,47,36.17021276595745,14.893617021276595,2.297872340425532,7.907380935364508,470000,549910.0,79910.0,117.00212765957447,86.63157894736842,2026-04:14R ROI162.92% hit14.29% head35.71%;2026-05:19R ROI86.63% hit15.79% head36.84%;2026-06:14R ROI112.30% hit14.29% head35.71%,0.2370234144667114,86.63157894736842
V265_150_TOP_SCORE,0.8,66,53,37.735849056603776,13.20754716981132,2.2830188679245285,7.620645125859968,530000,498290.0,-31710.0,94.01698113207547,66.4,2026-04:18R ROI66.40% hit5.56% head38.89%;2026-05:20R ROI110.78% hit20.00% head40.00%;2026-06:15R ROI104.81% hit13.33% head33.33%,0.20059951166283213,66.4
V265_200_SIMPLE_SCORE,0.8,66,53,35.84905660377358,11.320754716981133,2.30188679245283,7.88178669886328,530000,453050.0,-76950.0,85.48113207547169,59.76,2026-04:20R ROI59.76% hit5.00% head35.00%;2026-05:18R ROI97.95% hit16.67% head38.89%;2026-06:15R ROI104.81% hit13.33% head33.33%,0.21729496019854358,59.76
OPP_CONTEXT_ONLY,0.8,66,53,33.9622641509434,11.320754716981133,2.30188679245283,7.778057834313104,530000,453050.0,-76950.0,85.48113207547169,59.76,2026-04:20R ROI59.76% hit5.00% head35.00%;2026-05:19R ROI92.79% hit15.79% head36.84%;2026-06:14R ROI112.30% hit14.29% head28.57%,0.1868148233814681,59.76
