feature,category,n,overall_head_rate,direction,auc_oriented,std_mean_diff,top10_n,top10_head_rate,top10_lift_pt,top20_n,top20_head_rate,top20_lift_pt,month_direction_good,month_direction_seen,month_consistency,month_direction_detail,oof_n,base_oof_auc,plus_feature_oof_auc,delta_oof_auc,delta_logloss,incremental_months_positive,incremental_months_seen,incremental_month_floor_auc_delta,incremental_month_mean_auc_delta,importance_score
v91_ex,当日展示_風_環境,592,0.23817567567567569,high,0.6269755154031231,0.44816968140732316,128,0.3671875,12.901182432432432,128,0.3671875,12.901182432432432,5,5,1.0,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:+,398.0,0.5946335513915068,0.6497763979746463,0.055142846583139504,-0.012300062348817198,3.0,3.0,0.03561517113783541,0.0530056375956253,33.3063573434267
score_CORR20_v91,当日展示_風_環境,592,0.23817567567567569,high,0.625292887358274,0.43587078054188505,60,0.36666666666666664,12.849099099099096,119,0.3445378151260504,10.636213945037474,5,5,1.0,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:+,398.0,0.5946335513915068,0.6465979229035,0.05196437151199329,-0.014193881930637975,3.0,3.0,0.025874635568513105,0.04521823927139242,32.04940582723356
score_wind_v83,当日展示_風_環境,592,0.23817567567567569,high,0.6259848091711091,0.4339493328477043,60,0.43333333333333335,19.515765765765767,119,0.33613445378151263,9.795877810583695,5,5,1.0,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:+,398.0,0.5946335513915068,0.6451565214177477,0.050522970026240954,-0.01315610917806076,3.0,3.0,0.02478134110787178,0.0442572488813742,31.66225048447584
score_RAW20_v91,当日展示_風_環境,592,0.23817567567567569,high,0.6206931798524948,0.424315851141929,60,0.36666666666666664,12.849099099099096,119,0.3445378151260504,10.636213945037474,5,5,1.0,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:+,398.0,0.5946335513915068,0.643825996969361,0.049192445577854294,-0.013275232944151227,3.0,3.0,0.02405247813411071,0.04251577141436136,31.03504988982784
score_BASE_v91,当日展示_風_環境,592,0.23817567567567569,high,0.6203000424588385,0.4166462452035592,60,0.43333333333333335,19.515765765765767,119,0.33613445378151263,9.795877810583695,5,5,1.0,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:+,398.0,0.5946335513915068,0.6414975791846842,0.04686402779317744,-0.012020166337855187,3.0,3.0,0.020408163265306034,0.041171294296318495,30.36198536663608
rel_pl_all_win_4v1,4号艇vs1号艇_選手力差,592,0.23817567567567569,high,0.6462864241795223,0.5196435903564182,60,0.45,21.18243243243243,119,0.37815126050420167,13.997558482852599,5,5,1.0,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:+,398.0,0.5946335513915068,0.6221310566581661,0.027497505266659394,-0.006864442941112325,3.0,3.0,0.013538748832866432,0.027971830701063054,29.92765516785463
preview_comp,当日展示_風_環境,592,0.23817567567567569,high,0.619529493167272,0.41184047021299747,61,0.4262295081967213,18.80538325210456,119,0.3445378151260504,10.636213945037474,4,5,0.8,2026-02:+;2026-03:+;2026-04:-;2026-05:+;2026-06:+,398.0,0.5946335513915068,0.640499685848394,0.04586613445688725,-0.01181487070366749,3.0,3.0,0.02951895043731778,0.042889790748832625,29.253418997112146
rel_pl_all_p2_4v1,4号艇vs1号艇_選手力差,592,0.23817567567567569,high,0.6410655595917661,0.48126454116500833,60,0.35,11.18243243243243,119,0.36134453781512604,12.316886213945036,5,5,1.0,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:+,398.0,0.5946335513915068,0.6219832206083452,0.027349669216838457,-0.007245705573312389,3.0,3.0,0.014472455648926186,0.029315565998509336,29.039867045333313
rel_pl_recent_p2_4v1,4号艇vs1号艇_選手力差,592,0.23817567567567569,high,0.6305845166768882,0.4580188301048257,64,0.40625,16.80743243243243,132,0.3484848484848485,11.030917280917283,5,5,1.0,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:+,398.0,0.5946335513915068,0.6275270724766234,0.03289352108511667,-0.008629499798171292,3.0,3.0,0.015873015873015817,0.03425830781925854,28.84333934089561
opp_grade_b1_v93,相手構成_v93,592,0.23817567567567569,low,0.6108254312717208,0.41204250081463734,270,0.3037037037037037,6.552802802802801,270,0.3037037037037037,6.552802802802801,5,5,1.0,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:+,398.0,0.5946335513915068,0.629227187049562,0.03459363565805529,-0.0070424145827783224,3.0,3.0,0.014705882352941124,0.03766764403660235,26.3118308193437
