cut,a_R,a_head_pct,a_hit_pct,a_roi_pct,a_floor_pct,a_months,combined_R,combined_head_pct,combined_hit_pct,combined_roi_pct,combined_floor_pct,combined_months
0.24,58,41.37931034482759,15.517241379310345,128.06724137931033,52.4,2026-04:18R ROI52.40% head27.78% hit5.56%;2026-05:14R ROI256.20% head57.14% hit28.57%;2026-06:26R ROI111.46% head42.31% hit15.38%,111,38.73873873873874,15.315315315315313,121.59009009009009,92.11714285714285,2026-04:35R ROI92.12% head31.43% hit8.57%;2026-05:36R ROI161.18% head44.44% hit22.22%;2026-06:40R ROI111.75% head40.00% hit15.00%
0.25,54,42.592592592592595,16.666666666666664,137.5537037037037,58.95,2026-04:16R ROI58.95% head31.25% hit6.25%;2026-05:13R ROI275.91% head61.54% hit30.77%;2026-06:25R ROI115.92% head40.00% hit16.00%,107,39.25233644859813,15.887850467289718,126.1355140186916,97.7,2026-04:33R ROI97.70% head33.33% hit9.09%;2026-05:35R ROI165.78% head45.71% hit22.86%;2026-06:39R ROI114.62% head38.46% hit15.38%
0.26,51,41.17647058823529,15.686274509803921,138.38039215686274,58.95,2026-04:16R ROI58.95% head31.25% hit6.25%;2026-05:12R ROI298.90% head58.33% hit33.33%;2026-06:23R ROI109.89% head39.13% hit13.04%,104,38.46153846153847,15.384615384615385,126.21153846153847,97.7,2026-04:33R ROI97.70% head33.33% hit9.09%;2026-05:34R ROI170.66% head44.12% hit23.53%;2026-06:37R ROI110.80% head37.84% hit13.51%
0.27,48,43.75,16.666666666666664,147.02916666666667,67.37142857142857,2026-04:14R ROI67.37% head35.71% hit7.14%;2026-05:12R ROI298.90% head58.33% hit33.33%;2026-06:22R ROI114.88% head40.91% hit13.64%,101,39.603960396039604,15.841584158415841,129.96039603960395,104.00322580645161,2026-04:31R ROI104.00% head35.48% hit9.68%;2026-05:34R ROI170.66% head44.12% hit23.53%;2026-06:36R ROI113.88% head38.89% hit13.89%
0.28,47,44.680851063829785,17.02127659574468,150.15744680851063,67.37142857142857,2026-04:14R ROI67.37% head35.71% hit7.14%;2026-05:12R ROI298.90% head58.33% hit33.33%;2026-06:21R ROI120.35% head42.86% hit14.29%,100,40.0,16.0,131.26,104.00322580645161,2026-04:31R ROI104.00% head35.48% hit9.68%;2026-05:34R ROI170.66% head44.12% hit23.53%;2026-06:35R ROI117.13% head40.00% hit14.29%
0.29,42,47.61904761904761,16.666666666666664,145.32857142857142,67.37142857142857,2026-04:14R ROI67.37% head35.71% hit7.14%;2026-05:10R ROI263.32% head60.00% hit30.00%;2026-06:18R ROI140.41% head50.00% hit16.67%,95,41.05263157894737,15.789473684210526,128.13052631578947,104.00322580645161,2026-04:31R ROI104.00% head35.48% hit9.68%;2026-05:32R ROI151.52% head43.75% hit21.88%;2026-06:32R ROI128.11% head43.75% hit15.62%
0.3,38,50.0,15.789473684210526,136.1263157894737,85.74545454545455,2026-04:11R ROI85.75% head45.45% hit9.09%;2026-05:9R ROI189.13% head55.56% hit22.22%;2026-06:18R ROI140.41% head50.00% hit16.67%,91,41.75824175824176,15.384615384615385,123.53186813186814,115.14642857142857,2026-04:28R ROI115.15% head39.29% hit10.71%;2026-05:31R ROI126.38% head41.94% hit19.35%;2026-06:32R ROI128.11% head43.75% hit15.62%
0.31,34,47.05882352941176,14.705882352941178,125.54705882352941,94.32,2026-04:10R ROI94.32% head40.00% hit10.00%;2026-05:8R ROI212.78% head62.50% hit25.00%;2026-06:16R ROI101.45% head43.75% hit12.50%,87,40.229885057471265,14.942528735632186,118.8183908045977,106.51333333333334,2026-04:27R ROI119.41% head37.04% hit11.11%;2026-05:30R ROI130.59% head43.33% hit20.00%;2026-06:30R ROI106.51% head40.00% hit13.33%
0.32,29,48.275862068965516,17.24137931034483,147.19310344827585,104.8,2026-04:9R ROI104.80% head44.44% hit11.11%;2026-05:6R ROI283.70% head50.00% hit33.33%;2026-06:14R ROI115.94% head50.00% hit14.29%,82,40.243902439024396,15.853658536585366,126.06341463414634,114.12142857142857,2026-04:26R ROI124.00% head38.46% hit11.54%;2026-05:28R ROI139.92% head39.29% hit21.43%;2026-06:28R ROI114.12% head42.86% hit14.29%
0.33,28,50.0,17.857142857142858,152.45,104.8,2026-04:9R ROI104.80% head44.44% hit11.11%;2026-05:6R ROI283.70% head50.00% hit33.33%;2026-06:13R ROI124.86% head53.85% hit15.38%,81,40.74074074074074,16.049382716049383,127.61975308641975,118.34814814814816,2026-04:26R ROI124.00% head38.46% hit11.54%;2026-05:28R ROI139.92% head39.29% hit21.43%;2026-06:27R ROI118.35% head44.44% hit14.81%
