family,scope,races,avg_features,second_top1_pct,second_top2_pct,third_top1_pct,third_top2_pct,new_pair_top1_pct,v96_pair_top1_pct,delta_top1_pt,new_pair_top2_pct,v96_pair_top2_pct,delta_top2_pt,new_pair_top4_pct,v96_pair_top4_pct,delta_top4_pt,new_pair_top6_pct,v96_pair_top6_pct,delta_top6_pt,new_pair_top10_pct,v96_pair_top10_pct,delta_top10_pt,new_pair_top20_pct,v96_pair_top20_pct,delta_top20_pt
ALL_RICH,ALL_HEAD,141,57.198581560283685,39.00709219858156,60.28368794326241,26.95035460992908,46.808510638297875,15.602836879432624,14.184397163120568,1.4184397163120561,23.404255319148938,25.53191489361702,-2.1276595744680833,37.5886524822695,42.5531914893617,-4.964539007092199,53.90070921985816,56.02836879432624,-2.1276595744680833,70.92198581560284,77.30496453900709,-6.38297872340425,100.0,100.0,0.0
ALL_RICH,SA_SELECTED,40,57.35,30.0,57.49999999999999,27.500000000000004,47.5,17.5,15.0,2.5,25.0,35.0,-10.0,30.0,45.0,-15.0,47.5,57.49999999999999,-9.999999999999993,70.0,77.5,-7.5,100.0,100.0,0.0
BASE7,ALL_HEAD,141,10.0,35.46099290780142,60.28368794326241,30.49645390070922,51.06382978723404,14.893617021276595,14.184397163120568,0.7092198581560272,25.53191489361702,25.53191489361702,0.0,39.00709219858156,42.5531914893617,-3.546099290780141,55.319148936170215,56.02836879432624,-0.7092198581560254,73.04964539007092,77.30496453900709,-4.255319148936167,100.0,100.0,0.0
BASE7,SA_SELECTED,40,10.0,30.0,60.0,22.5,42.5,15.0,15.0,0.0,25.0,35.0,-10.0,35.0,45.0,-10.0,52.5,57.49999999999999,-4.999999999999993,70.0,77.5,-7.5,100.0,100.0,0.0
BASE7_CONTEXT,ALL_HEAD,141,12.0,38.297872340425535,60.99290780141844,29.78723404255319,49.645390070921984,14.184397163120568,14.184397163120568,0.0,23.404255319148938,25.53191489361702,-2.1276595744680833,41.13475177304964,42.5531914893617,-1.418439716312058,54.60992907801418,56.02836879432624,-1.418439716312058,73.04964539007092,77.30496453900709,-4.255319148936167,100.0,100.0,0.0
BASE7_CONTEXT,SA_SELECTED,40,12.0,32.5,60.0,25.0,42.5,12.5,15.0,-2.5,27.500000000000004,35.0,-7.4999999999999964,37.5,45.0,-7.5,55.00000000000001,57.49999999999999,-2.499999999999986,70.0,77.5,-7.5,100.0,100.0,0.0
BASE7_PLAYER,ALL_HEAD,141,16.0,39.00709219858156,60.28368794326241,29.078014184397162,49.645390070921984,16.312056737588655,14.184397163120568,2.127659574468087,26.24113475177305,25.53191489361702,0.709219858156029,42.5531914893617,42.5531914893617,0.0,51.77304964539007,56.02836879432624,-4.255319148936174,73.75886524822694,77.30496453900709,-3.5460992907801483,100.0,100.0,0.0
BASE7_PLAYER,SA_SELECTED,40,16.0,35.0,55.00000000000001,25.0,42.5,17.5,15.0,2.5,27.500000000000004,35.0,-7.4999999999999964,35.0,45.0,-10.0,42.5,57.49999999999999,-14.999999999999993,80.0,77.5,2.5,100.0,100.0,0.0
BASE7_PLAYER_PRIOR,ALL_HEAD,141,50.198581560283685,36.87943262411347,58.86524822695035,25.53191489361702,48.93617021276596,12.76595744680851,14.184397163120568,-1.418439716312058,26.24113475177305,25.53191489361702,0.709219858156029,39.00709219858156,42.5531914893617,-3.546099290780141,55.319148936170215,56.02836879432624,-0.7092198581560254,71.63120567375887,77.30496453900709,-5.673758865248217,100.0,100.0,0.0
BASE7_PLAYER_PRIOR,SA_SELECTED,40,50.35,35.0,55.00000000000001,25.0,47.5,17.5,15.0,2.5,27.500000000000004,35.0,-7.4999999999999964,32.5,45.0,-12.5,52.5,57.49999999999999,-4.999999999999993,75.0,77.5,-2.5,100.0,100.0,0.0
BASE7_PRIOR,ALL_HEAD,141,44.198581560283685,34.751773049645394,61.702127659574465,27.659574468085108,48.93617021276596,9.929078014184398,14.184397163120568,-4.25531914893617,23.404255319148938,25.53191489361702,-2.1276595744680833,37.5886524822695,42.5531914893617,-4.964539007092199,53.90070921985816,56.02836879432624,-2.1276595744680833,73.75886524822694,77.30496453900709,-3.5460992907801483,100.0,100.0,0.0
BASE7_PRIOR,SA_SELECTED,40,44.35,35.0,62.5,27.500000000000004,47.5,12.5,15.0,-2.5,22.5,35.0,-12.5,35.0,45.0,-10.0,55.00000000000001,57.49999999999999,-2.499999999999986,67.5,77.5,-10.0,100.0,100.0,0.0
BASE7_ST,ALL_HEAD,141,15.0,38.297872340425535,60.99290780141844,30.49645390070922,51.06382978723404,17.02127659574468,14.184397163120568,2.8368794326241122,24.822695035460992,25.53191489361702,-0.709219858156029,35.46099290780142,42.5531914893617,-7.092198581560282,53.90070921985816,56.02836879432624,-2.1276595744680833,73.04964539007092,77.30496453900709,-4.255319148936167,100.0,100.0,0.0
BASE7_ST,SA_SELECTED,40,15.0,30.0,60.0,25.0,40.0,12.5,15.0,-2.5,25.0,35.0,-10.0,30.0,45.0,-15.0,52.5,57.49999999999999,-4.999999999999993,67.5,77.5,-10.0,100.0,100.0,0.0
