role,feature,category,n_long,races,direction,auc_oriented,top1_pct,top2_pct,month_positive,month_seen,month_consistency,month_auc
SECOND,pref_pl_all_p2,PLAYER_HISTORY,705,141,high,0.667609778180172,33.333333333333336,61.702127659574465,5,5,1.0,2026-02:0.648;2026-03:0.623;2026-04:0.711;2026-05:0.723;2026-06:0.650
SECOND,v93_national,V93_BASE_CONTEXT,705,141,high,0.6663271465218048,36.170212765957444,62.4113475177305,5,5,1.0,2026-02:0.658;2026-03:0.652;2026-04:0.678;2026-05:0.717;2026-06:0.629
SECOND,pref_pl_all_win,PLAYER_HISTORY,705,141,high,0.6658115788944218,32.6241134751773,60.283687943262414,5,5,1.0,2026-02:0.640;2026-03:0.614;2026-04:0.726;2026-05:0.733;2026-06:0.618
SECOND,pref_pl_frame_p2,PLAYER_HISTORY,705,141,high,0.6644849353654243,36.87943262411348,56.737588652482266,5,5,1.0,2026-02:0.651;2026-03:0.626;2026-04:0.712;2026-05:0.719;2026-06:0.609
SECOND,v93_score,V93_BASE_CONTEXT,705,141,high,0.660391831396811,32.6241134751773,58.156028368794324,5,5,1.0,2026-02:0.676;2026-03:0.634;2026-04:0.632;2026-05:0.724;2026-06:0.615
SECOND,pref_pl_recent_p2,PLAYER_HISTORY,705,141,high,0.659693928876817,31.20567375886525,62.4113475177305,5,5,1.0,2026-02:0.658;2026-03:0.635;2026-04:0.661;2026-05:0.716;2026-06:0.613
SECOND,v93_local,V93_BASE_CONTEXT,705,141,high,0.6517340677028318,34.751773049645394,58.156028368794324,5,5,1.0,2026-02:0.654;2026-03:0.612;2026-04:0.607;2026-05:0.739;2026-06:0.622
SECOND,pref_pl_frame_win,PLAYER_HISTORY,705,141,high,0.6458113273980182,35.46099290780142,53.191489361702125,5,5,1.0,2026-02:0.626;2026-03:0.646;2026-04:0.713;2026-05:0.703;2026-06:0.536
SECOND,v93_rank,V93_BASE_CONTEXT,705,141,low,0.6436170212765957,32.6241134751773,58.156028368794324,5,5,1.0,2026-02:0.667;2026-03:0.620;2026-04:0.609;2026-05:0.736;2026-06:0.554
SECOND,v93_grade,V93_BASE_CONTEXT,705,141,high,0.6406933755847292,39.716312056737586,58.86524822695036,5,5,1.0,2026-02:0.696;2026-03:0.649;2026-04:0.620;2026-05:0.688;2026-06:0.542
