races,top1,top2,top3,top4,top6,top10,top20,second_top1,second_top2,third_top1,third_top2,family,l2,scope,objective,avg_features
54,12.962962962962962,22.22222222222222,29.629629629629626,42.592592592592595,55.55555555555556,72.22222222222221,100.0,31.48148148148148,55.55555555555556,33.33333333333333,59.25925925925925,CORE,0.3,TUNE,38.333333333333336,15.0
87,18.39080459770115,25.287356321839084,31.03448275862069,39.08045977011494,52.87356321839081,70.11494252873564,100.0,42.5287356321839,58.620689655172406,26.436781609195403,48.275862068965516,CORE,0.3,HOLD,38.04597701149426,15.0
54,12.962962962962962,24.074074074074073,31.48148148148148,42.592592592592595,55.55555555555556,72.22222222222221,100.0,31.48148148148148,55.55555555555556,33.33333333333333,59.25925925925925,CORE,1.0,TUNE,39.166666666666664,15.0
87,18.39080459770115,27.586206896551722,32.18390804597701,39.08045977011494,52.87356321839081,71.26436781609196,100.0,42.5287356321839,59.77011494252874,26.436781609195403,48.275862068965516,CORE,1.0,HOLD,39.19540229885058,15.0
54,11.11111111111111,24.074074074074073,29.629629629629626,42.592592592592595,55.55555555555556,72.22222222222221,100.0,33.33333333333333,57.407407407407405,33.33333333333333,55.55555555555556,CORE,3.0,TUNE,39.166666666666664,15.0
87,18.39080459770115,27.586206896551722,32.18390804597701,39.08045977011494,51.724137931034484,68.96551724137932,100.0,41.37931034482759,59.77011494252874,26.436781609195403,45.97701149425287,CORE,3.0,HOLD,38.79310344827586,15.0
54,12.962962962962962,24.074074074074073,27.77777777777778,37.03703703703704,55.55555555555556,72.22222222222221,100.0,35.18518518518518,55.55555555555556,33.33333333333333,53.70370370370371,CORE,10.0,TUNE,37.5,15.0
87,18.39080459770115,28.735632183908045,34.48275862068966,39.08045977011494,51.724137931034484,68.96551724137932,100.0,41.37931034482759,59.77011494252874,26.436781609195403,44.827586206896555,CORE,10.0,HOLD,39.310344827586206,15.0
54,12.962962962962962,22.22222222222222,29.629629629629626,42.592592592592595,51.85185185185185,68.51851851851852,100.0,31.48148148148148,57.407407407407405,33.33333333333333,53.70370370370371,PLAYER,0.3,TUNE,37.40740740740741,20.0
87,19.54022988505747,31.03448275862069,33.33333333333333,40.229885057471265,50.57471264367817,70.11494252873564,100.0,41.37931034482759,63.2183908045977,25.287356321839084,43.67816091954023,PLAYER,0.3,HOLD,40.632183908045974,20.0
54,11.11111111111111,22.22222222222222,27.77777777777778,42.592592592592595,51.85185185185185,68.51851851851852,100.0,33.33333333333333,57.407407407407405,31.48148148148148,55.55555555555556,PLAYER,1.0,TUNE,37.40740740740741,20.0
87,19.54022988505747,29.88505747126437,33.33333333333333,40.229885057471265,51.724137931034484,70.11494252873564,100.0,41.37931034482759,62.06896551724138,25.287356321839084,43.67816091954023,PLAYER,1.0,HOLD,40.287356321839084,20.0
54,7.4074074074074066,20.37037037037037,29.629629629629626,42.592592592592595,53.70370370370371,68.51851851851852,100.0,31.48148148148148,59.25925925925925,27.77777777777778,53.70370370370371,PLAYER,3.0,TUNE,36.851851851851855,20.0
87,19.54022988505747,29.88505747126437,35.63218390804598,39.08045977011494,50.57471264367817,70.11494252873564,100.0,41.37931034482759,59.77011494252874,25.287356321839084,44.827586206896555,PLAYER,3.0,HOLD,39.770114942528735,20.0
54,9.25925925925926,25.925925925925924,31.48148148148148,42.592592592592595,48.148148148148145,68.51851851851852,100.0,35.18518518518518,59.25925925925925,25.925925925925924,55.55555555555556,PLAYER,10.0,TUNE,38.51851851851852,20.0
87,19.54022988505747,29.88505747126437,34.48275862068966,42.5287356321839,50.57471264367817,72.41379310344827,100.0,41.37931034482759,60.91954022988506,25.287356321839084,42.5287356321839,PLAYER,10.0,HOLD,41.03448275862069,20.0
