month,date,race_code,actual2,actual3,p2,p3,nfeat2,nfeat3,pair_rank,second_rank,third_rank,selected_SA,v96_rank
2026-02,2026-02-01,202602011007,6,1,1:0.242853871159|2:0.253931408811|3:0.0835473615364|5:0.275351641325|6:0.144315717169,1:0.178169464335|2:0.0950286241873|3:0.102498953628|5:0.384495095669|6:0.23980786218,25,25,14,4,3,0,8
2026-02,2026-02-03,202602030304,5,6,1:0.276124389492|2:0.31372480352|3:0.175083518583|5:0.18124206203|6:0.053825226374,1:0.163361071606|2:0.291429223191|3:0.091537095271|5:0.312915721341|6:0.140756888591,25,25,14,3,4,0,3
2026-02,2026-02-04,202602041808,3,2,1:0.205067083499|2:0.194392871868|3:0.31903266044|5:0.229208422451|6:0.0522989617428,1:0.0632554254703|2:0.389730857521|3:0.0391623251068|5:0.438026048735|6:0.069825343167,25,25,2,1,2,0,5
2026-02,2026-02-05,202602051104,2,6,1:0.275738046004|2:0.373014543189|3:0.146771279164|5:0.0678644005807|6:0.136611731063,1:0.156714889284|2:0.244715572737|3:0.08750350302|5:0.154560944366|6:0.356505090593,25,25,1,1,1,0,3
2026-02,2026-02-05,202602051807,1,2,1:0.0554242818|2:0.303712423577|3:0.090301056621|5:0.0688972245478|6:0.481665013454,1:0.321954901218|2:0.342366052877|3:0.151841144294|5:0.0541997530981|6:0.129638148513,25,25,13,5,1,0,17
2026-02,2026-02-06,202602061104,3,5,1:0.0479539314016|2:0.11366055025|3:0.227045193627|5:0.223880654514|6:0.387459670208,1:0.0878085572525|2:0.0380793485907|3:0.294833331963|5:0.200596002693|6:0.3786827595,25,25,6,2,3,0,13
2026-02,2026-02-07,202602070111,2,5,1:0.195568936659|2:0.34683213266|3:0.149236922171|5:0.150614523362|6:0.157747485148,1:0.140185081712|2:0.167155494505|3:0.0578048298021|5:0.27139071615|6:0.36346387783,25,25,2,1,2,0,11
2026-02,2026-02-10,202602101308,6,5,1:0.0432188839678|2:0.475434357647|3:0.0970882196559|5:0.0984867330429|6:0.285771805686,1:0.227403213605|2:0.105445126477|3:0.108434562361|5:0.329568566307|6:0.229148531251,25,25,4,2,1,0,3
2026-02,2026-02-11,202602111010,2,1,1:0.301774820297|2:0.304756268607|3:0.172194075182|5:0.104412004841|6:0.116862831072,1:0.223377449119|2:0.451795191664|3:0.030501482807|5:0.179190063475|6:0.115135812935,25,25,2,1,2,0,1
2026-02,2026-02-11,202602112307,2,3,1:0.211051347152|2:0.239511423954|3:0.0824599076445|5:0.334107477333|6:0.132869843916,1:0.104197056765|2:0.489213926179|3:0.0922217091508|5:0.102438161064|6:0.211929146842,25,25,12,2,5,0,14
2026-02,2026-02-12,202602121507,2,6,1:0.371317675584|2:0.294443279956|3:0.146249034675|5:0.0893264928704|6:0.0986635169143,1:0.0736605969254|2:0.234465490605|3:0.195335677594|5:0.241756485125|6:0.254781749751,25,25,5,2,1,0,9
2026-02,2026-02-13,202602131809,1,6,1:0.436648446679|2:0.0659747754428|3:0.115086144677|5:0.0148101670228|6:0.367480466179,1:0.0861267403749|2:0.318109551183|3:0.0903009309245|5:0.317052827224|6:0.188409950294,25,25,5,1,3,0,2
2026-02,2026-02-15,202602150102,2,5,1:0.181946392906|2:0.199843061545|3:0.292891972652|5:0.179994982435|6:0.145323590462,1:0.218215119851|2:0.0762982996648|3:0.0740975194914|5:0.41299449331|6:0.218394567682,25,25,2,2,1,0,19
2026-02,2026-02-15,202602151108,3,5,1:0.212581948653|2:0.297950757749|3:0.105519402366|5:0.27035325589|6:0.113594635343,1:0.24983036804|2:0.198326177483|3:0.113168895577|5:0.239295760675|6:0.199378798226,25,25,16,5,2,0,10
2026-02,2026-02-18,202602180807,6,1,1:0.245918927676|2:0.461113034863|3:0.0934221591229|5:0.0656425814903|6:0.133903296848,1:0.212600444838|2:0.555865803067|3:0.0326593054385|5:0.085103053316|6:0.113771393341,25,25,8,3,2,0,3
2026-02,2026-02-18,202602181305,2,1,1:0.122510907839|2:0.589984148213|3:0.0697197925842|5:0.079934786661|6:0.137850364703,1:0.274590581272|2:0.235229738709|3:0.0823881414674|5:0.138120370872|6:0.26967116768,25,25,1,1,1,0,3
2026-02,2026-02-19,202602191309,1,6,1:0.330199732437|2:0.223734244064|3:0.0773442690962|5:0.211792136723|6:0.156929617679,1:0.0327037806264|2:0.117459670077|3:0.47088544087|5:0.0700145418283|6:0.308936566598,25,25,2,1,2,0,5
2026-02,2026-02-21,202602211506,1,2,1:0.537886173318|2:0.107977950083|3:0.055096576721|5:0.27564576715|6:0.0233935327281,1:0.0580299029483|2:0.302493612031|3:0.0934585706643|5:0.210427991087|6:0.33558992327,25,25,2,1,2,0,5
