alpha2,transition_gamma,races,top1,top2,top4,top6,top10,objective
0.55,0.75,54,14.814814814814813,31.48148148148148,38.88888888888889,50.0,75.92592592592592,38.7037037037037
0.6,0.75,54,14.814814814814813,31.48148148148148,37.03703703703704,51.85185185185185,75.92592592592592,38.425925925925924
0.8,0.15,54,14.814814814814813,27.77777777777778,42.592592592592595,55.55555555555556,68.51851851851852,38.425925925925924
0.65,0.75,54,14.814814814814813,29.629629629629626,38.88888888888889,53.70370370370371,74.07407407407408,38.24074074074074
0.75,0.15,54,14.814814814814813,27.77777777777778,40.74074074074074,57.407407407407405,68.51851851851852,38.148148148148145
0.8,0.0,54,16.666666666666664,27.77777777777778,40.74074074074074,55.55555555555556,70.37037037037037,37.96296296296296
0.7,0.0,54,18.51851851851852,27.77777777777778,40.74074074074074,55.55555555555556,66.66666666666666,37.77777777777778
0.75,0.0,54,18.51851851851852,27.77777777777778,40.74074074074074,55.55555555555556,64.81481481481481,37.68518518518518
0.75,0.75,54,12.962962962962962,24.074074074074073,46.2962962962963,55.55555555555556,66.66666666666666,37.592592592592595
0.55,0.0,54,18.51851851851852,27.77777777777778,40.74074074074074,50.0,75.92592592592592,37.40740740740741
0.55,0.5,54,14.814814814814813,27.77777777777778,38.88888888888889,53.70370370370371,74.07407407407408,37.31481481481482
0.55,0.15,54,18.51851851851852,27.77777777777778,38.88888888888889,51.85185185185185,74.07407407407408,37.03703703703704
0.7,0.15,54,16.666666666666664,27.77777777777778,38.88888888888889,51.85185185185185,70.37037037037037,36.851851851851855
0.7,0.75,54,16.666666666666664,24.074074074074073,44.44444444444444,53.70370370370371,68.51851851851852,36.85185185185185
0.75,0.3,54,16.666666666666664,24.074074074074073,44.44444444444444,53.70370370370371,68.51851851851852,36.85185185185185
0.6,0.5,54,16.666666666666664,27.77777777777778,37.03703703703704,53.70370370370371,74.07407407407408,36.75925925925926
0.6,0.15,54,18.51851851851852,25.925925925925924,40.74074074074074,51.85185185185185,72.22222222222221,36.574074074074076
0.65,0.0,54,18.51851851851852,25.925925925925924,40.74074074074074,51.85185185185185,72.22222222222221,36.574074074074076
0.8,0.3,54,16.666666666666664,24.074074074074073,42.592592592592595,55.55555555555556,66.66666666666666,36.48148148148149
0.65,0.3,54,16.666666666666664,27.77777777777778,37.03703703703704,53.70370370370371,68.51851851851852,36.48148148148148
0.6,0.0,54,18.51851851851852,25.925925925925924,40.74074074074074,50.0,72.22222222222221,36.29629629629629
0.8,0.75,54,12.962962962962962,24.074074074074073,44.44444444444444,50.0,68.51851851851852,36.29629629629629
0.65,0.5,54,16.666666666666664,27.77777777777778,35.18518518518518,53.70370370370371,74.07407407407408,36.2037037037037
0.7,0.5,54,16.666666666666664,25.925925925925924,38.88888888888889,53.70370370370371,68.51851851851852,36.11111111111111
0.75,0.5,54,16.666666666666664,24.074074074074073,40.74074074074074,55.55555555555556,66.66666666666666,35.92592592592593
0.8,0.5,54,18.51851851851852,24.074074074074073,40.74074074074074,55.55555555555556,66.66666666666666,35.92592592592593
0.6,0.3,54,14.814814814814813,25.925925925925924,38.88888888888889,51.85185185185185,70.37037037037037,35.925925925925924
0.55,0.3,54,14.814814814814813,25.925925925925924,38.88888888888889,50.0,74.07407407407408,35.833333333333336
0.7,0.3,54,16.666666666666664,24.074074074074073,40.74074074074074,53.70370370370371,70.37037037037037,35.833333333333336
0.65,0.15,54,18.51851851851852,25.925925925925924,38.88888888888889,51.85185185185185,68.51851851851852,35.83333333333333
