month,date,race_code,actual2,actual3,p2,p3,prior,second_rank,third_rank,nfeat2,nfeat3,pair_rank,selected_SA,v96_rank
2026-02,2026-02-01,202602011007,6,1,1:0.242853871159|2:0.253931408811|3:0.0835473615364|5:0.275351641325|6:0.144315717169,1:0.163347565324|2:0.0467870082539|3:0.069314885085|5:0.49022467081|6:0.230325870527,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,4,3,25,56,11,0,8
2026-02,2026-02-03,202602030304,5,6,1:0.276124389492|2:0.31372480352|3:0.175083518583|5:0.18124206203|6:0.053825226374,1:0.0468260081075|2:0.578040652514|3:0.0897002416432|5:0.20579482782|6:0.0796382699153,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,3,4,25,56,14,0,3
2026-02,2026-02-04,202602041808,3,2,1:0.205067083499|2:0.194392871868|3:0.31903266044|5:0.229208422451|6:0.0522989617428,1:0.0455087936026|2:0.53310851|3:0.0192696841593|5:0.368644082201|6:0.0334689300374,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,1,1,25,56,1,0,5
2026-02,2026-02-05,202602051104,2,6,1:0.275738046004|2:0.373014543189|3:0.146771279164|5:0.0678644005807|6:0.136611731063,1:0.207132314573|2:0.234097817175|3:0.0566657865117|5:0.0732856559824|6:0.428818425758,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,1,1,25,56,8,0,3
2026-02,2026-02-05,202602051807,1,2,1:0.0554242818|2:0.303712423577|3:0.090301056621|5:0.0688972245478|6:0.481665013454,1:0.312294177962|2:0.333906164223|3:0.220916456279|5:0.0430973969948|6:0.0897858045411,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,5,1,25,56,10,0,17
2026-02,2026-02-06,202602061104,3,5,1:0.0479539314016|2:0.11366055025|3:0.227045193627|5:0.223880654514|6:0.387459670208,1:0.0744708391301|2:0.0179409142944|3:0.287704416943|5:0.307478297508|6:0.312405532125,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,2,2,25,56,7,0,13
2026-02,2026-02-07,202602070111,2,5,1:0.195568936659|2:0.34683213266|3:0.149236922171|5:0.150614523362|6:0.157747485148,1:0.0812236795605|2:0.118538335369|3:0.0179782869509|5:0.180909051551|6:0.601350646569,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,1,2,25,56,2,0,11
2026-02,2026-02-10,202602101308,6,5,1:0.0432188839678|2:0.475434357647|3:0.0970882196559|5:0.0984867330429|6:0.285771805686,1:0.0950371607662|2:0.160225774098|3:0.129019673483|5:0.25405693919|6:0.361660452463,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,2,2,25,56,2,0,3
2026-02,2026-02-11,202602111010,2,1,1:0.301774820297|2:0.304756268607|3:0.172194075182|5:0.104412004841|6:0.116862831072,1:0.261782955982|2:0.474551793236|3:0.0205165947698|5:0.146023009645|6:0.0971256463666,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,1,2,25,56,2,0,1
2026-02,2026-02-11,202602112307,2,3,1:0.211051347152|2:0.239511423954|3:0.0824599076445|5:0.334107477333|6:0.132869843916,1:0.0853746637896|2:0.513305481268|3:0.0757119539195|5:0.109779998421|6:0.215827902602,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,2,5,25,56,13,0,14
2026-02,2026-02-12,202602121507,2,6,1:0.371317675584|2:0.294443279956|3:0.146249034675|5:0.0893264928704|6:0.0986635169143,1:0.109808763539|2:0.238485646663|3:0.169513723993|5:0.210397379401|6:0.271794486404,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,2,1,25,56,15,0,9
2026-02,2026-02-13,202602131809,1,6,1:0.436648446679|2:0.0659747754428|3:0.115086144677|5:0.0148101670228|6:0.367480466179,1:0.150743796328|2:0.243341511174|3:0.153209158312|5:0.286772105799|6:0.165933428387,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,1,3,25,56,5,0,2
2026-02,2026-02-15,202602150102,2,5,1:0.181946392906|2:0.199843061545|3:0.292891972652|5:0.179994982435|6:0.145323590462,1:0.202197244794|2:0.0274991120632|3:0.0511215503014|5:0.391686567257|6:0.327495525584,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,2,1,25,56,2,0,19
2026-02,2026-02-15,202602151108,3,5,1:0.212581948653|2:0.297950757749|3:0.105519402366|5:0.27035325589|6:0.113594635343,1:0.197622814448|2:0.172083869344|3:0.0558217519583|5:0.412025395985|6:0.162446168265,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,5,1,25,56,9,0,10
2026-02,2026-02-18,202602180807,6,1,1:0.245918927676|2:0.461113034863|3:0.0934221591229|5:0.0656425814903|6:0.133903296848,1:0.247045048797|2:0.578166117246|3:0.0217275909022|5:0.0609909107881|6:0.0920703322666,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,3,2,25,56,10,0,3
2026-02,2026-02-18,202602181305,2,1,1:0.122510907839|2:0.589984148213|3:0.0697197925842|5:0.079934786661|6:0.137850364703,1:0.263206467406|2:0.200046688696|3:0.15443792814|5:0.0533836891904|6:0.328925226568,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,1,2,25,56,1,0,3
2026-02,2026-02-19,202602191309,1,6,1:0.330199732437|2:0.223734244064|3:0.0773442690962|5:0.211792136723|6:0.156929617679,1:0.0103217583485|2:0.0653539874358|3:0.507792809385|5:0.055774628692|6:0.360756816138,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,1,2,25,56,1,0,5
2026-02,2026-02-21,202602211506,1,2,1:0.537886173318|2:0.107977950083|3:0.055096576721|5:0.27564576715|6:0.0233935327281,1:0.0390369642348|2:0.380399358393|3:0.0476789555111|5:0.279957704048|6:0.252927017812,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,1,1,25,56,1,0,5
2026-02,2026-02-21,202602211905,3,5,1:0.403671224653|2:0.158327640953|3:0.0667412143308|5:0.252907813007|6:0.118352107056,1:0.0411216998511|2:0.0972493953464|3:0.334102706735|5:0.509728485355|6:0.0177977127125,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,5,1,25,56,8,0,5
2026-02,2026-02-22,202602220606,5,2,1:0.102381279457|2:0.530618133221|3:0.0151062782006|5:0.330763980067|6:0.021130329055,1:0.639607974659|2:0.0858332420851|3:0.198377409836|5:0.0263747976019|6:0.0498065758181,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,2,3,25,56,6,0,1
2026-02,2026-02-22,202602222406,1,2,1:0.419227741115|2:0.0915551073979|3:0.0751775778493|5:0.030636512601|6:0.383403061037,1:0.0447153840907|2:0.0264862669741|3:0.0475228624656|5:0.801319628735|6:0.0799558577346,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,1,5,25,56,6,0,12
2026-02,2026-02-23,202602230602,3,6,1:0.112884168638|2:0.708468556085|3:0.0995212556476|5:0.0229149311657|6:0.0562110884633,1:0.212022864613|2:0.105230809137|3:0.0679484689175|5:0.52777625283|6:0.0870216045023,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,3,4,25,56,11,0,6
2026-02,2026-02-23,202602231501,1,2,1:0.237651148316|2:0.291930890269|3:0.145975588338|5:0.11648201015|6:0.207960362926,1:0.236977845972|2:0.461783611394|3:0.172546252751|5:0.0133766689107|6:0.115315620972,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,2,1,25,56,2,0,8
2026-02,2026-02-25,202602252303,1,5,1:0.562001020617|2:0.0972619847149|3:0.110867560153|5:0.0496477664977|6:0.180221668018,1:0.164812867116|2:0.110567985129|3:0.207205881674|5:0.0851366332443|6:0.432276632838,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,1,5,25,56,4,0,3
2026-02,2026-02-27,202602270806,1,6,1:0.479955900872|2:0.08696577946|3:0.0993554206518|5:0.102030850785|6:0.231692048232,1:0.325570357707|2:0.222871298692|3:0.0576596547099|5:0.0412812185502|6:0.352617470341,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,1,1,25,56,1,0,2
2026-02,2026-02-28,202602280309,1,5,1:0.398023170114|2:0.0865504071959|3:0.152743109481|5:0.0876863491618|6:0.274996964047,1:0.252240355728|2:0.0669910134996|3:0.036642401761|5:0.507892826576|6:0.136233402435,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,1,1,25,56,2,0,1
2026-02,2026-02-28,202602280707,5,6,1:0.456498006158|2:0.297890367638|3:0.0749397963206|5:0.09219929188|6:0.078472538003,1:0.308255514491|2:0.076910684955|3:0.163189002887|5:0.352776575564|6:0.0988682221025,1>2:0.304347826087|1>3:0.173913043478|1>5:0.260869565217|1>6:0.260869565217|2>1:0.391304347826|2>3:0.173913043478|2>5:0.347826086957|2>6:0.0869565217391|3>1:0.2|3>2:0.3|3>5:0.2|3>6:0.3|5>1:0.5|5>2:0.166666666667|5>3:0.0555555555556|5>6:0.277777777778|6>1:0.166666666667|6>2:0.25|6>3:0.166666666667|6>5:0.416666666667,3,4,25,56,13,0,12
2026-03,2026-03-01,202603011808,5,1,1:0.0622530074434|2:0.138801590614|3:0.25968568156|5:0.44119476514|6:0.0980649552427,1:0.285452629621|2:0.141522340194|3:0.161244448233|5:0.17843713122|6:0.233343450732,1>2:0.34375|1>3:0.125|1>5:0.25|1>6:0.28125|2>1:0.366666666667|2>3:0.166666666667|2>5:0.333333333333|2>6:0.133333333333|3>1:0.133333333333|3>2:0.266666666667|3>5:0.333333333333|3>6:0.266666666667|5>1:0.428571428571|5>2:0.190476190476|5>3:0.047619047619|5>6:0.333333333333|6>1:0.266666666667|6>2:0.2|6>3:0.133333333333|6>5:0.4,1,1,25,56,1,0,11
