month,feature,beta
2026-02,t_v93_grade,-0.1884260813716008
2026-02,t_v93_national,1.123126173718779
2026-02,t_v93_local,0.16653547422978346
2026-02,t_v93_motor,0.2764264577628779
2026-02,t_v93_nst,-0.8152944040383914
2026-02,t_pos_boat_number,0.09360557357201464
2026-02,t_pos_inside4,-0.13086672146451053
2026-02,t_pos_outside4,0.13086672146450937
2026-02,t_pos_distance4,0.07710661821021614
2026-02,t_cur_ex,-0.21186892588501127
2026-02,t_cur_st,-0.18505694215172894
2026-02,t_cur_orig_lap,0.334011273603072
2026-02,t_cur_orig_turn,-0.6360588855294441
2026-02,t_cur_orig_straight,-0.019793938242076974
2026-02,t_cur_orig_avg,0.11571361698134801
2026-02,t_pref_pl_all_p2,0.4937274016167286
2026-02,t_pref_pl_all_win,-0.13459855250991865
2026-02,t_pref_pl_frame_p2,0.061835556653002055
2026-02,t_pref_pl_recent_p2,-0.40529253491011924
2026-02,t_pref_pl_frame_win,-0.0006326483108857169
2026-02,t_suf_st_raw,-0.49527309495903954
2026-02,t_suf_st_raw_strength,-0.18991959820933335
2026-02,t_suf_st_raw_rank,0.08631271996158457
2026-02,t_suf_st_corr_strength,-0.6916375130886677
2026-02,t_suf_st_corr_rank,0.5715060485070913
2026-02,t_is_boat1,0.020156225170117333
2026-02,t_is_boat2,-0.022614932310459517
2026-02,t_is_boat3,-0.1517111305807202
2026-02,t_is_boat5,0.03655926810449051
2026-02,t_is_boat6,0.120708256180086
2026-02,t_is_inner123,-0.13086672146451053
2026-02,t_is_outer56,0.13086672146450937
2026-02,t_is_inner_edge3,-0.1517111305807202
2026-02,t_is_outer_edge5,0.03655926810449051
2026-02,t_h4_attack,-8.811090719938493e-16
2026-02,t_h4_turning,2.5238500461669095e-17
2026-02,t_cur_ex__vs4,-0.12169336959745707
2026-02,t_cur_ex__abs4,-0.28207062582420306
2026-02,t_cur_st__vs4,-0.12423853523252966
2026-02,t_cur_st__abs4,0.46813883209176965
2026-02,t_cur_orig_lap__vs4,0.22723206433142318
2026-02,t_cur_orig_lap__abs4,-0.024979477670883078
2026-02,t_cur_orig_turn__vs4,-0.4703191331040646
2026-02,t_cur_orig_turn__abs4,0.2323831548919715
2026-02,t_cur_orig_straight__vs4,-0.013315971985469072
2026-02,t_cur_orig_straight__abs4,0.052324651874422125
2026-02,t_cur_orig_avg__vs4,0.07919337572440412
2026-02,t_cur_orig_avg__abs4,-0.08429055789466457
2026-02,t_h4_attack_x_is_inner123,0.46122166350076527
2026-02,t_h4_attack_x_is_outer56,-0.4620913422303367
2026-02,t_h4_attack_x_is_inner_edge3,0.3651238998589057
2026-02,t_h4_attack_x_is_outer_edge5,0.5897200070707281
2026-02,t_h4_attack_x_cur_orig_lap,-0.613161889814638
2026-02,t_h4_attack_x_cur_orig_turn,0.7980660160579
2026-02,t_h4_attack_x_cur_orig_straight,-0.09347167521974889
2026-02,t_h4_attack_x_cur_st,1.716481492348428
2026-02,pair_same_side4,0.533153444590642
2026-02,pair_second_inner,-8.375338223804841e-16
2026-02,pair_second_outer,7.281484445238761e-16
2026-02,pair_third_inner,-0.13086672146451053
2026-02,pair_third_outer,0.13086672146450937
2026-02,pair_adjacent,0.2252207875023276
2026-02,pair_distance,0.45097865551742955
2026-02,pair_third_minus_second,0.05926943880873013
2026-02,pair_second_is1,2.163938807658742e-16
2026-02,pair_second_is2,-7.718785358632215e-16
2026-02,pair_second_is3,5.170654484230293e-16
2026-02,pair_second_is5,7.286547139732896e-16
2026-02,pair_second_is6,-3.0355613089277504e-16
2026-03,t_v93_grade,-0.46667445965365034
2026-03,t_v93_national,1.141745910087337
2026-03,t_v93_local,0.21298794691751075
2026-03,t_v93_motor,0.3477276517123357
2026-03,t_v93_nst,-0.5392138439843901
2026-03,t_pos_boat_number,0.06879216850307313
2026-03,t_pos_inside4,-0.07942012327371342
2026-03,t_pos_outside4,0.07942012327371299
2026-03,t_pos_distance4,0.025975679726213934
2026-03,t_cur_ex,-0.21842610592351902
2026-03,t_cur_st,0.026373406251136516
2026-03,t_cur_orig_lap,0.45155860398800063
2026-03,t_cur_orig_turn,-0.49826082345355543
2026-03,t_cur_orig_straight,0.0721790061651642
2026-03,t_cur_orig_avg,0.09056871860987498
2026-03,t_pref_pl_all_p2,0.5051237345881666
2026-03,t_pref_pl_all_win,-0.11083286595496639
2026-03,t_pref_pl_frame_p2,0.07030147260465
2026-03,t_pref_pl_recent_p2,-0.4986698033201749
2026-03,t_pref_pl_frame_win,-0.1061882579335582
2026-03,t_suf_st_raw,-0.3887452535406691
2026-03,t_suf_st_raw_strength,0.02637340625113032
2026-03,t_suf_st_raw_rank,-0.09274462436024565
2026-03,t_suf_st_corr_strength,-0.8006876073899006
2026-03,t_suf_st_corr_rank,0.6671497078775211
2026-03,t_is_boat1,0.04804326851530467
2026-03,t_is_boat2,-0.13278337088358477
2026-03,t_is_boat3,-0.015621656175893605
2026-03,t_is_boat5,0.014100480257941932
2026-03,t_is_boat6,0.08098767802962309
2026-03,t_is_inner123,-0.07942012327371342
2026-03,t_is_outer56,0.07942012327371299
2026-03,t_is_inner_edge3,-0.015621656175893605
2026-03,t_is_outer_edge5,0.014100480257941932
2026-03,t_h4_attack,-5.320801196633712e-16
2026-03,t_h4_turning,-1.0197694071469247e-15
2026-03,t_cur_ex__vs4,-0.13927508243985104
2026-03,t_cur_ex__abs4,-0.16055924454307532
2026-03,t_cur_st__vs4,0.016911215524957664
2026-03,t_cur_st__abs4,0.2580915123238184
2026-03,t_cur_orig_lap__vs4,0.3157438059002922
2026-03,t_cur_orig_lap__abs4,-0.2216366959695126
2026-03,t_cur_orig_turn__vs4,-0.3610221226425897
2026-03,t_cur_orig_turn__abs4,-0.05151405919193528
2026-03,t_cur_orig_straight__vs4,0.04804111844890326
2026-03,t_cur_orig_straight__abs4,0.31065122141076057
2026-03,t_cur_orig_avg__vs4,0.06293881228913452
2026-03,t_cur_orig_avg__abs4,-0.09337374739760246
2026-03,t_h4_attack_x_is_inner123,0.27682948250161954
2026-03,t_h4_attack_x_is_outer56,-0.2750307352059438
2026-03,t_h4_attack_x_is_inner_edge3,-0.059997752312313926
2026-03,t_h4_attack_x_is_outer_edge5,0.3802895283415014
2026-03,t_h4_attack_x_cur_orig_lap,-0.8304661965199749
2026-03,t_h4_attack_x_cur_orig_turn,0.5026592804072679
2026-03,t_h4_attack_x_cur_orig_straight,-0.2416709525345958
2026-03,t_h4_attack_x_cur_st,1.2268785320036968
2026-03,pair_same_side4,0.05279113450276892
2026-03,pair_second_inner,-7.334395966478082e-16
2026-03,pair_second_outer,-6.99668221123555e-16
2026-03,pair_third_inner,-0.07942012327371342
2026-03,pair_third_outer,0.07942012327371299
2026-03,pair_adjacent,0.45146991997259045
2026-03,pair_distance,0.17091026372700194
2026-03,pair_third_minus_second,0.044035987274044536
2026-03,pair_second_is1,5.35623600178266e-16
2026-03,pair_second_is2,6.401542530031737e-16
2026-03,pair_second_is3,-1.8752779877480397e-16
2026-03,pair_second_is5,-7.362352940778873e-16
2026-03,pair_second_is6,7.696206590665851e-16
2026-04,t_v93_grade,-0.2807247856330488
2026-04,t_v93_national,0.8163887044342129
2026-04,t_v93_local,0.2966023394532469
2026-04,t_v93_motor,0.19239485698364103
2026-04,t_v93_nst,-0.44003454479182635
2026-04,t_pos_boat_number,0.014450171344541534
2026-04,t_pos_inside4,-0.044458121643350196
2026-04,t_pos_outside4,0.044458121643348815
2026-04,t_pos_distance4,0.04436694553486372
2026-04,t_cur_ex,-0.162455565059921
2026-04,t_cur_st,0.14481722303562664
2026-04,t_cur_orig_lap,0.583083335078706
2026-04,t_cur_orig_turn,0.08045006158303206
2026-04,t_cur_orig_straight,0.4986573838816889
2026-04,t_cur_orig_avg,-0.21099695184097528
2026-04,t_pref_pl_all_p2,0.31107584042304215
2026-04,t_pref_pl_all_win,-0.03201064396532739
2026-04,t_pref_pl_frame_p2,0.04730203189946811
2026-04,t_pref_pl_recent_p2,-0.27089181568091164
2026-04,t_pref_pl_frame_win,-0.10451499456743586
2026-04,t_suf_st_raw,-0.4376603510837425
2026-04,t_suf_st_raw_strength,0.14481722303561761
2026-04,t_suf_st_raw_rank,0.5838883085449644
2026-04,t_suf_st_corr_strength,-0.21615196787696578
