month,date,race_code,actual2,actual3,cond_rank,cond,nfeat3,p2,pair_rank,second_rank,third_rank,selected_SA,v96_rank
2026-02,2026-02-01,202602011007,6,1,2,1>2:0.0225912316456|1>3:0.0614674382325|1>5:0.841270953736|1>6:0.074670376386|2>1:0.190776335848|2>3:0.0793207246806|2>5:0.670398989357|2>6:0.0595039501147|3>1:0.227294253779|3>2:0.0347332499632|3>5:0.67781069086|3>6:0.0601618053973|5>1:0.428109161284|5>2:0.0403986993956|5>3:0.0932789607152|5>6:0.438213178605|6>1:0.0778536153271|6>2:0.00734668885157|6>3:0.0169632070098|6>5:0.897836488812,69,1:0.242853871159|2:0.253931408811|3:0.0835473615364|5:0.275351641325|6:0.144315717169,15,4,2,0,8
2026-02,2026-02-03,202602030304,5,6,2,1>2:0.61251041721|1>3:0.0733579137032|1>5:0.276735522646|1>6:0.0373961464406|2>1:0.105957804653|2>3:0.245322112529|2>5:0.571492494506|2>6:0.077227588312|3>1:0.0391737370936|3>2:0.75729529121|3>5:0.179301405652|3>6:0.0242295660443|5>1:0.0604481929931|5>2:0.721621512427|5>3:0.073342223824|5>6:0.144588070756|6>1:0.0313954730698|6>2:0.374794475041|6>3:0.0380923514655|6>5:0.555717700424,69,1:0.276124389492|2:0.31372480352|3:0.175083518583|5:0.18124206203|6:0.053825226374,10,3,2,0,3
2026-02,2026-02-04,202602041808,3,2,1,1>2:0.72327500159|1>3:0.0143446804074|1>5:0.24532357319|1>6:0.0170567448131|2>1:0.183436361906|2>3:0.0664128750421|2>5:0.701385176387|2>6:0.0487655866649|3>1:0.044003903706|3>2:0.803286811578|3>5:0.142782003128|3>6:0.00992728158811|5>1:0.074990262048|5>2:0.8453570891|5>3:0.014227832091|5>6:0.0654248167613|6>1:0.0399827249842|6>2:0.450720921408|6>3:0.00758588491463|6>5:0.501710468694,69,1:0.205067083499|2:0.194392871868|3:0.31903266044|5:0.229208422451|6:0.0522989617428,1,1,1,0,5
2026-02,2026-02-05,202602051104,2,6,1,1>2:0.215650435311|1>3:0.0321369757291|1>5:0.0614419654153|1>6:0.690770623544|2>1:0.156113783422|2>3:0.0546059251145|2>5:0.0644697165175|2>6:0.724810574946|3>1:0.130931195934|3>2:0.3073172861|3>5:0.0458847908762|3>6:0.51586672709|5>1:0.055961246866|5>2:0.0811123779311|5>3:0.0102577688786|5>6:0.852668606324|6>1:0.250751982283|6>2:0.363449542191|6>3:0.0459631624409|6>5:0.339835313086,69,1:0.275738046004|2:0.373014543189|3:0.146771279164|5:0.0678644005807|6:0.136611731063,1,1,1,0,3
2026-02,2026-02-05,202602051807,1,2,1,1>2:0.436968049787|1>3:0.348074691492|1>5:0.110749727971|1>6:0.104207530751|2>1:0.224452941802|2>3:0.561437169331|2>5:0.110313148245|2>6:0.103796740621|3>1:0.202033257654|3>2:0.634418680743|3>5:0.0842628131769|3>6:0.0792852484264|5>1:0.173382460195|5>2:0.336212730389|5>3:0.227273095646|5>6:0.263131713771|6>1:0.170564809485|6>2:0.330748913361|6>3:0.223579664381|6>5:0.275106612772,69,1:0.0554242818|2:0.303712423577|3:0.090301056621|5:0.0688972245478|6:0.481665013454,11,5,1,0,17
2026-02,2026-02-06,202602061104,3,5,2,1>2:0.00870635524719|1>3:0.116151625786|1>5:0.219102044977|1>6:0.656039973989|2>1:0.0445112691404|2>3:0.169030963154|2>5:0.19689890493|2>6:0.589558862775|3>1:0.0614302908946|3>2:0.0174859789537|3>5:0.230604089962|3>6:0.690479640189|5>1:0.0214437936287|5>2:0.00376933637123|5>3:0.0426741534703|5>6:0.93211271653|6>1:0.0565514035495|6>2:0.00994046417038|6>3:0.112539941198|6>5:0.820968191082,69,1:0.0479539314016|2:0.11366055025|3:0.227045193627|5:0.223880654514|6:0.387459670208,4,2,2,0,13
2026-02,2026-02-07,202602070111,2,5,3,1>2:0.216102051511|1>3:0.0205199594426|1>5:0.189608511104|1>6:0.573769477943|2>1:0.206905284046|2>3:0.0330827350274|2>5:0.188772458981|2>6:0.571239521946|3>1:0.172382572875|3>2:0.290272286973|3>5:0.133466268919|3>6:0.403878871233|5>1:0.0894116837883|5>2:0.0929741863475|5>3:0.00749188504628|5>6:0.810122244818|6>1:0.195396222915|6>2:0.203181553811|6>3:0.0163724244812|6>5:0.585049798793,69,1:0.195568936659|2:0.34683213266|3:0.149236922171|5:0.150614523362|6:0.157747485148,6,1,3,0,11
2026-02,2026-02-10,202602101308,6,5,1,1>2:0.274593965222|1>3:0.104873648362|1>5:0.241864698393|1>6:0.378667688023|2>1:0.0987712556506|2>3:0.193651156683|2>5:0.275792277046|2>6:0.43178531062|3>1:0.0818811634827|3>2:0.420337500601|3>5:0.194020062953|3>6:0.303761272963|5>1:0.0511664676981|5>2:0.162201723791|5>3:0.0525704825924|5>6:0.734061325919|6>1:0.0696329676176|6>2:0.220741979823|6>3:0.0715437058036|6>5:0.638081346755,69,1:0.0432188839678|2:0.475434357647|3:0.0970882196559|5:0.0984867330429|6:0.285771805686,2,2,1,0,3
2026-02,2026-02-11,202602111010,2,1,1,1>2:0.732732099014|1>3:0.0178978863178|1>5:0.152376789675|1>6:0.0969932249936|2>1:0.616524543752|2>3:0.0399288893947|2>5:0.209923085702|2>6:0.133623481151|3>1:0.242465034533|3>2:0.642879312663|3>5:0.0700599882293|3>6:0.0445956645752|5>1:0.295634796142|5>2:0.484051731401|5>3:0.0100336608275|5>6:0.210279811629|6>1:0.263942975271|6>2:0.432161761194|6>3:0.00895806016822|6>5:0.294937203366,69,1:0.301774820297|2:0.304756268607|3:0.172194075182|5:0.104412004841|6:0.116862831072,2,1,1,0,1
2026-02,2026-02-11,202602112307,2,3,4,1>2:0.538332766681|1>3:0.0697764443299|1>5:0.192756594066|1>6:0.199134194923|2>1:0.234888083099|2>3:0.171232487242|2>5:0.292107340523|2>6:0.301772089136|3>1:0.114026629939|3>2:0.641318030614|3>5:0.120336918542|3>6:0.124318420905|5>1:0.110236147095|5>2:0.382866249141|5>3:0.0421130032728|5>6:0.464784600492|6>1:0.111901861471|6>2:0.388651518603|6>3:0.0427493483995|6>5:0.456697271526,69,1:0.211051347152|2:0.239511423954|3:0.0824599076445|5:0.334107477333|6:0.132869843916,9,2,4,0,14
