month,date,race_code,actual2,actual3,cond_rank,actual_second_regime,cond,p2,pair_rank,second_rank,third_rank,selected_SA,v96_rank
2026-02,2026-02-01,202602011007,6,1,2,OUTER,1>2:0.0783450662891|1>3:0.113956869732|1>5:0.485754736871|1>6:0.321943327108|2>1:0.282183696797|2>3:0.131145582407|2>5:0.352827491261|2>6:0.233843229535|3>1:0.267154178939|3>2:0.0853600892689|3>5:0.389402024471|3>6:0.258083707321|5>1:0.0109160196911|5>2:0.00377236010021|5>3:0.000463995565796|5>6:0.984847624643|6>1:9.02414498437e-05|6>2:3.11856568979e-05|6>3:3.83579672477e-06|6>5:0.999874737097,1:0.242853871159|2:0.253931408811|3:0.0835473615364|5:0.275351641325|6:0.144315717169,18,4,2,0,8
2026-02,2026-02-03,202602030304,5,6,3,OUTER,1>2:0.551274752732|1>3:0.163515778031|1>5:0.186657265874|1>6:0.0985522033633|2>1:0.279703724036|2>3:0.342855997663|2>5:0.247018342578|2>6:0.130421935724|3>1:0.149127213449|3>2:0.616281091671|3>5:0.153530121143|3>6:0.0810615737374|5>1:0.00837640677979|5>2:0.909665947968|5>3:0.0594467421728|5>6:0.0225109030793|6>1:0.00241074392308|6>2:0.261803385837|6>3:0.0171088721223|6>5:0.718676998118,1:0.276124389492|2:0.31372480352|3:0.175083518583|5:0.18124206203|6:0.053825226374,17,3,3,0,3
2026-02,2026-02-04,202602041808,3,2,1,INNER,1>2:0.550998676301|1>3:0.0247408770591|1>5:0.383121775025|1>6:0.0411386716146|2>1:0.173167757308|2>3:0.0699339199163|2>5:0.683505217684|2>6:0.0733931050913|3>1:0.0662714812753|3>2:0.596050397056|3>5:0.304934957726|3>6:0.0327431639427|5>1:0.000957544407449|5>2:0.990624532795|5>3:0.00838615220175|5>6:3.17705962006e-05|6>1:0.000540817294987|6>2:0.559500818976|6>3:0.00473646560287|6>5:0.435221898126,1:0.205067083499|2:0.194392871868|3:0.31903266044|5:0.229208422451|6:0.0522989617428,2,1,1,0,5
2026-02,2026-02-05,202602051104,2,6,1,INNER,1>2:0.38367398404|1>3:0.089567942972|1>5:0.0616437177446|1>6:0.465114355244|2>1:0.370620634999|2>3:0.133573630017|2>5:0.0580215289538|2>6:0.437784206031|3>1:0.243703714261|3>2:0.37623832524|3>5:0.0444761776705|3>6:0.335581782829|5>1:0.00619022853008|5>2:0.933537104971|5>3:0.00294863942345|5>6:0.0573240270751|6>1:0.00638898566021|6>2:0.96351130624|6>3:0.00304331494419|6>5:0.027056393156,1:0.275738046004|2:0.373014543189|3:0.146771279164|5:0.0678644005807|6:0.136611731063,1,1,1,0,3
2026-02,2026-02-05,202602051807,1,2,2,INNER,1>2:0.229998428882|1>3:0.180563608404|1>5:0.440081561002|1>6:0.149356401711|2>1:0.110107971295|2>3:0.290781537867|2>5:0.44730318829|2>6:0.151807302548|3>1:0.0933978436816|3>2:0.314180742643|3>5:0.442309041822|3>6:0.150112371853|5>1:0.00131893073184|5>2:0.684583837946|5>3:0.0256514614312|5>6:0.288445769891|6>1:0.00185352675336|6>2:0.96206300143|6>3:0.0360486482556|6>5:3.48235614242e-05,1:0.0554242818|2:0.303712423577|3:0.090301056621|5:0.0688972245478|6:0.481665013454,13,5,2,0,17
2026-02,2026-02-06,202602061104,3,5,2,INNER,1>2:0.0840721721178|1>3:0.255048451438|1>5:0.261309777452|1>6:0.399569598993|2>1:0.0532436295155|2>3:0.35924182675|2>5:0.232301536626|2>6:0.355213007108|3>1:0.0621600644121|3>2:0.13824845173|3>5:0.316156140056|3>6:0.483435343802|5>1:3.58123036432e-07|5>2:9.28968757448e-08|5>3:4.99551240404e-06|5>6:0.999994553468|6>1:0.000603345096044|6>2:0.000156507313735|6>3:0.00841615200527|6>5:0.990823995585,1:0.0479539314016|2:0.11366055025|3:0.227045193627|5:0.223880654514|6:0.387459670208,3,2,2,0,13
2026-02,2026-02-07,202602070111,2,5,2,INNER,1>2:0.250799261918|1>3:0.0175985287695|1>5:0.3091915178|1>6:0.422410691512|2>1:0.281908387948|2>3:0.0263635874973|2>5:0.292339792164|2>6:0.399388232391|3>1:0.192560067437|3>2:0.256633076678|3>5:0.232783342666|3>6:0.318023513219|5>1:8.11045836905e-06|5>2:0.0101878068014|5>3:2.68368216027e-05|5>6:0.989777245919|6>1:0.000755171690041|6>2:0.94859537278|6>3:0.00249879932834|6>5:0.0481506562014,1:0.195568936659|2:0.34683213266|3:0.149236922171|5:0.150614523362|6:0.157747485148,2,1,2,0,11
2026-02,2026-02-10,202602101308,6,5,1,OUTER,1>2:0.385693273027|1>3:0.228034974792|1>5:0.102691418044|1>6:0.283580334138|2>1:0.0473093723451|2>3:0.460434263538|2>5:0.130867721459|2>6:0.361388642657|3>1:0.0337941977604|3>2:0.556292483386|3>5:0.108976594199|3>6:0.300936724655|5>1:4.31596766055e-05|5>2:0.0106444936975|5>3:9.70610128676e-05|5>6:0.989215285613|6>1:0.000803216386847|6>2:0.19809767913|6>3:0.00180633874465|6>5:0.799292765739,1:0.0432188839678|2:0.475434357647|3:0.0970882196559|5:0.0984867330429|6:0.285771805686,2,2,1,0,3
2026-02,2026-02-11,202602111010,2,1,1,INNER,1>2:0.65463686643|1>3:0.0564328625671|1>5:0.19110982227|1>6:0.0978204487329|2>1:0.579583728595|2>3:0.0993558755819|2>5:0.212361947991|2>6:0.108698447833|3>1:0.275151613488|3>2:0.547164374719|3>5:0.117527179814|3>6:0.0601568319787|5>1:0.125667649333|5>2:0.678869223226|5>3:0.00229277629584|5>6:0.193170351145|6>1:0.142751489314|6>2:0.771157837195|6>3:0.00260446688254|6>5:0.0834862066087,1:0.301774820297|2:0.304756268607|3:0.172194075182|5:0.104412004841|6:0.116862831072,2,1,1,0,1
2026-02,2026-02-11,202602112307,2,3,1,INNER,1>2:0.519290637286|1>3:0.170057570003|1>5:0.155303078907|1>6:0.155348713803|2>1:0.21029258693|2>3:0.366802649719|2>5:0.21142131922|2>6:0.211483444131|3>1:0.115331895058|3>2:0.614288595054|3>5:0.135169895505|3>6:0.135209614383|5>1:0.00360180708824|5>2:0.126657450944|5>3:0.000592949796832|5>6:0.869147792171|6>1:0.000267038981027|6>2:0.00939041870121|6>3:4.39614631396e-05|6>5:0.990298580855,1:0.211051347152|2:0.239511423954|3:0.0824599076445|5:0.334107477333|6:0.132869843916,2,2,1,0,14
