regime,family,l2,races,top1,top2,objective
INNER,COND_COMPACT,0.3,35,40.0,71.42857142857143,52.57142857142857
INNER,COND_BASE,0.3,35,42.857142857142854,65.71428571428571,52.0
INNER,COND_BASE,1.0,35,42.857142857142854,65.71428571428571,52.0
INNER,COND_DIFF,0.3,35,42.857142857142854,65.71428571428571,52.0
INNER,COND_DIFF,1.0,35,42.857142857142854,65.71428571428571,52.0
INNER,COND_COMPACT,1.0,35,40.0,68.57142857142857,51.42857142857143
INNER,COND_DIFF,3.0,35,37.142857142857146,65.71428571428571,48.57142857142857
INNER,COND_BASE,3.0,35,37.142857142857146,62.857142857142854,47.42857142857143
INNER,COND_DIFF,10.0,35,37.142857142857146,62.857142857142854,47.42857142857143
INNER,COND_COMPACT,3.0,35,34.285714285714285,65.71428571428571,46.857142857142854
INNER,COND_BASE,10.0,35,34.285714285714285,62.857142857142854,45.71428571428571
INNER,COND_COMPACT,10.0,35,31.428571428571427,62.857142857142854,44.0
OUTER,COND_COMPACT,0.3,19,36.84210526315789,63.1578947368421,47.368421052631575
OUTER,COND_BASE,1.0,19,31.57894736842105,63.1578947368421,44.21052631578947
OUTER,COND_COMPACT,1.0,19,31.57894736842105,63.1578947368421,44.21052631578947
OUTER,COND_DIFF,1.0,19,31.57894736842105,63.1578947368421,44.21052631578947
OUTER,COND_BASE,3.0,19,26.31578947368421,68.42105263157895,43.1578947368421
OUTER,COND_COMPACT,3.0,19,26.31578947368421,68.42105263157895,43.1578947368421
OUTER,COND_COMPACT,10.0,19,26.31578947368421,68.42105263157895,43.1578947368421
OUTER,COND_BASE,0.3,19,31.57894736842105,57.89473684210527,42.10526315789474
OUTER,COND_DIFF,0.3,19,31.57894736842105,57.89473684210527,42.10526315789474
OUTER,COND_DIFF,10.0,19,21.052631578947366,73.68421052631578,42.10526315789473
OUTER,COND_DIFF,3.0,19,26.31578947368421,63.1578947368421,41.05263157894737
OUTER,COND_BASE,10.0,19,21.052631578947366,63.1578947368421,37.89473684210526
