mode,alpha2,races,top1,top2,top4,top6,top10,objective
TOP2XTOP2,0.6,54,11.11111111111111,29.629629629629626,42.592592592592595,53.70370370370371,72.22222222222221,38.27777777777777
TOP2XTOP2,0.65,54,12.962962962962962,27.77777777777778,42.592592592592595,55.55555555555556,70.37037037037037,37.38888888888889
TOP2XTOP2,0.7,54,12.962962962962962,27.77777777777778,42.592592592592595,55.55555555555556,66.66666666666666,37.20370370370371
JOINT,0.6,54,11.11111111111111,25.925925925925924,42.592592592592595,57.407407407407405,72.22222222222221,36.68518518518519
S1_TWO,0.75,54,12.962962962962962,24.074074074074073,46.2962962962963,59.25925925925925,66.66666666666666,36.648148148148145
JOINT,0.75,54,12.962962962962962,24.074074074074073,46.2962962962963,57.407407407407405,66.66666666666666,36.425925925925924
S1_TWO,0.5,54,12.962962962962962,24.074074074074073,44.44444444444444,57.407407407407405,75.92592592592592,36.37037037037037
TOP2XTOP2,0.75,54,12.962962962962962,25.925925925925924,42.592592592592595,55.55555555555556,66.66666666666666,36.18518518518519
S1_TWO,0.65,54,12.962962962962962,24.074074074074073,44.44444444444444,57.407407407407405,72.22222222222221,36.185185185185176
S1_TWO,0.6,54,12.962962962962962,24.074074074074073,42.592592592592595,59.25925925925925,74.07407407407408,35.98148148148148
S1_TWO,0.7,54,12.962962962962962,24.074074074074073,44.44444444444444,57.407407407407405,66.66666666666666,35.907407407407405
JOINT,0.65,54,12.962962962962962,24.074074074074073,44.44444444444444,55.55555555555556,70.37037037037037,35.87037037037037
TOP2XTOP2,0.55,54,11.11111111111111,24.074074074074073,42.592592592592595,57.407407407407405,74.07407407407408,35.75925925925926
S1_TWO,0.55,54,12.962962962962962,24.074074074074073,42.592592592592595,57.407407407407405,74.07407407407408,35.75925925925926
JOINT,0.7,54,12.962962962962962,24.074074074074073,44.44444444444444,55.55555555555556,66.66666666666666,35.68518518518518
TOP2XTOP2,0.5,54,12.962962962962962,24.074074074074073,42.592592592592595,55.55555555555556,75.92592592592592,35.62962962962963
S12_ONE,0.75,54,12.962962962962962,22.22222222222222,44.44444444444444,57.407407407407405,66.66666666666666,34.88888888888889
S12_ONE,0.6,54,12.962962962962962,22.22222222222222,42.592592592592595,57.407407407407405,72.22222222222221,34.64814814814815
S12_ONE,0.65,54,12.962962962962962,22.22222222222222,42.592592592592595,55.55555555555556,70.37037037037037,34.333333333333336
S12_ONE,0.7,54,12.962962962962962,22.22222222222222,42.592592592592595,55.55555555555556,66.66666666666666,34.14814814814815
S12_ONE,0.5,54,12.962962962962962,22.22222222222222,40.74074074074074,55.55555555555556,74.07407407407408,34.00000000000001
S12_ONE,0.55,54,12.962962962962962,22.22222222222222,40.74074074074074,55.55555555555556,72.22222222222221,33.90740740740741
JOINT,0.5,54,12.962962962962962,18.51851851851852,44.44444444444444,55.55555555555556,74.07407407407408,33.00000000000001
JOINT,0.55,54,11.11111111111111,18.51851851851852,42.592592592592595,55.55555555555556,72.22222222222221,32.38888888888889
