scope,model,n,R,head4_wins,trifecta_hits,head4_rate_pct,hit_rate_pct,avg_comp_odds_on_head4,cost_yen,return_yen,profit_yen,roi_pct
S+A,v283,4,100,40,18,40.0,18.0,6.5868545603629345,1000000,1261210.0,261210.0,126.121
A,v283,4,47,21,9,44.680851063829785,19.148936170212767,7.505682991466118,470000,736770.0,266770.0,156.7595744680851
S,v283,4,53,19,9,35.84905660377358,16.9811320754717,5.571307347038359,530000,524440.0,-5560.0,98.95094339622642
S+A,v283,6,100,40,21,40.0,21.0,4.537190292498529,1000000,983100.0,-16900.0,98.31
A,v283,6,47,21,12,44.680851063829785,25.53191489361702,5.039849211793151,470000,593460.0,123460.0,126.26808510638298
S,v283,6,53,19,9,35.84905660377358,16.9811320754717,3.981619908014999,530000,389640.0,-140360.0,73.51698113207547
S+A,v283,8,100,40,25,40.0,25.0,3.7061860858311477,1000000,906660.0,-93340.0,90.666
A,v283,8,47,21,13,44.680851063829785,27.659574468085108,4.002069938450465,470000,493330.0,23330.0,104.96382978723405
S,v283,8,53,19,12,35.84905660377358,22.641509433962266,3.3791565645150583,530000,413330.0,-116670.0,77.98679245283019
S+A,v283,10,100,40,26,40.0,26.0,3.182485553761555,1000000,833210.0,-166790.0,83.321
A,v283,10,47,21,14,44.680851063829785,29.78723404255319,3.400844125811877,470000,469010.0,-990.0,99.78936170212766
S,v283,10,53,19,12,35.84905660377358,22.641509433962266,2.9411418688638316,530000,364200.0,-165800.0,68.71698113207547
S+A,v284,4,100,40,14,40.0,14.000000000000002,6.536066404157299,1000000,934850.0,-65150.0,93.485
A,v284,4,47,21,7,44.680851063829785,14.893617021276595,7.374228883278216,470000,546080.0,76080.0,116.18723404255319
S,v284,4,53,19,7,35.84905660377358,13.20754716981132,5.60967629565523,530000,388770.0,-141230.0,73.35283018867925
S+A,v284,6,100,40,22,40.0,22.0,4.691790643634176,1000000,1041040.0,41040.0,104.104
A,v284,6,47,21,11,44.680851063829785,23.404255319148938,5.1736209293742785,470000,563400.0,93400.0,119.87234042553192
S,v284,6,53,19,11,35.84905660377358,20.754716981132077,4.1592413804477495,530000,477640.0,-52360.0,90.12075471698114
S+A,v284,8,100,40,26,40.0,26.0,3.8366221905040256,1000000,1001650.0,1650.0,100.165
A,v284,8,47,21,15,44.680851063829785,31.914893617021278,4.139663476086797,470000,593280.0,123280.0,126.22978723404255
S,v284,8,53,19,11,35.84905660377358,20.754716981132077,3.501681822228329,530000,408370.0,-121630.0,77.05094339622642
S+A,v284,10,100,40,30,40.0,30.0,3.3913704725592426,1000000,1049890.0,49890.0,104.989
A,v284,10,47,21,18,44.680851063829785,38.297872340425535,3.600985932085444,470000,655760.0,185760.0,139.52340425531915
S,v284,10,53,19,12,35.84905660377358,22.641509433962266,3.1596902278197563,530000,394130.0,-135870.0,74.36415094339623
