month,scope,model,n,R,head4_wins,trifecta_hits,head4_rate_pct,hit_rate_pct,avg_comp_odds_on_head4,cost_yen,return_yen,profit_yen,roi_pct
2026-04,A,v283,4,14,5,3,35.714285714285715,21.428571428571427,8.853217312815236,140000,288990.0,148990.0,206.42142857142858
2026-04,A,v283,6,14,5,3,35.714285714285715,21.428571428571427,5.431519350625229,140000,161940.0,21940.0,115.67142857142858
2026-04,A,v283,8,14,5,3,35.714285714285715,21.428571428571427,4.138431227937522,140000,123650.0,-16350.0,88.32142857142857
2026-04,A,v283,10,14,5,4,35.714285714285715,28.57142857142857,3.5656940635599783,140000,143760.0,3760.0,102.68571428571428
2026-04,A,v284,4,14,5,1,35.714285714285715,7.142857142857142,7.710731357015932,140000,86460.0,-53540.0,61.75714285714286
2026-04,A,v284,6,14,5,2,35.714285714285715,14.285714285714285,5.47227123539833,140000,107450.0,-32550.0,76.75
2026-04,A,v284,8,14,5,3,35.714285714285715,21.428571428571427,4.306806046698233,140000,123810.0,-16190.0,88.43571428571428
2026-04,A,v284,10,14,5,4,35.714285714285715,28.57142857142857,3.7613320503101164,140000,151280.0,11280.0,108.05714285714286
2026-04,S,v283,4,17,6,3,35.294117647058826,17.647058823529413,8.032118099904958,170000,288470.0,118470.0,169.68823529411765
2026-04,S,v283,6,17,6,3,35.294117647058826,17.647058823529413,5.2965404692791305,170000,196280.0,26280.0,115.45882352941176
2026-04,S,v283,8,17,6,3,35.294117647058826,17.647058823529413,4.488424638923033,170000,165300.0,-4700.0,97.23529411764706
2026-04,S,v283,10,17,6,3,35.294117647058826,17.647058823529413,3.7926222818204613,170000,140900.0,-29100.0,82.88235294117646
2026-04,S,v284,4,17,6,2,35.294117647058826,11.76470588235294,8.035698722924378,170000,181850.0,11850.0,106.97058823529412
2026-04,S,v284,6,17,6,4,35.294117647058826,23.52941176470588,5.975601494068674,170000,255940.0,85940.0,150.5529411764706
2026-04,S,v284,8,17,6,4,35.294117647058826,23.52941176470588,4.809644261365226,170000,209530.0,39530.0,123.25294117647059
2026-04,S,v284,10,17,6,4,35.294117647058826,23.52941176470588,4.3331134651744865,170000,190110.0,20110.0,111.82941176470588
2026-04,S+A,v283,4,31,11,6,35.483870967741936,19.35483870967742,8.405345014864174,310000,577460.0,267460.0,186.2774193548387
2026-04,S+A,v283,6,31,11,6,35.483870967741936,19.35483870967742,5.35789450625463,310000,358220.0,48220.0,115.55483870967743
2026-04,S+A,v283,8,31,11,6,35.483870967741936,19.35483870967742,4.32933672483871,310000,288950.0,-21050.0,93.20967741935483
2026-04,S+A,v283,10,31,11,7,35.483870967741936,22.58064516129032,3.6894730917020597,310000,284660.0,-25340.0,91.8258064516129
2026-04,S+A,v284,4,31,11,3,35.483870967741936,9.67741935483871,7.887986283875083,310000,268310.0,-41690.0,86.5516129032258
2026-04,S+A,v284,6,31,11,6,35.483870967741936,19.35483870967742,5.746815012854882,310000,363390.0,53390.0,117.22258064516129
2026-04,S+A,v284,8,31,11,7,35.483870967741936,22.58064516129032,4.581081436516593,310000,333340.0,23340.0,107.52903225806452
2026-04,S+A,v284,10,31,11,8,35.483870967741936,25.806451612903224,4.073212822054319,310000,341390.0,31390.0,110.1258064516129
2026-05,A,v283,4,12,7,4,58.333333333333336,33.33333333333333,7.015370177874041,120000,265330.0,145330.0,221.10833333333332
2026-05,A,v283,6,12,7,4,58.333333333333336,33.33333333333333,4.96288877813067,120000,187950.0,67950.0,156.625
2026-05,A,v283,8,12,7,5,58.333333333333336,41.66666666666667,3.9567832453228347,120000,174220.0,54220.0,145.18333333333334
2026-05,A,v283,10,12,7,5,58.333333333333336,41.66666666666667,3.205522507123278,120000,152050.0,32050.0,126.70833333333333
2026-05,A,v284,4,12,7,4,58.333333333333336,33.33333333333333,7.373911238788309,120000,273650.0,153650.0,228.04166666666666
2026-05,A,v284,6,12,7,4,58.333333333333336,33.33333333333333,5.177294133052459,120000,198480.0,78480.0,165.4
2026-05,A,v284,8,12,7,6,58.333333333333336,50.0,3.8750549000243524,120000,217720.0,97720.0,181.43333333333334
2026-05,A,v284,10,12,7,7,58.333333333333336,58.333333333333336,3.356128467485076,120000,236530.0,116530.0,197.10833333333332
2026-05,S,v283,4,22,8,4,36.36363636363637,18.181818181818183,4.413087781343209,220000,136850.0,-83150.0,62.20454545454545
2026-05,S,v283,6,22,8,4,36.36363636363637,18.181818181818183,3.312457064061916,220000,110410.0,-109590.0,50.18636363636364
2026-05,S,v283,8,22,8,5,36.36363636363637,22.727272727272727,2.7306603734912605,220000,122220.0,-97780.0,55.554545454545455
2026-05,S,v283,10,22,8,5,36.36363636363637,22.727272727272727,2.4138660513128753,220000,110940.0,-109060.0,50.42727272727273
2026-05,S,v284,4,22,8,3,36.36363636363637,13.636363636363635,4.595075359602586,220000,107800.0,-112200.0,49.0
2026-05,S,v284,6,22,8,4,36.36363636363637,18.181818181818183,3.3440648484681414,220000,115510.0,-104490.0,52.50454545454546
2026-05,S,v284,8,22,8,4,36.36363636363637,18.181818181818183,2.882137555436085,220000,104620.0,-115380.0,47.554545454545455
2026-05,S,v284,10,22,8,5,36.36363636363637,22.727272727272727,2.536801494083615,220000,116260.0,-103740.0,52.845454545454544
2026-05,S+A,v283,4,34,15,8,44.11764705882353,23.52941176470588,5.6274862330575965,340000,402180.0,62180.0,118.28823529411764
2026-05,S+A,v283,6,34,15,8,44.11764705882353,23.52941176470588,4.0826585306273335,340000,298360.0,-41640.0,87.75294117647059
2026-05,S+A,v283,8,34,15,10,44.11764705882353,29.411764705882355,3.3028510470126617,340000,296440.0,-43560.0,87.18823529411765
2026-05,S+A,v283,10,34,15,10,44.11764705882353,29.411764705882355,2.7833057306910636,340000,262990.0,-77010.0,77.35
2026-05,S+A,v284,4,34,15,7,44.11764705882353,20.588235294117645,5.891865436555922,340000,381450.0,41450.0,112.19117647058823
2026-05,S+A,v284,6,34,15,8,44.11764705882353,23.52941176470588,4.199571847940823,340000,313990.0,-26010.0,92.35
2026-05,S+A,v284,8,34,15,10,44.11764705882353,29.411764705882355,3.34549898291061,340000,322340.0,-17660.0,94.80588235294118
2026-05,S+A,v284,10,34,15,12,44.11764705882353,35.294117647058826,2.9191540816709636,340000,352790.0,12790.0,103.76176470588236
2026-06,A,v283,4,21,9,2,42.857142857142854,9.523809523809524,7.138407223510451,210000,182450.0,-27550.0,86.88095238095238
2026-06,A,v283,6,21,9,5,42.857142857142854,23.809523809523807,4.8821128052905935,210000,243570.0,33570.0,115.98571428571428
2026-06,A,v283,8,21,9,5,42.857142857142854,23.809523809523807,3.961536650056925,210000,195460.0,-14540.0,93.07619047619048
2026-06,A,v283,10,21,9,5,42.857142857142854,23.809523809523807,3.4611776415985087,210000,173200.0,-36800.0,82.47619047619048
2026-06,A,v284,4,21,9,2,42.857142857142854,9.523809523809524,7.1875301213605285,210000,185970.0,-24030.0,88.55714285714286
2026-06,A,v284,6,21,9,5,42.857142857142854,23.809523809523807,5.004847156500109,210000,257470.0,47470.0,122.6047619047619
2026-06,A,v284,8,21,9,6,42.857142857142854,28.57142857142857,4.252613162684569,210000,251750.0,41750.0,119.88095238095238
2026-06,A,v284,10,21,9,7,42.857142857142854,33.33333333333333,3.7023494499831355,210000,267950.0,57950.0,127.5952380952381
2026-06,S,v283,4,14,5,2,35.714285714285715,14.285714285714285,4.471485748710678,140000,99120.0,-40880.0,70.8
2026-06,S,v283,6,14,5,2,35.714285714285715,14.285714285714285,3.474375784822974,140000,82950.0,-57050.0,59.25
2026-06,S,v283,8,14,5,4,35.714285714285715,28.57142857142857,3.085628780863566,140000,125810.0,-14190.0,89.86428571428571
2026-06,S,v283,10,14,5,4,35.714285714285715,28.57142857142857,2.7630066813974077,140000,112360.0,-27640.0,80.25714285714285
2026-06,S,v284,4,14,5,2,35.714285714285715,14.285714285714285,4.321810880616484,140000,99120.0,-40880.0,70.8
2026-06,S,v284,6,14,5,3,35.714285714285715,21.428571428571427,3.28389169527001,140000,106190.0,-33810.0,75.85
2026-06,S,v284,8,14,5,3,35.714285714285715,21.428571428571427,2.923397722131642,140000,94220.0,-45780.0,67.3
2026-06,S,v284,10,14,5,3,35.714285714285715,21.428571428571427,2.748204316971906,140000,87760.0,-52240.0,62.68571428571428
2026-06,S+A,v283,4,35,14,4,40.0,11.428571428571429,6.185935268224817,350000,281570.0,-68430.0,80.44857142857143
2026-06,S+A,v283,6,35,14,7,40.0,20.0,4.379349583695015,350000,326520.0,-23480.0,93.29142857142857
2026-06,S+A,v283,8,35,14,9,40.0,25.71428571428571,3.648712411059297,350000,321270.0,-28730.0,91.79142857142857
2026-06,S+A,v283,10,35,14,9,40.0,25.71428571428571,3.2118308700981153,350000,285560.0,-64440.0,81.58857142857143
2026-06,S+A,v284,4,35,14,4,40.0,11.428571428571429,6.164058963951942,350000,285090.0,-64910.0,81.45428571428572
2026-06,S+A,v284,6,35,14,8,40.0,22.857142857142858,4.390220206060787,350000,363660.0,13660.0,103.90285714285714
2026-06,S+A,v284,8,35,14,9,40.0,25.71428571428571,3.777893362487095,350000,345970.0,-4030.0,98.84857142857143
2026-06,S+A,v284,10,35,14,10,40.0,28.57142857142857,3.3615833310505536,350000,355710.0,5710.0,101.63142857142857
