month,date,race_code,p2_concentration,p2_top1,p2_top2mass,p2_ratio,p2_margin,p2_probs,nfeat2,calibration_domain,layer
2026-02,2026-02-01,202602011007,0.04709170207563185,0.27535164132482476,0.5292830501354469,1.084354403476639,0.02142023251420261,1:0.242853871159|2:0.253931408811|3:0.0835473615364|5:0.275351641325|6:0.144315717169,25,1,CAL
2026-02,2026-02-01,202602011612,0.10412007510436605,0.3783561322426592,0.6740466012616422,1.2795682373460915,0.08266566322367613,1:0.378356132243|2:0.295690469019|3:0.0778104915277|5:0.105847287108|6:0.142295620103,25,1,CAL
2026-02,2026-02-04,202602040701,0.02222912772039287,0.2843967240072808,0.5093995917434929,1.2639693301184969,0.05939385627106866,1:0.284396724007|2:0.130642402881|3:0.157755136384|5:0.225002867736|6:0.202202868991,25,1,CAL
2026-02,2026-02-05,202602050707,0.26750029754976823,0.5851855227319293,0.7701681420373023,3.163462194066422,0.4002029034265562,1:0.585185522732|2:0.184982619305|3:0.0727163941163|5:0.13029047898|6:0.0268249848663,25,1,CAL
2026-02,2026-02-05,202602051807,0.20744900256484844,0.4816650134539642,0.7853774370310991,1.5859246315343236,0.17795258987682921,1:0.0554242818|2:0.303712423577|3:0.090301056621|5:0.0688972245478|6:0.481665013454,25,1,CAL
2026-02,2026-02-06,202602060401,0.029144324104929953,0.3161982782147306,0.5317619152122871,1.4668442350428281,0.10063464121717414,1:0.316198278215|2:0.164739882678|3:0.167607603117|5:0.215563636998|6:0.135890598993,25,1,CAL
2026-02,2026-02-06,202602061104,0.11032587989496145,0.3874596702075009,0.6145048638340244,1.7065310391236475,0.16041447658097738,1:0.0479539314016|2:0.11366055025|3:0.227045193627|5:0.223880654514|6:0.387459670208,25,1,CAL
2026-02,2026-02-08,202602080206,0.13120325358250484,0.4557396443295788,0.6718838220354238,2.108498360523983,0.23959546662373374,1:0.149654970404|2:0.216144177706|3:0.0653531246276|5:0.113108082933|6:0.45573964433,25,1,CAL
2026-02,2026-02-10,202602101308,0.1910749181539635,0.47543435764732894,0.7612061633333334,1.6636853188019496,0.1896625519613246,1:0.0432188839678|2:0.475434357647|3:0.0970882196559|5:0.0984867330429|6:0.285771805686,25,1,CAL
2026-02,2026-02-11,202602111010,0.059689859648538124,0.3047562686073989,0.6065310889044697,1.0098797119898644,0.0029814483103281497,1:0.301774820297|2:0.304756268607|3:0.172194075182|5:0.104412004841|6:0.116862831072,25,1,CAL
2026-02,2026-02-12,202602120708,0.26473916321224755,0.576668914544766,0.7756099719993086,2.8986923158208957,0.3777278570902234,1:0.576668914545|2:0.198941057455|3:0.114612793437|5:0.0885810424462|6:0.0211961921172,25,1,CAL
2026-02,2026-02-12,202602121507,0.09701476473334769,0.37131767558405276,0.6657609555404393,1.2610838856266404,0.07687439562766613,1:0.371317675584|2:0.294443279956|3:0.146249034675|5:0.0893264928704|6:0.0986635169143,25,1,CAL
2026-02,2026-02-14,202602141308,0.10395251109650883,0.3628289399514125,0.6750416251869962,1.1621210703775084,0.05061625471582892,1:0.312212685236|2:0.0794250872485|3:0.0972861325153|5:0.148247155049|6:0.362828939951,25,1,CAL
2026-02,2026-02-15,202602150102,0.018009546244201147,0.29289197265237715,0.49273503419703124,1.4656099160437037,0.09304891110772309,1:0.181946392906|2:0.199843061545|3:0.292891972652|5:0.179994982435|6:0.145323590462,25,1,CAL
2026-02,2026-02-15,202602150106,0.13894635175052128,0.48249494276806687,0.6751684468665626,2.5042101404945267,0.2898214386695711,1:0.482494942768|2:0.192673504098|3:0.134775492509|5:0.102132835218|6:0.0879232254062,25,1,CAL
2026-02,2026-02-15,202602150406,0.1477443965334082,0.40097816904302913,0.7070510195076056,1.3100742794873814,0.09490531857845258,1:0.306072850465|2:0.0471226489121|3:0.167343637841|5:0.0784826937392|6:0.400978169043,25,1,CAL
2026-02,2026-02-15,202602151108,0.050635066170084064,0.2979507577488227,0.5683040136390739,1.1020794137200054,0.02759750185857146,1:0.212581948653|2:0.297950757749|3:0.105519402366|5:0.27035325589|6:0.113594635343,25,1,CAL
2026-02,2026-02-17,202602171608,0.4135561702275662,0.7310303837190177,0.8188470352490294,8.324507607411851,0.6432137321890061,1:0.0371424655396|2:0.731030383719|3:0.0713855055351|5:0.08781665153|6:0.0726249936762,25,1,CAL
2026-02,2026-02-20,202602201702,0.20693722767731182,0.41999608640646474,0.7972241971609569,1.1133743070378093,0.042767975651972545,1:0.377228110754|2:0.419996086406|3:0.0725977359101|5:0.0758413736565|6:0.0543366932724,25,1,CAL
2026-02,2026-02-20,202602202404,0.15841577794008388,0.3789684763658494,0.7063355745823616,1.1576254254946825,0.05160137814933724,1:0.114009524251|2:0.378968476366|3:0.158447842038|5:0.327367098217|6:0.021207059129,25,1,CAL
2026-02,2026-02-21,202602211506,0.2689049081040984,0.5378861733175775,0.8135319404674739,1.9513674339322418,0.26224040616768113,1:0.537886173318|2:0.107977950083|3:0.055096576721|5:0.27564576715|6:0.0233935327281,25,1,CAL
2026-02,2026-02-21,202602211905,0.1059473449691023,0.4036712246528053,0.6565790376600129,1.5961200243398614,0.1507634116455977,1:0.403671224653|2:0.158327640953|3:0.0667412143308|5:0.252907813007|6:0.118352107056,25,1,CAL
2026-02,2026-02-22,202602222204,0.05420906779227008,0.3284089339981279,0.5778898213169782,1.3163691115881087,0.07892804667927769,1:0.195435746495|2:0.249480887319|3:0.328408933998|5:0.0966218293256|6:0.130052602863,25,1,CAL
2026-02,2026-02-22,202602222406,0.2219412567735488,0.4192277411146734,0.8026308021517317,1.093438690814606,0.035824680077615245,1:0.419227741115|2:0.0915551073979|3:0.0751775778493|5:0.030636512601|6:0.383403061037,25,1,CAL
