date,month,race_code,layer,model,n,winner,head4_win,hit,return_yen,profit_yen,comp_odds,p2_concentration,tickets,policy
2026-04-01,2026-04,202604010206,A,v283,8,2,0,0,0.0,-10000.0,,0.08069014622637061,,VARIABLE_v283
2026-04-01,2026-04,202604010603,S,v283,8,4,1,0,0.0,-10000.0,3.772017808241101,0.07004560615667921,4-1-6|4-1-2|4-5-1|4-5-6|4-1-3|4-2-1|4-6-1|4-3-1,VARIABLE_v283
2026-04-01,2026-04,202604010804,S,v283,6,4,1,0,0.0,-10000.0,3.7929190312312944,0.150994787520072,4-1-5|4-2-5|4-2-1|4-1-6|4-5-1|4-1-2,VARIABLE_v283
2026-04-02,2026-04,202604020108,S,v283,4,1,0,0,0.0,-10000.0,,0.2615418481388506,,VARIABLE_v283
2026-04-02,2026-04,202604022209,S,v283,6,1,0,0,0.0,-10000.0,,0.14539382073417362,,VARIABLE_v283
2026-04-03,2026-04,202604030402,A,v283,4,5,0,0,0.0,-10000.0,,0.3678179594422253,,VARIABLE_v283
2026-04-03,2026-04,202604031806,A,v283,8,1,0,0,0.0,-10000.0,,0.11172597372903337,,VARIABLE_v283
2026-04-04,2026-04,202604042202,S,v283,6,3,0,0,0.0,-10000.0,,0.16361026915679355,,VARIABLE_v283
2026-04-07,2026-04,202604070808,S,v283,6,2,0,0,0.0,-10000.0,,0.18405800267980388,,VARIABLE_v283
2026-04-07,2026-04,202604072403,S,v283,10,2,0,0,0.0,-10000.0,,0.0276684319825532,,VARIABLE_v283
2026-04-09,2026-04,202604090703,A,v283,4,4,1,0,0.0,-10000.0,6.363551878783764,0.19393182494416883,4-6-5|4-6-1|4-2-5|4-2-1,VARIABLE_v283
2026-04-14,2026-04,202604140304,A,v283,8,2,0,0,0.0,-10000.0,,0.11343341037431443,,VARIABLE_v283
2026-04-15,2026-04,202604150307,S,v283,6,5,0,0,0.0,-10000.0,,0.13137192857968938,,VARIABLE_v283
2026-04-19,2026-04,202604191506,A,v283,4,2,0,0,0.0,-10000.0,,0.23289777141666657,,VARIABLE_v283
2026-04-21,2026-04,202604210702,S,v283,8,3,0,0,0.0,-10000.0,,0.11870674678686921,,VARIABLE_v283
2026-04-22,2026-04,202604222207,A,v283,8,4,1,1,43120.0,33120.0,4.371899075269714,0.08431496373949499,4-3-6|4-3-1|4-1-6|4-1-5|4-3-5|4-3-2|4-5-6|4-5-1,VARIABLE_v283
2026-04-23,2026-04,202604230507,A,v283,8,4,1,1,41920.0,31920.0,4.227541415342335,0.0892283278309629,4-5-6|4-5-2|4-3-5|4-3-6|4-5-1|4-2-5|4-6-5|4-1-5,VARIABLE_v283
2026-04-23,2026-04,202604231808,A,v283,6,5,0,0,0.0,-10000.0,,0.13803772915966617,,VARIABLE_v283
2026-04-24,2026-04,202604240706,S,v283,6,2,0,0,0.0,-10000.0,,0.18139879764939182,,VARIABLE_v283
