policy,month,R,avg_n,head4_wins,hits,hit_rate_pct,return_yen,profit_yen,roi_pct,n4,n6,n8,n10
FIXED_v283_N4,2026-04,31,4.0,11,6,19.35483870967742,577460.0,267460.0,186.2774193548387,31,0,0,0
FIXED_v283_N4,2026-05,34,4.0,15,8,23.52941176470588,402180.0,62180.0,118.28823529411764,34,0,0,0
FIXED_v283_N4,2026-06,35,4.0,14,4,11.428571428571429,281570.0,-68430.0,80.44857142857143,35,0,0,0
FIXED_v284_N10,2026-04,31,10.0,11,8,25.806451612903224,341390.0,31390.0,110.1258064516129,0,0,0,31
FIXED_v284_N10,2026-05,34,10.0,15,12,35.294117647058826,352790.0,12790.0,103.76176470588236,0,0,0,34
FIXED_v284_N10,2026-06,35,10.0,14,10,28.57142857142857,355710.0,5710.0,101.63142857142857,0,0,0,35
VARIABLE_v283,2026-04,31,6.838709677419355,11,7,22.58064516129032,334910.0,24910.0,108.03548387096774,6,10,11,4
VARIABLE_v283,2026-05,34,6.235294117647059,15,9,26.47058823529412,316730.0,-23270.0,93.15588235294118,13,8,9,4
VARIABLE_v283,2026-06,35,5.942857142857143,14,6,17.142857142857142,265740.0,-84260.0,75.92571428571429,17,5,10,3
VARIABLE_v284,2026-04,31,6.838709677419355,11,6,19.35483870967742,312080.0,2080.0,100.67096774193548,6,10,11,4
VARIABLE_v284,2026-05,34,6.235294117647059,15,10,29.411764705882355,352200.0,12200.0,103.58823529411765,13,8,9,4
VARIABLE_v284,2026-06,35,5.942857142857143,14,7,20.0,345310.0,-4690.0,98.66,17,5,10,3
