scope,model,policy,R,avg_n,n_dist,head4_wins,hits,hit_rate_pct,avg_selected_comp,avg_abs_target_gap,return_yen,profit_yen,roi_pct
S+A,v283,ODDS_2_10_T10.5,100,2.4,"2:75,3:13,4:10,5:1,6:1",40,12,12.0,8.32078763781728,2.5061884028456434,1033950.0,33950.0,103.395
A,v283,ODDS_2_10_T10.5,47,2.617021276595745,"2:30,3:8,4:7,5:1,6:1",21,6,12.76595744680851,8.942231098535716,1.926534712418863,568140.0,98140.0,120.88085106382978
S,v283,ODDS_2_10_T10.5,53,2.207547169811321,"2:45,3:5,4:3",19,6,11.320754716981133,7.769696266991496,3.0202209207712785,465810.0,-64190.0,87.88867924528302
S+A,v283,ODDS_2_20_T10.5,100,2.4,"2:75,3:13,4:10,5:1,6:1",40,12,12.0,8.32078763781728,2.5061884028456434,1033950.0,33950.0,103.395
A,v283,ODDS_2_20_T10.5,47,2.617021276595745,"2:30,3:8,4:7,5:1,6:1",21,6,12.76595744680851,8.942231098535716,1.926534712418863,568140.0,98140.0,120.88085106382978
S,v283,ODDS_2_20_T10.5,53,2.207547169811321,"2:45,3:5,4:3",19,6,11.320754716981133,7.769696266991496,3.0202209207712785,465810.0,-64190.0,87.88867924528302
S+A,v283,ODDS_4610_T10.5,100,4.04,"4:98,6:2",40,18,18.0,5.818417224452251,4.724546256920964,1209100.0,209100.0,120.91
A,v283,ODDS_4610_T10.5,47,4.085106382978723,"4:45,6:2",21,9,19.148936170212767,6.494173730388929,4.063257647239024,684660.0,214660.0,145.67234042553193
S,v283,ODDS_4610_T10.5,53,4.0,4:53,19,9,16.9811320754717,5.219161455036706,5.310972005129479,524440.0,-5560.0,98.95094339622642
S+A,v284,ODDS_2_10_T10.5,100,2.48,"2:69,3:19,4:9,5:1,6:2",40,11,11.0,8.360632546630976,2.39214781746114,939720.0,-60280.0,93.972
A,v284,ODDS_2_10_T10.5,47,2.765957446808511,"2:26,3:11,4:7,5:1,6:2",21,6,12.76595744680851,8.696650661674413,2.062021430611379,528550.0,58550.0,112.45744680851064
S,v284,ODDS_2_10_T10.5,53,2.2264150943396226,"2:43,3:8,4:2",19,5,9.433962264150944,8.062654218196233,2.684901405799607,411170.0,-118830.0,77.57924528301886
S+A,v284,ODDS_2_20_T10.5,100,2.48,"2:69,3:19,4:9,5:1,6:2",40,11,11.0,8.360632546630976,2.39214781746114,939720.0,-60280.0,93.972
A,v284,ODDS_2_20_T10.5,47,2.765957446808511,"2:26,3:11,4:7,5:1,6:2",21,6,12.76595744680851,8.696650661674413,2.062021430611379,528550.0,58550.0,112.45744680851064
S,v284,ODDS_2_20_T10.5,53,2.2264150943396226,"2:43,3:8,4:2",19,5,9.433962264150944,8.062654218196233,2.684901405799607,411170.0,-118830.0,77.57924528301886
S+A,v284,ODDS_4610_T10.5,100,4.06,"4:97,6:3",40,14,14.000000000000002,5.901837953307738,4.605737841141485,894320.0,-105680.0,89.432
A,v284,ODDS_4610_T10.5,47,4.127659574468085,"4:44,6:3",21,7,14.893617021276595,6.583274826523149,3.930961219099711,505550.0,35550.0,107.56382978723404
S,v284,ODDS_4610_T10.5,53,4.0,4:53,19,7,13.20754716981132,5.29754487706011,5.204124656914381,388770.0,-141230.0,73.35283018867925
